id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_TeamPlayerFormation;value_Captain;value_Resume;value_PlayerPosition;value_TeamKit;value_JerseyNumber;value_TeamFormation;value_DirectionOfPlay;value_PassEndX;value_Length;value_KickOff;value_PassEndY;value_Zone;value_Angle;value_LongBall;value_NextEventGoalKick;value_OppositeRelatedEventId;value_Low;value_GoalKick;value_IntendedTackleTarget;value_DeletedEventType;value_NextEventThrowIn;value_ThrowIn;value_Foul;value_Defensive;value_Direct;value_AttemptedTackle;value_Offensive;value_FreeKickTaken;value_Launch;value_HeadPass;value_Chipped;value_Cross;value_OutSwinger;value_LeftFooted;value_MediumGkIntervention;value_GkKickFromHands;value_TouchTypeClearance;value_OutOfPlay;value_TouchTypeControl;value_Handball;value_TouchTypePass;value_Head;value_Assist;value_BlockedY;value_BlockedX;value_FastBreak;value_IndividualPlay;value_BoxRight;value_GoalmouthZ;value_GoalmouthY;value_RelatedEventId;value_RightFooted;value_Assisted;value_LowRight;value_Collected;value_Stooping;value_Hands;value_LowGkIntervention;value_OverArm;value_KeeperThrow;value_PlayersCaughtOffside;value_SwitchOfPlay;value_Indirect;value_FlickOn;value_BlockedPass;value_Straight;value_DrivenCross;value_Shove/Push;value_LayOff;value_TakeOnSpace;value_TakeOnOvertake;value_FloatedCross;value_High;value_IntentionalAssist;value_NotPastGoalLine;value_MisHit;value_FirstTouch;value_SmallBoxRight;value_RegularPlay;value_Left;value_GkX;value_GkY;value_ShirtPull/Holding;value_NotAssisted;value_HighLeft;value_NotVisible;value_OverhitCross;value_BoxDeepLeft;value_ThroughBall;value_BigChance;value_LowLeft;value_BoxLeft;value_ParriedSafe;value_CornerTaken;value_InSwinger;value_LowCentre;value_Diving;value_BoxCentre;value_Overrun;value_HighCentre;value_Right;value_HighGkIntervention;value_Blocked;value_FromCorner;value_Volley;value_DefBlock;value_InjuredPlayerId;value_Injury;value_SwerveLeft;value_FreeKick;value_OutOfBoxCentre;value_Fingertip;value_Reaching;value_HitWoodwork;value_HitBar;value_FollowsADribble;value_GkXTimeOfGoal;value_1On1;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_GoalShotGameClock;value_FantasyAssistedBy;value_KeeperTouched;value_FantasyAssistTeam;value_FantasyAssistType;value_FantasyAssistId;value_OwnGoal;value_SmallBoxLeft;value_Minutes;value_EndType;value_ByWall;value_SmallBoxCentre;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_Tactical;value_PullBack;value_OutOnSideline;value_RecklessOffence;value_YellowCard;value_CloseHigh;value_ThrowInSetPiece;value_ParriedDanger;value_FollowsShotRebound;value_TempShotOn;value_DrinksBreak;value_RefereeDelay;value_SixYardBlocked;value_HighRight;value_CloseLeft;value_AdvantagePlayed;value_AerialFoul;value_ExcessiveCelebration;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2707562079;1;34;16;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-08-10T19:20:41.003Z;2024-08-10T20:06:02Z;[{'id': 5140869019, 'qualifierId': 30, 'value': '1ceqwz4ozqi6ft5l4hf5a04r8, 872ifpo3qufi9vv9vy7ty6uj8, 2qz3ojbfedl8psp1tvq0183ro, 15v2azulwhof0p216i7bjp250, 3h4x6eh6zkcaww4g6rhkwpbf8, 5aszabja459117mqykvfpajh0, 45v94x6b8g7n4xa3lsfdp6pzo, 20wmdzih6b1t0ekt1v2qd4b2s, de6bz3uyz5ta17f0jnnfhzims, 434xf7moiduhzy9ivp7jxr10, 7bodno8j3qjiqp9wy8kobwmqc, 6rm114588bj7ro7639d8l4qvo, 81w1fqi66z0ibawynhraybaxg, 993vihjmsn70q9w237fatzgbu, dvems493n5l4twsq6cq2fg26s, d4spt2529fmys8d26x61lk36c, efgfakk5g8sp1u42583pt632s, c390qr85frsvwv3o1ybehjk7o, dkkg923101zraafj7la0j8cus, ao8lbslcj9wswv1jx15t59444'}, {'id': 5140869033, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5141062457, 'qualifierId': 194, 'value': '2qz3ojbfedl8psp1tvq0183ro'}, {'id': 5140869037, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5140869021, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5141052217, 'qualifierId': 197, 'value': '23483'}, {'id': 5140869023, 'qualifierId': 59, 'value': '57, 58, 39, 30, 44, 42, 41, 6, 45, 55, 56, 61, 22, 24, 36, 47, 63, 66, 68, 81'}, {'id': 5140869029, 'qualifierId': 130, 'value': '3'}];;;;;ekssgpj6t0a0vxxzf7qq2rdas;Team set up;;;;;;23483,0;;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;0;0;0;0;Chicago Fire II;0;;
2707564491;1;34;16;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-08-10T19:23:06.068Z;2024-08-10T20:26:46Z;[{'id': 5141051491, 'qualifierId': 197, 'value': '24041'}, {'id': 5140882133, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5140882125, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5140882127, 'qualifierId': 59, 'value': '70, 56, 54, 66, 43, 64, 53, 48, 50, 55, 35, 45, 46, 52, 67, 68, 72, 73, 80'}, {'id': 5140882131, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5140882129, 'qualifierId': 130, 'value': '3'}, {'id': 5140882123, 'qualifierId': 30, 'value': '12wcwqu2liyd0zv8ramcevh1w, 710y645hepag4if4rm3gggjdg, 9vc2mynd9lg2oyt14n4e7a44q, 4ycsifqidpgttuanylwsyts7o, 5d341k1dxhlbetyh965z3q784, b3xoqrbmua9uzr0tw8kmnw9as, 4agnpztnedb7ql14bo477vspg, b1p6qcv8wjzoxoax3nt13n5gq, 2atsox1bassuexlgta8h3us4p, 79knhnp7bvpjomzz14k715wtm, 64wbk2nsrs0ru0hjcq0lenwgk, afdz1ibldn2vc8gtezyw8tqay, 2buy6q56o0ixo30fatz7ps9w4, 6n55m4ykhmk5eqx0ymc2ufz84, 1x9uiwhoqu3qumt0urv5trlec, 9ii1zrimesdnqccy8dki8knx0, 18y9ch962ahgw8smond94mdjo, cmwt0ezk7xwvni92pnkhgi0b8, 4uybjezp5gdqpvkwp8qsdxrf8'}, {'id': 5141159373, 'qualifierId': 194, 'value': 'b1p6qcv8wjzoxoax3nt13n5gq'}];;;;;ekssgpj6t0a0vxxzf7qq2rdas;Team set up;;;;;;24041,0;;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;0;0;0;0;Philadelphia Union II;0;;
2707595409;2;32;1;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-08-10T20:03:54.418Z;2024-08-20T08:51:12Z;[{'id': 5141053239, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;ekssgpj6t0a0vxxzf7qq2rdas;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;0;0;0;0;Chicago Fire II;0;;
2707595389;2;32;1;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-08-10T20:03:54.418Z;2024-08-10T20:03:54Z;[{'id': 5141053135, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;ekssgpj6t0a0vxxzf7qq2rdas;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;0;0;0;0;Philadelphia Union II;0;;
2707595439;3;1;1;0;0;8o8m08he36u0j4w08aj2iodn8;1;50,0;50,0;2024-08-10T20:03:54.419Z;2024-08-10T20:03:58Z;[{'id': 5141053349, 'qualifierId': 140, 'value': '37.3'}, {'id': 5141053353, 'qualifierId': 212, 'value': '14.3'}, {'id': 5141053357, 'qualifierId': 279, 'value': 'S'}, {'id': 5141053351, 'qualifierId': 141, 'value': '57.4'}, {'id': 5141053347, 'qualifierId': 56, 'value': 'Back'}, {'id': 5141053355, 'qualifierId': 213, 'value': '2.78'}];79knhnp7bvpjomzz14k715wtm;O. Glasgow;;;ekssgpj6t0a0vxxzf7qq2rdas;Pass;;;;;;;;;;37,3;14,3;;57,4;;2,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;37,3;57,4;;;;;;;0;0;0;0;Philadelphia Union II;0;FW;1,0
2707595465;4;1;1;0;3;8o8m08he36u0j4w08aj2iodn8;1;37,3;57,4;2024-08-10T20:03:58.324Z;2024-08-10T20:04:00Z;[{'id': 5141053521, 'qualifierId': 212, 'value': '30.7'}, {'id': 5141053519, 'qualifierId': 141, 'value': '12.4'}, {'id': 5141053515, 'qualifierId': 56, 'value': 'Back'}, {'id': 5141053517, 'qualifierId': 140, 'value': '40.0'}, {'id': 5141053523, 'qualifierId': 213, 'value': '4.80'}];64wbk2nsrs0ru0hjcq0lenwgk;S. Oregel;;;ekssgpj6t0a0vxxzf7qq2rdas;Pass;;;;;;;;;;40,0;30,7;;12,4;;4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;40,0;12,4;;;;;;;0;0;0;3;Philadelphia Union II;3;ML;1,0
2707595495;5;1;1;0;6;8o8m08he36u0j4w08aj2iodn8;1;40,0;12,4;2024-08-10T20:04:00.511Z;2024-08-10T20:04:03Z;[{'id': 5141053691, 'qualifierId': 140, 'value': '21.8'}, {'id': 5141053695, 'qualifierId': 212, 'value': '20.5'}, {'id': 5141053697, 'qualifierId': 213, 'value': '2.77'}, {'id': 5141053689, 'qualifierId': 56, 'value': 'Back'}, {'id': 5141053693, 'qualifierId': 141, 'value': '23.4'}];710y645hepag4if4rm3gggjdg;B. Richards;;;ekssgpj6t0a0vxxzf7qq2rdas;Pass;;;;;;;;;;21,8;20,5;;23,4;;2,77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;21,8;23,4;;;;;;;0;0;0;6;Philadelphia Union II;6;DR;1,0
2707595537;6;1;1;0;8;8o8m08he36u0j4w08aj2iodn8;1;22,1;23,6;2024-08-10T20:04:03.136Z;2024-08-10T20:04:06Z;[{'id': 5141053945, 'qualifierId': 212, 'value': '22.7'}, {'id': 5141053939, 'qualifierId': 56, 'value': 'Back'}, {'id': 5141053947, 'qualifierId': 213, 'value': '2.25'}, {'id': 5141053943, 'qualifierId': 141, 'value': '49.5'}, {'id': 5141053941, 'qualifierId': 140, 'value': '8.5'}];5d341k1dxhlbetyh965z3q784;J. Shannon;;;ekssgpj6t0a0vxxzf7qq2rdas;Pass;;;;;;;;;;8,5;22,7;;49,5;;2,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;8,5;49,5;;;;;;;0;0;0;8;Philadelphia Union II;8;DL;1,0
2707595579;7;1;1;0;12;8o8m08he36u0j4w08aj2iodn8;1;7,2;53,5;2024-08-10T20:04:06.761Z;2024-08-10T20:04:09Z;[{'id': 5141054147, 'qualifierId': 140, 'value': '19.8'}, {'id': 5141054145, 'qualifierId': 56, 'value': 'Back'}, {'id': 5141054149, 'qualifierId': 141, 'value': '90.6'}, {'id': 5141054153, 'qualifierId': 213, 'value': '1.09'}, {'id': 5141054151, 'qualifierId': 212, 'value': '28.5'}];12wcwqu2liyd0zv8ramcevh1w;P. Los;;;ekssgpj6t0a0vxxzf7qq2rdas;Pass;;;;;;;;;;19,8;28,5;;90,6;;1,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;19,8;90,6;;;;;;;0;0;0;12;Philadelphia Union II;12;GK;1,0
2707595603;8;1;1;0;15;8o8m08he36u0j4w08aj2iodn8;1;19,9;90,8;2024-08-10T20:04:09.745Z;2024-08-10T20:04:12Z;[{'id': 5141054283, 'qualifierId': 141, 'value': '96.0'}, {'id': 5141054285, 'qualifierId': 212, 'value': '22.5'}, {'id': 5141054287, 'qualifierId': 213, 'value': '0.16'}, {'id': 5141054279, 'qualifierId': 56, 'value': 'Back'}, {'id': 5141054281, 'qualifierId': 140, 'value': '41.1'}];b3xoqrbmua9uzr0tw8kmnw9as;C. Cupps;;;ekssgpj6t0a0vxxzf7qq2rdas;Pass;;;;;;;;;;41,1;22,5;;96,0;;0,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;41,1;96,0;;;;;;;0;0;0;15;Philadelphia Union II;15;DC;1,0
