id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_JerseyNumber;value_TeamKit;value_PlayerPosition;value_Involved;value_TeamFormation;value_Captain;value_TeamPlayerFormation;value_DirectionOfPlay;value_KickOff;value_Angle;value_PassEndY;value_Length;value_PassEndX;value_Zone;value_LongBall;value_Launch;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_HeadPass;value_Chipped;value_BlockedPass;value_NextEventThrowIn;value_ThrowIn;value_Foul;value_ShirtPull/Holding;value_Direct;value_FreeKickTaken;value_Assist;value_BlockedX;value_IndividualPlay;value_Assisted;value_OutOfBoxCentre;value_LowLeft;value_LeftFooted;value_BlockedY;value_GoalmouthZ;value_RegularPlay;value_RelatedEventId;value_GoalmouthY;value_ParriedSafe;value_Standing;value_Hands;value_KeeperThrow;value_NotVisible;value_SwitchOfPlay;value_OutOfPlay;value_DeletedEventType;value_IncorrectOutOfPlayDecision;value_LayOff;value_PullBack;value_Left;value_Right;value_CornerTaken;value_HighClaim;value_GkKickFromHands;value_FlickOn;value_Cross;value_AttemptedTackle;value_Head;value_IntendedTackleTarget;value_NextEventGoalKick;value_GkX;value_RightFooted;value_GkY;value_Low;value_GoalKick;value_HighCentre;value_BoxLeft;value_OutSwinger;value_IntentionalAssist;value_GoalShotGameClock;value_LowCentre;value_BoxRight;value_GoalShotTimestamp;value_BigChance;value_FollowsADribble;value_LowRight;value_Blocked;value_BoxCentre;value_DefBlock;value_Straight;value_YellowCard;value_TacticalFoul;value_SetPiece;value_NotAssisted;value_HighRight;value_InSwinger;value_InjuredPlayerId;value_Injury;value_FirstTouch;value_NotPastGoalLine;value_Overrun;value_Minutes;value_FastBreak;value_EndType;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_FromCorner;value_PlayersCaughtOffside;value_Indirect;value_2NdAssist;value_2NdRelatedEventId;value_2NdAssisted;value_Feet;value_Sliding;value_High;value_RecklessOffence;value_BlockedCross;value_Collected;value_Stooping;value_Diving;value_FantasyAssistedBy;value_FantasyAssistType;value_FantasyAssistId;value_FantasyAssistTeam;value_CloseLeft;value_PenaltyTakerId;value_Penalty;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_Missed;value_ThroughBall;value_OverArm;value_BoxDeepLeft;value_Shove/Push;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2718495579;1;34;16;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-09-08T18:25:00.475Z;2024-09-08T19:02:57Z;[{'id': 5201073941, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5201073933, 'qualifierId': 59, 'value': '31, 24, 20, 23, 39, 44, 7, 48, 25, 35, 27, 41, 60, 64, 56, 71, 51, 86, 97, 68'}, {'id': 5201114961, 'qualifierId': 197, 'value': '18742'}, {'id': 5201073931, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5201073929, 'qualifierId': 30, 'value': 'aiifscgp07zvj7thb3p3huelm, 52rcg38mijjjusfwqxa2l7hex, dkgv1asv2glgvoddpvxe56t5g, 66bdf9l614g2dx43x8003m162, exk9svcdgcbn05ms00fhorvv8, 3xd2kq7cxmvdbqsfzgi644c4q, 6hhsk7b3rv87zi2i3dpzna3th, 3ve0xap9f0gjsslhgjsmakx04, 4ywn289r9mrs444sgkgduyivo, ds4avrkvrp4jxq9lp02ssci22, 9ohy24mxhsqao5kymh0lbxxck, 7bxp7ho4cmsoviw19q4bxr02c, 9qhpi9y9iujvkbocafhgrj04q, 7nvpvg46tgsnyp31t3se72e0a, doqbp8fg8hke6hhifdr4jzklw, 35i699wz5v6nush729peu776c, 4npcsyrhri5kmeks8gfon146i, drt65b9m2f494wnoyep49bn1m, 7ofdnarha4k4b8nggld7gxnqi, f12wt1v2qf2siv8p6q6x2bxuc'}, {'id': 5201073935, 'qualifierId': 130, 'value': '4'}, {'id': 5201073939, 'qualifierId': 194, 'value': 'exk9svcdgcbn05ms00fhorvv8'}, {'id': 5201073937, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;f5akd2ro7u6o8xebmfwk2meqc;Team set up;;;18742,0;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;0;0;Orlando City B;0;;
2718496227;1;34;16;0;0;479lsfr4cwlzewpbuda3y2xv4;1;0,0;0,0;2024-09-08T18:29:55.927Z;2024-09-08T19:02:58Z;[{'id': 5201077449, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5201114977, 'qualifierId': 197, 'value': '16418'}, {'id': 5201077451, 'qualifierId': 194, 'value': 'i5wj5hcg2r9934e7gauxtgmi'}, {'id': 5201077447, 'qualifierId': 130, 'value': '8'}, {'id': 5201077453, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5201077443, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5201077445, 'qualifierId': 59, 'value': '99, 30, 20, 53, 54, 68, 23, 33, 27, 49, 34, 95, 29, 62, 64, 66, 61, 60, 65, 90'}, {'id': 5201077441, 'qualifierId': 30, 'value': '8h2vywep73yn25kus2nda8ga2, 6g7i7z6m8vts105dny1g6z3hm, bdgjmawy0anbgy1tz87ocvd9l, i5wj5hcg2r9934e7gauxtgmi, ex99a6zbacpkkhgvynu80qpzo, 4jkf81djj5h43v8rlnib1tizu, 7tpb4dk9meee0utyu4cosnxn8, 63fxqtvnryppqsyli70ey7omi, 2b8nmdlsqa9wxn8xlujvyaqga, p99ze5cksh5tv01knf5oj33e, abemsr9zh7bklu5jboks5ivpw, 25rizu4n91uyax4z6l5jv6dqs, 2wsgrwgiotfis2l96i0sxlvys, 595bi39ikp8s9sfw6q5981mvo, 4ulfw4ik3i6ks2t7utgek5l3o, brzi1qy5hkx7zhxhjykg8ox78, bvb7i5n0j5ltqkv991p40r8yc, bebv65gzex5nuihc5mutjrwus, 3g6rx9q2duzspubkzzm0852xg, 7r0zyjb523r5phis7b1boqfpw'}];;;;;f5akd2ro7u6o8xebmfwk2meqc;Team set up;;;16418,0;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;;;;;;;;;;0;0;0;Crown Legacy;0;;
2718503849;2;32;1;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-09-08T19:05:04.786Z;2024-09-08T19:05:07Z;[{'id': 5201118523, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;f5akd2ro7u6o8xebmfwk2meqc;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;0;0;Orlando City B;0;;
2718503841;2;32;1;0;0;479lsfr4cwlzewpbuda3y2xv4;1;0,0;0,0;2024-09-08T19:05:04.786Z;2024-09-08T19:05:04Z;[{'id': 5201118483, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;f5akd2ro7u6o8xebmfwk2meqc;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;;;;;;;;;;0;0;0;Crown Legacy;0;;
2718503863;3;1;1;0;0;479lsfr4cwlzewpbuda3y2xv4;1;50,1;49,7;2024-09-08T19:05:04.787Z;2024-09-08T19:05:08Z;[{'id': 5201118599, 'qualifierId': 279, 'value': 'S'}, {'id': 5201118597, 'qualifierId': 213, 'value': '3.13'}, {'id': 5201118593, 'qualifierId': 141, 'value': '50.1'}, {'id': 5201118595, 'qualifierId': 212, 'value': '18.2'}, {'id': 5201118591, 'qualifierId': 140, 'value': '32.8'}, {'id': 5201118589, 'qualifierId': 56, 'value': 'Back'}];i5wj5hcg2r9934e7gauxtgmi;I. Almaguer;;;f5akd2ro7u6o8xebmfwk2meqc;Pass;;;;;;;;;;;3,13;50,1;18,2;32,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;32,8;50,1;;;;;;;;0;0;0;Crown Legacy;0;MC;1,0
2718503877;4;1;1;0;3;479lsfr4cwlzewpbuda3y2xv4;1;32,8;50,1;2024-09-08T19:05:08.470Z;2024-09-08T19:05:13Z;[{'id': 5201118683, 'qualifierId': 1}, {'id': 5201118673, 'qualifierId': 56, 'value': 'Right'}, {'id': 5201118671, 'qualifierId': 157}, {'id': 5201118681, 'qualifierId': 213, 'value': '5.68'}, {'id': 5201118675, 'qualifierId': 140, 'value': '70.6'}, {'id': 5201118679, 'qualifierId': 212, 'value': '48.0'}, {'id': 5201118677, 'qualifierId': 141, 'value': '10.3'}];4jkf81djj5h43v8rlnib1tizu;T. Williams;;;f5akd2ro7u6o8xebmfwk2meqc;Pass;;;;;;;;;;;5,68;10,3;48,0;70,6;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;70,6;10,3;;;;;;;;0;0;3;Crown Legacy;3;DC;1,0
2718503879;5;44;1;0;7;479lsfr4cwlzewpbuda3y2xv4;1;75,3;14,7;2024-09-08T19:05:12.265Z;2024-09-08T21:10:35Z;[{'id': 5201118687, 'qualifierId': 56, 'value': 'Right'}, {'id': 5201118703, 'qualifierId': 233, 'value': '3'}, {'id': 5201118689, 'qualifierId': 286}];6g7i7z6m8vts105dny1g6z3hm;A. Freeman;;;f5akd2ro7u6o8xebmfwk2meqc;Aerial;;;;;;;;;;;;;;;;;;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;;;;;;;;;;0;0;7;Crown Legacy;7;DR;1,0
2718503873;3;44;1;0;7;6ubc4y1v6hr63mca7ica4hp90;0;24,7;85,3;2024-09-08T19:05:12.266Z;2024-09-08T21:10:35Z;[{'id': 5201118657, 'qualifierId': 285}, {'id': 5201118655, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201118719, 'qualifierId': 233, 'value': '5'}];dkgv1asv2glgvoddpvxe56t5g;João Pedro;;;f5akd2ro7u6o8xebmfwk2meqc;Aerial;;;;;;;;;;;;;;;;;;5,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;0;7;Orlando City B;7;DC;1,0
2718503885;6;1;1;0;8;479lsfr4cwlzewpbuda3y2xv4;0;70,6;10,3;2024-09-08T19:05:13.430Z;2024-09-08T20:03:45Z;[{'id': 5201118725, 'qualifierId': 56, 'value': 'Center'}, {'id': 5201118727, 'qualifierId': 140, 'value': '86.0'}, {'id': 5201118733, 'qualifierId': 213, 'value': '0.58'}, {'id': 5201118729, 'qualifierId': 141, 'value': '25.9'}, {'id': 5201118731, 'qualifierId': 212, 'value': '19.3'}, {'id': 5201118723, 'qualifierId': 3}];6g7i7z6m8vts105dny1g6z3hm;A. Freeman;;;f5akd2ro7u6o8xebmfwk2meqc;Pass;;;;;;;;;;;0,58;25,9;19,3;86,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;86,0;25,9;;;;;;;;0;0;8;Crown Legacy;8;DR;1,0
2718503893;4;1;1;0;10;6ubc4y1v6hr63mca7ica4hp90;1;11,0;77,5;2024-09-08T19:05:15.313Z;2024-09-08T19:05:16Z;[{'id': 5201118771, 'qualifierId': 213, 'value': '0.88'}, {'id': 5201118767, 'qualifierId': 141, 'value': '92.9'}, {'id': 5201118765, 'qualifierId': 140, 'value': '19.2'}, {'id': 5201118769, 'qualifierId': 212, 'value': '13.6'}, {'id': 5201118763, 'qualifierId': 56, 'value': 'Back'}];3xd2kq7cxmvdbqsfzgi644c4q;J. Bravo;;;f5akd2ro7u6o8xebmfwk2meqc;Pass;;;;;;;;;;;0,88;92,9;13,6;19,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;19,2;92,9;;;;;;;;0;0;10;Orlando City B;10;DC;1,0
