id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_JerseyNumber;value_Involved;value_PlayerPosition;value_Resume;value_TeamFormation;value_TeamPlayerFormation;value_TeamKit;value_DirectionOfPlay;value_PassEndY;value_Zone;value_Length;value_Angle;value_PassEndX;value_KickOff;value_LongBall;value_Chipped;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_HeadPass;value_NextEventGoalKick;value_GoalKick;value_Low;value_NextEventThrowIn;value_ThrowIn;value_BlockedPass;value_DeletedEventType;value_OutOfPlay;value_LayOff;value_KeeperThrow;value_IntendedTackleTarget;value_Cross;value_Left;value_CornerTaken;value_Head;value_Direct;value_Foul;value_AttemptedTackle;value_FreeKickTaken;value_Overrun;value_Shove/Push;value_Launch;value_SwitchOfPlay;value_Right;value_BlockedCross;value_OutSwinger;value_BlockedX;value_GkY;value_LowLeft;value_GoalmouthZ;value_IndividualPlay;value_RightFooted;value_GoalmouthY;value_RegularPlay;value_GkX;value_NotAssisted;value_OutOfBoxCentre;value_BlockedY;value_FirstTouch;value_Blocked;value_DefBlock;value_IntentionalAssist;value_Assist;value_InSwinger;value_CloseHigh;value_BoxCentre;value_RelatedEventId;value_Assisted;value_FromCorner;value_RecklessOffence;value_YellowCard;value_BoxLeft;value_LowCentre;value_Weak;value_PlayersCaughtOffside;value_Handball;value_LeftFooted;value_CloseRightAndHigh;value_Hands;value_Diving;value_ParriedSafe;value_ShirtPull/Holding;value_TacticalFoul;value_SetPiece;value_Volley;value_Collected;value_DrinksBreak;value_RefereeDelay;value_LowRight;value_ParriedDanger;value_Indirect;value_NotVisible;value_OverhitCross;value_High;value_Minutes;value_CloseLeftAndHigh;value_FlickOn;value_EndType;value_GoalShotGameClock;value_FollowsADribble;value_SmallBoxRight;value_GoalShotTimestamp;value_HighCentre;value_Standing;value_ThroughBall;value_Stooping;value_BigChance;value_FastBreak;value_InjuredPlayerId;value_Injury;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_TempShotOn;value_1On1;value_HighLeft;value_PullBack;value_Sliding;value_GkKickFromHands;value_OverArm;value_HighClaim;value_OtherBodyPart;value_AerialFoul;value_NotRetreating;value_BlockedClearance;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2721238689;7;5;1;0;8;479lsfr4cwlzewpbuda3y2xv4;0;101,0;21,6;2024-09-15T21:03:47.200Z;2024-09-15T22:27:29Z;[{'id': 5215992505, 'qualifierId': 56, 'value': 'Center'}, {'id': 5215993361, 'qualifierId': 233, 'value': '4'}, {'id': 5215992507, 'qualifierId': 346}];6g7i7z6m8vts105dny1g6z3hm;A. Freeman;;;65leoog76wm7q0pq2mg0osgk;Out;;;;;;;;;;;;;;;;;;;4,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;0;0;0;8;New England II;8;DR;1,0
2721238853;5;1;1;0;23;csntc7hucmo21gknxc5y0kc4q;1;5,0;63,0;2024-09-15T21:04:02.133Z;2024-09-15T21:04:04Z;[{'id': 5215993401, 'qualifierId': 140, 'value': '3.6'}, {'id': 5215993399, 'qualifierId': 56, 'value': 'Back'}, {'id': 5215993403, 'qualifierId': 141, 'value': '50.7'}, {'id': 5215993397, 'qualifierId': 124}, {'id': 5215993405, 'qualifierId': 212, 'value': '8.5'}, {'id': 5215993407, 'qualifierId': 213, 'value': '4.54'}, {'id': 5215993411, 'qualifierId': 237}];357vd87hv0jvljqtt2qf4vmz8;S. Suárez;;;65leoog76wm7q0pq2mg0osgk;Pass;;;;;;;;;;50,7;;8,5;4,54;3,6;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;3,6;50,7;;;;;;;0;0;0;23;Orlando City B;23;DC;1,0
2721238879;6;1;1;0;26;csntc7hucmo21gknxc5y0kc4q;0;3,7;50,7;2024-09-15T21:04:04.533Z;2024-09-15T21:04:09Z;[{'id': 5215993555, 'qualifierId': 212, 'value': '34.5'}, {'id': 5215993549, 'qualifierId': 56, 'value': 'Back'}, {'id': 5215993557, 'qualifierId': 213, 'value': '1.00'}, {'id': 5215993551, 'qualifierId': 140, 'value': '21.4'}, {'id': 5215993547, 'qualifierId': 155}, {'id': 5215993559, 'qualifierId': 1}, {'id': 5215993553, 'qualifierId': 141, 'value': '93.5'}];6j4ibkpbos6w5ikle58u2vo;M. Weinstein;;;65leoog76wm7q0pq2mg0osgk;Pass;;;;;;;;;;93,5;;34,5;1,0;21,4;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;21,4;93,5;;;;;;;0;0;0;26;Orlando City B;26;GK;1,0
2721238897;7;5;1;0;28;csntc7hucmo21gknxc5y0kc4q;0;29,2;102,0;2024-09-15T21:04:06.949Z;2024-09-15T21:04:14Z;[{'id': 5215993661, 'qualifierId': 56, 'value': 'Back'}, {'id': 5215993663, 'qualifierId': 347}, {'id': 5215993775, 'qualifierId': 233, 'value': '8'}];6j4ibkpbos6w5ikle58u2vo;M. Weinstein;;;65leoog76wm7q0pq2mg0osgk;Out;;;;;;;;;;;;;;;;;;;8,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;;;;;;;0;0;0;28;Orlando City B;28;GK;1,0
2721238913;8;5;1;0;28;479lsfr4cwlzewpbuda3y2xv4;1;70,8;-2,0;2024-09-15T21:04:06.949Z;2024-09-15T22:27:29Z;[{'id': 5215993735, 'qualifierId': 56, 'value': 'Right'}, {'id': 5215993737, 'qualifierId': 347}, {'id': 5215993749, 'qualifierId': 233, 'value': '7'}];6g7i7z6m8vts105dny1g6z3hm;A. Freeman;;;65leoog76wm7q0pq2mg0osgk;Out;;;;;;;;;;;;;;;;;;;7,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;0;0;0;28;New England II;28;DR;1,0
2721238961;9;1;1;0;32;479lsfr4cwlzewpbuda3y2xv4;1;62,8;0,0;2024-09-15T21:04:10.326Z;2024-09-15T21:04:14Z;[{'id': 5215993935, 'qualifierId': 212, 'value': '8.4'}, {'id': 5215993925, 'qualifierId': 107}, {'id': 5215993927, 'qualifierId': 56, 'value': 'Right'}, {'id': 5215993931, 'qualifierId': 141, 'value': '9.0'}, {'id': 5215993939, 'qualifierId': 213, 'value': '2.07'}, {'id': 5215993929, 'qualifierId': 140, 'value': '59.0'}];7tpb4dk9meee0utyu4cosnxn8;S. Mohammed;;;65leoog76wm7q0pq2mg0osgk;Pass;;;;;;;;;;9,0;;8,4;2,07;59,0;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;59,0;9,0;;;;;;;0;0;0;32;New England II;32;AMR;1,0
2721238967;10;1;1;0;33;479lsfr4cwlzewpbuda3y2xv4;1;59,0;9,0;2024-09-15T21:04:11.671Z;2024-09-15T21:04:14Z;[{'id': 5215993967, 'qualifierId': 56, 'value': 'Right'}, {'id': 5215993977, 'qualifierId': 212, 'value': '6.0'}, {'id': 5215993973, 'qualifierId': 141, 'value': '2.8'}, {'id': 5215993969, 'qualifierId': 140, 'value': '63.1'}, {'id': 5215993981, 'qualifierId': 213, 'value': '5.51'}];63fxqtvnryppqsyli70ey7omi;J. Kocevski;;;65leoog76wm7q0pq2mg0osgk;Pass;;;;;;;;;;2,8;;6,0;5,51;63,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;63,1;2,8;;;;;;;0;0;0;33;New England II;33;MC;1,0
2721238981;11;1;1;0;34;479lsfr4cwlzewpbuda3y2xv4;1;63,1;2,8;2024-09-15T21:04:12.967Z;2024-09-15T21:04:14Z;[{'id': 5215994057, 'qualifierId': 213, 'value': '2.92'}, {'id': 5215994049, 'qualifierId': 56, 'value': 'Right'}, {'id': 5215994055, 'qualifierId': 212, 'value': '10.0'}, {'id': 5215994053, 'qualifierId': 141, 'value': '6.0'}, {'id': 5215994051, 'qualifierId': 140, 'value': '53.8'}];7tpb4dk9meee0utyu4cosnxn8;S. Mohammed;;;65leoog76wm7q0pq2mg0osgk;Pass;;;;;;;;;;6,0;;10,0;2,92;53,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;53,8;6,0;;;;;;;0;0;0;34;New England II;34;AMR;1,0
2721239013;12;1;1;0;36;479lsfr4cwlzewpbuda3y2xv4;1;53,2;8,3;2024-09-15T21:04:14.791Z;2024-09-15T21:04:19Z;[{'id': 5215994203, 'qualifierId': 212, 'value': '35.6'}, {'id': 5215994201, 'qualifierId': 141, 'value': '54.4'}, {'id': 5215994197, 'qualifierId': 56, 'value': 'Back'}, {'id': 5215994207, 'qualifierId': 1}, {'id': 5215994205, 'qualifierId': 213, 'value': '2.07'}, {'id': 5215994199, 'qualifierId': 140, 'value': '37.1'}];6g7i7z6m8vts105dny1g6z3hm;A. Freeman;;;65leoog76wm7q0pq2mg0osgk;Pass;;;;;;;;;;54,4;;35,6;2,07;37,1;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;37,1;54,4;;;;;;;0;0;0;36;New England II;36;DR;1,0
2721239029;13;1;1;0;40;479lsfr4cwlzewpbuda3y2xv4;1;34,5;61,2;2024-09-15T21:04:19.030Z;2024-09-15T21:04:20Z;[{'id': 5215994309, 'qualifierId': 212, 'value': '10.5'}, {'id': 5215994303, 'qualifierId': 56, 'value': 'Back'}, {'id': 5215994307, 'qualifierId': 141, 'value': '75.4'}, {'id': 5215994311, 'qualifierId': 213, 'value': '1.17'}, {'id': 5215994305, 'qualifierId': 140, 'value': '38.4'}];4jkf81djj5h43v8rlnib1tizu;T. Williams;;;65leoog76wm7q0pq2mg0osgk;Pass;;;;;;;;;;75,4;;10,5;1,17;38,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;38,4;75,4;;;;;;;0;0;0;40;New England II;40;DC;1,0
