id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_JerseyNumber;value_TeamKit;value_PlayerPosition;value_Involved;value_TeamPlayerFormation;value_Resume;value_TeamFormation;value_DirectionOfPlay;value_Length;value_KickOff;value_Angle;value_Zone;value_PassEndY;value_PassEndX;value_Launch;value_LongBall;value_NextEventGoalKick;value_OppositeRelatedEventId;value_Low;value_GoalKick;value_Chipped;value_LayOff;value_Offensive;value_OutOfPlay;value_Defensive;value_TouchTypeClearance;value_NextEventThrowIn;value_ThrowIn;value_Direct;value_Foul;value_ShirtPull/Holding;value_FreeKickTaken;value_TakeOnSpace;value_AttemptedTackle;value_SwitchOfPlay;value_BlockedPass;value_TouchTypeControl;value_Cross;value_LeftFooted;value_OutSwinger;value_IntendedTackleTarget;value_PlayersCaughtOffside;value_NotVisible;value_Indirect;value_Assist;value_GoalmouthY;value_IndividualPlay;value_GoalmouthZ;value_Assisted;value_RightFooted;value_HighRight;value_OutOfBoxCentre;value_RegularPlay;value_SwerveLeft;value_RelatedEventId;value_GkX;value_GkY;value_TouchTypePass;value_DeletedEventType;value_HeadPass;value_TakeOnOvertake;value_IntentionalAssist;value_BlockedX;value_LowLeft;value_Blocked;value_BoxCentre;value_BlockedY;value_FirstTouch;value_DefBlock;value_LowCentre;value_BigChance;value_GkYTimeOfGoal;value_SmallBoxCentre;value_GoalShotTimestamp;value_GoalShotGameClock;value_GkXTimeOfGoal;value_Head;value_InjuredPlayerId;value_Injury;value_Left;value_Right;value_InSwinger;value_CornerTaken;value_FromCorner;value_Straight;value_DrivenCross;value_Handball;value_ThroughBall;value_LastLine;value_BlockedCross;value_High;value_LowGkIntervention;value_KeeperThrow;value_OverArm;value_RecklessOffence;value_YellowCard;value_Overrun;value_Standing;value_Hands;value_Collected;value_35Centre;value_NotAssisted;value_SwerveRight;value_1On1;value_Sliding;value_Feet;value_ParriedDanger;value_SixYardBlocked;value_SavedOffLine;value_HighLeft;value_Defensive1V1;value_Penalty;value_PenaltyTakerId;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_Diving;value_HitWoodwork;value_Shove/Push;value_PullBack;value_OtherBodyPart;value_GkHoof;value_Minutes;value_EndType;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_CloseLeft;value_FlickOn;value_TacticalFoul;value_OverhitCross;value_SetPiece;value_LowRight;value_TimeWasting;value_BoxRight;value_BoxLeft;value_HighGkIntervention;value_CloseRightAndHigh;value_Dissent;value_SmallBoxLeft;value_LeadingToAttempt;value_RelatedError1Id;value_Stooping;value_Weak;value_MediumGkIntervention;value_FloatedCross;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;value_OtherReason;value_OfficiallyAnnounced;value_NewStartTime;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2689226701;1;34;16;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-05-18T23:44:50.491Z;2024-05-19T02:54:30Z;[{'id': 5040414103, 'qualifierId': 194, 'value': '6agfr3usj1pblrbq2i9mdpmcq'}, {'id': 5039853999, 'qualifierId': 59, 'value': '30, 2, 15, 8, 5, 4, 50, 35, 41, 10, 99, 6, 7, 9, 14, 16, 22, 34, 51, 79'}, {'id': 5040079963, 'qualifierId': 197, 'value': '23486'}, {'id': 5039853997, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5039853995, 'qualifierId': 30, 'value': '6agfr3usj1pblrbq2i9mdpmcq, auomns9j08ffqknhs9007ju38, 939wjlo1zcnhfu6jy2px0zmui, f3bqitwkt3mitemcjd61hi044, 1j010cibh247p8kjchww6ny3u, e7vsajjh4e7t51ciycjg0skd0, 32c9e26wcnr5kmab8ep4zph5g, akgtib8zyv5lrvh9mxunj2rdg, 19ckwd2oz9uyfjznuq2c41btg, 6ggqe5gi2w2jjclmbjev6dd78, 3h8rx5wumr7hktll4hnvx7or8, 7al9w77ailhli8g487tkl32tw, 3risld5mac5ns2rrv6namc2l0, b84ll9fqlnmone6cub8hfcx78, 741wavjzdmc04j4i8a3chq9zo, 1iedtrzbcgj817i0ccin8dvro, da3mzb093sxf8i2xznedau8t0, 6girdg17h5o2qr8stoywy3vv8, 8vnnownnzz2ksuuitbw3ax5yi, 8oa72acrno9ybfo1hdof5efbo'}, {'id': 5039854003, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5039854005, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5039854001, 'qualifierId': 130, 'value': '4'}];;;;;cvp2xa681aoyco6topuhzxct0;Team set up;;;23486,0;;;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;;0;0;0;Portland Timbers II;0;;
2689227881;1;34;16;0;0;5ou8b446l1sl8frblkz3xi17g;1;0,0;0,0;2024-05-18T23:46:51.753Z;2024-05-19T02:25:35Z;[{'id': 5040364733, 'qualifierId': 194, 'value': 'dv0qqd4mx117y4al165nsdic4'}, {'id': 5039860503, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5039860511, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5039860507, 'qualifierId': 130, 'value': '2'}, {'id': 5039860509, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5039860505, 'qualifierId': 59, 'value': '25, 68, 51, 46, 48, 39, 45, 42, 70, 37, 77, 35, 36, 38, 40, 47, 55, 80, 84, 87'}, {'id': 5040079205, 'qualifierId': 197, 'value': '23617'}, {'id': 5039860501, 'qualifierId': 30, 'value': 'aja8uwk6vyjzzd5nvkh7pbtux, e076q290ab1o6qz9vthl2c0a2, a5tjyddv4t8eg9wcum3o15qfo, druwx3n136woly4objqgk7tp0, d1xlw5bza316m39f9n82hir1m, dv0qqd4mx117y4al165nsdic4, a89drfd4adts1cbtqa77l1boq, 3f5g2kijev81v9nzwsyxwiiju, 7t8o8pe93me2pef74vw21nr6y, 5gvvjvj3aw75jrxcmajcx2b6c, 8p8xhni028mqjv6kz6fdz850q, annas28q0luj197ulmy0rwjkk, c2tmm1kt6qyna4650kfy4bpm2, 36nlk9spjf591wxuzvimi0eay, 33l8nq6xbj3pm1lkxo2qs5vfu, 5lwarg9t4o7hxcq5exe8gwydw, 1qfm9519iq3jailrtnk9c0nbo, 5nykil6w1bxfevpp2c5rr32fo, c88etxtac9g49m3usj08lm1hw, 6zolwstla33ppx84k1o2v8rv8'}];;;;;cvp2xa681aoyco6topuhzxct0;Team set up;;;23617,0;;;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;;0;0;0;North Texas;0;;
2689268145;2;32;1;0;0;5ou8b446l1sl8frblkz3xi17g;1;0,0;0,0;2024-05-19T00:48:19.355Z;2024-05-19T00:48:19Z;[{'id': 5040080567, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;cvp2xa681aoyco6topuhzxct0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;;0;0;0;North Texas;0;;
2689268171;3;32;1;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-05-19T00:48:19.355Z;2024-05-24T14:53:57Z;[{'id': 5040080685, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;cvp2xa681aoyco6topuhzxct0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;;0;0;0;Portland Timbers II;0;;
2689268251;3;1;1;0;0;5ou8b446l1sl8frblkz3xi17g;1;49,4;50,0;2024-05-19T00:48:19.356Z;2024-05-19T01:44:31Z;[{'id': 5040081157, 'qualifierId': 212, 'value': '27.6'}, {'id': 5040081161, 'qualifierId': 279, 'value': 'S'}, {'id': 5040081159, 'qualifierId': 213, 'value': '2.72'}, {'id': 5040081149, 'qualifierId': 56, 'value': 'Back'}, {'id': 5040081155, 'qualifierId': 141, 'value': '66.6'}, {'id': 5040081153, 'qualifierId': 140, 'value': '25.4'}];7t8o8pe93me2pef74vw21nr6y;J. Penn;;;cvp2xa681aoyco6topuhzxct0;Pass;;;;;;;;;;27,6;;2,72;;66,6;25,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;25,4;66,6;;;;;;;;0;0;0;North Texas;0;FW;1,0
2689268335;4;1;1;0;6;5ou8b446l1sl8frblkz3xi17g;0;28,8;64,8;2024-05-19T00:48:25.657Z;2024-05-24T15:34:40Z;[{'id': 5040081645, 'qualifierId': 140, 'value': '100.0'}, {'id': 5050995123, 'qualifierId': 157}, {'id': 5040081647, 'qualifierId': 141, 'value': '12.3'}, {'id': 5040081649, 'qualifierId': 212, 'value': '84.0'}, {'id': 5040081651, 'qualifierId': 213, 'value': '5.84'}, {'id': 5040081643, 'qualifierId': 56, 'value': 'Right'}, {'id': 5040081653, 'qualifierId': 1}];dv0qqd4mx117y4al165nsdic4;T. Clegg;;;cvp2xa681aoyco6topuhzxct0;Pass;;;;;;;;;;84,0;;5,84;;12,3;100,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;100,0;12,3;;;;;;;;0;0;6;North Texas;6;DC;1,0
2689268341;4;5;1;0;10;99l7fsj6ykgbyqcb9zqqu9dgq;1;-1,1;86,8;2024-05-19T00:48:30.353Z;2024-05-19T00:55:10Z;[{'id': 5040081669, 'qualifierId': 346}, {'id': 5040081763, 'qualifierId': 233, 'value': '5'}, {'id': 5040081667, 'qualifierId': 56, 'value': 'Back'}];939wjlo1zcnhfu6jy2px0zmui;I. Parker;;;cvp2xa681aoyco6topuhzxct0;Out;;;;;;;;;;;;;;;;;;1,0;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;;0;0;10;Portland Timbers II;10;DC;1,0
2689268345;5;5;1;0;10;5ou8b446l1sl8frblkz3xi17g;0;101,1;13,2;2024-05-19T00:48:30.353Z;2024-05-19T00:48:31Z;[{'id': 5040081685, 'qualifierId': 346}, {'id': 5040081769, 'qualifierId': 233, 'value': '4'}, {'id': 5040081683, 'qualifierId': 56, 'value': 'Right'}];dv0qqd4mx117y4al165nsdic4;T. Clegg;;;cvp2xa681aoyco6topuhzxct0;Out;;;;;;;;;;;;;;;;;;1,0;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;;0;0;10;North Texas;10;DC;1,0
2689268623;5;1;1;0;23;99l7fsj6ykgbyqcb9zqqu9dgq;1;4,6;59,2;2024-05-19T00:48:43.257Z;2024-05-19T01:48:02Z;[{'id': 5040083141, 'qualifierId': 56, 'value': 'Back'}, {'id': 5040083151, 'qualifierId': 213, 'value': '1.15'}, {'id': 5040083147, 'qualifierId': 141, 'value': '92.1'}, {'id': 5040083149, 'qualifierId': 212, 'value': '24.5'}, {'id': 5040083155, 'qualifierId': 237}, {'id': 5040083145, 'qualifierId': 140, 'value': '14.1'}, {'id': 5040083137, 'qualifierId': 124}];e7vsajjh4e7t51ciycjg0skd0;T. Humphrey;;;cvp2xa681aoyco6topuhzxct0;Pass;;;;;;;;;;24,5;;1,15;;92,1;14,1;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;14,1;92,1;;;;;;;;0;0;23;Portland Timbers II;23;DC;1,0
2689268677;6;1;1;0;27;99l7fsj6ykgbyqcb9zqqu9dgq;1;16,5;91,8;2024-05-19T00:48:46.410Z;2024-05-19T00:48:49Z;[{'id': 5040083493, 'qualifierId': 213, 'value': '4.15'}, {'id': 5040083491, 'qualifierId': 212, 'value': '16.6'}, {'id': 5040083481, 'qualifierId': 56, 'value': 'Back'}, {'id': 5040083489, 'qualifierId': 141, 'value': '71.2'}, {'id': 5040083485, 'qualifierId': 140, 'value': '8.1'}];939wjlo1zcnhfu6jy2px0zmui;I. Parker;;;cvp2xa681aoyco6topuhzxct0;Pass;;;;;;;;;;16,6;;4,15;;71,2;8,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;8,1;71,2;;;;;;;;0;0;27;Portland Timbers II;27;DC;1,0
