id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_TeamPlayerFormation;value_Captain;value_TeamFormation;value_Involved;value_JerseyNumber;value_Resume;value_TeamKit;value_DirectionOfPlay;value_KickOff;value_PassEndX;value_Angle;value_PassEndY;value_Length;value_Zone;value_Chipped;value_LongBall;value_Launch;value_BlockedPass;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_NextEventThrowIn;value_ThrowIn;value_FlickOn;value_HeadPass;value_DeletedEventType;value_IntendedTackleTarget;value_SwitchOfPlay;value_TouchTypePass;value_LayOff;value_TakeOnOvertake;value_TouchTypeControl;value_OutOfPlay;value_Left;value_Right;value_OutSwinger;value_RightFooted;value_Cross;value_CornerTaken;value_Head;value_LeftFooted;value_PullBack;value_IntentionalAssist;value_Assist;value_FirstTouch;value_GoalmouthY;value_BoxCentre;value_LowLeft;value_BlockedY;value_Assisted;value_BlockedX;value_RegularPlay;value_RelatedEventId;value_Weak;value_GoalmouthZ;value_Hands;value_Collected;value_LowGkIntervention;value_Stooping;value_KeeperThrow;value_OverArm;value_MediumGkIntervention;value_Direct;value_Foul;value_AttemptedTackle;value_FreeKickTaken;value_TouchTypeClearance;value_Blocked;value_GkX;value_LowCentre;value_GkY;value_NotAssisted;value_BoxRight;value_DefBlock;value_InSwinger;value_FromCorner;value_IndividualPlay;value_OutOfBoxCentre;value_Volley;value_NextEventGoalKick;value_GoalKick;value_High;value_ShirtPull/Holding;value_SetPiece;value_LowRight;value_ParriedSafe;value_Diving;value_Straight;value_DrivenCross;value_Overrun;value_BoxDeepLeft;value_SixYardBlocked;value_Low;value_HighGkIntervention;value_HighClaim;value_TakeOnSpace;value_OtherObstacle;value_SwerveLeft;value_GkXTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_HighLeft;value_DrinksBreak;value_RefereeDelay;value_GkKickFromHands;value_BlockedClearance;value_PlayersCaughtOffside;value_Indirect;value_GkHoof;value_BlockedCross;value_Minutes;value_ParriedDanger;value_NotVisible;value_EndType;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_GkStart;value_FreeKick;value_ByWall;value_TacticalFoul;value_YellowCard;value_FastBreak;value_SmallBoxCentre;value_BigChance;value_BoxLeft;value_CaptainChange;value_Shove/Push;value_GoesToPenalties;value_Penalty;value_Scored;value_Second(2Nd)OppositeRelatedEventId;value_Standing;value_HighRight;value_Saved;value_Missed;value_CloseHigh;value_Feet;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2714067921;1;34;16;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-08-26T21:14:35.420Z;2024-08-26T22:38:17Z;[{'id': 5176675517, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5176675525, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5176683099, 'qualifierId': 194, 'value': '2qz3ojbfedl8psp1tvq0183ro'}, {'id': 5176675523, 'qualifierId': 130, 'value': '21'}, {'id': 5176675513, 'qualifierId': 30, 'value': '2y9o7d8tm1f8fnp6jewxzifis, 15v2azulwhof0p216i7bjp250, 2qz3ojbfedl8psp1tvq0183ro, 993vihjmsn70q9w237fatzgbu, 3h4x6eh6zkcaww4g6rhkwpbf8, a3qa9kw3vbh8nu5mgns92czro, d4spt2529fmys8d26x61lk36c, 20wmdzih6b1t0ekt1v2qd4b2s, 434xf7moiduhzy9ivp7jxr10, 9j3va21w5i9ypf8qmt4g1vggk, 7bodno8j3qjiqp9wy8kobwmqc, 5aszabja459117mqykvfpajh0, cbpm8k301adrmft5fd0kaeiuh, 872ifpo3qufi9vv9vy7ty6uj8, 1ceqwz4ozqi6ft5l4hf5a04r8, cjhjwaelyypl3ca9gpzu61vys, dvems493n5l4twsq6cq2fg26s, sqm6jwnogmzp7u7rsv3rtel0, c390qr85frsvwv3o1ybehjk7o, de6bz3uyz5ta17f0jnnfhzims'}, {'id': 5176675521, 'qualifierId': 59, 'value': '76, 30, 39, 24, 44, 29, 47, 6, 55, 77, 56, 42, 88, 58, 57, 38, 36, 62, 66, 45'}, {'id': 5176675527, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5176740817, 'qualifierId': 197, 'value': '23610'}];;;;;ey339zb7cuhgxb76099n0ikus;Team set up;;;;21,0;;;;23610,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;;0;0;0;Columbus Crew II;0;;
2714069233;1;34;16;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-08-26T21:19:14.293Z;2024-08-26T22:03:32Z;[{'id': 5176682495, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5'}, {'id': 5176682751, 'qualifierId': 194, 'value': 'bezle40rjwnkdskjbf9yg4sq2'}, {'id': 5176682499, 'qualifierId': 130, 'value': '13'}, {'id': 5176682503, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'id': 5176682493, 'qualifierId': 30, 'value': '9bn2zid7u305xii6alm8a58us, 58w3qcq1xrkpq5f9miuxp4ys4, 4nvz6yrxluelbpsjavcjtgnx0, ba9m1xd2b3b2zvuuogn4uxkwk, bezle40rjwnkdskjbf9yg4sq2, cc7auv8d89ohifqg7qwz62mwa, 8warl67c0id3dorr48mn7h82c, 37zynr7fwzqg4c9w5ydefywyy, xxu2xv2n6f5d51ksa8z4rv2s, e0pkyzm6eqzlrxme33k7dwgt0, 290iohuheoqdrdocbg25ipgk4, dgosg1mymhuajg0rz2ts6alpm, 79606fy6lyfs1h12645q4shzo, a12t1zv0y8gzzf6p3jrotkoic, 9jy9vyn7y1bomsbjhjujynb4k, 3me8mlpj9tgn82v2mwyibpkb8, 3gtqm8npkg5prbfnvqxq92dm2'}, {'id': 5176682497, 'qualifierId': 59, 'value': '13, 17, 49, 5, 12, 2, 8, 10, 9, 52, 43, 18, 11, 45, 20, 22, 7'}, {'id': 5176740713, 'qualifierId': 197, 'value': '14907'}, {'id': 5176682507, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;ey339zb7cuhgxb76099n0ikus;Team set up;;;;13,0;;;;14907,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;;0;0;0;Philadelphia Union II;0;;
2714079251;2;32;1;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-08-26T22:03:55.149Z;2024-09-02T06:18:16Z;[{'id': 5176741125, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;ey339zb7cuhgxb76099n0ikus;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;;0;0;0;Columbus Crew II;0;;
2714079249;2;32;1;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-08-26T22:03:55.149Z;2024-08-26T22:03:55Z;[{'id': 5176741123, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;ey339zb7cuhgxb76099n0ikus;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;;0;0;0;Philadelphia Union II;0;;
2714079261;3;1;1;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;49,9;50,0;2024-08-26T22:03:55.150Z;2024-08-26T22:03:57Z;[{'id': 5176741181, 'qualifierId': 279, 'value': 'S'}, {'id': 5176741173, 'qualifierId': 140, 'value': '39.3'}, {'id': 5176741179, 'qualifierId': 213, 'value': '3.09'}, {'id': 5176741175, 'qualifierId': 141, 'value': '50.9'}, {'id': 5176741177, 'qualifierId': 212, 'value': '11.1'}, {'id': 5176741171, 'qualifierId': 56, 'value': 'Back'}];xxu2xv2n6f5d51ksa8z4rv2s;J. Da;;;ey339zb7cuhgxb76099n0ikus;Pass;;;;;;;;;;;39,3;3,09;50,9;11,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;39,3;50,9;;;;;;;;0;0;0;Philadelphia Union II;0;FW;1,0
2714079277;4;1;1;0;2;5b4ccd62yeeqdl2qk6jzsmjv8;1;42,6;51,9;2024-08-26T22:03:57.864Z;2024-08-26T22:53:47Z;[{'id': 5176741291, 'qualifierId': 212, 'value': '34.1'}, {'id': 5176741283, 'qualifierId': 155}, {'id': 5176741289, 'qualifierId': 141, 'value': '87.2'}, {'id': 5176741285, 'qualifierId': 56, 'value': 'Left'}, {'id': 5176741295, 'qualifierId': 1}, {'id': 5176741293, 'qualifierId': 213, 'value': '0.78'}, {'id': 5176741287, 'qualifierId': 140, 'value': '65.7'}];8warl67c0id3dorr48mn7h82c;G. De Libera;;;ey339zb7cuhgxb76099n0ikus;Pass;;;;;;;;;;;65,7;0,78;87,2;34,1;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;65,7;87,2;;;;;;;;0;0;2;Philadelphia Union II;2;MC;1,0
2714079279;5;61;1;0;6;5b4ccd62yeeqdl2qk6jzsmjv8;0;65,7;87,2;2024-08-26T22:04:01.480Z;2024-08-26T22:53:56Z;[{'id': 5176741299, 'qualifierId': 56, 'value': 'Left'}];4nvz6yrxluelbpsjavcjtgnx0;T. Brown;;;ey339zb7cuhgxb76099n0ikus;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;;0;0;6;Philadelphia Union II;6;DML;1,0
2714079283;3;1;1;0;6;1zgjjyruyufrkh4xjvryqsb1i;0;31,0;11,2;2024-08-26T22:04:01.564Z;2024-08-26T22:04:02Z;[{'id': 5176741311, 'qualifierId': 213, 'value': '0.62'}, {'id': 5176741313, 'qualifierId': 1}, {'id': 5176741307, 'qualifierId': 141, 'value': '19.4'}, {'id': 5176741309, 'qualifierId': 212, 'value': '9.6'}, {'id': 5176741301, 'qualifierId': 157}, {'id': 5176741305, 'qualifierId': 140, 'value': '38.5'}, {'id': 5176741303, 'qualifierId': 56, 'value': 'Back'}];15v2azulwhof0p216i7bjp250;J. Berdecio;;;ey339zb7cuhgxb76099n0ikus;Pass;;;;;;;;;;;38,5;0,62;19,4;9,6;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;38,5;19,4;;;;;;;;0;0;6;Columbus Crew II;6;;1,0
2714079293;6;1;1;0;10;5b4ccd62yeeqdl2qk6jzsmjv8;0;64,1;83,6;2024-08-26T22:04:05.416Z;2024-08-26T22:07:48Z;[{'id': 5176741343, 'qualifierId': 140, 'value': '64.1'}, {'id': 5176741355, 'qualifierId': 236}, {'id': 5176741349, 'qualifierId': 213, 'value': '1.57'}, {'id': 5176741345, 'qualifierId': 141, 'value': '84.7'}, {'id': 5176741361, 'qualifierId': 286}, {'id': 5176741357, 'qualifierId': 233, 'value': '4'}, {'id': 5176741341, 'qualifierId': 56, 'value': 'Left'}, {'id': 5176741347, 'qualifierId': 212, 'value': '0.7'}];290iohuheoqdrdocbg25ipgk4;A. Alaouieh;;;ey339zb7cuhgxb76099n0ikus;Pass;;;;;;;;;;;64,1;1,57;84,7;0,7;;;;;1,0;1,0;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;64,1;84,7;;;;;;;;0;0;10;Philadelphia Union II;10;FWL;1,0
2714079295;4;74;1;0;10;1zgjjyruyufrkh4xjvryqsb1i;1;32,3;11,4;2024-08-26T22:04:05.417Z;2024-08-26T22:55:11Z;[{'id': 5176741353, 'qualifierId': 285}, {'id': 5176741351, 'qualifierId': 56, 'value': 'Back'}, {'id': 5176741375, 'qualifierId': 233, 'value': '6'}];15v2azulwhof0p216i7bjp250;J. Berdecio;;;ey339zb7cuhgxb76099n0ikus;Blocked Pass;;;;;;;;;;;;;;;;;;;;;6,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;;0;0;10;Columbus Crew II;10;;1,0
