id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_TeamKit;value_Involved;value_PlayerPosition;value_Captain;value_Resume;value_JerseyNumber;value_TeamFormation;value_DirectionOfPlay;value_PassEndY;value_KickOff;value_Angle;value_PassEndX;value_Zone;value_Length;value_Chipped;value_LongBall;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_HeadPass;value_TouchTypePass;value_TakeOnOvertake;value_TouchTypeClearance;value_NextEventThrowIn;value_ThrowIn;value_DeletedEventType;value_Foul;value_Direct;value_ShirtPull/Holding;value_FreeKickTaken;value_Launch;value_Right;value_Left;value_CornerTaken;value_RightFooted;value_Cross;value_InSwinger;value_MediumGkIntervention;value_GkKickFromHands;value_Shove/Push;value_NotVisible;value_IntendedTackleTarget;value_AttemptedTackle;value_LeadingToAttempt;value_TouchTypeControl;value_GkY;value_OutOfBoxCentre;value_NotAssisted;value_GoalmouthY;value_RegularPlay;value_IndividualPlay;value_GkX;value_RelatedError1Id;value_CloseRight;value_BigChance;value_GoalmouthZ;value_SwerveLeft;value_NextEventGoalKick;value_GoalKick;value_Low;value_Head;value_TakeOnSpace;value_OutOfPlay;value_LayOff;value_IntentionalAssist;value_Assist;value_LowCentre;value_Assisted;value_FirstTouch;value_BlockedY;value_BlockedX;value_RelatedEventId;value_SetPiece;value_Blocked;value_DefBlock;value_LowGkIntervention;value_KeeperThrow;value_BlockedPass;value_OutSwinger;value_BlockedCross;value_FromCorner;value_BoxCentre;value_NotPastGoalLine;value_LeftFooted;value_HighLeft;value_Overrun;value_FlickOn;value_LowLeft;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_GoalShotGameClock;value_KeeperTouched;value_ThroughBall;value_SwitchOfPlay;value_PullBack;value_YellowCard;value_RecklessOffence;value_OverArm;value_AerialFoul;value_ProfessionalFoulLastMan;value_RedCard;value_HighClaim;value_HighGkIntervention;value_GkHoof;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_FreeKick;value_ByWall;value_LowRight;value_High;value_HighCentre;value_ParriedSafe;value_Reaching;value_Hands;value_MisHit;value_Minutes;value_EndType;value_Volley;value_Collected;value_Stooping;value_InjuredPlayerId;value_Injury;value_BlockedClearance;value_PlayersCaughtOffside;value_Indirect;value_CaptainChange;value_2NdAssist;value_2NdRelatedEventId;value_SmallBoxCentre;value_OtherBodyPart;value_2NdAssisted;value_TacticalFoul;value_Weak;value_CloseLeft;value_VideoCoverageLost;value_35Centre;value_GoesToPenalties;value_Second(2Nd)OppositeRelatedEventId;value_Penalty;value_Scored;value_Diving;value_Saved;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2689967677;8;44;1;0;15;2nnef9tr9g7m2s6n873qif95g;0;34,8;93,4;2024-05-19T23:18:37.034Z;2024-05-19T23:18:40Z;[{'id': 5043919083, 'qualifierId': 56, 'value': 'Back'}, {'id': 5043919173, 'qualifierId': 233, 'value': '3'}, {'id': 5043919087, 'qualifierId': 285}];1j1ybmazykfh5nqs7egkcdxck;D. Cuevas;;;cw2m60tca4b8gxp2sr2r0lwyc;Aerial;;;;;;;;;;;;;;;;;;;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;;0;0;15;Inter Miami II;15;DML;1,0
2689967687;4;1;1;0;16;c7c4wwva2u1vb3rr7rwava044;1;63,6;5,8;2024-05-19T23:18:37.992Z;2024-05-19T23:18:39Z;[{'id': 5043919141, 'qualifierId': 3}, {'id': 5043919151, 'qualifierId': 213, 'value': '0.20'}, {'id': 5043919147, 'qualifierId': 141, 'value': '10.3'}, {'id': 5043919145, 'qualifierId': 140, 'value': '78.2'}, {'id': 5043919149, 'qualifierId': 212, 'value': '15.6'}, {'id': 5043919143, 'qualifierId': 56, 'value': 'Right'}];4kng7wg83mastngy9hw7j6v6y;N. Sessock;;;cw2m60tca4b8gxp2sr2r0lwyc;Pass;;;;;;;;;;10,3;;0,2;78,2;;15,6;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;home;78,2;10,3;;;;;;;;0;0;16;Carolina Core;16;DR;1,0
2689967691;5;49;1;0;17;c7c4wwva2u1vb3rr7rwava044;1;78,2;10,3;2024-05-19T23:18:39.479Z;2024-05-19T23:18:39Z;[];55y26r9mz105vrqmnq739l62;D. Reyes;;;cw2m60tca4b8gxp2sr2r0lwyc;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;home;;;;;;;;;;0;0;17;Carolina Core;17;AMR;1,0
2689967703;6;1;1;0;18;c7c4wwva2u1vb3rr7rwava044;0;76,1;7,7;2024-05-19T23:18:40.296Z;2024-05-19T23:18:41Z;[{'id': 5043919223, 'qualifierId': 213, 'value': '2.51'}, {'id': 5043919215, 'qualifierId': 56, 'value': 'Right'}, {'id': 5043919221, 'qualifierId': 212, 'value': '8.4'}, {'id': 5043919217, 'qualifierId': 140, 'value': '69.6'}, {'id': 5043919219, 'qualifierId': 141, 'value': '15.0'}];55y26r9mz105vrqmnq739l62;D. Reyes;;;cw2m60tca4b8gxp2sr2r0lwyc;Pass;;;;;;;;;;15,0;;2,51;69,6;;8,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;home;69,6;15,0;;;;;;;;0;0;18;Carolina Core;18;AMR;1,0
2689967699;9;8;1;0;19;2nnef9tr9g7m2s6n873qif95g;1;34,9;90,8;2024-05-19T23:18:40.853Z;2024-05-24T22:10:03Z;[{'id': 5043919189, 'qualifierId': 56, 'value': 'Back'}, {'id': 5051826353, 'qualifierId': 384}];1nnd0b4qwlni7tqot2n2st4yy;O. Cisneros;;;cw2m60tca4b8gxp2sr2r0lwyc;Interception;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;;0;0;19;Inter Miami II;19;FWL;1,0
2689967717;10;49;1;0;20;2nnef9tr9g7m2s6n873qif95g;1;35,0;93,9;2024-05-19T23:18:42.533Z;2024-05-20T00:07:57Z;[];1j1ybmazykfh5nqs7egkcdxck;D. Cuevas;;;cw2m60tca4b8gxp2sr2r0lwyc;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;;0;0;20;Inter Miami II;20;DML;1,0
2689967727;11;3;1;0;21;2nnef9tr9g7m2s6n873qif95g;0;37,2;94,5;2024-05-19T23:18:43.733Z;2024-05-24T22:11:24Z;[{'id': 5043919571, 'qualifierId': 233, 'value': '7'}, {'id': 5043919343, 'qualifierId': 286}, {'id': 5043919341, 'qualifierId': 56, 'value': 'Back'}, {'id': 5051826797, 'qualifierId': 465}];1j1ybmazykfh5nqs7egkcdxck;D. Cuevas;;;cw2m60tca4b8gxp2sr2r0lwyc;Take On;;;;;;;;;;;;;;;;;;1,0;7,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;;0;0;21;Inter Miami II;21;DML;1,0
2689967769;7;7;1;0;21;c7c4wwva2u1vb3rr7rwava044;0;62,8;5,5;2024-05-19T23:18:43.734Z;2024-05-24T22:11:34Z;[{'id': 5043919537, 'qualifierId': 56, 'value': 'Right'}, {'id': 5051826853, 'qualifierId': 385}, {'id': 5043919539, 'qualifierId': 285}, {'id': 5043919557, 'qualifierId': 233, 'value': '11'}];4kng7wg83mastngy9hw7j6v6y;N. Sessock;;;cw2m60tca4b8gxp2sr2r0lwyc;Tackle;;;;;;;;;;;;;;;;;;;11,0;1,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;home;;;;;;;;;;0;0;21;Carolina Core;21;DR;1,0
2689967857;13;61;1;0;23;2nnef9tr9g7m2s6n873qif95g;1;44,0;97,8;2024-05-19T23:18:44.940Z;2024-05-19T23:18:59Z;[{'id': 5043919951, 'qualifierId': 56, 'value': 'Back'}];1j1ybmazykfh5nqs7egkcdxck;D. Cuevas;;;cw2m60tca4b8gxp2sr2r0lwyc;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;;0;0;23;Inter Miami II;23;DML;1,0
2689967879;8;5;1;0;24;c7c4wwva2u1vb3rr7rwava044;1;57,3;-0,9;2024-05-19T23:18:46.013Z;2024-05-19T23:49:06Z;[{'id': 5043920035, 'qualifierId': 56, 'value': 'Right'}, {'id': 5043920037, 'qualifierId': 347}, {'id': 5043920115, 'qualifierId': 233, 'value': '12'}];4kng7wg83mastngy9hw7j6v6y;N. Sessock;;;cw2m60tca4b8gxp2sr2r0lwyc;Out;;;;;;;;;;;;;;;;;;;12,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;home;;;;;;;;;;0;0;24;Carolina Core;24;DR;1,0
