id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_Involved;value_TeamFormation;value_Captain;value_PlayerPosition;value_JerseyNumber;value_TeamPlayerFormation;value_Resume;value_DirectionOfPlay;value_PassEndX;value_Length;value_Angle;value_Zone;value_PassEndY;value_KickOff;value_Launch;value_LongBall;value_OppositeRelatedEventId;value_Offensive;value_TouchTypeControl;value_Defensive;value_TakeOnSpace;value_IntentionalAssist;value_Assist;value_Assisted;value_BoxCentre;value_LowCentre;value_GoalmouthZ;value_GoalmouthY;value_LeftFooted;value_RegularPlay;value_RelatedEventId;value_FirstTouch;value_BlockedX;value_BlockedY;value_Collected;value_Hands;value_MediumGkIntervention;value_Stooping;value_KeeperThrow;value_OverArm;value_TakeOnOvertake;value_IntendedTackleTarget;value_DeletedEventType;value_TouchTypeClearance;value_BlockedPass;value_NextEventThrowIn;value_ThrowIn;value_HeadPass;value_OutOfPlay;value_DangerousPlay;value_Indirect;value_Chipped;value_InSwinger;value_FreeKickTaken;value_Cross;value_Head;value_InjuredPlayerId;value_Injury;value_NextEventGoalKick;value_GoalKick;value_Low;value_LayOff;value_TouchTypePass;value_AttemptedTackle;value_Foul;value_Direct;value_RightFooted;value_OutSwinger;value_Blocked;value_GkX;value_OutOfBoxCentre;value_IndividualPlay;value_GkY;value_DefBlock;value_NotVisible;value_SwitchOfPlay;value_DrivenCross;value_Straight;value_LastLine;value_FlickOn;value_LowGkIntervention;value_BoxRight;value_BoxDeepLeft;value_HighCentre;value_Standing;value_HighGkIntervention;value_ParriedDanger;value_Left;value_CornerTaken;value_FromCorner;value_Reaching;value_Fingertip;value_Right;value_NotAssisted;value_Diving;value_ParriedSafe;value_SwerveRight;value_HighLeft;value_1On1;value_BigChance;value_Defensive1V1;value_SmallBoxCentre;value_SetPiece;value_Shove/Push;value_PlayersCaughtOffside;value_Deflection;value_HighRight;value_GoalShotGameClock;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_ShirtPull/Holding;value_SmallBoxRight;value_OtherBodyPart;value_Minutes;value_Handball;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_GkStart;value_HighClaim;value_BlockedCross;value_OtherObstacle;value_ThroughBall;value_TacticalFoul;value_YellowCard;value_SixYardBlocked;value_Overrun;value_FastBreak;value_SwerveLeft;value_High;value_LeadingToAttempt;value_RelatedError1Id;value_NotPastGoalLine;value_LowLeft;value_BoxLeft;value_TempShotOn;value_OverhitCross;value_AerialFoul;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2698752165;1;34;16;0;0;bd0378yx50xpdcgwkt9p9bmz8;1;0,0;0,0;2024-06-30T21:11:49.901Z;2024-07-03T07:33:08Z;[{'id': 5092245113, 'qualifierId': 197, 'value': '14969'}, {'id': 5092199489, 'qualifierId': 30, 'value': '3fjb8lymm7grc7nqyfpzw1a8k, 8bjjne12yudwbzfzjdlygqx62, 5bgt61vb5lnzyoczqnr202lpm, 8za8xvdiyduedk2i99bdqv4es, 2f5ymqh1j87xhi9ynovnujpm2, 2l6v8ab245wzmb1litvkir1ii, bfm4xr4ue74v0li53slarf9t6, bu0qf3q6j69an4i0gz7xhqcd0, b94wogguhbhpo2mal3pfpo26s, 9asj8t10cvfumot9hr3dprsic, 1ofx4ncf6w5twjbaam5w0mu7e, b82dmhiv5rfrczfcx26cnvo16, 6hq9a0pz5ybc67wdttd54xvbp, bpr7u1cp7bzt1w2t1tsmru73e, 14etj499a213gtgymith3htec, 9enx01mc6yh8oqiat336gfcpg, bh6ncbb98ru6ox5oth7kle51w, 6ihxsnp8rmyvu0xjm4oquxd04, aw0ngrym0lzn2paoz70wtlgyc, dfkazpw3p03p6umdchplgivx0'}, {'id': 5092199495, 'qualifierId': 130, 'value': '18'}, {'id': 5092267823, 'qualifierId': 194, 'value': '2f5ymqh1j87xhi9ynovnujpm2'}, {'id': 5092199491, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5092199493, 'qualifierId': 59, 'value': '25, 42, 45, 48, 38, 96, 49, 52, 35, 44, 46, 30, 40, 43, 50, 55, 61, 64, 77, 80'}, {'id': 5092199497, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5092199499, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;dq1h18kkxtvk8yfd7h53ll6ok;Team set up;14969,0;;18,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;0;0;0;0;New England II;0;;
2698752337;1;34;16;0;0;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-06-30T21:16:07.129Z;2024-07-01T00:06:20Z;[{'id': 5092200611, 'qualifierId': 130, 'value': '4'}, {'id': 5092200613, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5092200605, 'qualifierId': 30, 'value': 'opnutov04c33y3gq2fjpkaac, dbyiafdyf93b8rtpceqitgopg, c1z6mxuhvuegd4c5b3hau93ze, 40qi53orb0eur2jevowkvrcb8, et772m1f5cqceeffckpnty1p0, 357vd87hv0jvljqtt2qf4vmz8, 5e00w1rqym73habcl01wm7jtg, 5adul4r3hifu5x4tv8efr05ey, 9u37akzkhdyszhevgrjghq99m, bzv3yqbc7ttf7fftbm2nelxck, 6han4f5xq1d0ii0ol2drgi4bu, d043ppr554ym2j2xf3fcmbqsq, anysxg2z6niqapc5m3f4tzims, 6j4ibkpbos6w5ikle58u2vo, 97kzr8rgekycws02q55a63z3e, 69ypla76c710iv0yegix1maz8, dc8u2bssrhxycx8vtn0kutp4a, 3o7f3ozutbsry5xl2l7ktct0, bnspew1iw2jxr1s3a5oubp4ic, 9a5pacvk3wisje1491zslwkr8'}, {'id': 5092200607, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5092200609, 'qualifierId': 59, 'value': '73, 30, 42, 17, 31, 43, 7, 13, 14, 32, 11, 9, 16, 27, 33, 39, 41, 34, 45, 88'}, {'id': 5092436083, 'qualifierId': 194, 'value': 'opnutov04c33y3gq2fjpkaac'}, {'id': 5092245067, 'qualifierId': 197, 'value': '23734'}, {'id': 5092200615, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;dq1h18kkxtvk8yfd7h53ll6ok;Team set up;23734,0;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;;;;;;;0;0;0;0;Cincinnati II;0;;
2698759989;2;32;1;0;0;bd0378yx50xpdcgwkt9p9bmz8;1;0,0;0,0;2024-06-30T22:04:37.538Z;2024-07-03T06:24:39Z;[{'id': 5092247229, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;dq1h18kkxtvk8yfd7h53ll6ok;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;0;0;0;0;New England II;0;;
2698759995;2;32;1;0;0;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-06-30T22:04:37.538Z;2024-06-30T22:04:40Z;[{'id': 5092247241, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;dq1h18kkxtvk8yfd7h53ll6ok;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;;;;;;;0;0;0;0;Cincinnati II;0;;
2698760003;3;1;1;0;0;bd0378yx50xpdcgwkt9p9bmz8;1;50,0;50,0;2024-06-30T22:04:37.539Z;2024-07-01T00:04:56Z;[{'id': 5092247307, 'qualifierId': 140, 'value': '46.4'}, {'id': 5092247311, 'qualifierId': 212, 'value': '3.9'}, {'id': 5092247313, 'qualifierId': 213, 'value': '2.93'}, {'id': 5092247305, 'qualifierId': 56, 'value': 'Back'}, {'id': 5092247309, 'qualifierId': 141, 'value': '51.2'}, {'id': 5092247315, 'qualifierId': 279, 'value': 'S'}];1ofx4ncf6w5twjbaam5w0mu7e;Guilherme Santos;;;dq1h18kkxtvk8yfd7h53ll6ok;Pass;;;;;;;;;;46,4;3,9;2,93;;51,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;46,4;51,2;;;;;;;0;0;0;0;New England II;0;FW;1,0
2698760005;4;1;1;0;1;bd0378yx50xpdcgwkt9p9bmz8;1;46,4;51,2;2024-06-30T22:04:39.228Z;2024-06-30T22:08:27Z;[{'id': 5092247323, 'qualifierId': 140, 'value': '48.7'}, {'id': 5092247321, 'qualifierId': 56, 'value': 'Back'}, {'id': 5092247329, 'qualifierId': 213, 'value': '5.62'}, {'id': 5092247327, 'qualifierId': 212, 'value': '3.1'}, {'id': 5092247325, 'qualifierId': 141, 'value': '48.4'}];b94wogguhbhpo2mal3pfpo26s;K. Mboma Dem;;;dq1h18kkxtvk8yfd7h53ll6ok;Pass;;;;;;;;;;48,7;3,1;5,62;;48,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;48,7;48,4;;;;;;;0;0;0;1;New England II;1;AMC;1,0
2698760007;5;1;1;0;2;bd0378yx50xpdcgwkt9p9bmz8;1;48,7;48,4;2024-06-30T22:04:40.156Z;2024-06-30T22:04:42Z;[{'id': 5092247341, 'qualifierId': 212, 'value': '20.8'}, {'id': 5092247343, 'qualifierId': 213, 'value': '3.16'}, {'id': 5092247339, 'qualifierId': 141, 'value': '47.7'}, {'id': 5092247337, 'qualifierId': 140, 'value': '28.9'}, {'id': 5092247335, 'qualifierId': 56, 'value': 'Back'}];1ofx4ncf6w5twjbaam5w0mu7e;Guilherme Santos;;;dq1h18kkxtvk8yfd7h53ll6ok;Pass;;;;;;;;;;28,9;20,8;3,16;;47,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;28,9;47,7;;;;;;;0;0;0;2;New England II;2;FW;1,0
2698760025;6;1;1;0;4;bd0378yx50xpdcgwkt9p9bmz8;0;28,9;47,7;2024-06-30T22:04:41.916Z;2024-06-30T22:04:47Z;[{'id': 5092247459, 'qualifierId': 212, 'value': '52.9'}, {'id': 5092247457, 'qualifierId': 141, 'value': '5.2'}, {'id': 5092247451, 'qualifierId': 157}, {'id': 5092247453, 'qualifierId': 56, 'value': 'Right'}, {'id': 5092247461, 'qualifierId': 213, 'value': '5.71'}, {'id': 5092247463, 'qualifierId': 1}, {'id': 5092247455, 'qualifierId': 140, 'value': '71.1'}];2f5ymqh1j87xhi9ynovnujpm2;B. Schaefer;;;dq1h18kkxtvk8yfd7h53ll6ok;Pass;;;;;;;;;;71,1;52,9;5,71;;5,2;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;71,1;5,2;;;;;;;0;0;0;4;New England II;4;DC;1,0
2698760057;3;1;1;0;10;csntc7hucmo21gknxc5y0kc4q;0;25,3;96,2;2024-06-30T22:04:47.648Z;2024-07-03T06:31:34Z;[{'id': 5092247645, 'qualifierId': 213, 'value': '5.79'}, {'id': 5092247635, 'qualifierId': 157}, {'id': 5092247637, 'qualifierId': 56, 'value': 'Center'}, {'id': 5092247647, 'qualifierId': 1}, {'id': 5092247639, 'qualifierId': 140, 'value': '89.3'}, {'id': 5092247643, 'qualifierId': 212, 'value': '76.1'}, {'id': 5092247641, 'qualifierId': 141, 'value': '43.7'}];c1z6mxuhvuegd4c5b3hau93ze;M. Al-Hasnawi;;;dq1h18kkxtvk8yfd7h53ll6ok;Pass;;;;;;;;;;89,3;76,1;5,79;;43,7;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;89,3;43,7;;;;;;;0;0;0;10;Cincinnati II;10;DC;1,0
2698760079;7;1;1;0;21;bd0378yx50xpdcgwkt9p9bmz8;1;9,3;68,2;2024-06-30T22:04:58.684Z;2024-06-30T22:05:01Z;[{'id': 5092247765, 'qualifierId': 213, 'value': '0.86'}, {'id': 5092247761, 'qualifierId': 141, 'value': '91.1'}, {'id': 5092247757, 'qualifierId': 56, 'value': 'Back'}, {'id': 5092247763, 'qualifierId': 212, 'value': '20.5'}, {'id': 5092247759, 'qualifierId': 140, 'value': '22.0'}];8za8xvdiyduedk2i99bdqv4es;J. Machado;;;dq1h18kkxtvk8yfd7h53ll6ok;Pass;;;;;;;;;;22,0;20,5;0,86;;91,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;22,0;91,1;;;;;;;0;0;0;21;New England II;21;DC;1,0
