id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_PlayerPosition;value_Involved;value_TeamPlayerFormation;value_Resume;value_TeamKit;value_JerseyNumber;value_Captain;value_DirectionOfPlay;value_Zone;value_PassEndX;value_Length;value_PassEndY;value_KickOff;value_Angle;value_IntendedTackleTarget;value_DeletedEventType;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_OutOfPlay;value_LayOff;value_Launch;value_LongBall;value_HeadPass;value_ShirtPull/Holding;value_Direct;value_Offensive;value_Foul;value_Defensive;value_FreeKickTaken;value_Chipped;value_OutSwinger;value_LeftFooted;value_Cross;value_Head;value_BlockedPass;value_TakeOnOvertake;value_GoalShotGameClock;value_GkYTimeOfGoal;value_BoxLeft;value_GkY;value_GkX;value_GoalmouthZ;value_IndividualPlay;value_NotAssisted;value_GkXTimeOfGoal;value_LowRight;value_FollowsADribble;value_GoalmouthY;value_GoalShotTimestamp;value_RegularPlay;value_TouchTypePass;value_Straight;value_RightFooted;value_DrivenCross;value_Shove/Push;value_InSwinger;value_TouchTypeClearance;value_FlickOn;value_NextEventGoalKick;value_High;value_GoalKick;value_Assist;value_IntentionalAssist;value_BoxRight;value_Assisted;value_RelatedEventId;value_Left;value_Right;value_NotVisible;value_CornerTaken;value_MediumGkIntervention;value_KeeperThrow;value_ThroughBall;value_LowGkIntervention;value_BlockedY;value_HighLeft;value_BlockedX;value_Hands;value_Standing;value_Collected;value_AttemptedTackle;value_BoxCentre;value_FirstTouch;value_SetPiece;value_HighGkIntervention;value_ParriedSafe;value_Reaching;value_CloseHigh;value_BigChance;value_SwitchOfPlay;value_TouchTypeControl;value_LowLeft;value_Diving;value_ParriedDanger;value_TakeOnSpace;value_Blocked;value_OutOfBoxCentre;value_DefBlock;value_CloseLeft;value_Low;value_OverArm;value_FastBreak;value_HighRight;value_Overrun;value_PlayersCaughtOffside;value_Indirect;value_RecklessOffence;value_YellowCard;value_BlockedCross;value_LowCentre;value_FromCorner;value_Minutes;value_SixYardBlocked;value_SmallBoxLeft;value_SavedOffLine;value_LastLine;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_PullBack;value_OverhitCross;value_ThrowInSetPiece;value_Volley;value_FloatedCross;value_IncorrectOutOfPlayDecision;value_Stooping;value_Feet;value_GkKickFromHands;value_CloseLeftAndHigh;value_KeeperTouched;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2723874647;9;1;1;0;22;5icuo8utnztpsd9l03gdd68dl;1;23,9;29,5;2024-09-21T23:05:06.277Z;2024-09-21T23:05:09Z;[{'id': 5230453643, 'qualifierId': 213, 'value': '1.90'}, {'id': 5230453639, 'qualifierId': 141, 'value': '49.1'}, {'id': 5230453635, 'qualifierId': 56, 'value': 'Back'}, {'id': 5230453637, 'qualifierId': 140, 'value': '19.5'}, {'id': 5230453641, 'qualifierId': 212, 'value': '14.1'}];dil2b9u1omrsdbxba5swbe9gq;A. Lopez;;;9kzo0d3c8xpjxdluxhiqlvro;Pass;;;;;;;;;;;19,5;14,1;49,1;;1,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;19,5;49,1;;;;;;;0;0;0;22;Vancouver Whitecaps II;22;DL;1,0
2723874667;10;1;1;0;25;5icuo8utnztpsd9l03gdd68dl;1;18,9;54,0;2024-09-21T23:05:09.252Z;2024-09-21T23:05:11Z;[{'id': 5230453723, 'qualifierId': 213, 'value': '1.51'}, {'id': 5230453717, 'qualifierId': 140, 'value': '19.7'}, {'id': 5230453715, 'qualifierId': 56, 'value': 'Back'}, {'id': 5230453721, 'qualifierId': 212, 'value': '14.3'}, {'id': 5230453719, 'qualifierId': 141, 'value': '75.0'}];e1e506479mqo8j3geie6amuj8;S. Hawkins;;;9kzo0d3c8xpjxdluxhiqlvro;Pass;;;;;;;;;;;19,7;14,3;75,0;;1,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;19,7;75,0;;;;;;;0;0;0;25;Vancouver Whitecaps II;25;DC;1,0
2723874689;11;1;1;0;27;5icuo8utnztpsd9l03gdd68dl;1;19,7;75,0;2024-09-21T23:05:10.949Z;2024-09-21T23:05:14Z;[{'id': 5230453859, 'qualifierId': 141, 'value': '64.5'}, {'id': 5230453857, 'qualifierId': 140, 'value': '9.2'}, {'id': 5230453861, 'qualifierId': 212, 'value': '13.1'}, {'id': 5230453855, 'qualifierId': 56, 'value': 'Back'}, {'id': 5230453863, 'qualifierId': 213, 'value': '3.72'}];8khtu1w0lp1f5d5t4zmfxiei;S. Kitahara;;;9kzo0d3c8xpjxdluxhiqlvro;Pass;;;;;;;;;;;9,2;13,1;64,5;;3,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;9,2;64,5;;;;;;;0;0;0;27;Vancouver Whitecaps II;27;MC;1,0
2723874701;3;83;1;0;30;eo64tqkioegeb09iice2hf8bt;0;89,1;42,0;2024-09-21T23:05:14.032Z;2024-09-22T00:06:08Z;[{'id': 5230454031, 'qualifierId': 399, 'value': 'e1e506479mqo8j3geie6amuj8'}];bh7fb8v7o5wynmapdhlth594a;A. Coupland;;;9kzo0d3c8xpjxdluxhiqlvro;Attempted tackle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;0;0;0;30;Tacoma Defiance;30;MR;1,0
2723874715;12;1;1;0;30;5icuo8utnztpsd9l03gdd68dl;1;8,4;60,9;2024-09-21T23:05:14.181Z;2024-09-21T23:05:16Z;[{'id': 5230453989, 'qualifierId': 140, 'value': '7.4'}, {'id': 5230453993, 'qualifierId': 212, 'value': '21.4'}, {'id': 5230453987, 'qualifierId': 56, 'value': 'Back'}, {'id': 5230453995, 'qualifierId': 213, 'value': '4.66'}, {'id': 5230453991, 'qualifierId': 141, 'value': '29.4'}];e1e506479mqo8j3geie6amuj8;S. Hawkins;;;9kzo0d3c8xpjxdluxhiqlvro;Pass;;;;;;;;;;;7,4;21,4;29,4;;4,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;7,4;29,4;;;;;;;0;0;0;30;Vancouver Whitecaps II;30;DC;1,0
2723874727;4;43;1;0;31;eo64tqkioegeb09iice2hf8bt;1;0,0;0,0;2024-09-21T23:05:14.928Z;2024-09-25T05:59:42Z;[{'id': 5240141275, 'qualifierId': 144, 'value': '83'}, {'id': 5230664273, 'qualifierId': 399, 'value': 'dil2b9u1omrsdbxba5swbe9gq'}];84wint64ygxx3pi5fz3mr12j8;N. Fleuriau Chateau;;;9kzo0d3c8xpjxdluxhiqlvro;Deleted event;;;;;;;;;;;;;;;;;83,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;0;0;0;31;Tacoma Defiance;31;FW;1,0
2723874721;13;1;1;0;32;5icuo8utnztpsd9l03gdd68dl;0;7,7;28,8;2024-09-21T23:05:16.373Z;2024-09-21T23:05:17Z;[{'id': 5230454011, 'qualifierId': 141, 'value': '26.2'}, {'id': 5230454007, 'qualifierId': 56, 'value': 'Back'}, {'id': 5230454015, 'qualifierId': 213, 'value': '6.20'}, {'id': 5230454013, 'qualifierId': 212, 'value': '21.2'}, {'id': 5230454009, 'qualifierId': 140, 'value': '27.8'}];dil2b9u1omrsdbxba5swbe9gq;A. Lopez;;;9kzo0d3c8xpjxdluxhiqlvro;Pass;;;;;;;;;;;27,8;21,2;26,2;;6,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;27,8;26,2;;;;;;;0;0;0;32;Vancouver Whitecaps II;32;DL;1,0
2723874745;5;49;1;0;37;eo64tqkioegeb09iice2hf8bt;1;72,4;90,9;2024-09-21T23:05:21.224Z;2024-09-21T23:07:34Z;[];9b02cix263jvavj538nkj3m6s;L. Mackenzie;;;9kzo0d3c8xpjxdluxhiqlvro;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;0;0;0;37;Tacoma Defiance;37;MC;1,0
2723874765;6;1;1;0;39;eo64tqkioegeb09iice2hf8bt;0;70,7;96,1;2024-09-21T23:05:22.712Z;2024-09-21T23:07:36Z;[{'id': 5230454233, 'qualifierId': 140, 'value': '61.3'}, {'id': 5230454237, 'qualifierId': 212, 'value': '10.0'}, {'id': 5230454235, 'qualifierId': 141, 'value': '94.0'}, {'id': 5230454239, 'qualifierId': 213, 'value': '3.29'}, {'id': 5230454231, 'qualifierId': 56, 'value': 'Left'}];9b02cix263jvavj538nkj3m6s;L. Mackenzie;;;9kzo0d3c8xpjxdluxhiqlvro;Pass;;;;;;;;;;;61,3;10,0;94,0;;3,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;61,3;94,0;;;;;;;0;0;0;39;Tacoma Defiance;39;MC;1,0
2723874777;14;61;1;0;39;5icuo8utnztpsd9l03gdd68dl;0;33,8;5,0;2024-09-21T23:05:23.576Z;2024-09-25T06:00:14Z;[{'id': 5230454285, 'qualifierId': 56, 'value': 'Back'}];e5oov2tctv9yrbh5uldfyrey2;D. Teves;;;9kzo0d3c8xpjxdluxhiqlvro;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;;;;;;;;;0;0;0;39;Vancouver Whitecaps II;39;AMR;1,0
