id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_TeamPlayerFormation;value_Involved;value_JerseyNumber;value_Captain;value_Resume;value_PlayerPosition;value_TeamKit;value_DirectionOfPlay;value_KickOff;value_Length;value_PassEndY;value_Angle;value_Zone;value_PassEndX;value_Chipped;value_LongBall;value_HeadPass;value_DeletedEventType;value_Defensive;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_LayOff;value_TakeOnSpace;value_Offensive;value_TouchTypeControl;value_NextEventGoalKick;value_Low;value_GoalKick;value_Launch;value_TakeOnOvertake;value_BlockedPass;value_RightFooted;value_OutSwinger;value_Cross;value_Head;value_GoalmouthY;value_RegularPlay;value_BlockedX;value_Assisted;value_LowCentre;value_RelatedEventId;value_GoalmouthZ;value_FirstTouch;value_OutOfBoxCentre;value_BlockedY;value_LowGkIntervention;value_Stooping;value_Hands;value_Collected;value_OverArm;value_KeeperThrow;value_NotVisible;value_MediumGkIntervention;value_IntendedTackleTarget;value_Assist;value_IndividualPlay;value_GkX;value_LeftFooted;value_Right;value_GkY;value_High;value_Direct;value_AttemptedTackle;value_Foul;value_FreeKickTaken;value_Defensive1V1;value_TouchTypeClearance;value_OutOfPlay;value_Left;value_CornerTaken;value_IntentionalAssist;value_CloseRight;value_SmallBoxRight;value_FromCorner;value_TouchTypePass;value_FlickOn;value_NotAssisted;value_Volley;value_Shove/Push;value_SwerveRight;value_HighClaim;value_HighGkIntervention;value_SwitchOfPlay;value_BlockedCross;value_InjuredPlayerId;value_Injury;value_SixYardBlocked;value_BoxRight;value_Blocked;value_DefBlock;value_ParriedDanger;value_Fumble;value_GkHoof;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_FastBreak;value_LowRight;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_Weak;value_GoalShotGameClock;value_BigChance;value_BoxLeft;value_ShirtPull/Holding;value_AerialFoul;value_PullBack;value_BoxCentre;value_Minutes;value_EndType;value_Tactical;value_OtherObstacle;value_PlayersCaughtOffside;value_Indirect;value_CloseLeft;value_LowLeft;value_NotPastGoalLine;value_RecklessOffence;value_YellowCard;value_InSwinger;value_OverhitCross;value_LastLine;value_FreeKick;value_HighRight;value_TempMissed;value_PenaltyTakerId;value_Penalty;value_Diving;value_Scored;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_TacticalFoul;value_LeadingToAttempt;value_1On1;value_RelatedError1Id;value_GkKickFromHands;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2697624927;5;61;1;0;12;bd0378yx50xpdcgwkt9p9bmz8;1;39,9;6,2;2024-06-23T23:07:15.399Z;2024-06-26T05:44:07Z;[{'id': 5085958165, 'qualifierId': 56, 'value': 'Back'}];b94wogguhbhpo2mal3pfpo26s;K. Mboma Dem;;;dkc1csnv26f0w6yf6bn8gzod0;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;;0;0;12;Huntsville City;12;FW;1,0
2697624943;6;5;1;0;13;bd0378yx50xpdcgwkt9p9bmz8;0;31,8;-1,5;2024-06-23T23:07:16.546Z;2024-06-26T05:43:57Z;[{'id': 5085958257, 'qualifierId': 347}, {'id': 5085958413, 'qualifierId': 233, 'value': '7'}, {'id': 5085958255, 'qualifierId': 56, 'value': 'Back'}];b94wogguhbhpo2mal3pfpo26s;K. Mboma Dem;;;dkc1csnv26f0w6yf6bn8gzod0;Out;;;;;;;;;;;;;;;;;;;;;1,0;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;;0;0;13;Huntsville City;13;FW;1,0
2697624963;7;5;1;0;13;4gymgvqmve0m2vh89v84tt3x0;1;68,2;101,5;2024-06-23T23:07:16.546Z;2024-06-26T05:43:56Z;[{'id': 5085958379, 'qualifierId': 56, 'value': 'Left'}, {'id': 5085958381, 'qualifierId': 347}, {'id': 5085958397, 'qualifierId': 233, 'value': '6'}];2v5j1i5ae9fnciilwy3op8and;N. DePuy;;;dkc1csnv26f0w6yf6bn8gzod0;Out;;;;;;;;;;;;;;;;;;;;;1,0;6,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;;;;;;;;;;0;0;13;Cincinnati II;13;DC;1,0
2697624981;8;1;1;0;20;4gymgvqmve0m2vh89v84tt3x0;1;69,8;100,0;2024-06-23T23:07:22.926Z;2024-06-23T23:07:25Z;[{'id': 5085958469, 'qualifierId': 140, 'value': '73.5'}, {'id': 5085958465, 'qualifierId': 56, 'value': 'Left'}, {'id': 5085958473, 'qualifierId': 141, 'value': '85.7'}, {'id': 5085958475, 'qualifierId': 212, 'value': '11.4'}, {'id': 5085958463, 'qualifierId': 107}, {'id': 5085958477, 'qualifierId': 213, 'value': '5.06'}];374euncv00zs2oy6ux1u519be;J. Skinner;;;dkc1csnv26f0w6yf6bn8gzod0;Pass;;;;;;;;;;;11,4;85,7;5,06;;73,5;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;73,5;85,7;;;;;;;;0;0;20;Cincinnati II;20;DC;1,0
2697624987;9;1;1;0;22;4gymgvqmve0m2vh89v84tt3x0;0;73,9;88,9;2024-06-23T23:07:25.070Z;2024-06-26T05:44:16Z;[{'id': 5085958501, 'qualifierId': 141, 'value': '82.3'}, {'id': 5087547277, 'qualifierId': 156}, {'id': 5085958503, 'qualifierId': 212, 'value': '13.8'}, {'id': 5085958505, 'qualifierId': 213, 'value': '3.47'}, {'id': 5085958497, 'qualifierId': 56, 'value': 'Left'}, {'id': 5085958499, 'qualifierId': 140, 'value': '61.5'}];c08hvq1hplcct8kxrxucfpqp6;W. Pacius;;;dkc1csnv26f0w6yf6bn8gzod0;Pass;;;;;;;;;;;13,8;82,3;3,47;;61,5;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;61,5;82,3;;;;;;;;0;0;22;Cincinnati II;22;FW;1,0
2697625001;7;43;1;0;25;bd0378yx50xpdcgwkt9p9bmz8;1;0,0;0,0;2024-06-23T23:07:27.609Z;2024-06-23T23:59:20Z;[{'id': 5086053825, 'qualifierId': 144, 'value': '49'}];1ofx4ncf6w5twjbaam5w0mu7e;Guilherme Santos;;;dkc1csnv26f0w6yf6bn8gzod0;Deleted event;;;;;;;;;;;;;;;;;;;49,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;;0;0;25;Huntsville City;25;FW;1,0
2697625009;8;3;1;0;25;bd0378yx50xpdcgwkt9p9bmz8;0;32,3;26,2;2024-06-23T23:07:28.177Z;2024-06-26T05:44:29Z;[{'id': 5085958603, 'qualifierId': 56, 'value': 'Back'}, {'id': 5087547351, 'qualifierId': 464}, {'id': 5085958605, 'qualifierId': 285}, {'id': 5085958639, 'qualifierId': 233, 'value': '10'}];1ofx4ncf6w5twjbaam5w0mu7e;Guilherme Santos;;;dkc1csnv26f0w6yf6bn8gzod0;Take On;;;;;;;;;;;;;;;;;;;;1,0;;10,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;;0;0;25;Huntsville City;25;FW;1,0
2697625017;10;7;1;0;25;4gymgvqmve0m2vh89v84tt3x0;1;67,7;73,8;2024-06-23T23:07:28.178Z;2024-06-26T05:44:31Z;[{'id': 5085958637, 'qualifierId': 286}, {'id': 5087547361, 'qualifierId': 383}, {'id': 5085958623, 'qualifierId': 56, 'value': 'Center'}, {'id': 5085958633, 'qualifierId': 233, 'value': '8'}];1kr4ax5uy3f9gbjzr34u0svf8;I. Jones;;;dkc1csnv26f0w6yf6bn8gzod0;Tackle;;;;;;;;;;;;;;;;;;;;;;8,0;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;;;;;;;;;;0;0;25;Cincinnati II;25;MC;1,0
2697625021;11;49;1;0;26;4gymgvqmve0m2vh89v84tt3x0;1;65,7;73,6;2024-06-23T23:07:29.078Z;2024-06-26T05:44:50Z;[];1kr4ax5uy3f9gbjzr34u0svf8;I. Jones;;;dkc1csnv26f0w6yf6bn8gzod0;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;;;;;;;;;;0;0;26;Cincinnati II;26;MC;1,0
2697625029;12;1;1;0;27;4gymgvqmve0m2vh89v84tt3x0;1;65,8;76,4;2024-06-23T23:07:29.799Z;2024-06-26T05:44:51Z;[{'id': 5085958681, 'qualifierId': 213, 'value': '2.12'}, {'id': 5085958677, 'qualifierId': 141, 'value': '95.1'}, {'id': 5085958675, 'qualifierId': 140, 'value': '58.4'}, {'id': 5085958679, 'qualifierId': 212, 'value': '14.9'}, {'id': 5085958673, 'qualifierId': 56, 'value': 'Left'}];1kr4ax5uy3f9gbjzr34u0svf8;I. Jones;;;dkc1csnv26f0w6yf6bn8gzod0;Pass;;;;;;;;;;;14,9;95,1;2,12;;58,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;58,4;95,1;;;;;;;;0;0;27;Cincinnati II;27;MC;1,0
