id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_Involved;value_JerseyNumber;value_TeamFormation;value_TeamPlayerFormation;value_PlayerPosition;value_Captain;value_TeamKit;value_DirectionOfPlay;value_KickOff;value_Zone;value_Angle;value_Length;value_PassEndY;value_PassEndX;value_Launch;value_LongBall;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_HeadPass;value_NextEventThrowIn;value_ThrowIn;value_Direct;value_AttemptedTackle;value_Foul;value_Cross;value_Chipped;value_InSwinger;value_FreeKickTaken;value_LeftFooted;value_RightFooted;value_SetPiece;value_GoalmouthY;value_Volley;value_GkX;value_BoxCentre;value_CloseLeft;value_GkY;value_GoalmouthZ;value_FirstTouch;value_NotAssisted;value_NextEventGoalKick;value_GoalKick;value_High;value_RelatedEventId;value_RecklessOffence;value_YellowCard;value_TakeOnSpace;value_TouchTypePass;value_ThroughBall;value_Low;value_Shove/Push;value_BlockedPass;value_Assist;value_IntentionalAssist;value_Head;value_Right;value_RegularPlay;value_Assisted;value_NotVisible;value_PullBack;value_LowCentre;value_GoalShotGameClock;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_BigChance;value_FlickOn;value_Injury;value_InjuredPlayerId;value_DeletedEventType;value_Left;value_CornerTaken;value_OutSwinger;value_OutOfPlay;value_BlockedX;value_FromCorner;value_BlockedY;value_Blocked;value_DefBlock;value_LayOff;value_IntendedTackleTarget;value_BlockedCross;value_MediumGkIntervention;value_KeeperThrow;value_DrivenCross;value_Straight;value_HighGkIntervention;value_TakeOnOvertake;value_TouchTypeControl;value_OutOfBoxCentre;value_LowRight;value_HighCentre;value_BoxRight;value_Standing;value_Hands;value_Collected;value_IndividualPlay;value_Stooping;value_LowGkIntervention;value_TouchTypeClearance;value_Overrun;value_SwitchOfPlay;value_TacticalFoul;value_Diving;value_HitBar;value_ParriedSafe;value_SwerveLeft;value_FreeKick;value_HighRight;value_FloatedCross;value_ShirtPull/Holding;value_OverhitCross;value_LowLeft;value_OverArm;value_Minutes;value_NotPastGoalLine;value_OwnPlayer;value_OwnShotBlocked;value_EndType;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_FastBreak;value_ParriedDanger;value_HighLeft;value_PlayersCaughtOffside;value_Indirect;value_MisHit;value_SmallBoxRight;value_SixYardBlocked;value_BoxLeft;value_1On1;value_Feet;value_SwerveRight;value_ByWall;value_CloseRight;value_LeadingToGoal;value_GkKickFromHands;value_AerialFoul;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2722065861;4;61;1;0;12;8ijkk62897so5r3bq0wgwx4bu;0;37,0;5,3;2024-09-18T02:34:26.649Z;2024-09-18T02:34:33Z;[{'id': 5220563757, 'qualifierId': 56, 'value': 'Back'}];3c1xz4vpfoum0jbq6bmtdrtux;I. Achara;;;8u6d9qaa668cnuol5wy44j6c;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;0;0;0;12;Portland Timbers II;12;AMR;1,0
2722065871;5;5;1;0;13;8ijkk62897so5r3bq0wgwx4bu;0;41,9;-1,6;2024-09-18T02:34:27.529Z;2024-09-18T02:44:39Z;[{'id': 5220563787, 'qualifierId': 347}, {'id': 5220563793, 'qualifierId': 233, 'value': '7'}, {'id': 5220563785, 'qualifierId': 56, 'value': 'Back'}];58akq0ojntf5n123msb1tzeok;G. Arnold;;;8u6d9qaa668cnuol5wy44j6c;Out;;;;;;;;;;;;;;;;;;;7,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;0;0;0;13;Portland Timbers II;13;MC;1,0
2722065865;7;5;1;0;13;5ou8b446l1sl8frblkz3xi17g;1;58,1;101,6;2024-09-18T02:34:27.529Z;2024-09-18T02:44:39Z;[{'id': 5220563789, 'qualifierId': 233, 'value': '5'}, {'id': 5220563767, 'qualifierId': 56, 'value': 'Left'}, {'id': 5220563769, 'qualifierId': 347}];a5tjyddv4t8eg9wcum3o15qfo;S. Jura;;;8u6d9qaa668cnuol5wy44j6c;Out;;;;;;;;;;;;;;;;;;;5,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;home;;;;;;;;;0;0;0;13;Ventura County;13;DML;1,0
2722065877;8;1;1;0;23;5ou8b446l1sl8frblkz3xi17g;0;58,2;100,0;2024-09-18T02:34:38.062Z;2024-09-18T02:34:40Z;[{'id': 5220563839, 'qualifierId': 212, 'value': '25.2'}, {'id': 5220563835, 'qualifierId': 140, 'value': '34.4'}, {'id': 5220563831, 'qualifierId': 107}, {'id': 5220563833, 'qualifierId': 56, 'value': 'Back'}, {'id': 5220563843, 'qualifierId': 1}, {'id': 5220563841, 'qualifierId': 213, 'value': '3.27'}, {'id': 5220563837, 'qualifierId': 141, 'value': '96.5'}];a5tjyddv4t8eg9wcum3o15qfo;S. Jura;;;8u6d9qaa668cnuol5wy44j6c;Pass;;;;;;;;;;;;3,27;25,2;96,5;34,4;;1,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;home;34,4;96,5;;;;;;;0;0;0;23;Ventura County;23;DML;1,0
2722065883;6;4;1;0;29;8ijkk62897so5r3bq0wgwx4bu;1;68,0;5,0;2024-09-18T02:34:43.566Z;2024-09-18T02:34:49Z;[{'id': 5220563911, 'qualifierId': 56, 'value': 'Right'}, {'id': 5220563913, 'qualifierId': 152}, {'id': 5220563915, 'qualifierId': 265}, {'id': 5220563917, 'qualifierId': 286}, {'id': 5220563923, 'qualifierId': 233, 'value': '9'}, {'id': 5220563909, 'qualifierId': 13}];6d45ccicyo6dregi9cm4ad4kq;I. Paul;;;8u6d9qaa668cnuol5wy44j6c;Foul;;;;;;;;;;;;;;;;;;1,0;9,0;;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;0;0;0;29;Portland Timbers II;29;FW;1,0
2722065879;9;4;1;0;29;5ou8b446l1sl8frblkz3xi17g;0;32,0;95,0;2024-09-18T02:34:43.567Z;2024-09-18T02:34:48Z;[{'id': 5220563933, 'qualifierId': 233, 'value': '6'}, {'id': 5220563877, 'qualifierId': 265}, {'id': 5220563875, 'qualifierId': 152}, {'id': 5220563871, 'qualifierId': 13}, {'id': 5220563873, 'qualifierId': 56, 'value': 'Back'}, {'id': 5220563879, 'qualifierId': 285}];d1xlw5bza316m39f9n82hir1m;K. Rad;;;8u6d9qaa668cnuol5wy44j6c;Foul;;;;;;;;;;;;;;;;;;;6,0;1,0;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;home;;;;;;;;;0;0;0;29;Ventura County;29;DC;1,0
2722065927;7;1;1;0;56;8ijkk62897so5r3bq0wgwx4bu;0;72,5;4,1;2024-09-18T02:35:11.219Z;2024-09-26T07:04:13Z;[{'id': 5220564147, 'qualifierId': 2}, {'id': 5220564161, 'qualifierId': 212, 'value': '30.6'}, {'id': 5220564151, 'qualifierId': 155}, {'id': 5220564157, 'qualifierId': 140, 'value': '89.5'}, {'id': 5242208401, 'qualifierId': 223}, {'id': 5220564155, 'qualifierId': 56, 'value': 'Center'}, {'id': 5220564163, 'qualifierId': 213, 'value': '0.95'}, {'id': 5220564153, 'qualifierId': 152}, {'id': 5220564149, 'qualifierId': 5}, {'id': 5242208403, 'qualifierId': 72}, {'id': 5220564159, 'qualifierId': 141, 'value': '40.7'}];2eoftsi3eznjjmhu8ybft11ck;N. Schelotto;;;8u6d9qaa668cnuol5wy44j6c;Pass;;;;;;;;;;;;0,95;30,6;40,7;89,5;;;;;;;;;1,0;;;1,0;1,0;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;89,5;40,7;;;;;;;0;0;0;56;Portland Timbers II;56;MC;1,0
2722065933;10;44;1;1;0;5ou8b446l1sl8frblkz3xi17g;1;10,5;60,1;2024-09-18T02:35:14.408Z;2024-09-18T02:44:57Z;[{'id': 5220564181, 'qualifierId': 285}, {'id': 5220564179, 'qualifierId': 56, 'value': 'Back'}, {'id': 5220564187, 'qualifierId': 233, 'value': '8'}];33l8nq6xbj3pm1lkxo2qs5vfu;K. Ferdinand;;;8u6d9qaa668cnuol5wy44j6c;Aerial;;;;;;;;;;;;;;;;;;;8,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;home;;;;;;;;;0;0;1;0;Ventura County;60;DC;1,0
2722065929;8;44;1;1;0;8ijkk62897so5r3bq0wgwx4bu;0;89,5;39,9;2024-09-18T02:35:14.409Z;2024-09-18T02:44:57Z;[{'id': 5220564169, 'qualifierId': 286}, {'id': 5220564193, 'qualifierId': 233, 'value': '10'}, {'id': 5220564167, 'qualifierId': 56, 'value': 'Center'}];3c1xz4vpfoum0jbq6bmtdrtux;I. Achara;;;8u6d9qaa668cnuol5wy44j6c;Aerial;;;;;;;;;;;;;;;;;;1,0;10,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;0;0;1;0;Portland Timbers II;60;AMR;1,0
2722065939;11;61;1;1;0;5ou8b446l1sl8frblkz3xi17g;1;10,5;61,4;2024-09-18T02:35:14.792Z;2024-09-27T06:51:00Z;[{'id': 5220564223, 'qualifierId': 56, 'value': 'Back'}];33l8nq6xbj3pm1lkxo2qs5vfu;K. Ferdinand;;;8u6d9qaa668cnuol5wy44j6c;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;home;;;;;;;;;0;0;1;0;Ventura County;60;DC;1,0
