id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_TeamKit;value_JerseyNumber;value_PlayerPosition;value_Captain;value_Resume;value_TeamPlayerFormation;value_TeamFormation;value_DirectionOfPlay;value_Length;value_PassEndY;value_Angle;value_Zone;value_PassEndX;value_KickOff;value_LongBall;value_Chipped;value_TouchTypePass;value_Defensive;value_OppositeRelatedEventId;value_TakeOnSpace;value_Offensive;value_SwitchOfPlay;value_IntendedTackleTarget;value_Launch;value_HeadPass;value_TouchTypeClearance;value_NextEventThrowIn;value_ThrowIn;value_DeletedEventType;value_BlockedPass;value_Cross;value_LeftFooted;value_OutSwinger;value_Head;value_TouchTypeControl;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_OutOfPlay;value_Shove/Push;value_NextEventGoalKick;value_Low;value_GoalKick;value_LayOff;value_PlayersCaughtOffside;value_Indirect;value_TakeOnOvertake;value_Left;value_InSwinger;value_CornerTaken;value_RightFooted;value_Assist;value_RegularPlay;value_GoalmouthZ;value_RelatedEventId;value_BlockedX;value_LowCentre;value_BoxLeft;value_IndividualPlay;value_Assisted;value_GoalmouthY;value_BlockedY;value_LowGkIntervention;value_Hands;value_Diving;value_ParriedSafe;value_Right;value_ShirtPull/Holding;value_FlickOn;value_DrivenCross;value_Straight;value_IntentionalAssist;value_SmallBoxCentre;value_GkYTimeOfGoal;value_FirstTouch;value_GkXTimeOfGoal;value_GkY;value_BigChance;value_GkX;value_GoalShotGameClock;value_GoalShotTimestamp;value_HighGkIntervention;value_Overrun;value_BoxCentre;value_CloseRightAndHigh;value_KeeperThrow;value_Blocked;value_OutOfBoxCentre;value_DefBlock;value_TacticalFoul;value_YellowCard;value_HighClaim;value_ViolentConduct;value_RedCard;value_InjuredPlayerId;value_Injury;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_BlockedCross;value_FastBreak;value_RecklessOffence;value_HighCentre;value_35Centre;value_Standing;value_Collected;value_LowLeft;value_FollowsADribble;value_LowRight;value_MediumGkIntervention;value_NotVisible;value_Minutes;value_FloatedCross;value_GkKickFromHands;value_EndType;value_NotAssisted;value_Stooping;value_Volley;value_BoxRight;value_NotPastGoalLine;value_FromCorner;value_Reaching;value_GoalDisallowed;value_ParriedDanger;value_OverArm;value_High;value_OutOfBoxDeepRight;value_Feet;value_HighRight;value_SetPiece;value_SmallBoxLeft;value_SixYardBlocked;value_FantasyAssistedBy;value_FantasyAssistType;value_FantasyAssistId;value_FantasyAssistTeam;value_DrinksBreak;value_RefereeDelay;value_SmallBoxRight;value_1On1;value_Sliding;value_HighLeft;value_FreeKick;value_GoesToPenalties;value_Scored;value_Penalty;value_Second(2Nd)OppositeRelatedEventId;value_Saved;value_HitWoodwork;value_HitRightPost;value_KeeperTouched;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2715703989;1;34;16;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-08-31T18:21:21.147Z;2024-08-31T19:10:59Z;[{'id': 5185689411, 'qualifierId': 30, 'value': '9r22tf7lu2q4un35qwfsnpw5w, 1795jw1oc3pkthyq0kqexh65m, 4ecgnoxeou0m46yw8hwisbrx0, 7tjrziff3z2fl88t52j3rk3bp, 58839nfw30jxxroffd3a7q0wk, 2pka62t1zg04jwkcx6zbc4wlw, clqg0gusupd6cehokpggbslck, e2olfsduxvaqsx6rdbaasa356, byelagxi3qg0rb06tjl3fodn8, tc5nl1hz1w06jobp5ckktr3e, 1gmj4ge2sog221wqkmap8kidw, a1rc6kukly42y5j5smz3w72tw, dbc343lsh3l20pi4a4gmd94wk, 6e688gqc8qzt0h9cutptkcd90, f4gpras1h3k8qfz71u84iyyok, cz98wcy8nq9hqncb2z33p4hec, 98tyw392rp4ow3apn0ygrbtp0, 39kv8a6a82fos9hw9esb84k16, 2mpx1zzsiryzqjqqnko17jzmc, 4tcyjpnhwsxlay9mqedrpspp0'}, {'id': 5185934093, 'qualifierId': 197, 'value': '23805'}, {'id': 5185689415, 'qualifierId': 59, 'value': '60, 35, 13, 3, 24, 39, 95, 44, 57, 99, 50, 48, 45, 42, 49, 51, 59, 98, 65, 66'}, {'id': 5185689413, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5185988203, 'qualifierId': 194, 'value': '7tjrziff3z2fl88t52j3rk3bp'}, {'id': 5185689421, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5185689419, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5185689417, 'qualifierId': 130, 'value': '19'}];;;;;ez988s2obn3kmpqs73o1hxzbo;Team set up;;23805,0;;;;;;19,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;;0;0;0;Real Monarchs;0;;
2715704039;1;34;16;0;0;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-08-31T18:21:23.553Z;2024-08-31T19:03:08Z;[{'id': 5185933735, 'qualifierId': 197, 'value': '6183'}, {'id': 5185689667, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5185689663, 'qualifierId': 130, 'value': '2'}, {'id': 5185689665, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5185689657, 'qualifierId': 30, 'value': 'd8jipeh184bc6p9c0uervzytw, 48vc423tkz4mx7oql1ahqneac, asy97zdxk0352toy38huzk222, 9p86jgzpsokma52ifxswk4woa, 1z750xyx7stmv6uf51h1y6ehh, 5gg2mxmy9ff40oku3s09gavl6, tw82u87mw6kggtjblt1hhdzo, bxnegxnynd1glae8g0vfigfvu, 9rgkh8j5l8n0ld96ojr47xy7e, 6kpb5yyfk2ifjgtfkspb8xwd0, dzo2odov052991qseshgfruju, 7ditqci7td8u4wj4dmirr3qzu, 2ig362xub2syd45v3usgymbkk, 72xq9zy27facbbowtwsuzw0lw, ahl3kfbfeubf6zfl7x8qrlm38, mm0bv35ngf0sqh2yx2eza4x6, 8y2nsfsangmn1qa389y25b76c, 4p6hgtbpfzxzsrnhbbcceswoa'}, {'id': 5185693495, 'qualifierId': 194, 'value': '1z750xyx7stmv6uf51h1y6ehh'}, {'id': 5185689659, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5185689661, 'qualifierId': 59, 'value': '95, 51, 33, 99, 20, 32, 39, 92, 97, 77, 41, 45, 57, 72, 42, 70, 40, 74'}];;;;;ez988s2obn3kmpqs73o1hxzbo;Team set up;;6183,0;;;;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;;;;;;;;;;0;0;0;Minnesota United II;0;;
2715748191;2;32;1;0;0;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-08-31T19:03:33.757Z;2024-08-31T19:03:37Z;[{'id': 5185936401, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;ez988s2obn3kmpqs73o1hxzbo;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;;;;;;;;;;0;0;0;Minnesota United II;0;;
2715748175;2;32;1;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-08-31T19:03:33.757Z;2024-09-04T05:42:31Z;[{'id': 5185936285, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;ez988s2obn3kmpqs73o1hxzbo;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;;0;0;0;Real Monarchs;0;;
2715748263;3;1;1;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;50,0;50,0;2024-08-31T19:03:33.758Z;2024-08-31T19:03:38Z;[{'id': 5185936849, 'qualifierId': 212, 'value': '19.5'}, {'id': 5185936847, 'qualifierId': 141, 'value': '54.9'}, {'id': 5185936851, 'qualifierId': 213, 'value': '2.97'}, {'id': 5185936843, 'qualifierId': 56, 'value': 'Back'}, {'id': 5185936845, 'qualifierId': 140, 'value': '31.7'}, {'id': 5185936853, 'qualifierId': 279, 'value': 'S'}];tc5nl1hz1w06jobp5ckktr3e;J. Adebayo-Smith;;;ez988s2obn3kmpqs73o1hxzbo;Pass;;;;;;;;;;19,5;54,9;2,97;;31,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;31,7;54,9;;;;;;;;0;0;0;Real Monarchs;0;;1,0
2715748321;4;1;1;0;3;1pc6sx2h4rp113ldkbp5d2xas;1;31,4;54,6;2024-08-31T19:03:37.439Z;2024-08-31T19:03:41Z;[{'id': 5185937219, 'qualifierId': 141, 'value': '27.0'}, {'id': 5185937217, 'qualifierId': 140, 'value': '26.8'}, {'id': 5185937221, 'qualifierId': 212, 'value': '19.4'}, {'id': 5185937215, 'qualifierId': 56, 'value': 'Back'}, {'id': 5185937223, 'qualifierId': 213, 'value': '4.46'}];e2olfsduxvaqsx6rdbaasa356;M. Nyeman;;;ez988s2obn3kmpqs73o1hxzbo;Pass;;;;;;;;;;19,4;27,0;4,46;;26,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;26,8;27,0;;;;;;;;0;0;3;Real Monarchs;3;;1,0
2715748395;5;1;1;0;7;1pc6sx2h4rp113ldkbp5d2xas;1;26,7;27,0;2024-08-31T19:03:41Z;2024-08-31T19:03:45Z;[{'id': 5185937707, 'qualifierId': 56, 'value': 'Back'}, {'id': 5185937711, 'qualifierId': 141, 'value': '48.5'}, {'id': 5185937709, 'qualifierId': 140, 'value': '27.1'}, {'id': 5185937715, 'qualifierId': 213, 'value': '1.54'}, {'id': 5185937713, 'qualifierId': 212, 'value': '14.6'}];58839nfw30jxxroffd3a7q0wk;Hugo Bacharach;;;ez988s2obn3kmpqs73o1hxzbo;Pass;;;;;;;;;;14,6;48,5;1,54;;27,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;27,1;48,5;;;;;;;;0;0;7;Real Monarchs;7;;1,0
2715748475;6;1;1;0;11;1pc6sx2h4rp113ldkbp5d2xas;1;27,8;46,0;2024-08-31T19:03:44.872Z;2024-08-31T19:03:48Z;[{'id': 5185938173, 'qualifierId': 141, 'value': '2.0'}, {'id': 5185938179, 'qualifierId': 213, 'value': '5.13'}, {'id': 5185938169, 'qualifierId': 56, 'value': 'Back'}, {'id': 5185938177, 'qualifierId': 212, 'value': '32.8'}, {'id': 5185938183, 'qualifierId': 1}, {'id': 5185938171, 'qualifierId': 140, 'value': '40.6'}];7tjrziff3z2fl88t52j3rk3bp;Z. Valentin;;;ez988s2obn3kmpqs73o1hxzbo;Pass;;;;;;;;;;32,8;2,0;5,13;;40,6;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;40,6;2,0;;;;;;;;0;0;11;Real Monarchs;11;;1,0
2715748549;7;1;1;0;15;1pc6sx2h4rp113ldkbp5d2xas;1;39,1;3,7;2024-08-31T19:03:48.888Z;2024-08-31T19:03:51Z;[{'id': 5185938571, 'qualifierId': 213, 'value': '2.35'}, {'id': 5185938569, 'qualifierId': 212, 'value': '16.9'}, {'id': 5185938567, 'qualifierId': 141, 'value': '21.5'}, {'id': 5185938565, 'qualifierId': 140, 'value': '27.8'}, {'id': 5185938563, 'qualifierId': 56, 'value': 'Back'}];1795jw1oc3pkthyq0kqexh65m;B. Fischer;;;ez988s2obn3kmpqs73o1hxzbo;Pass;;;;;;;;;;16,9;21,5;2,35;;27,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;27,8;21,5;;;;;;;;0;0;15;Real Monarchs;15;;1,0
2715748639;8;1;1;0;17;1pc6sx2h4rp113ldkbp5d2xas;1;28,5;25,2;2024-08-31T19:03:51.528Z;2024-08-31T19:03:56Z;[{'id': 5185939061, 'qualifierId': 141, 'value': '78.2'}, {'id': 5185939063, 'qualifierId': 212, 'value': '36.1'}, {'id': 5185939065, 'qualifierId': 213, 'value': '1.52'}, {'id': 5185939067, 'qualifierId': 1}, {'id': 5185939059, 'qualifierId': 140, 'value': '30.2'}, {'id': 5185939057, 'qualifierId': 56, 'value': 'Back'}];58839nfw30jxxroffd3a7q0wk;Hugo Bacharach;;;ez988s2obn3kmpqs73o1hxzbo;Pass;;;;;;;;;;36,1;78,2;1,52;;30,2;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;30,2;78,2;;;;;;;;0;0;17;Real Monarchs;17;;1,0
