id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_JerseyNumber;value_PlayerPosition;value_TeamKit;value_TeamPlayerFormation;value_Captain;value_TeamFormation;value_Involved;value_DirectionOfPlay;value_Zone;value_Angle;value_PassEndX;value_KickOff;value_Length;value_PassEndY;value_Launch;value_LongBall;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_HeadPass;value_FlickOn;value_Chipped;value_HighGkIntervention;value_HighClaim;value_DeletedEventType;value_OverArm;value_KeeperThrow;value_TakeOnSpace;value_NextEventThrowIn;value_ThrowIn;value_TouchTypeClearance;value_IntentionalAssist;value_Assist;value_RelatedEventId;value_MisHit;value_GoalmouthZ;value_GkX;value_Assisted;value_RegularPlay;value_FirstTouch;value_OutOfBoxCentre;value_LeftFooted;value_Left;value_GoalmouthY;value_GkY;value_NextEventGoalKick;value_High;value_GoalKick;value_LayOff;value_OutOfPlay;value_TakeOnOvertake;value_NotVisible;value_Low;value_IntendedTackleTarget;value_BlockedPass;value_Shove/Push;value_Foul;value_Direct;value_FreeKickTaken;value_Defensive1V1;value_ShirtPull/Holding;value_SwitchOfPlay;value_Cross;value_OutSwinger;value_TouchTypePass;value_AttemptedTackle;value_RightFooted;value_InjuredPlayerId;value_Injury;value_Head;value_CornerTaken;value_InSwinger;value_FromCorner;value_BoxCentre;value_FantasyAssistType;value_FantasyAssistedBy;value_GoalShotGameClock;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_FantasyAssistTeam;value_OwnGoal;value_GkYTimeOfGoal;value_FantasyAssistId;value_LowRight;value_MediumGkIntervention;value_IndividualPlay;value_SwerveLeft;value_FollowsADribble;value_DrivenCross;value_Straight;value_TouchTypeControl;value_LastLine;value_BigChance;value_CloseHigh;value_SmallBoxRight;value_YellowCard;value_RecklessOffence;value_DrinksBreak;value_RefereeDelay;value_Handball;value_PlayersCaughtOffside;value_Indirect;value_LowGkIntervention;value_TacticalFoul;value_Overrun;value_Right;value_BlockedY;value_SetPiece;value_Blocked;value_BlockedX;value_NotAssisted;value_DefBlock;value_LowCentre;value_LowLeft;value_Collected;value_Reaching;value_Hands;value_Minutes;value_EndType;value_BoxRight;value_GkKickFromHands;value_BoxLeft;value_Diving;value_ParriedDanger;value_Stooping;value_ThroughBall;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_HighCentre;value_Caught;value_HighRight;value_SwerveRight;value_Volley;value_ThrowInSetPiece;value_ParriedSafe;value_VideoCoverageLost;value_CloseRight;value_SmallBoxCentre;value_AerialFoul;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2699543383;1;34;16;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-07-06T22:04:08.409Z;2024-07-06T23:04:30Z;[{'id': 5096564795, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5096564789, 'qualifierId': 59, 'value': '57, 30, 39, 22, 44, 29, 41, 6, 77, 45, 56, 24, 36, 42, 43, 47, 58, 62, 88'}, {'id': 5096564787, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5096615293, 'qualifierId': 197, 'value': '23521'}, {'id': 5096564793, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5096615291, 'qualifierId': 194, 'value': '2qz3ojbfedl8psp1tvq0183ro'}, {'id': 5096564791, 'qualifierId': 130, 'value': '3'}, {'id': 5096564785, 'qualifierId': 30, 'value': '1ceqwz4ozqi6ft5l4hf5a04r8, 15v2azulwhof0p216i7bjp250, 2qz3ojbfedl8psp1tvq0183ro, 81w1fqi66z0ibawynhraybaxg, 3h4x6eh6zkcaww4g6rhkwpbf8, a3qa9kw3vbh8nu5mgns92czro, 45v94x6b8g7n4xa3lsfdp6pzo, 20wmdzih6b1t0ekt1v2qd4b2s, 9j3va21w5i9ypf8qmt4g1vggk, de6bz3uyz5ta17f0jnnfhzims, 7bodno8j3qjiqp9wy8kobwmqc, 993vihjmsn70q9w237fatzgbu, dvems493n5l4twsq6cq2fg26s, 5aszabja459117mqykvfpajh0, 82h370aim64ufe2pugftbfxg4, d4spt2529fmys8d26x61lk36c, 872ifpo3qufi9vv9vy7ty6uj8, sqm6jwnogmzp7u7rsv3rtel0, cbpm8k301adrmft5fd0kaeiuh'}];;;;;dvq5a8ptkgjv17ev6ogfvklqs;Team set up;;;;23521,0;;;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;;;;;;;;;0;0;0;0;New England II;0;;
2699543443;1;34;16;0;0;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-07-06T22:04:25.950Z;2024-07-06T23:03:31Z;[{'id': 5096565063, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5096614689, 'qualifierId': 194, 'value': '40qi53orb0eur2jevowkvrcb8'}, {'id': 5096565055, 'qualifierId': 30, 'value': 'opnutov04c33y3gq2fjpkaac, dbyiafdyf93b8rtpceqitgopg, c1z6mxuhvuegd4c5b3hau93ze, 5e00w1rqym73habcl01wm7jtg, 7djbfbsqwu0g7wd1xo1ufp2zu, 357vd87hv0jvljqtt2qf4vmz8, et772m1f5cqceeffckpnty1p0, 40qi53orb0eur2jevowkvrcb8, 6han4f5xq1d0ii0ol2drgi4bu, 9u37akzkhdyszhevgrjghq99m, bzv3yqbc7ttf7fftbm2nelxck, d043ppr554ym2j2xf3fcmbqsq, anysxg2z6niqapc5m3f4tzims, 6j4ibkpbos6w5ikle58u2vo, 97kzr8rgekycws02q55a63z3e, dc8u2bssrhxycx8vtn0kutp4a, 3o7f3ozutbsry5xl2l7ktct0, bnspew1iw2jxr1s3a5oubp4ic, 9a5pacvk3wisje1491zslwkr8, e208kj99mfivrlo85v8znc4r8'}, {'id': 5096565061, 'qualifierId': 130, 'value': '4'}, {'id': 5096614411, 'qualifierId': 197, 'value': '18745'}, {'id': 5096565059, 'qualifierId': 59, 'value': '73, 30, 42, 7, 66, 43, 31, 17, 11, 14, 32, 9, 16, 27, 33, 41, 34, 45, 88, 99'}, {'id': 5096565065, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5096565057, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;;dvq5a8ptkgjv17ev6ogfvklqs;Team set up;;;;18745,0;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;0;0;0;0;Philadelphia Union II;0;;
2699551175;2;32;1;0;0;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-07-06T23:04:30.140Z;2024-07-13T12:57:50Z;[{'id': 5096616039, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;dvq5a8ptkgjv17ev6ogfvklqs;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;0;0;0;0;Philadelphia Union II;0;;
2699551191;2;32;1;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-07-06T23:04:30.140Z;2024-07-06T23:04:33Z;[{'id': 5096616119, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;dvq5a8ptkgjv17ev6ogfvklqs;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;;;;;;;;;0;0;0;0;New England II;0;;
2699551195;3;1;1;0;0;csntc7hucmo21gknxc5y0kc4q;1;49,9;49,7;2024-07-06T23:04:30.141Z;2024-07-13T10:44:00Z;[{'id': 5096616147, 'qualifierId': 56, 'value': 'Back'}, {'id': 5096616155, 'qualifierId': 213, 'value': '3.05'}, {'id': 5096616149, 'qualifierId': 140, 'value': '36.5'}, {'id': 5096616157, 'qualifierId': 279, 'value': 'S'}, {'id': 5096616153, 'qualifierId': 212, 'value': '14.1'}, {'id': 5096616151, 'qualifierId': 141, 'value': '51.5'}];5e00w1rqym73habcl01wm7jtg;O. Escobar;;;dvq5a8ptkgjv17ev6ogfvklqs;Pass;;;;;;;;;;;3,05;36,5;;14,1;51,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;36,5;51,5;;;;;;;0;0;0;0;Philadelphia Union II;0;MC;1,0
2699551203;4;1;1;0;3;csntc7hucmo21gknxc5y0kc4q;0;35,0;48,5;2024-07-06T23:04:33.222Z;2024-07-13T10:45:32Z;[{'id': 5096616201, 'qualifierId': 212, 'value': '41.1'}, {'id': 5096616199, 'qualifierId': 141, 'value': '78.7'}, {'id': 5096616203, 'qualifierId': 213, 'value': '0.52'}, {'id': 5096616197, 'qualifierId': 140, 'value': '68.9'}, {'id': 5102255083, 'qualifierId': 157}, {'id': 5096616205, 'qualifierId': 1}, {'id': 5096616195, 'qualifierId': 56, 'value': 'Center'}];et772m1f5cqceeffckpnty1p0;E. Klein;;;dvq5a8ptkgjv17ev6ogfvklqs;Pass;;;;;;;;;;;0,52;68,9;;41,1;78,7;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;68,9;78,7;;;;;;;0;0;0;3;Philadelphia Union II;3;MC;1,0
2700587355;776;44;1;0;4;1zgjjyruyufrkh4xjvryqsb1i;1;37,0;20,5;2024-07-06T23:04:34.442Z;2024-07-14T08:44:06Z;[{'id': 5104237695, 'qualifierId': 233, 'value': '981'}, {'id': 5102255191, 'qualifierId': 56, 'value': 'Back'}, {'id': 5102255197, 'qualifierId': 285}];45v94x6b8g7n4xa3lsfdp6pzo;D. Vazquez;;;dvq5a8ptkgjv17ev6ogfvklqs;Aerial;;;;;;;;;;;;;;;;;;981,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;;;;;;;;;0;0;0;4;New England II;4;MR;1,0
2700587357;981;44;1;0;4;csntc7hucmo21gknxc5y0kc4q;0;63,0;79,5;2024-07-06T23:04:34.443Z;2024-07-13T10:45:38Z;[{'id': 5102255199, 'qualifierId': 56, 'value': 'Left'}, {'id': 5102255203, 'qualifierId': 286}, {'id': 5102255205, 'qualifierId': 233, 'value': '776'}];40qi53orb0eur2jevowkvrcb8;P. Leal;;;dvq5a8ptkgjv17ev6ogfvklqs;Aerial;;;;;;;;;;;;;;;;;;776,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;0;0;0;4;Philadelphia Union II;4;MC;1,0
2699551219;3;1;1;0;4;1zgjjyruyufrkh4xjvryqsb1i;0;32,3;20,5;2024-07-06T23:04:34.541Z;2024-07-13T10:45:45Z;[{'id': 5096616299, 'qualifierId': 3}, {'id': 5096616307, 'qualifierId': 212, 'value': '29.8'}, {'id': 5096616305, 'qualifierId': 141, 'value': '24.8'}, {'id': 5096616303, 'qualifierId': 140, 'value': '60.5'}, {'id': 5096616301, 'qualifierId': 56, 'value': 'Center'}, {'id': 5096616309, 'qualifierId': 213, 'value': '0.10'}];45v94x6b8g7n4xa3lsfdp6pzo;D. Vazquez;;;dvq5a8ptkgjv17ev6ogfvklqs;Pass;;;;;;;;;;;0,1;60,5;;29,8;24,8;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;away;60,5;24,8;;;;;;;0;0;0;4;New England II;4;MR;1,0
2699551253;5;1;1;0;8;csntc7hucmo21gknxc5y0kc4q;1;40,9;74,8;2024-07-06T23:04:38.502Z;2024-07-13T10:45:50Z;[{'id': 5096616467, 'qualifierId': 3}, {'id': 5096616471, 'qualifierId': 140, 'value': '52.7'}, {'id': 5096616475, 'qualifierId': 212, 'value': '20.3'}, {'id': 5096616473, 'qualifierId': 141, 'value': '51.1'}, {'id': 5096616477, 'qualifierId': 213, 'value': '5.37'}, {'id': 5096616469, 'qualifierId': 56, 'value': 'Center'}];357vd87hv0jvljqtt2qf4vmz8;S. Suárez;;;dvq5a8ptkgjv17ev6ogfvklqs;Pass;;;;;;;;;;;5,37;52,7;;20,3;51,1;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;52,7;51,1;;;;;;;0;0;0;8;Philadelphia Union II;8;DC;1,0
