id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_TeamFormation;value_TeamPlayerFormation;value_Involved;value_TeamKit;value_PlayerPosition;value_JerseyNumber;value_Captain;value_Resume;value_DirectionOfPlay;value_Length;value_KickOff;value_Zone;value_Angle;value_PassEndX;value_PassEndY;value_Launch;value_LongBall;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_IntendedTackleTarget;value_Offensive;value_Defensive;value_TouchTypeClearance;value_Chipped;value_ShirtPull/Holding;value_Foul;value_Direct;value_FreeKickTaken;value_DeletedEventType;value_PlayersCaughtOffside;value_Indirect;value_BlockedPass;value_NextEventGoalKick;value_Low;value_GoalKick;value_TakeOnOvertake;value_IntentionalAssist;value_Assist;value_RegularPlay;value_Assisted;value_GoalmouthZ;value_BigChance;value_LowRight;value_GoalmouthY;value_GoalShotTimestamp;value_BoxCentre;value_GkY;value_RelatedEventId;value_RightFooted;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_FirstTouch;value_GoalShotGameClock;value_GkX;value_LayOff;value_Cross;value_OutSwinger;value_LeftFooted;value_SmallBoxLeft;value_CloseLeft;value_ThroughBall;value_SwitchOfPlay;value_PullBack;value_FantasyAssistTeam;value_FantasyAssistId;value_FantasyAssistType;value_FantasyAssistedBy;value_NotAssisted;value_Defensive1V1;value_AttemptedTackle;value_Overrun;value_TouchTypePass;value_TakeOnSpace;value_OutOfPlay;value_Left;value_Right;value_CornerTaken;value_InSwinger;value_Head;value_HighGkIntervention;value_KeeperThrow;value_TouchTypeControl;value_Blocked;value_BlockedX;value_FromCorner;value_BlockedY;value_LowLeft;value_BoxLeft;value_DefBlock;value_CloseLeftAndHigh;value_OutOfBoxCentre;value_NotVisible;value_LowCentre;value_IndividualPlay;value_LowGkIntervention;value_OverArm;value_FlickOn;value_RecklessOffence;value_YellowCard;value_FastBreak;value_HighCentre;value_MediumGkIntervention;value_RefereeStop;value_WeatherProblem;value_ClockAffecting;value_SixYardBlocked;value_HeadPass;value_TacticalFoul;value_CloseRight;value_BoxRight;value_Penalty;value_PenaltyTakerId;value_Hands;value_ParriedSafe;value_Standing;value_Saved;value_Diving;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_Collected;value_Minutes;value_BoxDeepLeft;value_OverhitCross;value_EndType;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_Shove/Push;value_HighLeft;value_Volley;value_Handball;value_Straight;value_DrivenCross;value_Injury;value_InjuredPlayerId;value_AerialFoul;value_MisHit;value_NotPastGoalLine;value_SmallBoxCentre;value_HighRight;value_Reaching;value_GkKickFromHands;value_SwerveLeft;value_KeeperTouched;value_VideoCoverageLost;value_BlockedCross;value_SoloRun;value_ParriedDanger;value_OtherBodyPart;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;value_NewStartTime;value_Estimated;value_CoachTypes;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2698809147;552;61;2;69;12;6ubc4y1v6hr63mca7ica4hp90;0;62,0;16,7;2024-07-01T01:00:26.648Z;2024-07-01T01:00:27Z;[{'id': 5092514839, 'qualifierId': 56, 'value': 'Right'}];f12wt1v2qf2siv8p6q6x2bxuc;D. Sing;;;dpnd9apr7pvehvnwqne9dmrkk;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;69;12;Chicago Fire II;4152;FW;1,0
2698809149;553;83;2;69;12;6ubc4y1v6hr63mca7ica4hp90;0;62,1;17,2;2024-07-01T01:00:27.112Z;2024-07-01T01:27:32Z;[{'id': 5092537987, 'qualifierId': 399, 'value': '72xktsosbsh2uwkwby59mr6z8'}];f12wt1v2qf2siv8p6q6x2bxuc;D. Sing;;;dpnd9apr7pvehvnwqne9dmrkk;Attempted tackle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;69;12;Chicago Fire II;4152;FW;1,0
2698809151;596;49;2;69;13;8o8m08he36u0j4w08aj2iodn8;1;39,2;71,4;2024-07-01T01:00:27.821Z;2024-07-01T01:00:27Z;[];72xktsosbsh2uwkwby59mr6z8;D. Konincks;;;dpnd9apr7pvehvnwqne9dmrkk;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;69;13;Crown Legacy;4153;DC;1,0
2698809153;597;1;2;69;13;8o8m08he36u0j4w08aj2iodn8;1;39,2;71,1;2024-07-01T01:00:28.037Z;2024-07-01T01:00:28Z;[{'id': 5092514853, 'qualifierId': 141, 'value': '61.2'}, {'id': 5092514845, 'qualifierId': 56, 'value': 'Back'}, {'id': 5092514855, 'qualifierId': 212, 'value': '8.5'}, {'id': 5092514857, 'qualifierId': 213, 'value': '4.06'}, {'id': 5092514849, 'qualifierId': 140, 'value': '34.3'}];72xktsosbsh2uwkwby59mr6z8;D. Konincks;;;dpnd9apr7pvehvnwqne9dmrkk;Pass;;;;;;;;;;8,5;;;4,06;34,3;61,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;34,3;61,2;;;;;;;;0;69;13;Crown Legacy;4153;DC;1,0
2698809155;598;1;2;69;14;8o8m08he36u0j4w08aj2iodn8;1;34,3;61,2;2024-07-01T01:00:28.853Z;2024-07-01T01:00:30Z;[{'id': 5092514883, 'qualifierId': 141, 'value': '54.3'}, {'id': 5092514879, 'qualifierId': 56, 'value': 'Back'}, {'id': 5092514881, 'qualifierId': 140, 'value': '45.1'}, {'id': 5092514887, 'qualifierId': 213, 'value': '5.89'}, {'id': 5092514885, 'qualifierId': 212, 'value': '12.3'}];5d341k1dxhlbetyh965z3q784;J. Shannon;;;dpnd9apr7pvehvnwqne9dmrkk;Pass;;;;;;;;;;12,3;;;5,89;45,1;54,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;45,1;54,3;;;;;;;;0;69;14;Crown Legacy;4154;DC;1,0
2698809161;554;45;2;69;16;6ubc4y1v6hr63mca7ica4hp90;0;54,2;52,0;2024-07-01T01:00:30.349Z;2024-07-01T01:00:34Z;[{'id': 5092514933, 'qualifierId': 233, 'value': '599'}, {'id': 5092514921, 'qualifierId': 56, 'value': 'Center'}, {'id': 5092514923, 'qualifierId': 285}];dercetgxemr74f5yasq86s5t6;P. Mayaka;;;dpnd9apr7pvehvnwqne9dmrkk;Challenge;;;;;;;;;;;;;;;;;;599,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;69;16;Chicago Fire II;4156;MC;1,0
2698809159;599;3;2;69;16;8o8m08he36u0j4w08aj2iodn8;1;45,8;48,0;2024-07-01T01:00:30.349Z;2024-07-03T10:43:38Z;[{'id': 5093747589, 'qualifierId': 465}, {'id': 5092514927, 'qualifierId': 233, 'value': '554'}, {'id': 5092514919, 'qualifierId': 286}, {'id': 5092514917, 'qualifierId': 56, 'value': 'Back'}];b1p6qcv8wjzoxoax3nt13n5gq;D. Poręba;;;dpnd9apr7pvehvnwqne9dmrkk;Take On;;;;;;;;;;;;;;;;;;554,0;;;;1,0;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;69;16;Crown Legacy;4156;FW;1,0
2698809163;600;61;2;69;19;8o8m08he36u0j4w08aj2iodn8;0;53,3;50,3;2024-07-01T01:00:33.469Z;2024-07-01T01:00:33Z;[{'id': 5092514925, 'qualifierId': 56, 'value': 'Center'}];b1p6qcv8wjzoxoax3nt13n5gq;D. Poręba;;;dpnd9apr7pvehvnwqne9dmrkk;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;69;19;Crown Legacy;4159;FW;1,0
2698809169;555;1;2;69;20;6ubc4y1v6hr63mca7ica4hp90;0;42,7;42,4;2024-07-01T01:00:34.472Z;2024-07-01T01:00:42Z;[{'id': 5092514961, 'qualifierId': 56, 'value': 'Center'}, {'id': 5092514957, 'qualifierId': 157}, {'id': 5092514971, 'qualifierId': 212, 'value': '18.3'}, {'id': 5092514977, 'qualifierId': 1}, {'id': 5092514967, 'qualifierId': 141, 'value': '56.0'}, {'id': 5092514965, 'qualifierId': 140, 'value': '57.7'}, {'id': 5092514973, 'qualifierId': 213, 'value': '0.53'}];9qhpi9y9iujvkbocafhgrj04q;C. Duke;;;dpnd9apr7pvehvnwqne9dmrkk;Pass;;;;;;;;;;18,3;;;0,53;57,7;56,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;57,7;56,0;;;;;;;;0;69;20;Chicago Fire II;4160;MC;1,0
2698809173;556;83;2;69;23;6ubc4y1v6hr63mca7ica4hp90;0;53,7;53,3;2024-07-01T01:00:38.022Z;2024-07-01T01:27:32Z;[{'id': 5092537985, 'qualifierId': 399, 'value': '64wbk2nsrs0ru0hjcq0lenwgk'}];f12wt1v2qf2siv8p6q6x2bxuc;D. Sing;;;dpnd9apr7pvehvnwqne9dmrkk;Attempted tackle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;69;23;Chicago Fire II;4163;FW;1,0
