id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_TeamPlayerFormation;value_JerseyNumber;value_Involved;value_TeamFormation;value_TeamKit;value_Captain;value_Resume;value_DirectionOfPlay;value_Length;value_PassEndX;value_PassEndY;value_Zone;value_Angle;value_Chipped;value_LongBall;value_KeeperThrow;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_Cross;value_SwitchOfPlay;value_BlockedPass;value_Assist;value_Left;value_RegularPlay;value_IndividualPlay;value_GoalmouthY;value_GoalmouthZ;value_GkX;value_Assisted;value_RelatedEventId;value_35Centre;value_GkY;value_RightFooted;value_NextEventGoalKick;value_Low;value_GoalKick;value_HeadPass;value_Launch;value_Head;value_LayOff;value_DeletedEventType;value_Direct;value_Handball;value_YellowCard;value_NotRetreating;value_FreeKickTaken;value_NextEventThrowIn;value_ThrowIn;value_IntendedTackleTarget;value_IntentionalAssist;value_CloseHigh;value_FirstTouch;value_LeftFooted;value_BoxCentre;value_Foul;value_AttemptedTackle;value_FlickOn;value_OutOfPlay;value_HighLeft;value_OutOfBoxCentre;value_GoalShotGameClock;value_HitWoodwork;value_HitBar;value_GoalShotTimestamp;value_BlockedY;value_KickOff;value_NotAssisted;value_HighCentre;value_BlockedX;value_Hands;value_ParriedSafe;value_Reaching;value_InSwinger;value_CornerTaken;value_High;value_SecondYellow;value_RecklessOffence;value_GkKickFromHands;value_PlayersCaughtOffside;value_Indirect;value_Blocked;value_LowRight;value_SixYardBlocked;value_Volley;value_DefBlock;value_Right;value_FromCorner;value_CloseLeft;value_AerialFoul;value_LowCentre;value_ParriedDanger;value_Diving;value_HighRight;value_ShirtPull/Holding;value_TacticalFoul;value_BigChance;value_SetPiece;value_Injury;value_InjuredPlayerId;value_HighClaim;value_SwerveRight;value_BoxRight;value_Minutes;value_CloseRight;value_NotPastGoalLine;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_Tap;value_BoxDeepRight;value_Standing;value_Collected;value_OverArm;value_BoxLeft;value_LowLeft;value_GkHoof;value_OwnPlayer;value_OwnShotBlocked;value_Stooping;value_BlockedCross;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2712934961;1;34;16;0;0;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-08-24T23:02:46.012Z;2024-08-24T23:43:40Z;[{'id': 5170523193, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5170523199, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5170523195, 'qualifierId': 59, 'value': '73, 41, 32, 17, 88, 31, 14, 50, 39, 22, 16, 42, 45, 23, 11, 19, 13, 30, 54, 27'}, {'id': 5170523191, 'qualifierId': 30, 'value': 'opnutov04c33y3gq2fjpkaac, dc8u2bssrhxycx8vtn0kutp4a, bzv3yqbc7ttf7fftbm2nelxck, 40qi53orb0eur2jevowkvrcb8, 9a5pacvk3wisje1491zslwkr8, et772m1f5cqceeffckpnty1p0, 9u37akzkhdyszhevgrjghq99m, 853mqqlenq3yctucs92vfieqc, 69ypla76c710iv0yegix1maz8, 4iepghv4p490fxo5s429qeicq, anysxg2z6niqapc5m3f4tzims, c1z6mxuhvuegd4c5b3hau93ze, bnspew1iw2jxr1s3a5oubp4ic, akwjik09wytzzr3yras0diqz8, 6han4f5xq1d0ii0ol2drgi4bu, 5e00w1rqym73habcl01wm7jtg, 5adul4r3hifu5x4tv8efr05ey, dbyiafdyf93b8rtpceqitgopg, c8wq3ofarkeeisqr49fhrvwno, 6j4ibkpbos6w5ikle58u2vo'}, {'id': 5170523197, 'qualifierId': 130, 'value': '8'}, {'id': 5170612371, 'qualifierId': 197, 'value': '18745'}, {'id': 5170523201, 'qualifierId': 194, 'value': 'dc8u2bssrhxycx8vtn0kutp4a'}, {'id': 5170523203, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;euott0tjh2b3wppm63c9url78;Team set up;;;;;8,0;18745,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;;;;;;;0;0;0;0;Carolina Core;0;;
2712934995;1;34;16;0;0;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-08-24T23:02:51.542Z;2024-08-24T23:48:41Z;[{'id': 5170523423, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5170523425, 'qualifierId': 59, 'value': '98, 14, 22, 4, 2, 20, 12, 29, 15, 24, 10, 31, 21, 6, 13, 7, 18, 68, 11, 99'}, {'id': 5170523421, 'qualifierId': 30, 'value': '9i2pmc50q29y560ojvik3sdg4, 3acyax22zfwdjw0cpgg4x7dre, 5zhvp39a530j8j03lsrtk8bv8, 2d9cw6dcm2wsgrr8mj5rt6zje, 74x5zysb9qkyyxuha65102z56, f0jwa1a61lxs31g47csjv7itw, f3uzkdl46t1mujsddhr5tg07o, clvcgt5ofonse0q96sppu7hg4, 8p0k65b4c26ssfk0zh43lme7e, 3jx1f1s8r150i6qo2juzooro4, 6oia90bi52zwmgdlvcvfnj1pm, 6le9ztbx7n6ogg6fdxmnrk9w4, 1j1ybmazykfh5nqs7egkcdxck, 1y1nw8t5bj1r6dqie0v1i189g, 1nbbgew67td8zayaffvr1zcb8, ew25ktcp76pmryz5psl1ctlka, 11ppoeb5n4q657bwbg4cdxck, 1d3o1u737jwck27g5ql2pp3vt, ami9xddgghvnly4mwtdj2tlyi, 6qu8uu28fk2dbbeymuu6yii38'}, {'id': 5170523429, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5170523427, 'qualifierId': 130, 'value': '17'}, {'id': 5170658191, 'qualifierId': 197, 'value': '23612'}, {'id': 5170523433, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5170523431, 'qualifierId': 194, 'value': '6oia90bi52zwmgdlvcvfnj1pm'}];;;;;euott0tjh2b3wppm63c9url78;Team set up;;;;;17,0;23612,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;0;0;0;0;New England II;0;;
2712950513;2;32;1;0;0;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-08-24T23:34:16.930Z;2024-08-24T23:37:43Z;[{'id': 5170611905, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;euott0tjh2b3wppm63c9url78;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;;;;;;;0;0;0;0;Carolina Core;0;;
2712950535;2;32;1;0;0;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-08-24T23:34:16.930Z;2024-08-24T23:37:42Z;[{'id': 5170611981, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;euott0tjh2b3wppm63c9url78;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;0;0;0;0;New England II;0;;
2712950775;3;68;1;3;30;csntc7hucmo21gknxc5y0kc4q;0;41,8;13,9;2024-08-24T23:37:47.651Z;2024-08-24T23:37:49Z;[];;;;;euott0tjh2b3wppm63c9url78;Referee Drop Ball;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;;;;;;;0;0;3;30;Carolina Core;210;;
2712950783;3;68;1;3;31;2nnef9tr9g7m2s6n873qif95g;1;62,2;70,9;2024-08-24T23:37:48.705Z;2024-08-24T23:37:48Z;[];;;;;euott0tjh2b3wppm63c9url78;Referee Drop Ball;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;0;0;3;31;New England II;211;;
2712950855;4;1;1;3;35;2nnef9tr9g7m2s6n873qif95g;1;34,0;53,1;2024-08-24T23:37:52.473Z;2024-08-24T23:37:54Z;[{'id': 5170613547, 'qualifierId': 212, 'value': '22.8'}, {'id': 5170613543, 'qualifierId': 140, 'value': '36.5'}, {'id': 5170613545, 'qualifierId': 141, 'value': '19.8'}, {'id': 5170613541, 'qualifierId': 56, 'value': 'Back'}, {'id': 5170613549, 'qualifierId': 213, 'value': '4.83'}];74x5zysb9qkyyxuha65102z56;D. Chica;;;euott0tjh2b3wppm63c9url78;Pass;;;;;;;;;;22,8;36,5;19,8;;4,83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;36,5;19,8;;;;;;;0;0;3;35;New England II;215;DC;1,0
2712950893;5;1;1;3;37;2nnef9tr9g7m2s6n873qif95g;0;36,9;15,3;2024-08-24T23:37:54.441Z;2024-08-24T23:37:57Z;[{'id': 5170613735, 'qualifierId': 56, 'value': 'Center'}, {'id': 5170613739, 'qualifierId': 141, 'value': '25.6'}, {'id': 5170613733, 'qualifierId': 155}, {'id': 5170613743, 'qualifierId': 213, 'value': '0.13'}, {'id': 5170613737, 'qualifierId': 140, 'value': '87.1'}, {'id': 5170613745, 'qualifierId': 1}, {'id': 5170613741, 'qualifierId': 212, 'value': '53.2'}];3acyax22zfwdjw0cpgg4x7dre;J. Juarez;;;euott0tjh2b3wppm63c9url78;Pass;;;;;;;;;;53,2;87,1;25,6;;0,13;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;87,1;25,6;;;;;;;0;0;3;37;New England II;217;DMR;1,0
2712950921;4;52;1;3;41;csntc7hucmo21gknxc5y0kc4q;1;10,2;68,1;2024-08-24T23:37:58.663Z;2024-08-24T23:37:58Z;[];opnutov04c33y3gq2fjpkaac;J. Gunn;;;euott0tjh2b3wppm63c9url78;Keeper pick-up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;;;;;;;0;0;3;41;Carolina Core;221;GK;1,0
2712951061;5;1;1;3;48;csntc7hucmo21gknxc5y0kc4q;1;9,8;62,9;2024-08-24T23:38:05.713Z;2024-08-24T23:38:09Z;[{'id': 5170614515, 'qualifierId': 212, 'value': '16.2'}, {'id': 5170614511, 'qualifierId': 141, 'value': '39.1'}, {'id': 5170614519, 'qualifierId': 213, 'value': '4.64'}, {'id': 5170614507, 'qualifierId': 56, 'value': 'Back'}, {'id': 5170614509, 'qualifierId': 140, 'value': '8.7'}, {'id': 5170614505, 'qualifierId': 123}];opnutov04c33y3gq2fjpkaac;J. Gunn;;;euott0tjh2b3wppm63c9url78;Pass;;;;;;;;;;16,2;8,7;39,1;;4,64;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;8,7;39,1;;;;;;;0;0;3;48;Carolina Core;228;GK;1,0
