id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_TeamFormation;value_JerseyNumber;value_TeamPlayerFormation;value_TeamKit;value_Involved;value_Resume;value_Captain;value_DirectionOfPlay;value_PassEndX;value_KickOff;value_Zone;value_PassEndY;value_Length;value_Angle;value_TouchTypeClearance;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Offensive;value_RightFooted;value_Cross;value_OutSwinger;value_BlockedPass;value_BlockedCross;value_Left;value_Right;value_CornerTaken;value_Assist;value_IntentionalAssist;value_BoxDeepRight;value_GkX;value_GkY;value_GoalmouthY;value_Volley;value_RelatedEventId;value_GoalmouthZ;value_FirstTouch;value_FromCorner;value_Assisted;value_NextEventGoalKick;value_Low;value_GoalKick;value_Launch;value_LongBall;value_IntendedTackleTarget;value_Chipped;value_HeadPass;value_Defensive;value_DeletedEventType;value_PlayersCaughtOffside;value_Indirect;value_FreeKickTaken;value_NotVisible;value_TakeOnSpace;value_TouchTypeControl;value_TouchTypePass;value_OverhitCross;value_Shove/Push;value_Direct;value_Foul;value_SwitchOfPlay;value_Defensive1V1;value_AttemptedTackle;value_CloseLeft;value_FreeKick;value_SwerveLeft;value_NotAssisted;value_OutOfBoxCentre;value_High;value_LayOff;value_YellowCard;value_RecklessOffence;value_TakeOnOvertake;value_BoxRight;value_RegularPlay;value_LastLine;value_BlockedY;value_BlockedX;value_LowRight;value_Hands;value_Collected;value_Stooping;value_LowGkIntervention;value_KeeperThrow;value_OutOfPlay;value_Head;value_IndividualPlay;value_HighRight;value_Straight;value_DrivenCross;value_LowCentre;value_BoxCentre;value_Blocked;value_DefBlock;value_Diving;value_Fingertip;value_TacticalFoul;value_Overrun;value_MediumGkIntervention;value_OverArm;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_GoalShotGameClock;value_FantasyAssistType;value_SmallBoxCentre;value_FantasyAssistedBy;value_LeftFooted;value_FantasyAssistTeam;value_FantasyAssistId;value_OwnGoal;value_BigChance;value_RefereeDelay;value_OtherReason;value_FlickOn;value_ByWall;value_InSwinger;value_SmallBoxLeft;value_SixYardBlocked;value_LowLeft;value_Minutes;value_KeeperTouched;value_EndType;value_PullBack;value_AerialFoul;value_ShirtPull/Holding;value_ThroughBall;value_InjuredPlayerId;value_Injury;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_Tactical;value_Unchallenged;value_Dissent;value_OtherObstacle;value_MisHit;value_NotPastGoalLine;value_Weak;value_CaptainChange;value_HighGkIntervention;value_HighClaim;value_Handball;value_SetPiece;value_CloseRight;value_Deflection;value_SwerveRight;value_SmallBoxRight;value_Standing;value_GoesToPenalties;value_Penalty;value_Scored;value_Second(2Nd)OppositeRelatedEventId;value_HitWoodwork;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2698801983;669;44;2;68;3;d0c07im4a6oj8qa7f1zlt3pqs;1;5,6;47,6;2024-07-01T00:30:33.945Z;2024-07-01T00:36:30Z;[{'id': 5092475429, 'qualifierId': 233, 'value': '577'}, {'id': 5092475395, 'qualifierId': 56, 'value': 'Back'}, {'id': 5092475397, 'qualifierId': 285}];ec3xdenc4ncg4sc8ni4kkyln8;A. Gomez;;;drwrto2k40phpv6ei0ufnw26s;Aerial;;;;;;;;;;;;;;;;;;577,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;;0;68;3;Sporting KC II;4083;DL;1,0
2698801981;577;44;2;68;3;7fbej4xwoq4imaf5l39304m37;0;94,4;52,4;2024-07-01T00:30:33.946Z;2024-07-01T00:57:56Z;[{'id': 5092475447, 'qualifierId': 233, 'value': '669'}, {'id': 5092475393, 'qualifierId': 286}, {'id': 5092475391, 'qualifierId': 56, 'value': 'Center'}];i15xuf6lug0m5twd06n2pus4;Pau Vidal;;;drwrto2k40phpv6ei0ufnw26s;Aerial;;;;;;;;;;;;;;;;;;669,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;;0;68;3;Austin II;4083;Sub;1,0
2698801987;670;12;2;68;3;d0c07im4a6oj8qa7f1zlt3pqs;1;5,3;49,3;2024-07-01T00:30:34.409Z;2024-07-01T00:36:28Z;[{'id': 5092475417, 'qualifierId': 212, 'value': '12.9'}, {'id': 5092475411, 'qualifierId': 56, 'value': 'Back'}, {'id': 5092475419, 'qualifierId': 213, 'value': '0.75'}, {'id': 5092475413, 'qualifierId': 140, 'value': '14.3'}, {'id': 5092475423, 'qualifierId': 15}, {'id': 5092475415, 'qualifierId': 141, 'value': '62.3'}];ec3xdenc4ncg4sc8ni4kkyln8;A. Gomez;;;drwrto2k40phpv6ei0ufnw26s;Clearance;;;;;;;;;;14,3;;;62,3;12,9;0,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;14,3;62,3;;;;;;;;0;68;3;Sporting KC II;4083;DL;1,0
2698801991;578;43;2;68;6;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-07-01T00:30:36.649Z;2024-07-01T00:30:43Z;[{'id': 5092475553, 'qualifierId': 144, 'value': '42'}];3tkdn8arq1j3il4ako7rcio2y;M. Goumballe;;;drwrto2k40phpv6ei0ufnw26s;Deleted event;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;;0;68;6;Austin II;4086;AMR;1,0
2698801995;579;43;2;68;6;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-07-01T00:30:37.529Z;2024-07-01T00:30:43Z;[{'id': 5092475493, 'qualifierId': 13, 'value': '0'}, {'id': 5092475497, 'qualifierId': 152, 'value': '0'}, {'id': 5092475499, 'qualifierId': 265, 'value': '0'}, {'id': 5092475551, 'qualifierId': 144, 'value': '4'}, {'id': 5092475501, 'qualifierId': 286, 'value': '0'}, {'id': 5092475495, 'qualifierId': 56, 'value': 'Center'}];3tkdn8arq1j3il4ako7rcio2y;M. Goumballe;;;drwrto2k40phpv6ei0ufnw26s;Deleted event;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,0;;;;;;;;;;0,0;0,0;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;;0;68;6;Austin II;4086;AMR;1,0
2698802013;671;12;2;68;10;d0c07im4a6oj8qa7f1zlt3pqs;1;12,2;61,1;2024-07-01T00:30:40.778Z;2024-07-01T00:36:59Z;[{'id': 5092475595, 'qualifierId': 213, 'value': '5.74'}, {'id': 5092475593, 'qualifierId': 212, 'value': '14.6'}, {'id': 5092475587, 'qualifierId': 56, 'value': 'Back'}, {'id': 5092475591, 'qualifierId': 141, 'value': '49.9'}, {'id': 5092475589, 'qualifierId': 140, 'value': '24.1'}, {'id': 5092475597, 'qualifierId': 15}];2yxzh220ndd4s4wqditruo0h6;A. Ramírez;;;drwrto2k40phpv6ei0ufnw26s;Clearance;;;;;;;;;;24,1;;;49,9;14,6;5,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;24,1;49,9;;;;;;;;0;68;10;Sporting KC II;4090;MC;1,0
2698802203;584;13;2;68;14;7fbej4xwoq4imaf5l39304m37;1;82,5;33,1;2024-07-01T00:30:45.354Z;2024-07-06T08:49:57Z;[{'id': 5092476641, 'qualifierId': 56, 'value': 'Center'}, {'id': 5092477995, 'qualifierId': 328}, {'id': 5092477983, 'qualifierId': 25}, {'id': 5092477997, 'qualifierId': 391}, {'id': 5092478001, 'qualifierId': 153}, {'id': 5092478005, 'qualifierId': 147, 'value': '54.3'}, {'id': 5092478007, 'qualifierId': 230, 'value': '99.1'}, {'id': 5092477989, 'qualifierId': 102, 'value': '68.6'}, {'id': 5092477991, 'qualifierId': 103, 'value': '2.8'}, {'id': 5092478003, 'qualifierId': 146, 'value': '91.4'}, {'id': 5092477999, 'qualifierId': 458}, {'id': 5092477993, 'qualifierId': 215}, {'id': 5092477985, 'qualifierId': 114}, {'id': 5092476787, 'qualifierId': 20}, {'id': 5092478009, 'qualifierId': 231, 'value': '49.5'}, {'id': 5092476639, 'qualifierId': 18}, {'id': 5092477987, 'qualifierId': 73}];vhjelesjaxtgjcgfv7yxp2lm;S. Cruz;;;drwrto2k40phpv6ei0ufnw26s;Miss;;;;;;;;;;;;;;;;;;;;;1,0;;;;;1,0;;;;;;99,1;49,5;68,6;;;2,8;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;54,3;91,4;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;91,4;54,3;68,6;2.8;;;;0;68;14;Austin II;4094;MC;1,0
2698802021;672;12;2;68;15;d0c07im4a6oj8qa7f1zlt3pqs;1;12,5;48,3;2024-07-01T00:30:46.266Z;2024-07-01T00:36:56Z;[{'id': 5092478421, 'qualifierId': 140, 'value': '0.0'}, {'id': 5092478423, 'qualifierId': 141, 'value': '33.1'}, {'id': 5092478427, 'qualifierId': 213, 'value': '3.76'}, {'id': 5092478419, 'qualifierId': 167}, {'id': 5092475633, 'qualifierId': 56, 'value': 'Back'}, {'id': 5092478425, 'qualifierId': 212, 'value': '17.9'}];ec3xdenc4ncg4sc8ni4kkyln8;A. Gomez;;;drwrto2k40phpv6ei0ufnw26s;Clearance;;;;;;;;;;0,0;;;33,1;17,9;3,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;0,0;33,1;;;;;;;;0;68;15;Sporting KC II;4095;DL;1,0
2698802029;580;6;2;68;16;7fbej4xwoq4imaf5l39304m37;1;86,4;57,0;2024-07-01T00:30:47.034Z;2024-07-01T00:58:54Z;[{'id': 5092475693, 'qualifierId': 233, 'value': '673'}, {'id': 5092475677, 'qualifierId': 56, 'value': 'Center'}, {'id': 5092475679, 'qualifierId': 73}];vhjelesjaxtgjcgfv7yxp2lm;S. Cruz;;;drwrto2k40phpv6ei0ufnw26s;Corner Awarded;;;;;;;;;;;;;;;;;;673,0;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;;0;68;16;Austin II;4096;MC;1,0
2698802025;673;6;2;68;16;d0c07im4a6oj8qa7f1zlt3pqs;0;13,6;43,0;2024-07-01T00:30:47.034Z;2024-07-06T08:50:34Z;[{'id': 5092475663, 'qualifierId': 73}, {'id': 5092475711, 'qualifierId': 233, 'value': '580'}, {'id': 5092475661, 'qualifierId': 56, 'value': 'Back'}];ec3xdenc4ncg4sc8ni4kkyln8;A. Gomez;;;drwrto2k40phpv6ei0ufnw26s;Corner Awarded;;;;;;;;;;;;;;;;;;580,0;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;;0;68;16;Sporting KC II;4096;DL;1,0
