id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_JerseyNumber;value_PlayerPosition;value_TeamPlayerFormation;value_Captain;value_TeamFormation;value_Involved;value_Resume;value_DirectionOfPlay;value_Length;value_PassEndX;value_Zone;value_Angle;value_PassEndY;value_KickOff;value_TakeOnSpace;value_Offensive;value_OppositeRelatedEventId;value_TouchTypePass;value_Defensive;value_LongBall;value_Chipped;value_MediumGkIntervention;value_KeeperThrow;value_TouchTypeControl;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_LayOff;value_HeadPass;value_DeletedEventType;value_TakeOnOvertake;value_TouchTypeClearance;value_IntendedTackleTarget;value_ThroughBall;value_LowGkIntervention;value_OverArm;value_Launch;value_BlockedPass;value_RightFooted;value_Cross;value_OutSwinger;value_BlockedCross;value_SwitchOfPlay;value_Head;value_NextEventGoalKick;value_High;value_GoalKick;value_Assist;value_IntentionalAssist;value_GoalmouthZ;value_Assisted;value_GoalmouthY;value_GkX;value_BlockedY;value_Blocked;value_RegularPlay;value_BoxCentre;value_LowCentre;value_GkY;value_BlockedX;value_RelatedEventId;value_DefBlock;value_GkXTimeOfGoal;value_GoalShotGameClock;value_IndividualPlay;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_1On1;value_BigChance;value_Left;value_CornerTaken;value_InSwinger;value_AerialFoul;value_Direct;value_Foul;value_FreeKickTaken;value_FlickOn;value_LowLeft;value_OverhitCross;value_AttemptedTackle;value_LeftFooted;value_FloatedCross;value_Straight;value_Defensive1V1;value_ShirtPull/Holding;value_SetPiece;value_FirstTouch;value_YellowCard;value_RecklessOffence;value_InjuredPlayerId;value_Injury;value_NotAssisted;value_OutOfBoxCentre;value_Low;value_CloseLeft;value_Minutes;value_EndType;value_NotVisible;value_HighCentre;value_HighGkIntervention;value_Hands;value_Reaching;value_Caught;value_GkKickFromHands;value_BoxLeft;value_PullBack;value_Overrun;value_ThrowInSetPiece;value_Volley;value_Standing;value_Collected;value_Right;value_BoxRight;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_PlayersCaughtOffside;value_Indirect;value_Shove/Push;value_TacticalFoul;value_LastLine;value_Deflection;value_HighClaim;value_Stooping;value_CloseRightAndHigh;value_LeadingToAttempt;value_RelatedError1Id;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2681905377;9;1;1;0;15;c7c4wwva2u1vb3rr7rwava044;1;33,5;29,5;2024-05-03T22:04:08.369Z;2024-05-03T22:04:10Z;[{'id': 5000059863, 'qualifierId': 56, 'value': 'Center'}, {'id': 5000059871, 'qualifierId': 213, 'value': '0.09'}, {'id': 5000059867, 'qualifierId': 141, 'value': '33.3'}, {'id': 5000059869, 'qualifierId': 212, 'value': '28.3'}, {'id': 5000059865, 'qualifierId': 140, 'value': '60.3'}];7ve3vmg19c3g91j7zs32oecd0;R. Montenegro;;;cjyep0rzj9vbw215sjryjgavo;Pass;;;;;;;;;;28,3;60,3;;0,09;33,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;home;60,3;33,3;;;;;;;0;0;0;15;New York RB II;15;MC;1,0
2681905379;10;1;1;0;16;c7c4wwva2u1vb3rr7rwava044;1;61,0;32,7;2024-05-03T22:04:10.097Z;2024-05-03T22:04:11Z;[{'id': 5000059875, 'qualifierId': 56, 'value': 'Center'}, {'id': 5000059881, 'qualifierId': 212, 'value': '8.7'}, {'id': 5000059879, 'qualifierId': 141, 'value': '21.3'}, {'id': 5000059877, 'qualifierId': 140, 'value': '57.2'}, {'id': 5000059883, 'qualifierId': 213, 'value': '4.24'}];1874nj27f507jqja4e8zla1as;B. Destin;;;cjyep0rzj9vbw215sjryjgavo;Pass;;;;;;;;;;8,7;57,2;;4,24;21,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;home;57,2;21,3;;;;;;;0;0;0;16;New York RB II;16;FW;1,0
2681905381;11;3;1;0;18;c7c4wwva2u1vb3rr7rwava044;0;55,2;25,5;2024-05-03T22:04:11.393Z;2024-05-07T05:35:09Z;[{'id': 5000059887, 'qualifierId': 56, 'value': 'Center'}, {'id': 5011358567, 'qualifierId': 464}, {'id': 5000059889, 'qualifierId': 286}, {'id': 5000059899, 'qualifierId': 233, 'value': '3'}];cr0qx5v3zpktzejoh6f6kyzv8;J. Pymm;;;cjyep0rzj9vbw215sjryjgavo;Take On;;;;;;;;;;;;;;;;1,0;1,0;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;home;;;;;;;;;0;0;0;18;New York RB II;18;FWR;1,0
2681905383;3;7;1;0;18;4g68p0t2f5jzhzfr67i2rj1ex;1;44,8;74,5;2024-05-03T22:04:11.394Z;2024-05-07T05:35:13Z;[{'id': 5011358593, 'qualifierId': 384}, {'id': 5000059893, 'qualifierId': 285}, {'id': 5000059895, 'qualifierId': 233, 'value': '11'}, {'id': 5000059891, 'qualifierId': 56, 'value': 'Back'}];e4rpnf90oa672lcm8ego7vllg;R. Mosquera;;;cjyep0rzj9vbw215sjryjgavo;Tackle;;;;;;;;;;;;;;;;;;11,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;0;0;0;18;Inter Miami II;18;AML;1,0
2681905385;4;49;1;0;20;4g68p0t2f5jzhzfr67i2rj1ex;1;38,5;81,4;2024-05-03T22:04:13.982Z;2024-05-03T22:04:14Z;[];92np3jwhxchmtfeov82ehe13o;O. Valencia;;;cjyep0rzj9vbw215sjryjgavo;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;0;0;0;20;Inter Miami II;20;DC;1,0
2681905389;5;1;1;0;21;4g68p0t2f5jzhzfr67i2rj1ex;1;38,8;83,0;2024-05-03T22:04:14.295Z;2024-05-03T22:04:17Z;[{'id': 5000059911, 'qualifierId': 141, 'value': '63.6'}, {'id': 5000059915, 'qualifierId': 213, 'value': '3.93'}, {'id': 5000059909, 'qualifierId': 140, 'value': '26.4'}, {'id': 5000059907, 'qualifierId': 56, 'value': 'Back'}, {'id': 5000059913, 'qualifierId': 212, 'value': '18.5'}];92np3jwhxchmtfeov82ehe13o;O. Valencia;;;cjyep0rzj9vbw215sjryjgavo;Pass;;;;;;;;;;18,5;26,4;;3,93;63,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;26,4;63,6;;;;;;;0;0;0;21;Inter Miami II;21;DC;1,0
2681905393;6;1;1;0;23;4g68p0t2f5jzhzfr67i2rj1ex;1;24,7;63,7;2024-05-03T22:04:17.076Z;2024-05-03T22:04:20Z;[{'id': 5000059929, 'qualifierId': 56, 'value': 'Back'}, {'id': 5000059937, 'qualifierId': 213, 'value': '4.92'}, {'id': 5000059931, 'qualifierId': 140, 'value': '31.8'}, {'id': 5000059939, 'qualifierId': 1}, {'id': 5000059933, 'qualifierId': 141, 'value': '12.0'}, {'id': 5000059935, 'qualifierId': 212, 'value': '35.9'}];59kitnlge8bjsxmhy850bsutw;J. Gutierrez;;;cjyep0rzj9vbw215sjryjgavo;Pass;;;;;;;;;;35,9;31,8;;4,92;12,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;31,8;12,0;;;;;;;0;0;0;23;Inter Miami II;23;DC;1,0
2681905397;7;1;1;0;26;4g68p0t2f5jzhzfr67i2rj1ex;1;32,0;11,6;2024-05-03T22:04:20.122Z;2024-05-03T22:04:23Z;[{'id': 5000059953, 'qualifierId': 141, 'value': '23.0'}, {'id': 5000059951, 'qualifierId': 140, 'value': '24.0'}, {'id': 5000059957, 'qualifierId': 213, 'value': '2.40'}, {'id': 5000059949, 'qualifierId': 56, 'value': 'Back'}, {'id': 5000059955, 'qualifierId': 212, 'value': '11.4'}];o3gftw0hatp1r62ynjmlaaui;D. Sullivan;;;cjyep0rzj9vbw215sjryjgavo;Pass;;;;;;;;;;11,4;24,0;;2,4;23,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;24,0;23,0;;;;;;;0;0;0;26;Inter Miami II;26;DR;1,0
2681905401;8;1;1;0;29;4g68p0t2f5jzhzfr67i2rj1ex;1;25,0;17,6;2024-05-03T22:04:23.060Z;2024-05-03T22:04:25Z;[{'id': 5000059981, 'qualifierId': 213, 'value': '5.85'}, {'id': 5000059975, 'qualifierId': 140, 'value': '45.1'}, {'id': 5000059973, 'qualifierId': 56, 'value': 'Back'}, {'id': 5000059977, 'qualifierId': 141, 'value': '3.4'}, {'id': 5000059979, 'qualifierId': 212, 'value': '23.2'}];e2tuar1frliervcr2mnmvfspg;A. O'Connor;;;cjyep0rzj9vbw215sjryjgavo;Pass;;;;;;;;;;23,2;45,1;;5,85;3,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;45,1;3,4;;;;;;;0;0;0;29;Inter Miami II;29;DL;1,0
2681905409;9;1;1;0;31;4g68p0t2f5jzhzfr67i2rj1ex;1;47,2;3,2;2024-05-03T22:04:25.185Z;2024-05-03T22:04:28Z;[{'id': 5000060011, 'qualifierId': 56, 'value': 'Back'}, {'id': 5000060017, 'qualifierId': 212, 'value': '19.1'}, {'id': 5000060019, 'qualifierId': 213, 'value': '2.75'}, {'id': 5000060015, 'qualifierId': 141, 'value': '13.8'}, {'id': 5000060013, 'qualifierId': 140, 'value': '30.4'}];o3gftw0hatp1r62ynjmlaaui;D. Sullivan;;;cjyep0rzj9vbw215sjryjgavo;Pass;;;;;;;;;;19,1;30,4;;2,75;13,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;30,4;13,8;;;;;;;0;0;0;31;Inter Miami II;31;DR;1,0
