teamId;teamName;shortName;officialName;code;field;country;matchId;scores.halftime;scores.fulltime
1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;Union II;Philadelphia Union II;PHI;home;USA;cdi8rq3pm3ors98rl4dcw07is;0;1
4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;New York RB II;New York Red Bulls II;NY;away;USA;cdi8rq3pm3ors98rl4dcw07is;1;1
