id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_JerseyNumber;value_TeamPlayerFormation;value_Captain;value_TeamKit;value_PlayerPosition;value_Involved;value_TeamFormation;value_DirectionOfPlay;value_KickOff;value_Zone;value_Length;value_PassEndY;value_Angle;value_PassEndX;value_LongBall;value_IntendedTackleTarget;value_Direct;value_Foul;value_Offensive;value_AttemptedTackle;value_OppositeRelatedEventId;value_Defensive;value_FreeKickTaken;value_Cross;value_Chipped;value_DeletedEventType;value_Head;value_Launch;value_NextEventThrowIn;value_ThrowIn;value_LayOff;value_IntentionalAssist;value_Assist;value_GoalmouthY;value_GoalmouthZ;value_RelatedEventId;value_RightFooted;value_GkX;value_Assisted;value_GkY;value_RegularPlay;value_BoxRight;value_CloseLeft;value_NextEventGoalKick;value_GoalKick;value_Low;value_ShirtPull/Holding;value_BoxCentre;value_TempBlocked;value_OutOfPlay;value_OutOfBoxCentre;value_BlockedY;value_BlockedX;value_LowLeft;value_IndividualPlay;value_Hands;value_Stooping;value_Caught;value_NotVisible;value_GkHoof;value_HeadPass;value_BlockedPass;value_Left;value_CornerTaken;value_InSwinger;value_HighRight;value_Volley;value_FromCorner;value_FirstTouch;value_FlickOn;value_Dissent;value_YellowCard;value_SwitchOfPlay;value_BlockedCross;value_Right;value_OutSwinger;value_GkChallenge;value_Shove/Push;value_Penalty;value_PenaltyTakerId;value_Injury;value_InjuredPlayerId;value_Diving;value_Saved;value_HitWoodwork;value_LeftFooted;value_NotAssisted;value_BigChance;value_Second(2Nd)OppositeRelatedEventId;value_HitLeftPost;value_LowCentre;value_CausingPlayer;value_Feet;value_ParriedDanger;value_OverhitCross;value_KeeperThrow;value_PullBack;value_Collected;value_Standing;value_TacticalFoul;value_Minutes;value_EndType;value_Tactical;value_FormationSlot;value_Overrun;value_PlayersCaughtOffside;value_Indirect;value_SmallBoxRight;value_CloseRight;value_GoalShotGameClock;value_HighCentre;value_GoalShotTimestamp;value_LowRight;value_ParriedSafe;value_TempMissed;value_PositionSideId;value_DetailedPositionId;value_Blocked;value_DefBlock;value_High;value_BoxLeft;value_NotRetreating;value_RecklessOffence;value_NotPastGoalLine;value_Sliding;value_Reaching;value_CloseHigh;value_1On1;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2710910465;443;1;2;61;13;7fbej4xwoq4imaf5l39304m37;0;84,9;42,2;2024-08-19T00:25:24.779Z;2024-08-19T01:13:15Z;[{'id': 5159362901, 'qualifierId': 141, 'value': '39.5'}, {'id': 5159362897, 'qualifierId': 56, 'value': 'Center'}, {'id': 5159362905, 'qualifierId': 213, 'value': '5.67'}, {'id': 5159444999, 'qualifierId': 236}, {'id': 5159445001, 'qualifierId': 233, 'value': '559'}, {'id': 5159362899, 'qualifierId': 140, 'value': '87.4'}, {'id': 5159362903, 'qualifierId': 212, 'value': '3.2'}, {'id': 5159445005, 'qualifierId': 286}];4oz12ku4mdjsq7y4sgogpwg2y;K. Habibullah;;;erzackp6huaw3w59c0b7oerdg;Pass;;;;;;;;;;;;3,2;39,5;5,67;87,4;;;;;1,0;;559,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;87,4;39,5;;;;;;;;0;61;13;Austin II;3673;FW;1,0
2710910473;559;74;2;61;13;d0c07im4a6oj8qa7f1zlt3pqs;1;13,1;58,9;2024-08-19T00:25:24.780Z;2024-08-19T01:18:34Z;[{'id': 5159444985, 'qualifierId': 285}, {'id': 5159444983, 'qualifierId': 56, 'value': 'Back'}, {'id': 5159445007, 'qualifierId': 233, 'value': '443'}];2yxzh220ndd4s4wqditruo0h6;A. Ramírez;;;erzackp6huaw3w59c0b7oerdg;Blocked Pass;;;;;;;;;;;;;;;;;;;;;;443,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;;0;61;13;Sporting KC II;3673;MC;1,0
2710910501;444;1;2;61;16;7fbej4xwoq4imaf5l39304m37;1;84,3;52,4;2024-08-19T00:25:27.259Z;2024-08-19T00:25:56Z;[{'id': 5159363843, 'qualifierId': 210, 'value': '15'}, {'id': 5159363075, 'qualifierId': 141, 'value': '66.7'}, {'id': 5159363071, 'qualifierId': 56, 'value': 'Center'}, {'id': 5159363077, 'qualifierId': 212, 'value': '12.5'}, {'id': 5159363079, 'qualifierId': 213, 'value': '0.89'}, {'id': 5159363073, 'qualifierId': 140, 'value': '91.8'}, {'id': 5159363845, 'qualifierId': 154}];a8ngovgs2qfu5udzb97kelg16;E. Bryant;1,0;;erzackp6huaw3w59c0b7oerdg;Pass;;;;;;;;;;;;12,5;66,7;0,89;91,8;;;;;;;;;;;;;;;;;;1,0;15,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;91,8;66,7;;;;;;;;0;61;16;Austin II;3676;Sub;1,0
2710910505;445;15;2;61;16;7fbej4xwoq4imaf5l39304m37;1;89,2;65,6;2024-08-19T00:25:27.807Z;2024-08-19T01:28:27Z;[{'id': 5159363879, 'qualifierId': 82}, {'id': 5159363873, 'qualifierId': 102, 'value': '47.0'}, {'id': 5159363905, 'qualifierId': 233, 'value': '561'}, {'id': 5159363875, 'qualifierId': 103, 'value': '19'}, {'id': 5159462477, 'qualifierId': 80}, {'id': 5159363085, 'qualifierId': 64}, {'id': 5159363865, 'qualifierId': 29}, {'id': 5159363883, 'qualifierId': 147, 'value': '59.2'}, {'id': 5159363087, 'qualifierId': 56, 'value': 'Center'}, {'id': 5159363867, 'qualifierId': 154}, {'id': 5159363083, 'qualifierId': 22}, {'id': 5159363869, 'qualifierId': 55, 'value': '444'}, {'id': 5159363885, 'qualifierId': 230, 'value': '98.6'}, {'id': 5159363167, 'qualifierId': 72}, {'id': 5159363881, 'qualifierId': 146, 'value': '92.9'}, {'id': 5159363887, 'qualifierId': 231, 'value': '53.2'}];avijawqszxv4ewdxydxeugbv8;J. Ortiz;;;erzackp6huaw3w59c0b7oerdg;Attempt Saved;;;;;;;;;;;;;;;;;;;;;;561,0;;;;;;;;;;;1,0;;47,0;19,0;444,0;;98,6;1,0;53,2;1,0;;;;;;;;;;;59,2;92,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;1,0;;;1,0;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;92,9;59,2;47,0;19;444,0;a8ngovgs2qfu5udzb97kelg16;;0;61;16;Austin II;3676;Sub;1,0
2710910609;561;10;2;61;16;d0c07im4a6oj8qa7f1zlt3pqs;1;4,9;39,7;2024-08-19T00:25:27.907Z;2024-08-19T01:13:32Z;[{'id': 5159363911, 'qualifierId': 233, 'value': '445'}, {'id': 5159363615, 'qualifierId': 56, 'value': 'Back'}, {'id': 5159363613, 'qualifierId': 94}];7u1lf62rqlgzban2dwy6c1rmc;Nico van Rijn;;;erzackp6huaw3w59c0b7oerdg;Save;;;;;;;;;;;;;;;;;;;;;;445,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;;0;61;16;Sporting KC II;3676;DL;1,0
2710910507;446;6;2;61;17;7fbej4xwoq4imaf5l39304m37;1;94,8;51,2;2024-08-19T00:25:28.715Z;2024-08-19T00:57:57Z;[{'id': 5159364219, 'qualifierId': 73}, {'id': 5159363095, 'qualifierId': 56, 'value': 'Center'}, {'id': 5159364237, 'qualifierId': 233, 'value': '560'}];avijawqszxv4ewdxydxeugbv8;J. Ortiz;;;erzackp6huaw3w59c0b7oerdg;Corner Awarded;;;;;;;;;;;;;;;;;;;;;;560,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;;0;61;17;Austin II;3677;Sub;1,0
2710910585;560;6;2;61;17;d0c07im4a6oj8qa7f1zlt3pqs;0;5,2;48,8;2024-08-19T00:25:28.715Z;2024-08-19T00:57:57Z;[{'id': 5159363491, 'qualifierId': 56, 'value': 'Back'}, {'id': 5159363493, 'qualifierId': 73}, {'id': 5159364263, 'qualifierId': 233, 'value': '446'}];7u1lf62rqlgzban2dwy6c1rmc;Nico van Rijn;;;erzackp6huaw3w59c0b7oerdg;Corner Awarded;;;;;;;;;;;;;;;;;;;;;;446,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;;0;61;17;Sporting KC II;3677;DL;1,0
2710910747;447;1;2;61;49;7fbej4xwoq4imaf5l39304m37;0;99,6;0,2;2024-08-19T00:26:00.203Z;2024-08-19T01:02:17Z;[{'id': 5159364465, 'qualifierId': 213, 'value': '1.76'}, {'id': 5159364449, 'qualifierId': 2}, {'id': 5159364461, 'qualifierId': 141, 'value': '64.8'}, {'id': 5159364451, 'qualifierId': 6}, {'id': 5159364457, 'qualifierId': 56, 'value': 'Center'}, {'id': 5159364467, 'qualifierId': 1}, {'id': 5159364459, 'qualifierId': 140, 'value': '91.5'}, {'id': 5159364463, 'qualifierId': 212, 'value': '44.7'}, {'id': 5159364453, 'qualifierId': 155}, {'id': 5159387051, 'qualifierId': 224}];vhjelesjaxtgjcgfv7yxp2lm;S. Cruz;;;erzackp6huaw3w59c0b7oerdg;Pass;;;;;;;;;;;;44,7;64,8;1,76;91,5;1,0;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;91,5;64,8;;;;;;;;0;61;49;Austin II;3709;AMC;1,0
2710923871;904;44;2;61;52;d0c07im4a6oj8qa7f1zlt3pqs;1;5,8;37,0;2024-08-19T00:26:03.331Z;2024-08-19T01:14:37Z;[{'id': 5159432557, 'qualifierId': 56, 'value': 'Back'}, {'id': 5159432561, 'qualifierId': 233, 'value': '448'}, {'id': 5159432559, 'qualifierId': 285}];2yxzh220ndd4s4wqditruo0h6;A. Ramírez;;;erzackp6huaw3w59c0b7oerdg;Aerial;;;;;;;;;;;;;;;;;;;;;;448,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;;0;61;52;Sporting KC II;3712;MC;1,0
2710910755;448;44;2;61;52;7fbej4xwoq4imaf5l39304m37;0;94,2;63,0;2024-08-19T00:26:03.332Z;2024-08-19T01:03:03Z;[{'id': 5159432567, 'qualifierId': 233, 'value': '904'}, {'id': 5159364485, 'qualifierId': 286}, {'id': 5159364483, 'qualifierId': 56, 'value': 'Center'}];a8ngovgs2qfu5udzb97kelg16;E. Bryant;;;erzackp6huaw3w59c0b7oerdg;Aerial;;;;;;;;;;;;;;;;;;;;1,0;;904,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;;0;61;52;Austin II;3712;Sub;1,0
