id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_Involved;value_JerseyNumber;value_PlayerPosition;value_TeamKit;value_TeamPlayerFormation;value_TeamFormation;value_Captain;value_DirectionOfPlay;value_Angle;value_Length;value_Zone;value_PassEndX;value_KickOff;value_PassEndY;value_LongBall;value_Launch;value_DeletedEventType;value_IntentionalAssist;value_Assist;value_BlockedY;value_BigChance;value_LeftFooted;value_LowCentre;value_FirstTouch;value_1On1;value_GoalmouthZ;value_Assisted;value_BlockedX;value_RelatedEventId;value_RegularPlay;value_OppositeRelatedEventId;value_GoalmouthY;value_BoxCentre;value_LowGkIntervention;value_Sliding;value_OtherBodyPart;value_ParriedSafe;value_Defensive;value_Offensive;value_HeadPass;value_NextEventThrowIn;value_TouchTypePass;value_Chipped;value_NextEventGoalKick;value_GoalKick;value_High;value_TakeOnSpace;value_TouchTypeControl;value_BlockedPass;value_ThrowIn;value_Left;value_IndividualPlay;value_GkY;value_BoxRight;value_GkX;value_Low;value_OutOfPlay;value_IntendedTackleTarget;value_TakeOnOvertake;value_SwitchOfPlay;value_AttemptedTackle;value_Direct;value_Foul;value_FreeKickTaken;value_RightFooted;value_SetPiece;value_Collected;value_Hands;value_Standing;value_NotAssisted;value_SmallBoxRight;value_LowRight;value_Stooping;value_KeeperThrow;value_OverArm;value_Overrun;value_CornerTaken;value_InSwinger;value_Cross;value_Shove/Push;value_FlickOn;value_PlayersCaughtOffside;value_NotVisible;value_Indirect;value_Head;value_MediumGkIntervention;value_OutSwinger;value_BlockedCross;value_Right;value_DefBlock;value_LayOff;value_Straight;value_FloatedCross;value_AerialFoul;value_VideoCoverageLost;value_HighGkIntervention;value_TouchTypeClearance;value_OutOfBoxCentre;value_LowLeft;value_DrivenCross;value_HighClaim;value_SixYardBlocked;value_Blocked;value_Penalty;value_PenaltyTakerId;value_Scored;value_Diving;value_GoalShotGameClock;value_GkXTimeOfGoal;value_Second(2Nd)OppositeRelatedEventId;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_CausingPlayer;value_Minutes;value_EndType;value_HighCentre;value_SmallBoxCentre;value_Reaching;value_FromCorner;value_HighRight;value_FastBreak;value_BoxLeft;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_ShirtPull/Holding;value_YellowCard;value_RecklessOffence;value_Injury;value_InjuredPlayerId;value_GkKickFromHands;value_OwnPlayer;value_HitLeftPost;value_HitWoodwork;value_NotPastGoalLine;value_CloseLeft;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2728380797;276;61;1;39;3;1zgjjyruyufrkh4xjvryqsb1i;1;10,2;22,8;2024-09-29T19:42:02.504Z;2024-10-03T09:50:03Z;[{'id': 5255109731, 'qualifierId': 56, 'value': 'Back'}];cjhjwaelyypl3ca9gpzu61vys;G. Sequera;;;g0ejl83bkbxuocv8r983rbis;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;;0;39;3;Atlanta United II;2343;MR;1,0
2728380891;277;52;1;39;8;1zgjjyruyufrkh4xjvryqsb1i;1;6,9;49,6;2024-09-29T19:42:07.848Z;2024-10-03T10:34:50Z;[{'id': 5262274343, 'qualifierId': 376}];2y9o7d8tm1f8fnp6jewxzifis;A. Rick;;;g0ejl83bkbxuocv8r983rbis;Keeper pick-up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;;0;39;8;Atlanta United II;2348;GK;1,0
2728381153;278;80;1;39;21;1zgjjyruyufrkh4xjvryqsb1i;0;15,0;45,8;2024-09-29T19:42:20.616Z;2024-10-03T09:50:03Z;[];2y9o7d8tm1f8fnp6jewxzifis;A. Rick;;;g0ejl83bkbxuocv8r983rbis;Drop of Ball;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;;0;39;21;Atlanta United II;2361;GK;1,0
2728381245;279;1;1;39;23;1zgjjyruyufrkh4xjvryqsb1i;1;22,9;44,8;2024-09-29T19:42:22.664Z;2024-10-03T09:50:02Z;[{'id': 5255112151, 'qualifierId': 1}, {'id': 5255112135, 'qualifierId': 56, 'value': 'Left'}, {'id': 5255112145, 'qualifierId': 212, 'value': '51.9'}, {'id': 5255112147, 'qualifierId': 213, 'value': '0.72'}, {'id': 5255112137, 'qualifierId': 140, 'value': '60.1'}, {'id': 5255112141, 'qualifierId': 141, 'value': '95.0'}, {'id': 5255112131, 'qualifierId': 155}];2y9o7d8tm1f8fnp6jewxzifis;A. Rick;;;g0ejl83bkbxuocv8r983rbis;Pass;;;;;;;;;;0,72;51,9;;60,1;;95,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;60,1;95,0;;;;;;;;0;39;23;Atlanta United II;2363;GK;1,0
2728381261;280;44;1;39;25;1zgjjyruyufrkh4xjvryqsb1i;1;61,4;93,4;2024-09-29T19:42:25.105Z;2024-10-03T09:50:02Z;[{'id': 5255112251, 'qualifierId': 233, 'value': '379'}, {'id': 5255112235, 'qualifierId': 56, 'value': 'Left'}, {'id': 5255112237, 'qualifierId': 286}];2qz3ojbfedl8psp1tvq0183ro;F. Westfield;;;g0ejl83bkbxuocv8r983rbis;Aerial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;379,0;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;;0;39;25;Atlanta United II;2365;DC;1,0
2728381239;379;44;1;39;25;erwnez7ksfkns4dqmyr1fhbe;0;38,6;6,6;2024-09-29T19:42:25.106Z;2024-10-03T09:51:47Z;[{'id': 5255112105, 'qualifierId': 56, 'value': 'Back'}, {'id': 5255112281, 'qualifierId': 233, 'value': '280'}, {'id': 5255112107, 'qualifierId': 285}];3uzxhd8g0jnft5xcd59yztm95;R. Qawasmy;;;g0ejl83bkbxuocv8r983rbis;Aerial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;280,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;39;25;Philadelphia Union II;2365;DR;1,0
2728381377;281;1;1;39;25;1zgjjyruyufrkh4xjvryqsb1i;0;60,1;95,0;2024-09-29T19:42:25.352Z;2024-10-03T14:03:59Z;[{'id': 5255112851, 'qualifierId': 56, 'value': 'Left'}, {'id': 5255112849, 'qualifierId': 3}, {'id': 5255112855, 'qualifierId': 141, 'value': '100.0'}, {'id': 5255112853, 'qualifierId': 140, 'value': '68.5'}, {'id': 5255112859, 'qualifierId': 213, 'value': '0.48'}, {'id': 5255112857, 'qualifierId': 212, 'value': '9.9'}];2qz3ojbfedl8psp1tvq0183ro;F. Westfield;;;g0ejl83bkbxuocv8r983rbis;Pass;;;;;;;;;;0,48;9,9;;68,5;;100,0;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;68,5;100,0;;;;;;;;0;39;25;Atlanta United II;2365;DC;1,0
2728381313;380;56;1;39;27;erwnez7ksfkns4dqmyr1fhbe;1;22,8;1,6;2024-09-29T19:42:26.674Z;2024-10-03T09:51:46Z;[{'id': 5255112461, 'qualifierId': 56, 'value': 'Back'}];8pzkxfe5txe71u08n67d8k1uy;E. Morales;;;g0ejl83bkbxuocv8r983rbis;Shield ball opp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;39;27;Philadelphia Union II;2367;DL;1,0
2728381391;282;5;1;39;27;1zgjjyruyufrkh4xjvryqsb1i;0;73,2;101,8;2024-09-29T19:42:26.933Z;2024-10-03T09:50:01Z;[{'id': 5255112925, 'qualifierId': 56, 'value': 'Left'}, {'id': 5255112979, 'qualifierId': 233, 'value': '381'}, {'id': 5255112927, 'qualifierId': 347}];2qz3ojbfedl8psp1tvq0183ro;F. Westfield;;;g0ejl83bkbxuocv8r983rbis;Out;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;381,0;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;;0;39;27;Atlanta United II;2367;DC;1,0
2728381329;381;5;1;39;27;erwnez7ksfkns4dqmyr1fhbe;1;26,8;-1,8;2024-09-29T19:42:26.933Z;2024-10-03T09:51:46Z;[{'id': 5255112573, 'qualifierId': 347}, {'id': 5255112571, 'qualifierId': 56, 'value': 'Back'}, {'id': 5255112959, 'qualifierId': 233, 'value': '282'}];3uzxhd8g0jnft5xcd59yztm95;R. Qawasmy;;;g0ejl83bkbxuocv8r983rbis;Out;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;282,0;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;39;27;Philadelphia Union II;2367;DR;1,0
