id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_PlayerPosition;value_Involved;value_Captain;value_TeamKit;value_TeamPlayerFormation;value_Resume;value_TeamFormation;value_JerseyNumber;value_DirectionOfPlay;value_PassEndX;value_Angle;value_KickOff;value_PassEndY;value_Zone;value_Length;value_IntendedTackleTarget;value_DeletedEventType;value_TakeOnSpace;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_RightFooted;value_OutSwinger;value_Cross;value_LongBall;value_Launch;value_NextEventThrowIn;value_ThrowIn;value_Head;value_HeadPass;value_FlickOn;value_LowGkIntervention;value_KeeperThrow;value_Chipped;value_TakeOnOvertake;value_RegularPlay;value_Assist;value_GoalmouthY;value_GkX;value_Assisted;value_IndividualPlay;value_GkXTimeOfGoal;value_GkY;value_GkYTimeOfGoal;value_OutOfBoxCentre;value_RelatedEventId;value_GoalShotTimestamp;value_HighRight;value_GoalShotGameClock;value_GoalmouthZ;value_OutOfPlay;value_Right;value_CornerTaken;value_SwitchOfPlay;value_LayOff;value_InSwinger;value_BlockedPass;value_BlockedCross;value_LeftFooted;value_MediumGkIntervention;value_ShirtPull/Holding;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_AerialFoul;value_TouchTypePass;value_NotVisible;value_TouchTypeClearance;value_TouchTypeControl;value_Left;value_Blocked;value_BlockedX;value_BlockedY;value_LowLeft;value_BoxLeft;value_DefBlock;value_YellowCard;value_TacticalFoul;value_NextEventGoalKick;value_Low;value_GoalKick;value_Defensive1V1;value_HighGkIntervention;value_Shove/Push;value_PlayersCaughtOffside;value_Indirect;value_BoxCentre;value_LowRight;value_BigChance;value_LastLine;value_HighClaim;value_SwerveRight;value_BoxRight;value_IntentionalAssist;value_HighCentre;value_FromCorner;value_Hands;value_ParriedSafe;value_Reaching;value_FirstTouch;value_High;value_LowCentre;value_DrivenCross;value_Straight;value_Minutes;value_EndType;value_Penalty;value_PenaltyTakerId;value_FantasyAssistId;value_FantasyAssistType;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_NotAssisted;value_FantasyAssistTeam;value_FantasyAssistedBy;value_Scored;value_Diving;value_CloseLeft;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_NotPastGoalLine;value_SixYardBlocked;value_SmallBoxRight;value_SavedOffLine;value_OverArm;value_FairPlay;value_PullBack;value_SmallBoxLeft;value_Dissent;value_CloseRight;value_SwerveLeft;value_Standing;value_InjuredPlayerId;value_Injury;value_GkHoof;value_Overrun;value_GoesToPenalties;value_CloseHigh;value_Missed;value_Saved;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2665163725;585;1;2;69;28;eo64tqkioegeb09iice2hf8bt;1;19,2;28,5;2024-03-30T22:29:37.156Z;2024-03-30T22:29:39Z;[{'id': 4909607951, 'qualifierId': 56, 'value': 'Back'}, {'id': 4909607959, 'qualifierId': 213, 'value': '2.22'}, {'id': 4909607953, 'qualifierId': 140, 'value': '8.8'}, {'id': 4909607957, 'qualifierId': 212, 'value': '18.1'}, {'id': 4909607955, 'qualifierId': 141, 'value': '49.7'}];57yplpr6jgwlqoon231ydqp04;I. Mathe;;;bxaox0u3scjlponw3iokbuyok;Pass;;;;;;;;;;8,8;2,22;;49,7;;18,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;8,8;49,7;;;;;;;;0;69;28;Portland Timbers II;4168;DC;1,0
2665163735;586;1;2;69;30;eo64tqkioegeb09iice2hf8bt;1;9,7;51,0;2024-03-30T22:29:39.715Z;2024-03-30T22:29:43Z;[{'id': 4909608031, 'qualifierId': 213, 'value': '1.07'}, {'id': 4909608025, 'qualifierId': 140, 'value': '18.9'}, {'id': 4909608027, 'qualifierId': 141, 'value': '76.7'}, {'id': 4909608023, 'qualifierId': 56, 'value': 'Back'}, {'id': 4909608029, 'qualifierId': 212, 'value': '20.0'}];6cdhdb44atdm9b3n7swgi002y;M. Anchor;;;bxaox0u3scjlponw3iokbuyok;Pass;;;;;;;;;;18,9;1,07;;76,7;;20,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;18,9;76,7;;;;;;;;0;69;30;Portland Timbers II;4170;GK;1,0
2665163749;587;1;2;69;34;eo64tqkioegeb09iice2hf8bt;1;27,7;82,2;2024-03-30T22:29:43.492Z;2024-03-30T22:29:46Z;[{'id': 4909608155, 'qualifierId': 212, 'value': '23.9'}, {'id': 4909608153, 'qualifierId': 141, 'value': '49.8'}, {'id': 4909608157, 'qualifierId': 213, 'value': '4.31'}, {'id': 4909608151, 'qualifierId': 140, 'value': '18.8'}, {'id': 4909608149, 'qualifierId': 56, 'value': 'Back'}];3yk1gwm7jptmbal0vcwr24is4;F. Linder;;;bxaox0u3scjlponw3iokbuyok;Pass;;;;;;;;;;18,8;4,31;;49,8;;23,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;18,8;49,8;;;;;;;;0;69;34;Portland Timbers II;4174;DC;1,0
2665163759;588;1;2;69;37;eo64tqkioegeb09iice2hf8bt;1;18,6;49,8;2024-03-30T22:29:46.324Z;2024-03-30T22:29:50Z;[{'id': 4909608227, 'qualifierId': 212, 'value': '13.0'}, {'id': 4909608223, 'qualifierId': 140, 'value': '24.7'}, {'id': 4909608221, 'qualifierId': 56, 'value': 'Back'}, {'id': 4909608229, 'qualifierId': 213, 'value': '5.23'}, {'id': 4909608225, 'qualifierId': 141, 'value': '33.1'}];5et4reh22bzqjp1wcr5sqldnu;B. Sjöberg;;;bxaox0u3scjlponw3iokbuyok;Pass;;;;;;;;;;24,7;5,23;;33,1;;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;24,7;33,1;;;;;;;;0;69;37;Portland Timbers II;4177;DC;1,0
2665163777;589;1;2;69;41;eo64tqkioegeb09iice2hf8bt;1;31,5;24,7;2024-03-30T22:29:50.084Z;2024-03-30T22:29:53Z;[{'id': 4909608327, 'qualifierId': 212, 'value': '14.7'}, {'id': 4909608323, 'qualifierId': 140, 'value': '24.5'}, {'id': 4909608321, 'qualifierId': 56, 'value': 'Back'}, {'id': 4909608329, 'qualifierId': 213, 'value': '2.09'}, {'id': 4909608325, 'qualifierId': 141, 'value': '43.4'}];bhzjqo4qidpkmh7lqqir9h4ic;J. Badwal;;;bxaox0u3scjlponw3iokbuyok;Pass;;;;;;;;;;24,5;2,09;;43,4;;14,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;24,5;43,4;;;;;;;;0;69;41;Portland Timbers II;4181;MC;1,0
2665163801;590;1;2;69;44;eo64tqkioegeb09iice2hf8bt;1;24,7;43,4;2024-03-30T22:29:53.044Z;2024-03-30T22:29:57Z;[{'id': 4909608469, 'qualifierId': 56, 'value': 'Back'}, {'id': 4909608475, 'qualifierId': 212, 'value': '21.4'}, {'id': 4909608471, 'qualifierId': 140, 'value': '27.6'}, {'id': 4909608477, 'qualifierId': 213, 'value': '4.86'}, {'id': 4909608473, 'qualifierId': 141, 'value': '12.3'}];5et4reh22bzqjp1wcr5sqldnu;B. Sjöberg;;;bxaox0u3scjlponw3iokbuyok;Pass;;;;;;;;;;27,6;4,86;;12,3;;21,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;27,6;12,3;;;;;;;;0;69;44;Portland Timbers II;4184;DC;1,0
2665163819;591;1;2;69;48;eo64tqkioegeb09iice2hf8bt;1;34,2;9,3;2024-03-30T22:29:57.493Z;2024-03-30T22:29:59Z;[{'id': 4909608579, 'qualifierId': 212, 'value': '15.7'}, {'id': 4909608573, 'qualifierId': 56, 'value': 'Back'}, {'id': 4909608577, 'qualifierId': 141, 'value': '27.2'}, {'id': 4909608581, 'qualifierId': 213, 'value': '2.26'}, {'id': 4909608575, 'qualifierId': 140, 'value': '24.7'}];57yplpr6jgwlqoon231ydqp04;I. Mathe;;;bxaox0u3scjlponw3iokbuyok;Pass;;;;;;;;;;24,7;2,26;;27,2;;15,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;24,7;27,2;;;;;;;;0;69;48;Portland Timbers II;4188;DC;1,0
2665163861;592;1;2;69;50;eo64tqkioegeb09iice2hf8bt;1;24,7;27,2;2024-03-30T22:29:59.636Z;2024-03-30T22:30:04Z;[{'id': 4909608805, 'qualifierId': 56, 'value': 'Back'}, {'id': 4909608813, 'qualifierId': 213, 'value': '5.00'}, {'id': 4909608809, 'qualifierId': 141, 'value': '4.6'}, {'id': 4909608811, 'qualifierId': 212, 'value': '16.0'}, {'id': 4909608807, 'qualifierId': 140, 'value': '29.0'}];5et4reh22bzqjp1wcr5sqldnu;B. Sjöberg;;;bxaox0u3scjlponw3iokbuyok;Pass;;;;;;;;;;29,0;5,0;;4,6;;16,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;29,0;4,6;;;;;;;;0;69;50;Portland Timbers II;4190;DC;1,0
2665163883;593;1;2;69;55;eo64tqkioegeb09iice2hf8bt;1;29,8;4,9;2024-03-30T22:30:04.564Z;2024-03-30T22:30:07Z;[{'id': 4909608955, 'qualifierId': 212, 'value': '19.1'}, {'id': 4909608951, 'qualifierId': 140, 'value': '20.0'}, {'id': 4909608953, 'qualifierId': 141, 'value': '28.5'}, {'id': 4909608957, 'qualifierId': 213, 'value': '2.14'}, {'id': 4909608949, 'qualifierId': 56, 'value': 'Back'}];57yplpr6jgwlqoon231ydqp04;I. Mathe;;;bxaox0u3scjlponw3iokbuyok;Pass;;;;;;;;;;20,0;2,14;;28,5;;19,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;20,0;28,5;;;;;;;;0;69;55;Portland Timbers II;4195;DC;1,0
2665163897;594;1;2;69;58;eo64tqkioegeb09iice2hf8bt;1;14,7;30,0;2024-03-30T22:30:07.653Z;2024-03-30T22:30:10Z;[{'id': 4909609035, 'qualifierId': 141, 'value': '58.5'}, {'id': 4909609037, 'qualifierId': 212, 'value': '21.0'}, {'id': 4909609033, 'qualifierId': 140, 'value': '6.9'}, {'id': 4909609031, 'qualifierId': 56, 'value': 'Back'}, {'id': 4909609039, 'qualifierId': 213, 'value': '1.97'}];5et4reh22bzqjp1wcr5sqldnu;B. Sjöberg;;;bxaox0u3scjlponw3iokbuyok;Pass;;;;;;;;;;6,9;1,97;;58,5;;21,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;6,9;58,5;;;;;;;;0;69;58;Portland Timbers II;4198;DC;1,0
