id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_JerseyNumber;value_PlayerPosition;value_TeamPlayerFormation;value_Involved;value_Captain;value_Resume;value_TeamFormation;value_DirectionOfPlay;value_Angle;value_PassEndX;value_PassEndY;value_KickOff;value_Zone;value_Length;value_Chipped;value_LongBall;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Offensive;value_Defensive;value_TouchTypeControl;value_TakeOnOvertake;value_TouchTypeClearance;value_OutOfPlay;value_BlockedPass;value_LayOff;value_TakeOnSpace;value_Direct;value_Handball;value_FreeKickTaken;value_DeletedEventType;value_IntendedTackleTarget;value_AttemptedTackle;value_Foul;value_Defensive1V1;value_SwitchOfPlay;value_HeadPass;value_OutSwinger;value_IntentionalAssist;value_Cross;value_RightFooted;value_Assist;value_Assisted;value_FirstTouch;value_GoalmouthY;value_GkY;value_RelatedEventId;value_GkX;value_BoxCentre;value_GoalmouthZ;value_Volley;value_Right;value_RegularPlay;value_NextEventGoalKick;value_GoalKick;value_NotVisible;value_Low;value_Launch;value_PlayersCaughtOffside;value_Indirect;value_LowRight;value_BoxRight;value_BlockedY;value_FastBreak;value_BlockedX;value_LowGkIntervention;value_Collected;value_Diving;value_Hands;value_OverArm;value_KeeperThrow;value_CloseLeft;value_IndividualPlay;value_OutOfBoxCentre;value_ShirtPull/Holding;value_LeftFooted;value_FloatedCross;value_Straight;value_GkYTimeOfGoal;value_BigChance;value_LowCentre;value_GoalShotGameClock;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_TouchTypePass;value_AerialFoul;value_RecklessOffence;value_YellowCard;value_SetPiece;value_Head;value_LowLeft;value_Standing;value_MediumGkIntervention;value_ParriedDanger;value_Stooping;value_NotAssisted;value_HighClaim;value_HighGkIntervention;value_High;value_RefereeDelay;value_DrinksBreak;value_LeadingToAttempt;value_CloseRight;value_BoxLeft;value_InSwinger;value_OverhitCross;value_Left;value_CornerTaken;value_NotPastGoalLine;value_FromCorner;value_GoalDisallowed;value_ParriedSafe;value_OwnPlayer;value_Blocked;value_OwnShotBlocked;value_Minutes;value_HighRight;value_HighCentre;value_EndType;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_HighLeft;value_FreeKick;value_SwerveLeft;value_SmallBoxRight;value_TacticalFoul;value_FlickOn;value_Shove/Push;value_MisHit;value_PersistentInfringement;value_SmallBoxCentre;value_Tap;value_DefBlock;value_Overrun;value_InjuredPlayerId;value_Injury;value_FollowsADribble;value_BoxDeepLeft;value_SoloRun;value_Dissent;value_Feet;value_ThroughBall;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2692539289;1;34;16;0;0;479lsfr4cwlzewpbuda3y2xv4;1;0,0;0,0;2024-05-26T21:09:31.147Z;2024-05-26T22:03:31Z;[{'id': 5058101545, 'qualifierId': 197, 'value': '3378'}, {'id': 5057998869, 'qualifierId': 59, 'value': '50, 30, 64, 53, 54, 68, 49, 56, 32, 23, 34, 28, 59, 66, 88, 95, 96, 97'}, {'id': 5057998867, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5057998873, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5057998865, 'qualifierId': 30, 'value': 'c2j0af3amobjhnadwf8cucbca, 6g7i7z6m8vts105dny1g6z3hm, 4ulfw4ik3i6ks2t7utgek5l3o, i5wj5hcg2r9934e7gauxtgmi, ex99a6zbacpkkhgvynu80qpzo, 4jkf81djj5h43v8rlnib1tizu, p99ze5cksh5tv01knf5oj33e, 9bv0zjyrsopyv3hw8m47sgr9w, aa4v8xfn3ra4digk5h7gdrbze, 7tpb4dk9meee0utyu4cosnxn8, abemsr9zh7bklu5jboks5ivpw, cqlc423f6bid2uy3togwkvlgq, c2b6h5zwjvzdvdcybyuqd6exg, brzi1qy5hkx7zhxhjykg8ox78, 7duzjflajla2xqvesalgjoy6s, 25rizu4n91uyax4z6l5jv6dqs, 37uh4n2zngcixlzo8vnk50vtg, 9g0pycttkbuyuetispcb2hij8'}, {'id': 5058079617, 'qualifierId': 194, 'value': 'i5wj5hcg2r9934e7gauxtgmi'}, {'id': 5057998875, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5057998871, 'qualifierId': 130, 'value': '8'}];;;;;d1qvmoz6u1wh5rpyr1mm9snbo;Team set up;3378,0;;;;;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;0;0;0;0;Huntsville City;0;;
2692541533;1;34;16;0;0;4gymgvqmve0m2vh89v84tt3x0;1;0,0;0,0;2024-05-26T21:16:14.753Z;2024-05-26T22:37:08Z;[{'id': 5058011467, 'qualifierId': 30, 'value': 'efek04gkkjjwr6vo2mi008dm, 42zmyz1t6mqap5pyfqxiaadqs, 9ncybediodv8share9pox2kno, 1kr4ax5uy3f9gbjzr34u0svf8, d9cioqeofh2tfg3171r5nlb10, bmax1bmduvrpp0lfh4do0yj9w, dz7v9xfcwdvjioeyv4z54neqy, 6z58yyouaevipxrmrmorcz0no, 5m3bxdstyhzoplpzam8c94t90, 7udp171hmb1rdixg9awx93h1w, 6qe888q8yqq73bxr27jbyu2hg, 2mmciwk6gllcf11plcch710yc, 6jzijlp0e2w4qjan9eto35wd0, 5myzzter0uza8ro6hwbqxyntg, b9f1pwdmp99p5penlqwuwcjkk, bshus335cwlnpdzl7ct1gpn9w, dkihhvecnitq5il3mmi33eivo, 6prn3rxp49rsfl8mxq2tqzf9w, 2v5j1i5ae9fnciilwy3op8and'}, {'id': 5058167211, 'qualifierId': 194, 'value': 'dz7v9xfcwdvjioeyv4z54neqy'}, {'id': 5058011473, 'qualifierId': 130, 'value': '2'}, {'id': 5058011469, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5058011477, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5058011471, 'qualifierId': 59, 'value': '67, 40, 3, 47, 2, 25, 17, 8, 9, 78, 10, 1, 5, 6, 19, 24, 45, 77, 20'}, {'id': 5058011475, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5058102831, 'qualifierId': 197, 'value': '18771'}];;;;;d1qvmoz6u1wh5rpyr1mm9snbo;Team set up;18771,0;;;;;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;;;;;;;;;0;0;0;0;Orlando City B;0;;
2692559001;2;32;1;0;0;479lsfr4cwlzewpbuda3y2xv4;1;0,0;0,0;2024-05-26T22:04:49.436Z;2024-05-31T07:52:47Z;[{'id': 5058103987, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;d1qvmoz6u1wh5rpyr1mm9snbo;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;0;0;0;0;Huntsville City;0;;
2692558997;2;32;1;0;0;4gymgvqmve0m2vh89v84tt3x0;1;0,0;0,0;2024-05-26T22:04:49.436Z;2024-05-26T22:04:49Z;[{'id': 5058103981, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;d1qvmoz6u1wh5rpyr1mm9snbo;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;;;;;;;;;0;0;0;0;Orlando City B;0;;
2692559013;3;1;1;0;0;4gymgvqmve0m2vh89v84tt3x0;1;49,9;50,0;2024-05-26T22:04:49.437Z;2024-05-26T22:04:53Z;[{'id': 5058104031, 'qualifierId': 213, 'value': '3.21'}, {'id': 5058104025, 'qualifierId': 140, 'value': '33.0'}, {'id': 5058104027, 'qualifierId': 141, 'value': '48.1'}, {'id': 5058104033, 'qualifierId': 279, 'value': 'S'}, {'id': 5058104023, 'qualifierId': 56, 'value': 'Back'}, {'id': 5058104029, 'qualifierId': 212, 'value': '17.8'}];7udp171hmb1rdixg9awx93h1w;T. Pasnik;;;d1qvmoz6u1wh5rpyr1mm9snbo;Pass;;;;;;;;;;3,21;33,0;48,1;;;17,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;33,0;48,1;;;;;;;0;0;0;0;Orlando City B;0;FW;1,0
2692559033;4;1;1;0;3;4gymgvqmve0m2vh89v84tt3x0;0;33,0;48,1;2024-05-26T22:04:53.065Z;2024-05-31T08:21:16Z;[{'id': 5062631857, 'qualifierId': 155}, {'id': 5058104131, 'qualifierId': 1}, {'id': 5058104125, 'qualifierId': 141, 'value': '0.0'}, {'id': 5058104121, 'qualifierId': 56, 'value': 'Right'}, {'id': 5058104127, 'qualifierId': 212, 'value': '72.2'}, {'id': 5058104123, 'qualifierId': 140, 'value': '94.1'}, {'id': 5058104129, 'qualifierId': 213, 'value': '5.81'}];6z58yyouaevipxrmrmorcz0no;I. Johnston;;;d1qvmoz6u1wh5rpyr1mm9snbo;Pass;;;;;;;;;;5,81;94,1;0,0;;;72,2;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;94,1;0,0;;;;;;;0;0;0;3;Orlando City B;3;MC;1,0
2692559139;3;5;1;0;6;479lsfr4cwlzewpbuda3y2xv4;1;6,4;101,2;2024-05-26T22:04:56.074Z;2024-05-26T22:09:16Z;[{'id': 5058104655, 'qualifierId': 56, 'value': 'Back'}, {'id': 5058104675, 'qualifierId': 233, 'value': '5'}, {'id': 5058104657, 'qualifierId': 347}];4jkf81djj5h43v8rlnib1tizu;T. Williams;;;d1qvmoz6u1wh5rpyr1mm9snbo;Out;;;;;;;;;;;;;;;;;;5,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;0;0;0;6;Huntsville City;6;DC;1,0
2692559035;5;5;1;0;6;4gymgvqmve0m2vh89v84tt3x0;0;93,6;-1,2;2024-05-26T22:04:56.074Z;2024-05-26T22:05:13Z;[{'id': 5058104679, 'qualifierId': 233, 'value': '3'}, {'id': 5058104135, 'qualifierId': 347}, {'id': 5058104133, 'qualifierId': 56, 'value': 'Right'}];6z58yyouaevipxrmrmorcz0no;I. Johnston;;;d1qvmoz6u1wh5rpyr1mm9snbo;Out;;;;;;;;;;;;;;;;;;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;;;;;;;;;0;0;0;6;Orlando City B;6;MC;1,0
2692559161;4;1;1;0;22;479lsfr4cwlzewpbuda3y2xv4;1;11,0;100,0;2024-05-26T22:05:12.250Z;2024-05-26T22:05:15Z;[{'id': 5058104787, 'qualifierId': 213, 'value': '5.80'}, {'id': 5058104779, 'qualifierId': 140, 'value': '38.8'}, {'id': 5058104773, 'qualifierId': 107}, {'id': 5058104783, 'qualifierId': 141, 'value': '79.3'}, {'id': 5058104789, 'qualifierId': 1}, {'id': 5058104775, 'qualifierId': 56, 'value': 'Back'}, {'id': 5058104785, 'qualifierId': 212, 'value': '32.9'}];4ulfw4ik3i6ks2t7utgek5l3o;M. Cocca;;;d1qvmoz6u1wh5rpyr1mm9snbo;Pass;;;;;;;;;;5,8;38,8;79,3;;;32,9;;1,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;38,8;79,3;;;;;;;0;0;0;22;Huntsville City;22;DC;1,0
2692559167;5;61;1;0;26;479lsfr4cwlzewpbuda3y2xv4;0;38,8;79,3;2024-05-26T22:05:15.842Z;2024-05-26T22:05:16Z;[{'id': 5058104797, 'qualifierId': 56, 'value': 'Back'}];aa4v8xfn3ra4digk5h7gdrbze;W. Rivera;;;d1qvmoz6u1wh5rpyr1mm9snbo;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;home;;;;;;;;;0;0;0;26;Huntsville City;26;FW;1,0
