id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_JerseyNumber;value_PlayerPosition;value_Involved;value_Resume;value_TeamPlayerFormation;value_TeamFormation;value_TeamKit;value_DirectionOfPlay;value_PassEndX;value_Zone;value_Angle;value_KickOff;value_PassEndY;value_Length;value_DeletedEventType;value_VideoCoverageLost;value_LongBall;value_Launch;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_HeadPass;value_IntendedTackleTarget;value_TouchTypePass;value_Foul;value_AttemptedTackle;value_Direct;value_FreeKickTaken;value_FlickOn;value_Chipped;value_NextEventThrowIn;value_ThrowIn;value_SwitchOfPlay;value_TakeOnOvertake;value_ShirtPull/Holding;value_RelatedEventId;value_TacticalFoul;value_YellowCard;value_NextEventGoalKick;value_Low;value_GoalKick;value_Shove/Push;value_TouchTypeClearance;value_Left;value_Right;value_Cross;value_LeftFooted;value_InSwinger;value_CornerTaken;value_Head;value_TakeOnSpace;value_OutOfPlay;value_LayOff;value_BoxLeft;value_GkX;value_IndividualPlay;value_GoalmouthZ;value_RegularPlay;value_NotAssisted;value_GkY;value_GoalmouthY;value_RightFooted;value_TouchTypeControl;value_IntentionalAssist;value_Assist;value_Assisted;value_BoxCentre;value_FirstTouch;value_Defensive1V1;value_IncorrectOutOfPlayDecision;value_High;value_OutOfBoxCentre;value_NotVisible;value_BlockedPass;value_Volley;value_HighLeft;value_LowGkIntervention;value_GkHoof;value_Deflection;value_LowCentre;value_BlockedX;value_BlockedY;value_HighGkIntervention;value_Caught;value_Standing;value_Hands;value_LastLine;value_KeeperThrow;value_OverhitCross;value_PullBack;value_LowLeft;value_Blocked;value_DefBlock;value_DrivenCross;value_Straight;value_FromCorner;value_35Centre;value_BoxRight;value_CloseLeft;value_SmallBoxLeft;value_Minutes;value_OutSwinger;value_BlockedCross;value_HighClaim;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_Handball;value_FantasyAssistId;value_FantasyAssistTeam;value_GoalShotGameClock;value_GkYTimeOfGoal;value_FantasyAssistedBy;value_GkXTimeOfGoal;value_BigChance;value_FantasyAssistType;value_GoalShotTimestamp;value_Overrun;value_Diving;value_ParriedDanger;value_SixYardBlocked;value_SavedOffLine;value_FastBreak;value_PlayersCaughtOffside;value_Indirect;value_InjuredPlayerId;value_Injury;value_Collected;value_Stooping;value_MediumGkIntervention;value_RefereeDelay;value_DrinksBreak;value_RecklessOffence;value_FreeKick;value_OverArm;value_GkKickFromHands;value_AerialFoul;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2700206643;537;1;2;59;33;29nx7yxy1rdqv2oobqn5pjf8p;1;40,0;50,6;2024-07-10T20:22:51.442Z;2024-07-10T20:22:56Z;[{'id': 5100191111, 'qualifierId': 213, 'value': '5.74'}, {'id': 5100191103, 'qualifierId': 56, 'value': 'Center'}, {'id': 5100191105, 'qualifierId': 140, 'value': '52.8'}, {'id': 5100191107, 'qualifierId': 141, 'value': '38.8'}, {'id': 5100191109, 'qualifierId': 212, 'value': '15.7'}];8pvvljn4uasfjxdleh56pm38;A. Pearlman;;;bpv73bw0x4hs5axb7ye4mcn4k;Pass;;;;;;;;;;52,8;;5,74;;38,8;15,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;52,8;38,8;;;;;;;0;0;59;33;Chicago Fire II;3573;DC;1,0
2700206659;538;1;2;59;38;29nx7yxy1rdqv2oobqn5pjf8p;1;52,6;54,0;2024-07-10T20:22:56.234Z;2024-07-10T20:22:59Z;[{'id': 5100191189, 'qualifierId': 141, 'value': '66.1'}, {'id': 5100191193, 'qualifierId': 213, 'value': '2.66'}, {'id': 5100191185, 'qualifierId': 56, 'value': 'Back'}, {'id': 5100191187, 'qualifierId': 140, 'value': '37.6'}, {'id': 5100191191, 'qualifierId': 212, 'value': '17.8'}];e8i5fg3tp35k8iys32eiv7jmc;C. Staniland;;;bpv73bw0x4hs5axb7ye4mcn4k;Pass;;;;;;;;;;37,6;;2,66;;66,1;17,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;37,6;66,1;;;;;;;0;0;59;38;Chicago Fire II;3578;MC;1,0
2700206663;539;1;2;59;41;29nx7yxy1rdqv2oobqn5pjf8p;1;37,0;66,9;2024-07-10T20:22:59.314Z;2024-07-10T20:23:00Z;[{'id': 5100191231, 'qualifierId': 141, 'value': '60.9'}, {'id': 5100191235, 'qualifierId': 212, 'value': '6.6'}, {'id': 5100191229, 'qualifierId': 140, 'value': '41.9'}, {'id': 5100191239, 'qualifierId': 213, 'value': '5.61'}, {'id': 5100191227, 'qualifierId': 56, 'value': 'Back'}];2figny7hhxiw29vizhlyta3o4;Ythallo;;;bpv73bw0x4hs5axb7ye4mcn4k;Pass;;;;;;;;;;41,9;;5,61;;60,9;6,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;41,9;60,9;;;;;;;0;0;59;41;Chicago Fire II;3581;Sub;1,0
2700206671;540;1;2;59;42;29nx7yxy1rdqv2oobqn5pjf8p;1;41,9;60,9;2024-07-10T20:23:00.802Z;2024-07-10T20:23:03Z;[{'id': 5100191273, 'qualifierId': 213, 'value': '4.21'}, {'id': 5100191269, 'qualifierId': 141, 'value': '34.3'}, {'id': 5100191267, 'qualifierId': 140, 'value': '32.5'}, {'id': 5100191265, 'qualifierId': 56, 'value': 'Back'}, {'id': 5100191271, 'qualifierId': 212, 'value': '20.6'}];e8i5fg3tp35k8iys32eiv7jmc;C. Staniland;;;bpv73bw0x4hs5axb7ye4mcn4k;Pass;;;;;;;;;;32,5;;4,21;;34,3;20,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;32,5;34,3;;;;;;;0;0;59;42;Chicago Fire II;3582;MC;1,0
2700206675;541;1;2;59;45;29nx7yxy1rdqv2oobqn5pjf8p;1;33,4;30,4;2024-07-10T20:23:03.425Z;2024-07-10T20:23:06Z;[{'id': 5100191309, 'qualifierId': 213, 'value': '5.36'}, {'id': 5100191305, 'qualifierId': 141, 'value': '11.9'}, {'id': 5100191307, 'qualifierId': 212, 'value': '15.7'}, {'id': 5100191303, 'qualifierId': 140, 'value': '42.4'}, {'id': 5100191301, 'qualifierId': 56, 'value': 'Back'}];8pvvljn4uasfjxdleh56pm38;A. Pearlman;;;bpv73bw0x4hs5axb7ye4mcn4k;Pass;;;;;;;;;;42,4;;5,36;;11,9;15,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;42,4;11,9;;;;;;;0;0;59;45;Chicago Fire II;3585;DC;1,0
2700206679;542;1;2;59;47;29nx7yxy1rdqv2oobqn5pjf8p;1;43,7;24,2;2024-07-10T20:23:05.906Z;2024-07-17T13:23:32Z;[{'id': 5100191325, 'qualifierId': 56, 'value': 'Back'}, {'id': 5100191333, 'qualifierId': 213, 'value': '1.37'}, {'id': 5100191327, 'qualifierId': 140, 'value': '45.2'}, {'id': 5100191329, 'qualifierId': 141, 'value': '35.6'}, {'id': 5100191331, 'qualifierId': 212, 'value': '7.9'}];7z57s6veqr3k87quyd6i7fgx6;M. Fisher;;;bpv73bw0x4hs5axb7ye4mcn4k;Pass;;;;;;;;;;45,2;;1,37;;35,6;7,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;45,2;35,6;;;;;;;0;0;59;47;Chicago Fire II;3587;MC;1,0
2700206693;543;1;2;59;49;29nx7yxy1rdqv2oobqn5pjf8p;1;42,9;38,5;2024-07-10T20:23:07.938Z;2024-07-17T13:23:37Z;[{'id': 5100191403, 'qualifierId': 212, 'value': '22.8'}, {'id': 5100191401, 'qualifierId': 141, 'value': '72.0'}, {'id': 5100191397, 'qualifierId': 56, 'value': 'Back'}, {'id': 5100191399, 'qualifierId': 140, 'value': '42.4'}, {'id': 5100191405, 'qualifierId': 213, 'value': '1.59'}];e8i5fg3tp35k8iys32eiv7jmc;C. Staniland;;;bpv73bw0x4hs5axb7ye4mcn4k;Pass;;;;;;;;;;42,4;;1,59;;72,0;22,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;42,4;72,0;;;;;;;0;0;59;49;Chicago Fire II;3589;MC;1,0
2700206697;544;50;2;59;56;29nx7yxy1rdqv2oobqn5pjf8p;1;52,8;56,2;2024-07-10T20:23:14.507Z;2024-07-17T13:23:44Z;[{'id': 5100191413, 'qualifierId': 56, 'value': 'Center'}, {'id': 5100191461, 'qualifierId': 233, 'value': '481'}, {'id': 5100191417, 'qualifierId': 286}];3wn0nn5q8g2mjzuc8yb4dvu2;M. Cimermancic;;;bpv73bw0x4hs5axb7ye4mcn4k;Dispossessed;;;;;;;;;;;;;;;;;;;;481,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;;;;;;;;;0;0;59;56;Chicago Fire II;3596;DC;1,0
2700206705;481;7;2;59;56;8o8m08he36u0j4w08aj2iodn8;0;47,2;43,8;2024-07-10T20:23:14.508Z;2024-07-17T13:23:44Z;[{'id': 5107291211, 'qualifierId': 385}, {'id': 5100191445, 'qualifierId': 233, 'value': '544'}, {'id': 5100191441, 'qualifierId': 56, 'value': 'Back'}, {'id': 5100191443, 'qualifierId': 285}];79knhnp7bvpjomzz14k715wtm;O. Glasgow;;;bpv73bw0x4hs5axb7ye4mcn4k;Tackle;;;;;;;;;;;;;;;;;;;;544,0;1,0;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;home;;;;;;;;;0;0;59;56;Toronto II;3596;ML;1,0
2700206701;545;61;2;59;57;29nx7yxy1rdqv2oobqn5pjf8p;1;48,0;59,1;2024-07-10T20:23:15.522Z;2024-07-10T20:23:15Z;[{'id': 5100191429, 'qualifierId': 56, 'value': 'Back'}];3wn0nn5q8g2mjzuc8yb4dvu2;M. Cimermancic;;;bpv73bw0x4hs5axb7ye4mcn4k;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;;;;;;;;;0;0;59;57;Chicago Fire II;3597;DC;1,0
