id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_JerseyNumber;value_Involved;value_TeamKit;value_Captain;value_TeamPlayerFormation;value_Resume;value_TeamFormation;value_DirectionOfPlay;value_Length;value_Zone;value_PassEndY;value_KickOff;value_PassEndX;value_Angle;value_NotVisible;value_Chipped;value_LongBall;value_Launch;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_HeadPass;value_NextEventThrowIn;value_ThrowIn;value_IntendedTackleTarget;value_SwitchOfPlay;value_BlockedPass;value_NextEventGoalKick;value_Low;value_GoalKick;value_AttemptedTackle;value_Direct;value_Foul;value_FreeKickTaken;value_LayOff;value_PlayersCaughtOffside;value_Indirect;value_Overrun;value_DeletedEventType;value_Assist;value_RelatedEventId;value_LeftFooted;value_Assisted;value_GkX;value_IndividualPlay;value_BoxRight;value_RegularPlay;value_Blocked;value_GoalmouthY;value_LowCentre;value_GkY;value_BlockedY;value_GoalmouthZ;value_BlockedX;value_DefBlock;value_OtherReason;value_RefereeDelay;value_RefereeStop;value_BallHitsReferee;value_OutOfPlay;value_FlickOn;value_ShirtPull/Holding;value_Left;value_IntentionalAssist;value_CornerTaken;value_Cross;value_OutSwinger;value_BoxCentre;value_High;value_FirstTouch;value_Head;value_Shove/Push;value_LowLeft;value_KeeperThrow;value_Right;value_NotAssisted;value_OutOfBoxCentre;value_FreeKick;value_Standing;value_ParriedDanger;value_Hands;value_Fumble;value_Injury;value_InjuredPlayerId;value_InSwinger;value_Minutes;value_EndType;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_RightFooted;value_35Centre;value_LowRight;value_Collected;value_ThrowInSetPiece;value_PullBack;value_BoxLeft;value_1On1;value_BigChance;value_OtherBodyPart;value_Sliding;value_GoalShotGameClock;value_GoalShotTimestamp;value_HighCentre;value_CloseLeft;value_YellowCard;value_RecklessOffence;value_CloseRight;value_NotPastGoalLine;value_OutOfBoxDeepRight;value_FromCorner;value_MisHit;value_Weak;value_GkKickFromHands;value_Diving;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2710878475;1;34;16;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-08-18T23:12:32.131Z;2024-08-19T00:13:07Z;[{'id': 5159189335, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5159189337, 'qualifierId': 59, 'value': '51, 53, 72, 45, 44, 56, 39, 40, 90, 80, 57, 47, 48, 55, 49, 42, 71, 75, 78'}, {'id': 5159189333, 'qualifierId': 30, 'value': '7vhhtm49u9nzdpc9d60empxxw, 4wu5ystem7t4d7veep83j2qne, am8ndwmm4m03ys6wkad29lst0, f1oc42nax0yel4gblge49py7e, a9w6952jyw6x83gxp94zs8ro4, 8p3y7tm4lzwp39tojonnohaay, ew8oodr9hiuqve7xlz24xznfu, 38z2cuwmbeanujqho9cqwozmy, 45nz5h9qtf9bnucuxuh3b4qhg, 7pegcq6kh8s6naujxky714ys4, 1p1ektnr3l7lj518cbs2dnmdw, 28kg6zbpgbb8zrnhidogpxi0a, 1ss7pdaxmlk0sijax5brwpkyy, 86piuxs9tep01rcbsp3t8vx90, 6hh057kb54ovy3lqxo5bvxlhw, etyqw24tl6zko0qarctyv6ane, 9j4bb1s2mxtk3d4vmtvv081lg, eh27y0usldxsj6ouf3pkvbg9g, aa5n9va0fkquh5xqfdgbijvv8'}, {'id': 5159313635, 'qualifierId': 197, 'value': '23808'}, {'id': 5159335219, 'qualifierId': 194, 'value': 'ew8oodr9hiuqve7xlz24xznfu'}, {'id': 5159189341, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5159189343, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5159189339, 'qualifierId': 130, 'value': '4'}];;;;;escuo3udzopdk3kvb15wo7w2c;Team set up;;;;23808,0;;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;0;0;0;0;Real Monarchs;0;;
2710881503;1;34;16;0;0;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-08-18T23:18:06.588Z;2024-08-19T02:18:22Z;[{'id': 5159205547, 'qualifierId': 30, 'value': 'd8jipeh184bc6p9c0uervzytw, ahl3kfbfeubf6zfl7x8qrlm38, 5gl31qop7zlj9mfbtolvj7xuc, 9p86jgzpsokma52ifxswk4woa, 1z750xyx7stmv6uf51h1y6ehh, 5gg2mxmy9ff40oku3s09gavl6, 72xq9zy27facbbowtwsuzw0lw, 3wkej06590b61lyqm7vt1kwes, 8y2nsfsangmn1qa389y25b76c, 6kpb5yyfk2ifjgtfkspb8xwd0, 17x0wwjg47boyx7jua6vqf0gk, 2ig362xub2syd45v3usgymbkk, 48vc423tkz4mx7oql1ahqneac, 8rq61cgteiomxej2p0nxaw6c4, dzo2odov052991qseshgfruju, asy97zdxk0352toy38huzk222, mm0bv35ngf0sqh2yx2eza4x6, 9rgkh8j5l8n0ld96ojr47xy7e'}, {'id': 5159509807, 'qualifierId': 194, 'value': 'ahl3kfbfeubf6zfl7x8qrlm38'}, {'id': 5159205557, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5159205555, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5159205551, 'qualifierId': 59, 'value': '95, 42, 37, 99, 20, 32, 72, 81, 40, 77, 12, 57, 51, 34, 41, 33, 70, 97'}, {'id': 5159205549, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5159205553, 'qualifierId': 130, 'value': '2'}, {'id': 5159313841, 'qualifierId': 197, 'value': '6183'}];;;;;escuo3udzopdk3kvb15wo7w2c;Team set up;;;;6183,0;;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;;;;;;;;;0;0;0;0;Colorado Rapids II;0;;
2710901271;2;32;1;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-08-19T00:04:10.340Z;2024-08-19T00:04:10Z;[{'id': 5159314627, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;escuo3udzopdk3kvb15wo7w2c;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;0;0;0;0;Real Monarchs;0;;
2710901275;2;32;1;0;0;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-08-19T00:04:10.340Z;2024-08-19T00:04:12Z;[{'id': 5159314653, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;escuo3udzopdk3kvb15wo7w2c;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;;;;;;;;;0;0;0;0;Colorado Rapids II;0;;
2710901281;3;1;1;0;0;iiolvosiuokkrl5iuoxcjo4p;1;50,0;50,2;2024-08-19T00:04:10.341Z;2024-08-19T00:04:14Z;[{'id': 5159314687, 'qualifierId': 212, 'value': '23.1'}, {'id': 5159314681, 'qualifierId': 56, 'value': 'Back'}, {'id': 5159314685, 'qualifierId': 141, 'value': '49.3'}, {'id': 5159314691, 'qualifierId': 279, 'value': 'S'}, {'id': 5159314683, 'qualifierId': 140, 'value': '28.0'}, {'id': 5159314689, 'qualifierId': 213, 'value': '3.17'}];ew8oodr9hiuqve7xlz24xznfu;M. Vargas;;;escuo3udzopdk3kvb15wo7w2c;Pass;;;;;;;;;;23,1;;49,3;;28,0;3,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;28,0;49,3;;;;;;;0;0;0;0;Real Monarchs;0;MC;1,0
2710901283;4;1;1;0;3;iiolvosiuokkrl5iuoxcjo4p;1;30,0;42,1;2024-08-19T00:04:14.319Z;2024-08-19T00:04:16Z;[{'id': 5159314711, 'qualifierId': 141, 'value': '17.8'}, {'id': 5159314709, 'qualifierId': 140, 'value': '31.2'}, {'id': 5159314713, 'qualifierId': 212, 'value': '16.6'}, {'id': 5159314719, 'qualifierId': 213, 'value': '4.79'}, {'id': 5159314707, 'qualifierId': 56, 'value': 'Back'}];8p3y7tm4lzwp39tojonnohaay;N. Jones;;;escuo3udzopdk3kvb15wo7w2c;Pass;;;;;;;;;;16,6;;17,8;;31,2;4,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;31,2;17,8;;;;;;;0;0;0;3;Real Monarchs;3;DC;1,0
2710901289;5;1;1;0;5;iiolvosiuokkrl5iuoxcjo4p;1;31,6;17,7;2024-08-19T00:04:15.927Z;2024-08-19T00:04:17Z;[{'id': 5159314747, 'qualifierId': 56, 'value': 'Back'}, {'id': 5159314755, 'qualifierId': 213, 'value': '0.59'}, {'id': 5159314751, 'qualifierId': 141, 'value': '24.4'}, {'id': 5159314753, 'qualifierId': 212, 'value': '8.2'}, {'id': 5159314749, 'qualifierId': 140, 'value': '38.1'}];a9w6952jyw6x83gxp94zs8ro4;J. Belluz;;;escuo3udzopdk3kvb15wo7w2c;Pass;;;;;;;;;;8,2;;24,4;;38,1;0,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;38,1;24,4;;;;;;;0;0;0;5;Real Monarchs;5;DL;1,0
2710901291;6;1;1;0;6;iiolvosiuokkrl5iuoxcjo4p;0;38,8;24,4;2024-08-19T00:04:17.207Z;2024-08-19T00:04:17Z;[{'id': 5159314763, 'qualifierId': 140, 'value': '42.2'}, {'id': 5159314769, 'qualifierId': 213, 'value': '0.64'}, {'id': 5159314761, 'qualifierId': 56, 'value': 'Back'}, {'id': 5159314767, 'qualifierId': 212, 'value': '4.4'}, {'id': 5159314765, 'qualifierId': 141, 'value': '28.3'}];4wu5ystem7t4d7veep83j2qne;S. Flores;;;escuo3udzopdk3kvb15wo7w2c;Pass;;;;;;;;;;4,4;;28,3;;42,2;0,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;42,2;28,3;;;;;;;0;0;0;6;Real Monarchs;6;DR;1,0
2710901303;3;49;1;0;10;cbip96wzs3jc2xadoluhhxotl;1;56,4;69,6;2024-08-19T00:04:20.515Z;2024-08-19T00:04:20Z;[];6kpb5yyfk2ifjgtfkspb8xwd0;O. Anderson;;;escuo3udzopdk3kvb15wo7w2c;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;;;;;;;;;0;0;0;10;Colorado Rapids II;10;FW;1,0
2710901323;4;1;1;0;10;cbip96wzs3jc2xadoluhhxotl;1;56,2;69,4;2024-08-19T00:04:20.899Z;2024-08-19T00:04:27Z;[{'id': 5159314939, 'qualifierId': 56, 'value': 'Back'}, {'id': 5159314943, 'qualifierId': 141, 'value': '66.1'}, {'id': 5159314945, 'qualifierId': 212, 'value': '15.8'}, {'id': 5159314947, 'qualifierId': 213, 'value': '3.28'}, {'id': 5159314941, 'qualifierId': 140, 'value': '41.3'}];6kpb5yyfk2ifjgtfkspb8xwd0;O. Anderson;;;escuo3udzopdk3kvb15wo7w2c;Pass;;;;;;;;;;15,8;;66,1;;41,3;3,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;41,3;66,1;;;;;;;0;0;0;10;Colorado Rapids II;10;FW;1,0
