id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_TeamKit;value_PlayerPosition;value_Resume;value_JerseyNumber;value_Captain;value_TeamFormation;value_TeamPlayerFormation;value_DirectionOfPlay;value_Length;value_Zone;value_Angle;value_PassEndY;value_KickOff;value_PassEndX;value_Launch;value_LongBall;value_HeadPass;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Offensive;value_Defensive;value_DeletedEventType;value_Head;value_KeeperThrow;value_ShirtPull/Holding;value_Foul;value_Direct;value_FreeKickTaken;value_Chipped;value_NotAssisted;value_RegularPlay;value_LowRight;value_GoalmouthY;value_GoalmouthZ;value_BoxCentre;value_RightFooted;value_BlockedX;value_BlockedY;value_Diving;value_ParriedSafe;value_Feet;value_Left;value_Right;value_CornerTaken;value_Assist;value_FromCorner;value_Assisted;value_GkY;value_LeftFooted;value_GkX;value_RelatedEventId;value_OutOfBoxCentre;value_NextEventGoalKick;value_GoalKick;value_Low;value_SwitchOfPlay;value_IntentionalAssist;value_LowLeft;value_FirstTouch;value_Hands;value_Standing;value_Collected;value_GkHoof;value_GoalShotTimestamp;value_GoalShotGameClock;value_BoxLeft;value_1On1;value_BigChance;value_OutOfPlay;value_Cross;value_CloseRight;value_BlockedPass;value_AttemptedTackle;value_Shove/Push;value_Blocked;value_DefBlock;value_OverArm;value_PlayersCaughtOffside;value_Indirect;value_BoxRight;value_High;value_SmallBoxLeft;value_HighLeft;value_LowCentre;value_GkKickFromHands;value_AerialFoul;value_Minutes;value_PersistentInfringement;value_YellowCard;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_LayOff;value_IntendedTackleTarget;value_IndividualPlay;value_OutSwinger;value_35Centre;value_NotPastGoalLine;value_TimeWasting;value_BlockedCross;value_ThroughBall;value_Overrun;value_InSwinger;value_ProfessionalFoulLastMan;value_RedCard;value_FreeKick;value_HighClaim;value_NotVisible;value_MisHit;value_CaptainChange;value_HighRight;value_Argument;value_CloseLeft;value_Volley;value_BoxDeepLeft;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2710156965;1;34;16;0;0;4gymgvqmve0m2vh89v84tt3x0;1;0,0;0,0;2024-08-17T23:14:59.963Z;2024-08-18T02:04:08Z;[{'id': 5155202405, 'qualifierId': 30, 'value': '2oo5iizfcb7vdp5jvqd483qsq, 2ijhxcgr8wqnb8ovss9064jmy, 374euncv00zs2oy6ux1u519be, 6qe888q8yqq73bxr27jbyu2hg, d9cioqeofh2tfg3171r5nlb10, 3s1a50dskuehneuuy9b1nxg4, dz7v9xfcwdvjioeyv4z54neqy, 5mkyx29nr54rr3quwdgfpz3oq, c08hvq1hplcct8kxrxucfpqp6, 1kr4ax5uy3f9gbjzr34u0svf8, amcmxrycu0kldox7qdohow2ui, 8bnjioj1guv0abf5zdd21c2ui, 6prn3rxp49rsfl8mxq2tqzf9w, 2mmciwk6gllcf11plcch710yc, bmax1bmduvrpp0lfh4do0yj9w, 9ncybediodv8share9pox2kno, 6jzijlp0e2w4qjan9eto35wd0, 63td0sigm6tp2tg8yovf5npm2, 42zmyz1t6mqap5pyfqxiaadqs, 7udp171hmb1rdixg9awx93h1w'}, {'id': 5155317983, 'qualifierId': 197, 'value': '19319'}, {'id': 5155202407, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5155202415, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5155202409, 'qualifierId': 59, 'value': '49, 56, 13, 10, 2, 15, 17, 32, 28, 47, 38, 29, 77, 1, 25, 3, 5, 12, 40, 78'}, {'id': 5155704515, 'qualifierId': 194, 'value': 'dz7v9xfcwdvjioeyv4z54neqy'}, {'id': 5155202411, 'qualifierId': 130, 'value': '5'}, {'id': 5155202413, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;eoz5rggu2xofxedh4twwxy39w;Team set up;;19319,0;;;;;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;0;0;0;0;New York RB II;0;;
2710158049;1;34;16;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-08-17T23:17:25.052Z;2024-08-18T00:23:51Z;[{'id': 5155384717, 'qualifierId': 194, 'value': 'e2tuar1frliervcr2mnmvfspg'}, {'id': 5155208441, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5155317565, 'qualifierId': 197, 'value': '6066'}, {'id': 5155208443, 'qualifierId': 59, 'value': '21, 45, 42, 65, 34, 23, 90, 77, 16, 66, 82, 24, 97, 46, 27, 57, 44, 79, 35, 50'}, {'id': 5155208449, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5155208447, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5155208439, 'qualifierId': 30, 'value': 'bvtvko74cyeqe297mp6shrf2s, 6rgdv71lxh4cpz487ygvy5nv8, 92np3jwhxchmtfeov82ehe13o, 8q2wozyqz4nveabn71hc614dm, 59kitnlge8bjsxmhy850bsutw, e2tuar1frliervcr2mnmvfspg, ov4fk38lrcculu6tdbnrto2c, 80p7shawtxjiydizsg5fo5a1g, 8y7kqet5swj9dmqama0z5ngus, 65g50zt5gbo1lnrbc7uvwsbo4, afqry84j23xgkhqryrontj190, nhhmltlm3ayn7vqmp6etck5w, 4akvdujqbywk628gok9xbh2j8, o3gftw0hatp1r62ynjmlaaui, e23u0x31okggroh6dkoqx5fdg, 76xo0u2yd2cqf8xdyh8rteqdw, 8u0efvao8rym6mdx0tl0h0qac, e4rpnf90oa672lcm8ego7vllg, gz9dek1oxgman9jslfku0zmy, 4gp2d7oltfq4uwzj78gr6q9sk'}, {'id': 5155208445, 'qualifierId': 130, 'value': '2'}];;;;;eoz5rggu2xofxedh4twwxy39w;Team set up;;6066,0;;;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;0;0;0;0;Huntsville City;0;;
2710177879;2;32;1;0;0;4gymgvqmve0m2vh89v84tt3x0;1;0,0;0,0;2024-08-18T00:03:39.802Z;2024-08-18T00:03:39Z;[{'id': 5155320341, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;eoz5rggu2xofxedh4twwxy39w;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;0;0;0;0;New York RB II;0;;
2710177893;2;32;1;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-08-18T00:03:39.802Z;2024-08-18T00:03:42Z;[{'id': 5155320397, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;eoz5rggu2xofxedh4twwxy39w;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;0;0;0;0;Huntsville City;0;;
2710177955;3;1;1;0;0;4gymgvqmve0m2vh89v84tt3x0;1;50,0;50,0;2024-08-18T00:03:39.803Z;2024-08-18T00:03:46Z;[{'id': 5155320697, 'qualifierId': 212, 'value': '12.9'}, {'id': 5155320691, 'qualifierId': 56, 'value': 'Back'}, {'id': 5155320699, 'qualifierId': 213, 'value': '2.93'}, {'id': 5155320695, 'qualifierId': 141, 'value': '54.0'}, {'id': 5155320701, 'qualifierId': 279, 'value': 'S'}, {'id': 5155320693, 'qualifierId': 140, 'value': '38.0'}];6qe888q8yqq73bxr27jbyu2hg;O. Wright;;;eoz5rggu2xofxedh4twwxy39w;Pass;;;;;;;;;;12,9;;2,93;54,0;;38,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;38,0;54,0;;;;;;;0;0;0;0;New York RB II;0;MC;1,0
2710177977;4;1;1;0;6;4gymgvqmve0m2vh89v84tt3x0;1;37,1;52,5;2024-08-18T00:03:46.158Z;2024-08-18T00:56:34Z;[{'id': 5155320823, 'qualifierId': 213, 'value': '3.88'}, {'id': 5155320817, 'qualifierId': 140, 'value': '32.5'}, {'id': 5155320821, 'qualifierId': 212, 'value': '6.5'}, {'id': 5155320819, 'qualifierId': 141, 'value': '46.0'}, {'id': 5155320815, 'qualifierId': 56, 'value': 'Back'}];5mkyx29nr54rr3quwdgfpz3oq;E. O'Brien;;;eoz5rggu2xofxedh4twwxy39w;Pass;;;;;;;;;;6,5;;3,88;46,0;;32,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;32,5;46,0;;;;;;;0;0;0;6;New York RB II;6;MC;1,0
2710177991;5;1;1;0;8;4gymgvqmve0m2vh89v84tt3x0;0;31,5;42,8;2024-08-18T00:03:47.895Z;2024-08-18T00:56:33Z;[{'id': 5155320885, 'qualifierId': 212, 'value': '51.2'}, {'id': 5155320879, 'qualifierId': 56, 'value': 'Center'}, {'id': 5155320887, 'qualifierId': 213, 'value': '6.18'}, {'id': 5155320883, 'qualifierId': 141, 'value': '34.9'}, {'id': 5155320877, 'qualifierId': 157}, {'id': 5155320889, 'qualifierId': 1}, {'id': 5155320881, 'qualifierId': 140, 'value': '80.0'}];d9cioqeofh2tfg3171r5nlb10;C. Applewhite;;;eoz5rggu2xofxedh4twwxy39w;Pass;;;;;;;;;;51,2;;6,18;34,9;;80,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;80,0;34,9;;;;;;;0;0;0;8;New York RB II;8;DL;1,0
2710178015;3;1;1;0;8;4g68p0t2f5jzhzfr67i2rj1ex;1;21,6;70,0;2024-08-18T00:03:48.477Z;2024-08-18T00:03:50Z;[{'id': 5155320981, 'qualifierId': 213, 'value': '6.26'}, {'id': 5155320979, 'qualifierId': 212, 'value': '11.6'}, {'id': 5155320975, 'qualifierId': 140, 'value': '32.6'}, {'id': 5155320973, 'qualifierId': 56, 'value': 'Back'}, {'id': 5155320977, 'qualifierId': 141, 'value': '69.6'}, {'id': 5155320971, 'qualifierId': 3}];e2tuar1frliervcr2mnmvfspg;A. O'Connor;;;eoz5rggu2xofxedh4twwxy39w;Pass;;;;;;;;;;11,6;;6,26;69,6;;32,6;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;32,6;69,6;;;;;;;0;0;0;8;Huntsville City;8;DC;1,0
2710178021;4;1;1;0;10;4g68p0t2f5jzhzfr67i2rj1ex;1;32,6;69,6;2024-08-18T00:03:50.477Z;2024-08-18T00:03:52Z;[{'id': 5155321027, 'qualifierId': 212, 'value': '22.5'}, {'id': 5155321019, 'qualifierId': 3}, {'id': 5155321025, 'qualifierId': 141, 'value': '87.1'}, {'id': 5155321021, 'qualifierId': 56, 'value': 'Back'}, {'id': 5155321029, 'qualifierId': 213, 'value': '2.58'}, {'id': 5155321023, 'qualifierId': 140, 'value': '14.4'}];8q2wozyqz4nveabn71hc614dm;S. Sserwadda;;;eoz5rggu2xofxedh4twwxy39w;Pass;;;;;;;;;;22,5;;2,58;87,1;;14,4;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;14,4;87,1;;;;;;;0;0;0;10;Huntsville City;10;MC;1,0
2710178025;5;49;1;0;12;4g68p0t2f5jzhzfr67i2rj1ex;1;14,4;87,1;2024-08-18T00:03:51.935Z;2024-08-18T00:03:52Z;[];e2tuar1frliervcr2mnmvfspg;A. O'Connor;;;eoz5rggu2xofxedh4twwxy39w;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;away;;;;;;;;;0;0;0;12;Huntsville City;12;DC;1,0
