id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_TeamFormation;value_Involved;value_PlayerPosition;value_Resume;value_JerseyNumber;value_TeamPlayerFormation;value_TeamKit;value_DirectionOfPlay;value_PassEndX;value_Angle;value_Length;value_Zone;value_PassEndY;value_KickOff;value_Chipped;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_FlickOn;value_HeadPass;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_Handball;value_Direct;value_FreeKickTaken;value_LongBall;value_Launch;value_Assist;value_GkX;value_OutOfBoxCentre;value_RegularPlay;value_SwerveRight;value_Assisted;value_RelatedEventId;value_GoalmouthY;value_GoalmouthZ;value_GkY;value_RightFooted;value_IndividualPlay;value_Right;value_NextEventGoalKick;value_GoalKick;value_Low;value_TakeOnOvertake;value_TouchTypeClearance;value_DeletedEventType;value_SwitchOfPlay;value_Cross;value_LeftFooted;value_OutSwinger;value_HighGkIntervention;value_TouchTypePass;value_BlockedPass;value_TakeOnSpace;value_Foul;value_AttemptedTackle;value_Head;value_Left;value_CornerTaken;value_InSwinger;value_IntendedTackleTarget;value_Shove/Push;value_OverhitCross;value_PlayersCaughtOffside;value_Indirect;value_TouchTypeControl;value_LowCentre;value_BlockedY;value_BlockedX;value_Deflection;value_Collected;value_Stooping;value_Hands;value_LowGkIntervention;value_KeeperThrow;value_LayOff;value_MisHit;value_SwerveLeft;value_IntentionalAssist;value_NotPastGoalLine;value_FirstTouch;value_BoxLeft;value_ShirtPull/Holding;value_YellowCard;value_RecklessOffence;value_NotVisible;value_MediumGkIntervention;value_SetPiece;value_BoxCentre;value_ThroughBall;value_BoxRight;value_Weak;value_Volley;value_NotAssisted;value_CloseLeft;value_HighLeft;value_HighRight;value_IncorrectOutOfPlayDecision;value_Minutes;value_OtherBodyPart;value_SmallBoxCentre;value_BigChance;value_EndType;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_InjuredPlayerId;value_Injury;value_OverArm;value_Blocked;value_DefBlock;value_LowLeft;value_ParriedSafe;value_CloseRightAndHigh;value_PullBack;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_GoalShotGameClock;value_High;value_BlockedCross;value_FromCorner;value_FreeKick;value_OutOfBoxLeft;value_TacticalFoul;value_LeadingToGoal;value_RelatedError1Id;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2694902407;676;49;2;67;24;bd0378yx50xpdcgwkt9p9bmz8;1;33,2;76,5;2024-06-06T23:29:18.077Z;2024-06-06T23:29:18Z;[];5bgt61vb5lnzyoczqnr202lpm;M. Tablante;;;d9pn0c4dchdqholl3ala0u9zo;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;;;;;;;;;0;0;67;24;Philadelphia Union II;4044;Sub;1,0
2694902409;677;1;2;67;25;bd0378yx50xpdcgwkt9p9bmz8;1;42,2;77,8;2024-06-06T23:29:19.372Z;2024-06-06T23:29:22Z;[{'id': 5070984139, 'qualifierId': 140, 'value': '56.2'}, {'id': 5070984141, 'qualifierId': 141, 'value': '89.3'}, {'id': 5070984143, 'qualifierId': 212, 'value': '16.7'}, {'id': 5070984137, 'qualifierId': 56, 'value': 'Left'}, {'id': 5070984145, 'qualifierId': 213, 'value': '0.49'}];5bgt61vb5lnzyoczqnr202lpm;M. Tablante;;;d9pn0c4dchdqholl3ala0u9zo;Pass;;;;;;;;;;56,2;0,49;16,7;;89,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;56,2;89,3;;;;;;;0;0;67;25;Philadelphia Union II;4045;Sub;1,0
2694902419;678;1;2;67;28;bd0378yx50xpdcgwkt9p9bmz8;0;65,2;84,2;2024-06-06T23:29:22.092Z;2024-06-06T23:29:24Z;[{'id': 5070984185, 'qualifierId': 141, 'value': '86.8'}, {'id': 5070984183, 'qualifierId': 140, 'value': '84.7'}, {'id': 5070984189, 'qualifierId': 213, 'value': '0.09'}, {'id': 5070984181, 'qualifierId': 56, 'value': 'Left'}, {'id': 5070984187, 'qualifierId': 212, 'value': '20.6'}];bfm4xr4ue74v0li53slarf9t6;P. Mangione;;;d9pn0c4dchdqholl3ala0u9zo;Pass;;;;;;;;;;84,7;0,09;20,6;;86,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;84,7;86,8;;;;;;;0;0;67;28;Philadelphia Union II;4048;AMC;1,0
2694902417;534;8;2;67;30;1zgjjyruyufrkh4xjvryqsb1i;1;16,5;13,8;2024-06-06T23:29:23.862Z;2024-06-13T10:55:30Z;[{'id': 5076358227, 'qualifierId': 385}, {'id': 5070984179, 'qualifierId': 56, 'value': 'Back'}];a3qa9kw3vbh8nu5mgns92czro;O. Makhanya;;;d9pn0c4dchdqholl3ala0u9zo;Interception;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;0;0;67;30;Cincinnati II;4050;DC;1,0
2694902425;679;61;2;67;36;bd0378yx50xpdcgwkt9p9bmz8;1;97,3;76,8;2024-06-06T23:29:30.189Z;2024-06-06T23:29:34Z;[{'id': 5070984241, 'qualifierId': 56, 'value': 'Center'}];1ofx4ncf6w5twjbaam5w0mu7e;Guilherme Santos;;;d9pn0c4dchdqholl3ala0u9zo;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;;;;;;;;;0;0;67;36;Philadelphia Union II;4056;AMC;1,0
2694902429;535;5;2;67;38;1zgjjyruyufrkh4xjvryqsb1i;1;-1,0;30,0;2024-06-06T23:29:31.893Z;2024-06-06T23:29:33Z;[{'id': 5070984257, 'qualifierId': 56, 'value': 'Back'}, {'id': 5070984259, 'qualifierId': 346}, {'id': 5070984267, 'qualifierId': 233, 'value': '680'}];a3qa9kw3vbh8nu5mgns92czro;O. Makhanya;;;d9pn0c4dchdqholl3ala0u9zo;Out;;;;;;;;;;;;;;;;;680,0;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;0;0;67;38;Cincinnati II;4058;DC;1,0
2694902431;680;5;2;67;38;bd0378yx50xpdcgwkt9p9bmz8;0;101,0;70,0;2024-06-06T23:29:31.893Z;2024-06-06T23:32:32Z;[{'id': 5070984265, 'qualifierId': 346}, {'id': 5070984271, 'qualifierId': 233, 'value': '535'}, {'id': 5070984263, 'qualifierId': 56, 'value': 'Center'}];1ofx4ncf6w5twjbaam5w0mu7e;Guilherme Santos;;;d9pn0c4dchdqholl3ala0u9zo;Out;;;;;;;;;;;;;;;;;535,0;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;;;;;;;;;0;0;67;38;Philadelphia Union II;4058;AMC;1,0
2694902447;536;1;2;67;44;1zgjjyruyufrkh4xjvryqsb1i;1;1,1;40,1;2024-06-06T23:29:37.478Z;2024-06-06T23:29:39Z;[{'id': 5070984365, 'qualifierId': 140, 'value': '9.2'}, {'id': 5070984369, 'qualifierId': 212, 'value': '18.2'}, {'id': 5070984363, 'qualifierId': 56, 'value': 'Back'}, {'id': 5070984375, 'qualifierId': 237}, {'id': 5070984371, 'qualifierId': 213, 'value': '1.08'}, {'id': 5070984361, 'qualifierId': 124}, {'id': 5070984367, 'qualifierId': 141, 'value': '63.7'}];2y9o7d8tm1f8fnp6jewxzifis;A. Rick;;;d9pn0c4dchdqholl3ala0u9zo;Pass;;;;;;;;;;9,2;1,08;18,2;;63,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;9,2;63,7;;;;;;;0;0;67;44;Cincinnati II;4064;GK;1,0
2694902451;537;1;2;67;46;1zgjjyruyufrkh4xjvryqsb1i;1;13,1;67,0;2024-06-06T23:29:39.622Z;2024-06-06T23:29:43Z;[{'id': 5070984397, 'qualifierId': 212, 'value': '23.0'}, {'id': 5070984391, 'qualifierId': 56, 'value': 'Back'}, {'id': 5070984395, 'qualifierId': 141, 'value': '90.2'}, {'id': 5070984399, 'qualifierId': 213, 'value': '0.75'}, {'id': 5070984393, 'qualifierId': 140, 'value': '29.1'}];a3qa9kw3vbh8nu5mgns92czro;O. Makhanya;;;d9pn0c4dchdqholl3ala0u9zo;Pass;;;;;;;;;;29,1;0,75;23,0;;90,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;29,1;90,2;;;;;;;0;0;67;46;Cincinnati II;4066;DC;1,0
2694902457;538;1;2;67;49;1zgjjyruyufrkh4xjvryqsb1i;1;30,8;87,1;2024-06-06T23:29:42.950Z;2024-06-06T23:29:46Z;[{'id': 5070984437, 'qualifierId': 212, 'value': '12.2'}, {'id': 5070984431, 'qualifierId': 56, 'value': 'Back'}, {'id': 5070984439, 'qualifierId': 213, 'value': '4.54'}, {'id': 5070984433, 'qualifierId': 140, 'value': '28.8'}, {'id': 5070984435, 'qualifierId': 141, 'value': '69.4'}];2qz3ojbfedl8psp1tvq0183ro;F. Westfield;;;d9pn0c4dchdqholl3ala0u9zo;Pass;;;;;;;;;;28,8;4,54;12,2;;69,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;28,8;69,4;;;;;;;0;0;67;49;Cincinnati II;4069;DC;1,0
