id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_JerseyNumber;value_TeamKit;value_TeamPlayerFormation;value_Involved;value_Resume;value_TeamFormation;value_PlayerPosition;value_Captain;value_DirectionOfPlay;value_PassEndY;value_Zone;value_KickOff;value_Length;value_Angle;value_PassEndX;value_LongBall;value_Chipped;value_Launch;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_HeadPass;value_FlickOn;value_Offensive;value_Defensive;value_TouchTypeControl;value_IntendedTackleTarget;value_DeletedEventType;value_Left;value_Cross;value_CornerTaken;value_RightFooted;value_InSwinger;value_Direct;value_ShirtPull/Holding;value_Foul;value_FreeKickTaken;value_BlockedPass;value_LayOff;value_SwitchOfPlay;value_AttemptedTackle;value_MediumGkIntervention;value_KeeperThrow;value_OverArm;value_TouchTypeClearance;value_RegularPlay;value_BoxCentre;value_GoalDisallowed;value_PlayersCaughtOffside;value_Indirect;value_Shove/Push;value_OutSwinger;value_LeftFooted;value_OutOfPlay;value_TakeOnSpace;value_LeadingToAttempt;value_IndividualPlay;value_RelatedError1Id;value_BoxDeepLeft;value_NotAssisted;value_GoalmouthZ;value_GkX;value_BigChance;value_GoalmouthY;value_GkY;value_Assist;value_OutOfBoxCentre;value_RelatedEventId;value_Assisted;value_NextEventGoalKick;value_Low;value_GoalKick;value_TakeOnOvertake;value_InjuredPlayerId;value_Injury;value_TouchTypePass;value_IntentionalAssist;value_BoxLeft;value_Blocked;value_BlockedX;value_LowLeft;value_BlockedY;value_DefBlock;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_BlockedCross;value_LowGkIntervention;value_SixYardBlocked;value_FirstTouch;value_SmallBoxLeft;value_High;value_NotVisible;value_Head;value_Right;value_SetPiece;value_Overrun;value_PullBack;value_LowCentre;value_Handball;value_TacticalFoul;value_YellowCard;value_Minutes;value_PersistentInfringement;value_GkHoof;value_EndType;value_Tactical;value_TimeWasting;value_FantasyAssistTeam;value_FantasyAssistId;value_FantasyAssistType;value_FantasyAssistedBy;value_GoalShotTimestamp;value_GoalShotGameClock;value_GkKickFromHands;value_FromCorner;value_Hands;value_Collected;value_Standing;value_LeadingToGoal;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_SmallBoxCentre;value_Volley;value_HighCentre;value_HighLeft;value_HighGkIntervention;value_Reaching;value_AerialFoul;value_1On1;value_SwerveRight;value_HighRight;value_ParriedSafe;value_BoxRight;value_LowRight;value_ThroughBall;value_CloseHigh;value_Weak;value_CloseRight;value_SwerveLeft;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2674914355;727;1;2;81;13;cbip96wzs3jc2xadoluhhxotl;0;63,3;92,3;2024-04-20T01:47:04.040Z;2024-04-20T01:47:04Z;[{'id': 4962168105, 'qualifierId': 236}, {'id': 4962168095, 'qualifierId': 56, 'value': 'Left'}, {'id': 4962168101, 'qualifierId': 212, 'value': '3.0'}, {'id': 4962168099, 'qualifierId': 141, 'value': '92.8'}, {'id': 4962168111, 'qualifierId': 286}, {'id': 4962168097, 'qualifierId': 140, 'value': '66.1'}, {'id': 4962168107, 'qualifierId': 233, 'value': '712'}, {'id': 4962168103, 'qualifierId': 213, 'value': '0.12'}];bxnegxnynd1glae8g0vfigfvu;N. Caliskan;;caukuaexyhvjmi693afqu6rdg;Pass;;;;;;;;;;92,8;;;3,0;0,12;66,1;;;;;712,0;;;;1,0;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;66,1;92,8;;;;;;;0;0;81;13;St. Louis City II;4873;MC;1,0
2674914353;712;74;2;81;13;dqx48fglv1l96cyrmjdod0xec;1;31,6;7,3;2024-04-20T01:47:04.041Z;2024-04-20T01:47:05Z;[{'id': 4962168093, 'qualifierId': 285}, {'id': 4962168091, 'qualifierId': 56, 'value': 'Back'}, {'id': 4962168123, 'qualifierId': 233, 'value': '727'}];910fd7rfysvvfzp2s1ywna5pm;M. Wentzel;;caukuaexyhvjmi693afqu6rdg;Blocked Pass;;;;;;;;;;;;;;;;;;;;727,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;81;13;Real Monarchs;4873;DL;1,0
2674914359;713;5;2;81;14;dqx48fglv1l96cyrmjdod0xec;0;35,9;-1,2;2024-04-20T01:47:04.838Z;2024-04-20T01:47:19Z;[{'id': 4962168129, 'qualifierId': 56, 'value': 'Back'}, {'id': 4962168131, 'qualifierId': 347}, {'id': 4962168401, 'qualifierId': 233, 'value': '728'}];910fd7rfysvvfzp2s1ywna5pm;M. Wentzel;;caukuaexyhvjmi693afqu6rdg;Out;;;;;;;;;;;;;;;;;;;1,0;728,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;81;14;Real Monarchs;4874;DL;1,0
2674914407;728;5;2;81;14;cbip96wzs3jc2xadoluhhxotl;1;64,1;101,2;2024-04-20T01:47:04.838Z;2024-04-20T02:09:07Z;[{'id': 4962168381, 'qualifierId': 56, 'value': 'Left'}, {'id': 4962168383, 'qualifierId': 347}, {'id': 4962168387, 'qualifierId': 233, 'value': '713'}];bxnegxnynd1glae8g0vfigfvu;N. Caliskan;;caukuaexyhvjmi693afqu6rdg;Out;;;;;;;;;;;;;;;;;;;1,0;713,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;;;;;;;;;0;0;81;14;St. Louis City II;4874;MC;1,0
2674914417;729;1;2;81;28;cbip96wzs3jc2xadoluhhxotl;1;73,1;100,0;2024-04-20T01:47:18.745Z;2024-04-20T01:47:23Z;[{'id': 4962168471, 'qualifierId': 140, 'value': '87.1'}, {'id': 4962168475, 'qualifierId': 212, 'value': '19.1'}, {'id': 4962168467, 'qualifierId': 107}, {'id': 4962168473, 'qualifierId': 141, 'value': '84.0'}, {'id': 4962168477, 'qualifierId': 213, 'value': '5.59'}, {'id': 4962168469, 'qualifierId': 56, 'value': 'Left'}];asy97zdxk0352toy38huzk222;T. Silva;;caukuaexyhvjmi693afqu6rdg;Pass;;;;;;;;;;84,0;;;19,1;5,59;87,1;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;87,1;84,0;;;;;;;0;0;81;28;St. Louis City II;4888;DC;1,0
2674914419;730;50;2;81;33;cbip96wzs3jc2xadoluhhxotl;1;89,8;90,6;2024-04-20T01:47:23.737Z;2024-04-20T02:07:59Z;[{'id': 4962168487, 'qualifierId': 56, 'value': 'Left'}, {'id': 4962168489, 'qualifierId': 286}, {'id': 4962186833, 'qualifierId': 233, 'value': '714'}];6d45ccicyo6dregi9cm4ad4kq;I. Paul;;caukuaexyhvjmi693afqu6rdg;Dispossessed;;;;;;;;;;;;;;;;;;;;714,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;;;;;;;;;0;0;81;33;St. Louis City II;4893;Sub;1,0
2674914423;714;7;2;81;33;dqx48fglv1l96cyrmjdod0xec;1;10,2;9,4;2024-04-20T01:47:23.738Z;2024-04-23T17:29:29Z;[{'id': 4962186811, 'qualifierId': 56, 'value': 'Back'}, {'id': 4962186813, 'qualifierId': 285}, {'id': 4975195521, 'qualifierId': 384}, {'id': 4962186825, 'qualifierId': 233, 'value': '730'}];910fd7rfysvvfzp2s1ywna5pm;M. Wentzel;;caukuaexyhvjmi693afqu6rdg;Tackle;;;;;;;;;;;;;;;;;;;;730,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;81;33;Real Monarchs;4893;DL;1,0
2674914425;715;49;2;81;35;dqx48fglv1l96cyrmjdod0xec;1;9,8;15,6;2024-04-20T01:47:26.311Z;2024-04-20T02:08:15Z;[];2dqtrnq0k1fphyw71yh41gvtg;T. Pearce;;caukuaexyhvjmi693afqu6rdg;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;81;35;Real Monarchs;4895;DR;1,0
2674917967;793;1;2;81;36;dqx48fglv1l96cyrmjdod0xec;1;10,3;11,7;2024-04-20T01:47:26.442Z;2024-04-20T02:08:14Z;[{'id': 4962187079, 'qualifierId': 213, 'value': '6.15'}, {'id': 4962187075, 'qualifierId': 141, 'value': '7.9'}, {'id': 4962187077, 'qualifierId': 212, 'value': '19.1'}, {'id': 4962187073, 'qualifierId': 140, 'value': '28.3'}, {'id': 4962187071, 'qualifierId': 56, 'value': 'Back'}];2dqtrnq0k1fphyw71yh41gvtg;T. Pearce;;caukuaexyhvjmi693afqu6rdg;Pass;;;;;;;;;;7,9;;;19,1;6,15;28,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;28,3;7,9;;;;;;;0;0;81;36;Real Monarchs;4896;DR;1,0
2674914435;716;1;2;81;36;dqx48fglv1l96cyrmjdod0xec;0;20,1;8,2;2024-04-20T01:47:27.405Z;2024-04-20T02:13:28Z;[{'id': 4962168551, 'qualifierId': 56, 'value': 'Back'}, {'id': 4962168553, 'qualifierId': 140, 'value': '16.7'}, {'id': 4962168555, 'qualifierId': 141, 'value': '13.7'}, {'id': 4962168557, 'qualifierId': 212, 'value': '5.2'}, {'id': 4962168559, 'qualifierId': 213, 'value': '2.33'}];en6q7ddrr22sz6knipkbqhyw9;Wan Kuzain;;caukuaexyhvjmi693afqu6rdg;Pass;;;;;;;;;;13,7;;;5,2;2,33;16,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;16,7;13,7;;;;;;;0;0;81;36;Real Monarchs;4896;MR;1,0
