id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_Involved;value_Resume;value_JerseyNumber;value_TeamPlayerFormation;value_Captain;value_TeamKit;value_PlayerPosition;value_DirectionOfPlay;value_Angle;value_PassEndX;value_PassEndY;value_Length;value_Zone;value_KickOff;value_LongBall;value_Launch;value_KeeperThrow;value_Chipped;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_HeadPass;value_Cross;value_OutOfPlay;value_Left;value_CornerTaken;value_InSwinger;value_Right;value_DeletedEventType;value_FlickOn;value_Offensive;value_Direct;value_AttemptedTackle;value_Foul;value_Defensive;value_FreeKickTaken;value_BlockedPass;value_BlockedX;value_GoalmouthY;value_GoalmouthZ;value_RelatedEventId;value_BlockedY;value_LowLeft;value_Assisted;value_IndividualPlay;value_Blocked;value_RegularPlay;value_BoxRight;value_LeftFooted;value_GkX;value_GkY;value_DefBlock;value_Assist;value_OutOfBoxCentre;value_HighCentre;value_RightFooted;value_SwerveLeft;value_Diving;value_ParriedSafe;value_Hands;value_FirstTouch;value_NotAssisted;value_HighRight;value_BoxCentre;value_FromCorner;value_NextEventGoalKick;value_GoalKick;value_Low;value_SwitchOfPlay;value_LayOff;value_PlayersCaughtOffside;value_Indirect;value_IntendedTackleTarget;value_IntentionalAssist;value_BigChance;value_GoalShotTimestamp;value_GoalShotGameClock;value_Tap;value_OverArm;value_BoxLeft;value_LowRight;value_Shove/Push;value_RecklessOffence;value_YellowCard;value_FantasyAssistId;value_FantasyAssistTeam;value_FantasyAssistedBy;value_FantasyAssistType;value_SmallBoxLeft;value_LeadingToGoal;value_ShirtPull/Holding;value_FreeKick;value_High;value_Handball;value_Head;value_LowCentre;value_ParriedDanger;value_Overrun;value_LastLine;value_HighClaim;value_SwerveRight;value_OutOfBoxLeft;value_NotPastGoalLine;value_MisHit;value_ThroughBall;value_Penalty;value_PenaltyTakerId;value_Dissent;value_NotVisible;value_Minutes;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_Scored;value_EndType;value_SmallBoxCentre;value_1On1;value_HighLeft;value_FastBreak;value_Sliding;value_Feet;value_BlockedCross;value_Collected;value_Standing;value_Volley;value_BoxDeepLeft;value_OutSwinger;value_SetPiece;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_CloseLeft;value_TimeWasting;value_GkKickFromHands;value_TacticalFoul;value_AdvantagePlayed;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2725150417;1;34;16;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-09-23T19:05:27.386Z;2024-09-23T20:04:59Z;[{'id': 5237348265, 'qualifierId': 130, 'value': '4'}, {'id': 5237348259, 'qualifierId': 30, 'value': 'bn7qfn71x24fjl5d8t4p97kve, 6sf0pdlzomnt3e1hlc4twyv4k, 7uk47vm92xsvwdofmw1ppawyy, 2676930j149yvanqev61emh62, eq98gflais2v26wgbkw9wrxg4, bug5x187ehj0apzl11lrl3ip6, 1d20nyyvmp0doobj6heejkowk, duj699i9620tuf3ii9z06bqsq, 3ei1s8oyub83owfxxbsygmsmi, cwyml9l4tfvb4ceh8tv3au0wk, 1cfm4ne1po0mld4bl37deg36c, 2s085s5fgmzsmf7oup7aekm0a, 1ni0mewxcbo26d1xxetkdy3ca, 4h2k5kwclhlgjk2koqin5r2fo, 1p4rbf4wumfagv2ntlewdxey, 3o4uxnvpnf3cwjs3srwegxp90, a0do5kh5akr89kst2p1hohixg'}, {'id': 5237348269, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5237348263, 'qualifierId': 59, 'value': '44, 38, 68, 70, 47, 2, 99, 42, 77, 29, 32, 57, 63, 64, 74, 75, 83'}, {'id': 5237348267, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'id': 5237582011, 'qualifierId': 194, 'value': '1d20nyyvmp0doobj6heejkowk'}, {'id': 5237577649, 'qualifierId': 197, 'value': '23611'}, {'id': 5237348261, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5'}];;;;;ckyt6lr21moqyj7gdzc15n9w;Team set up;4,0;;;;;;23611,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;;0;0;0;Philadelphia Union II;0;;
2725154913;1;34;16;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-09-23T19:12:49.566Z;2024-09-23T20:10:52Z;[{'id': 5237598751, 'qualifierId': 194, 'value': '2qz3ojbfedl8psp1tvq0183ro'}, {'id': 5237371759, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5237371751, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5237371757, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5237371749, 'qualifierId': 30, 'value': '2y9o7d8tm1f8fnp6jewxzifis, 872ifpo3qufi9vv9vy7ty6uj8, 2qz3ojbfedl8psp1tvq0183ro, 993vihjmsn70q9w237fatzgbu, 3h4x6eh6zkcaww4g6rhkwpbf8, a3qa9kw3vbh8nu5mgns92czro, 45v94x6b8g7n4xa3lsfdp6pzo, 20wmdzih6b1t0ekt1v2qd4b2s, ngmdu10fjli45jvddeljv8yc, 9j3va21w5i9ypf8qmt4g1vggk, 7bodno8j3qjiqp9wy8kobwmqc, 5aszabja459117mqykvfpajh0, 434xf7moiduhzy9ivp7jxr10, 15v2azulwhof0p216i7bjp250, 1ceqwz4ozqi6ft5l4hf5a04r8, cjhjwaelyypl3ca9gpzu61vys, d4spt2529fmys8d26x61lk36c, sqm6jwnogmzp7u7rsv3rtel0, 6rm114588bj7ro7639d8l4qvo, 7nd2w9ipveb6nfo413i8focus'}, {'id': 5237371753, 'qualifierId': 59, 'value': '76, 58, 39, 24, 44, 29, 41, 6, 35, 77, 56, 42, 55, 30, 57, 38, 47, 62, 61, 32'}, {'id': 5237578601, 'qualifierId': 197, 'value': '23610'}, {'id': 5237371755, 'qualifierId': 130, 'value': '3'}];;;;;ckyt6lr21moqyj7gdzc15n9w;Team set up;3,0;;;;;;23610,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;;0;0;0;New York City II;0;;
2725192151;2;32;1;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-09-23T20:03:32.759Z;2024-09-23T20:03:33Z;[{'id': 5237577819, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;ckyt6lr21moqyj7gdzc15n9w;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;;0;0;0;New York City II;0;;
2725192165;2;32;1;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-09-23T20:03:32.759Z;2024-09-23T20:03:36Z;[{'id': 5237577885, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;ckyt6lr21moqyj7gdzc15n9w;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;;0;0;0;Philadelphia Union II;0;;
2725192183;3;1;1;0;0;6ddsx316t3j0z6nolrky9k4r8;1;49,9;50,0;2024-09-23T20:03:32.760Z;2024-09-23T20:58:10Z;[{'id': 5237578047, 'qualifierId': 213, 'value': '2.62'}, {'id': 5237578041, 'qualifierId': 140, 'value': '35.6'}, {'id': 5237578043, 'qualifierId': 141, 'value': '62.7'}, {'id': 5237578045, 'qualifierId': 212, 'value': '17.3'}, {'id': 5237578039, 'qualifierId': 56, 'value': 'Back'}, {'id': 5237578049, 'qualifierId': 279, 'value': 'S'}];1d20nyyvmp0doobj6heejkowk;T. Calheira;;;ckyt6lr21moqyj7gdzc15n9w;Pass;;;;;;;;;;2,62;35,6;62,7;17,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;35,6;62,7;;;;;;;;0;0;0;Philadelphia Union II;0;MC;1,0
2725192207;4;1;1;0;3;6ddsx316t3j0z6nolrky9k4r8;1;35,6;62,7;2024-09-23T20:03:35.912Z;2024-09-23T20:58:09Z;[{'id': 5237578177, 'qualifierId': 56, 'value': 'Back'}, {'id': 5237578181, 'qualifierId': 141, 'value': '71.1'}, {'id': 5237578183, 'qualifierId': 212, 'value': '10.8'}, {'id': 5237578185, 'qualifierId': 213, 'value': '2.58'}, {'id': 5237578179, 'qualifierId': 140, 'value': '26.9'}];2676930j149yvanqev61emh62;J. Rozhansky;;;ckyt6lr21moqyj7gdzc15n9w;Pass;;;;;;;;;;2,58;26,9;71,1;10,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;26,9;71,1;;;;;;;;0;0;3;Philadelphia Union II;3;MC;1,0
2725192219;5;1;1;0;6;6ddsx316t3j0z6nolrky9k4r8;1;26,9;71,1;2024-09-23T20:03:39.144Z;2024-09-23T20:58:12Z;[{'id': 5237578239, 'qualifierId': 212, 'value': '20.8'}, {'id': 5237578231, 'qualifierId': 140, 'value': '36.3'}, {'id': 5237578243, 'qualifierId': 213, 'value': '1.08'}, {'id': 5237578235, 'qualifierId': 141, 'value': '98.1'}, {'id': 5237578227, 'qualifierId': 56, 'value': 'Back'}];bug5x187ehj0apzl11lrl3ip6;R. Hope-Gund;;;ckyt6lr21moqyj7gdzc15n9w;Pass;;;;;;;;;;1,08;36,3;98,1;20,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;36,3;98,1;;;;;;;;0;0;6;Philadelphia Union II;6;DC;1,0
2725192225;6;1;1;0;7;6ddsx316t3j0z6nolrky9k4r8;0;36,3;98,1;2024-09-23T20:03:40.584Z;2024-09-23T20:58:18Z;[{'id': 5237578279, 'qualifierId': 141, 'value': '84.8'}, {'id': 5237578275, 'qualifierId': 56, 'value': 'Left'}, {'id': 5237578285, 'qualifierId': 1}, {'id': 5237578283, 'qualifierId': 213, 'value': '6.02'}, {'id': 5237578277, 'qualifierId': 140, 'value': '68.1'}, {'id': 5237578281, 'qualifierId': 212, 'value': '34.6'}];7uk47vm92xsvwdofmw1ppawyy;C. Tiao;;;ckyt6lr21moqyj7gdzc15n9w;Pass;;;;;;;;;;6,02;68,1;84,8;34,6;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;68,1;84,8;;;;;;;;0;0;7;Philadelphia Union II;7;DC;1,0
2725192245;3;1;1;0;9;1zgjjyruyufrkh4xjvryqsb1i;0;37,9;12,1;2024-09-23T20:03:42.086Z;2024-09-23T20:03:45Z;[{'id': 5237578403, 'qualifierId': 141, 'value': '31.2'}, {'id': 5237578397, 'qualifierId': 157}, {'id': 5237578407, 'qualifierId': 213, 'value': '0.26'}, {'id': 5237578401, 'qualifierId': 140, 'value': '84.5'}, {'id': 5237578409, 'qualifierId': 1}, {'id': 5237578399, 'qualifierId': 56, 'value': 'Center'}, {'id': 5237578405, 'qualifierId': 212, 'value': '50.6'}];3h4x6eh6zkcaww4g6rhkwpbf8;Neil Pierre;;;ckyt6lr21moqyj7gdzc15n9w;Pass;;;;;;;;;;0,26;84,5;31,2;50,6;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;84,5;31,2;;;;;;;;0;0;9;New York City II;9;DL;1,0
2725192251;7;52;1;0;13;6ddsx316t3j0z6nolrky9k4r8;1;13,8;69,7;2024-09-23T20:03:46.457Z;2024-09-23T20:03:46Z;[];bn7qfn71x24fjl5d8t4p97kve;A. Rando;;;ckyt6lr21moqyj7gdzc15n9w;Keeper pick-up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;;0;0;13;Philadelphia Union II;13;GK;1,0
