id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_JerseyNumber;value_Resume;value_TeamKit;value_Captain;value_TeamPlayerFormation;value_PlayerPosition;value_Involved;value_DirectionOfPlay;value_Length;value_KickOff;value_PassEndY;value_PassEndX;value_Zone;value_Angle;value_Chipped;value_LongBall;value_NextEventGoalKick;value_OppositeRelatedEventId;value_GoalKick;value_Low;value_Launch;value_IntendedTackleTarget;value_BlockedPass;value_Offensive;value_Defensive;value_HeadPass;value_TakeOnOvertake;value_OverhitCross;value_Cross;value_RightFooted;value_OutSwinger;value_NextEventThrowIn;value_ThrowIn;value_TakeOnSpace;value_TouchTypePass;value_TouchTypeClearance;value_Direct;value_Foul;value_ShirtPull/Holding;value_FreeKickTaken;value_NotVisible;value_OutOfPlay;value_SwitchOfPlay;value_DeletedEventType;value_FlickOn;value_MediumGkIntervention;value_KeeperThrow;value_LeftFooted;value_BlockedCross;value_Left;value_CornerTaken;value_LayOff;value_Right;value_Head;value_IndividualPlay;value_LowLeft;value_OutOfBoxCentre;value_FromCorner;value_GkX;value_GoalmouthY;value_GkY;value_Volley;value_BlockedY;value_Blocked;value_NotAssisted;value_GoalmouthZ;value_BlockedX;value_DefBlock;value_InSwinger;value_TouchTypeControl;value_BoxDeepRight;value_FirstTouch;value_AttemptedTackle;value_Defensive1V1;value_IntentionalAssist;value_Assist;value_BoxCentre;value_RelatedEventId;value_High;value_RegularPlay;value_Assisted;value_BoxRight;value_LowRight;value_ParriedSafe;value_Diving;value_Hands;value_CloseRight;value_RecklessOffence;value_YellowCard;value_LowGkIntervention;value_ThroughBall;value_LowCentre;value_HighGkIntervention;value_OverArm;value_PlayersCaughtOffside;value_Indirect;value_NotRetreating;value_TacticalFoul;value_RedCard;value_ProfessionalFoulLastMan;value_FreeKick;value_ByWall;value_Minutes;value_GkKickFromHands;value_NotPastGoalLine;value_MisHit;value_Straight;value_FloatedCross;value_EndType;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_Collected;value_HighRight;value_Injury;value_InjuredPlayerId;value_SecondYellow;value_BoxLeft;value_CloseRightAndHigh;value_Shove/Push;value_BigChance;value_Stooping;value_ParriedDanger;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_GoalShotGameClock;value_SetPiece;value_GkYTimeOfGoal;value_Overrun;value_Dissent;value_SmallBoxRight;value_OtherBodyPart;value_Sliding;value_FantasyAssistType;value_FantasyAssistedBy;value_FantasyAssistId;value_FantasyAssistTeam;value_SmallBoxCentre;value_PullBack;value_HighLeft;value_AerialFoul;value_PenaltyTakerId;value_Penalty;value_Saved;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_BlockedClearance;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2684567451;1;34;16;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-05-08T22:37:50.511Z;2024-05-09T00:48:48Z;[{'id': 5014446115, 'qualifierId': 130, 'value': '4'}, {'id': 5014446113, 'qualifierId': 59, 'value': '26, 71, 40, 66, 39, 54, 60, 48, 68, 41, 27, 43, 44, 51, 56, 58, 77, 86, 87, 97'}, {'id': 5014446119, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5014507405, 'qualifierId': 197, 'value': '18742'}, {'id': 5014694809, 'qualifierId': 194, 'value': 'dercetgxemr74f5yasq86s5t6'}, {'id': 5014446117, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5014446111, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5014446109, 'qualifierId': 30, 'value': '2v9pdg70kewaarbz4jzsh00a2, 35i699wz5v6nush729peu776c, 6bg69aksa8wb6wmu7w81is8yy, dercetgxemr74f5yasq86s5t6, exk9svcdgcbn05ms00fhorvv8, ezda0qbkzxiyuxmpc360mcdn8, 9qhpi9y9iujvkbocafhgrj04q, 3ve0xap9f0gjsslhgjsmakx04, f12wt1v2qf2siv8p6q6x2bxuc, 7bxp7ho4cmsoviw19q4bxr02c, 9ohy24mxhsqao5kymh0lbxxck, avxfzgoe2y0opif75qu3aeb6c, 3xd2kq7cxmvdbqsfzgi644c4q, 4npcsyrhri5kmeks8gfon146i, doqbp8fg8hke6hhifdr4jzklw, 1mgojctk6vwsxz2rhurggk1sk, 3sg9rl2w343fvx1uv046ox4pg, drt65b9m2f494wnoyep49bn1m, aaac8z97ph1h1xlym2utjb21g, 7ofdnarha4k4b8nggld7gxnqi'}];;;;;cpmvernaow086rgpiwuke60ic;Team set up;4,0;;;18742,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;0;0;New England II;0;;
2684568077;1;34;16;0;0;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-05-08T22:44:14.172Z;2024-05-16T14:06:26Z;[{'id': 5014451187, 'qualifierId': 130, 'value': '8'}, {'id': 5014451181, 'qualifierId': 30, 'value': 'opnutov04c33y3gq2fjpkaac, dbyiafdyf93b8rtpceqitgopg, 906i3qf1bf6nx6pla85e869lg, 5adul4r3hifu5x4tv8efr05ey, ahgclh3e05evznhrpa32z6g6i, 357vd87hv0jvljqtt2qf4vmz8, 9u37akzkhdyszhevgrjghq99m, 40qi53orb0eur2jevowkvrcb8, 69ypla76c710iv0yegix1maz8, akwjik09wytzzr3yras0diqz8, 6han4f5xq1d0ii0ol2drgi4bu, bnspew1iw2jxr1s3a5oubp4ic, anysxg2z6niqapc5m3f4tzims, 5e00w1rqym73habcl01wm7jtg, et772m1f5cqceeffckpnty1p0, dc8u2bssrhxycx8vtn0kutp4a, c1z6mxuhvuegd4c5b3hau93ze, c8wq3ofarkeeisqr49fhrvwno, 6j4ibkpbos6w5ikle58u2vo, bzv3yqbc7ttf7fftbm2nelxck'}, {'id': 5014451191, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5014507519, 'qualifierId': 197, 'value': '18746'}, {'id': 5014451189, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5033362731, 'qualifierId': 194, 'value': 'ahgclh3e05evznhrpa32z6g6i'}, {'id': 5014451183, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5014451185, 'qualifierId': 59, 'value': '73, 30, 3, 13, 5, 43, 14, 17, 39, 23, 11, 45, 16, 7, 31, 41, 42, 35, 27, 32'}];;;;;cpmvernaow086rgpiwuke60ic;Team set up;8,0;;;18746,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;;;;;;;;0;0;0;Crown Legacy;0;;
2684578575;2;32;1;0;0;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-05-08T23:33:40.910Z;2024-05-08T23:33:44Z;[{'id': 5014508289, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;cpmvernaow086rgpiwuke60ic;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;;;;;;;;0;0;0;Crown Legacy;0;;
2684578569;2;32;1;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-05-08T23:33:40.910Z;2024-05-16T07:22:22Z;[{'id': 5014508259, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;cpmvernaow086rgpiwuke60ic;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;0;0;New England II;0;;
2684578587;3;1;1;0;1;6ubc4y1v6hr63mca7ica4hp90;1;50,4;50,6;2024-05-08T23:33:41.911Z;2024-05-16T07:51:11Z;[{'id': 5014508379, 'qualifierId': 212, 'value': '18.7'}, {'id': 5014508383, 'qualifierId': 279, 'value': 'S'}, {'id': 5014508377, 'qualifierId': 141, 'value': '51.5'}, {'id': 5014508375, 'qualifierId': 140, 'value': '32.6'}, {'id': 5014508373, 'qualifierId': 56, 'value': 'Back'}, {'id': 5014508381, 'qualifierId': 213, 'value': '3.11'}];9qhpi9y9iujvkbocafhgrj04q;C. Duke;;;cpmvernaow086rgpiwuke60ic;Pass;;;;;;;;;;18,7;;51,5;32,6;;3,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;32,6;51,5;;;;;;;;0;0;1;New England II;1;MC;1,0
2684578593;4;1;1;0;4;6ubc4y1v6hr63mca7ica4hp90;1;33,6;56,0;2024-05-08T23:33:45.754Z;2024-05-08T23:33:47Z;[{'id': 5014508413, 'qualifierId': 212, 'value': '8.2'}, {'id': 5014508415, 'qualifierId': 213, 'value': '2.65'}, {'id': 5014508409, 'qualifierId': 140, 'value': '26.7'}, {'id': 5014508411, 'qualifierId': 141, 'value': '61.7'}, {'id': 5014508407, 'qualifierId': 56, 'value': 'Back'}];dercetgxemr74f5yasq86s5t6;P. Mayaka;;;cpmvernaow086rgpiwuke60ic;Pass;;;;;;;;;;8,2;;61,7;26,7;;2,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;26,7;61,7;;;;;;;;0;0;4;New England II;4;MC;1,0
2684578617;5;1;1;0;6;6ubc4y1v6hr63mca7ica4hp90;0;26,7;61,7;2024-05-08T23:33:47.467Z;2024-05-09T01:45:09Z;[{'id': 5014508553, 'qualifierId': 56, 'value': 'Left'}, {'id': 5014508551, 'qualifierId': 155}, {'id': 5014508565, 'qualifierId': 1}, {'id': 5014508561, 'qualifierId': 212, 'value': '81.4'}, {'id': 5014508559, 'qualifierId': 141, 'value': '96.2'}, {'id': 5014508555, 'qualifierId': 140, 'value': '100.0'}, {'id': 5014508563, 'qualifierId': 213, 'value': '0.29'}];ezda0qbkzxiyuxmpc360mcdn8;A. Ouedraogo;;;cpmvernaow086rgpiwuke60ic;Pass;;;;;;;;;;81,4;;96,2;100,0;;0,29;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;100,0;96,2;;;;;;;;0;0;6;New England II;6;DC;1,0
2684578627;3;5;1;0;10;csntc7hucmo21gknxc5y0kc4q;1;-1,1;3,2;2024-05-08T23:33:51.536Z;2024-05-08T23:39:59Z;[{'id': 5014508581, 'qualifierId': 56, 'value': 'Back'}, {'id': 5014508583, 'qualifierId': 346}, {'id': 5014508589, 'qualifierId': 233, 'value': '6'}];dbyiafdyf93b8rtpceqitgopg;D. McIntosh;;;cpmvernaow086rgpiwuke60ic;Out;;;;;;;;;;;;;;;;;;1,0;6,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;;;;;;;;0;0;10;Crown Legacy;10;DR;1,0
2684578623;6;5;1;0;10;6ubc4y1v6hr63mca7ica4hp90;0;101,1;96,8;2024-05-08T23:33:51.536Z;2024-05-08T23:33:52Z;[{'id': 5014508573, 'qualifierId': 56, 'value': 'Left'}, {'id': 5014508575, 'qualifierId': 346}, {'id': 5014508599, 'qualifierId': 233, 'value': '3'}];ezda0qbkzxiyuxmpc360mcdn8;A. Ouedraogo;;;cpmvernaow086rgpiwuke60ic;Out;;;;;;;;;;;;;;;;;;1,0;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;0;10;New England II;10;DC;1,0
2684578693;4;1;1;0;23;csntc7hucmo21gknxc5y0kc4q;1;4,6;38,8;2024-05-08T23:34:04.806Z;2024-05-09T01:45:18Z;[{'id': 5014508993, 'qualifierId': 212, 'value': '7.6'}, {'id': 5014508985, 'qualifierId': 124}, {'id': 5014508995, 'qualifierId': 213, 'value': '1.76'}, {'id': 5014508991, 'qualifierId': 141, 'value': '49.8'}, {'id': 5014508987, 'qualifierId': 56, 'value': 'Back'}, {'id': 5014508999, 'qualifierId': 237}, {'id': 5014508989, 'qualifierId': 140, 'value': '3.2'}];ahgclh3e05evznhrpa32z6g6i;V. Souza;;;cpmvernaow086rgpiwuke60ic;Pass;;;;;;;;;;7,6;;49,8;3,2;;1,76;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;3,2;49,8;;;;;;;;0;0;23;Crown Legacy;23;DL;1,0
