id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_PlayerPosition;value_Involved;value_TeamFormation;value_JerseyNumber;value_TeamPlayerFormation;value_TeamKit;value_Captain;value_DirectionOfPlay;value_PassEndY;value_Angle;value_KickOff;value_Zone;value_Length;value_PassEndX;value_Launch;value_LongBall;value_Head;value_OutOfPlay;value_Left;value_OppositeRelatedEventId;value_CornerTaken;value_Offensive;value_TakeOnOvertake;value_Defensive;value_TouchTypeClearance;value_Cross;value_OutSwinger;value_Chipped;value_BlockedPass;value_LeftFooted;value_BlockedCross;value_NextEventGoalKick;value_Low;value_GoalKick;value_NextEventThrowIn;value_ThrowIn;value_IntendedTackleTarget;value_HeadPass;value_DeletedEventType;value_TouchTypeControl;value_SwitchOfPlay;value_High;value_AttemptedTackle;value_Foul;value_Direct;value_FreeKickTaken;value_LayOff;value_LowGkIntervention;value_PlayersCaughtOffside;value_Indirect;value_TouchTypePass;value_PullBack;value_Right;value_OverhitCross;value_InSwinger;value_ShirtPull/Holding;value_RelatedEventId;value_TacticalFoul;value_YellowCard;value_NotVisible;value_TakeOnSpace;value_IntentionalAssist;value_Assist;value_GoalmouthZ;value_Assisted;value_SwerveLeft;value_BoxLeft;value_RightFooted;value_LowLeft;value_GoalmouthY;value_BlockedY;value_FirstTouch;value_BlockedX;value_RegularPlay;value_Hands;value_Collected;value_Standing;value_MediumGkIntervention;value_OverArm;value_KeeperThrow;value_GkY;value_Blocked;value_BoxCentre;value_LowCentre;value_GkX;value_DefBlock;value_Diving;value_HighGkIntervention;value_ParriedDanger;value_GoalShotTimestamp;value_Volley;value_FantasyAssistType;value_NotAssisted;value_FantasyAssistId;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_GoalShotGameClock;value_FantasyAssistedBy;value_BigChance;value_FantasyAssistTeam;value_IndividualPlay;value_Shove/Push;value_Overrun;value_SavedOffLine;value_SixYardBlocked;value_LowRight;value_LastLine;value_OutOfBoxCentre;value_FlickOn;value_IncorrectOutOfPlayDecision;value_RefereeDelay;value_DrinksBreak;value_BoxDeepRight;value_ParriedSafe;value_Feet;value_Sliding;value_GkHoof;value_BoxRight;value_Deflection;value_Injury;value_InjuredPlayerId;value_SetPiece;value_HighCentre;value_Caught;value_GkKickFromHands;value_HighClaim;value_Minutes;value_RecklessOffence;value_FastBreak;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_Defensive1V1;value_NotPastGoalLine;value_CoachId;value_Dissent;value_DrivenCross;value_Straight;value_HighRight;value_SmallBoxRight;value_Reaching;value_FromCorner;value_KeeperTouched;value_FloatedCross;value_Weak;value_MisHit;value_ThroughBall;value_OwnGoal;value_CloseRight;value_35Centre;value_CloseLeft;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2692566515;1;34;16;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-05-26T22:22:33.216Z;2024-05-26T23:07:18Z;[{'id': 5058143101, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5058143093, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5058143091, 'qualifierId': 30, 'value': '3my8ymhvy1bysbllwpoj3qctm, en1t9w6orptzi3v7odnawg8b8, 2wj1w4opn7f0jyz1ps6ebvc6i, aa4ut2fmswha43fxnrxp1obo4, 2jzuij8p7eoy42aqem688ltuy, 1snfyu5dmv164k5cl87chjlsk, 4uuq2zuhmlbg7kh85v5l8723u, 1es4nynrpc8sz3enj46i9zeok, 9ph8wasuz3ndre586gople49g, 9qyg5hre038m06bzzupzgmsk4, 7qt4r82kyz05r8kd8cmdh1xqs, e81zc97bmfjgwo978gplrx46i, 1d43ue54zl1o9rvnwz5zfotm, 3c1xz4vpfoum0jbq6bmtdrtux, azzpjrq2pndxuz0waw25p7r6y, 3ehrq9mryoug8osgxkpg4eo7o, n5otejqjssvxk3bzx06642z8, 70lmb5krx6h8iidmbs6t015hw, 48p3wcjai97tpt50ia7bi7ok4'}, {'id': 5058143097, 'qualifierId': 130, 'value': '4'}, {'id': 5058143095, 'qualifierId': 59, 'value': '12, 39, 3, 19, 6, 30, 18, 48, 9, 7, 21, 1, 5, 10, 11, 33, 35, 36, 14'}, {'id': 5058143099, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5058213293, 'qualifierId': 197, 'value': '23619'}, {'id': 5058215025, 'qualifierId': 194, 'value': '4uuq2zuhmlbg7kh85v5l8723u'}];;;;;d2hs8whwkxskfp1b7q0km53bo;Team set up;;;;4,0;;;23619,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;0;0;Tacoma Defiance;0;;
2692566939;1;34;16;0;0;5icuo8utnztpsd9l03gdd68dl;1;0,0;0,0;2024-05-26T22:23:51.308Z;2024-05-26T23:04:01Z;[{'id': 5058145033, 'qualifierId': 59, 'value': '29, 96, 31, 88, 35, 98, 93, 37, 95, 36, 97, 30, 32, 40, 42, 53, 80'}, {'id': 5058214031, 'qualifierId': 197, 'value': '3515'}, {'id': 5058214029, 'qualifierId': 194, 'value': 'cdyrj15oxu3l5sgzgwof8ohgq'}, {'id': 5058145029, 'qualifierId': 30, 'value': 'bdrs643l8uzj01plxa25wncdm, 3007iihmvmlzgpgtxri3v3hg4, 7zr3gif60ntltgt3s5yi6qjca, cdyrj15oxu3l5sgzgwof8ohgq, dil2b9u1omrsdbxba5swbe9gq, 9mi1sfptejdihpufyukrdkftg, 4dji8lgdl3psnfchdwpllvod0, ez0t0pl5qxy0sa3zp1l77sjro, 3y5rrahty1k0l1hnww3bcozmy, 9fbj8njpn0q6j87le4rnafjf8, do5nsl65m35sog9vcp0j3kbh0, 5rcj1mef6u2jbosy1urou0d7t, 4s56s6f9nw96wergw7ix5zp0q, 2w2jy14eq0n5diyfa1jveklxw, c73tr75o7gj1p09r8k94g6fx0, 12s9icx64njgo9to4sb732eqc, 5jal3zhkwodffivsq89wfd15g'}, {'id': 5058145037, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'id': 5058145031, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5'}, {'id': 5058145035, 'qualifierId': 130, 'value': '8'}, {'id': 5058145039, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;d2hs8whwkxskfp1b7q0km53bo;Team set up;;;;8,0;;;3515,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;;;;;;;;;0;0;0;0;Houston Dynamo II;0;;
2692579489;2;32;1;0;0;5icuo8utnztpsd9l03gdd68dl;1;0,0;0,0;2024-05-26T23:04:08.593Z;2024-05-26T23:04:11Z;[{'id': 5058214335, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;d2hs8whwkxskfp1b7q0km53bo;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;;;;;;;;;0;0;0;0;Houston Dynamo II;0;;
2692579481;2;32;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-05-26T23:04:08.593Z;2024-05-31T08:18:16Z;[{'id': 5058214309, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;d2hs8whwkxskfp1b7q0km53bo;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;0;0;Tacoma Defiance;0;;
2692579497;3;1;1;0;0;5icuo8utnztpsd9l03gdd68dl;1;50,0;50,1;2024-05-26T23:04:08.594Z;2024-05-31T08:50:34Z;[{'id': 5058214395, 'qualifierId': 141, 'value': '41.1'}, {'id': 5058214399, 'qualifierId': 213, 'value': '3.53'}, {'id': 5058214401, 'qualifierId': 279, 'value': 'S'}, {'id': 5058214391, 'qualifierId': 56, 'value': 'Back'}, {'id': 5058214397, 'qualifierId': 212, 'value': '16.1'}, {'id': 5058214393, 'qualifierId': 140, 'value': '35.8'}];ez0t0pl5qxy0sa3zp1l77sjro;S. Brunell;;;d2hs8whwkxskfp1b7q0km53bo;Pass;;;;;;;;;;41,1;3,53;;;16,1;35,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;35,8;41,1;;;;;;;0;0;0;0;Houston Dynamo II;0;MC;1,0
2692579513;4;1;1;0;3;5icuo8utnztpsd9l03gdd68dl;0;34,5;40,1;2024-05-26T23:04:12.517Z;2024-05-31T08:50:40Z;[{'id': 5058214541, 'qualifierId': 212, 'value': '57.5'}, {'id': 5062634535, 'qualifierId': 157}, {'id': 5058214545, 'qualifierId': 1}, {'id': 5058214539, 'qualifierId': 141, 'value': '68.7'}, {'id': 5058214535, 'qualifierId': 56, 'value': 'Center'}, {'id': 5058214543, 'qualifierId': 213, 'value': '0.35'}, {'id': 5058214537, 'qualifierId': 140, 'value': '86.0'}];cdyrj15oxu3l5sgzgwof8ohgq;F. Bettache;;;d2hs8whwkxskfp1b7q0km53bo;Pass;;;;;;;;;;68,7;0,35;;;57,5;86,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;86,0;68,7;;;;;;;0;0;0;3;Houston Dynamo II;3;MC;1,0
2692579523;3;12;1;0;4;7pmw399vh2v44cjle4fkklp1w;1;15,6;36,0;2024-05-26T23:04:12.989Z;2024-05-27T01:15:26Z;[{'id': 5058214589, 'qualifierId': 140, 'value': '0.0'}, {'id': 5058214587, 'qualifierId': 56, 'value': 'Back'}, {'id': 5058214593, 'qualifierId': 212, 'value': '18.4'}, {'id': 5058214591, 'qualifierId': 141, 'value': '24.7'}, {'id': 5058214595, 'qualifierId': 213, 'value': '3.57'}, {'id': 5058214599, 'qualifierId': 15}, {'id': 5058214627, 'qualifierId': 167}];2jzuij8p7eoy42aqem688ltuy;F. Awodesu;;;d2hs8whwkxskfp1b7q0km53bo;Clearance;;;;;;;;;;24,7;3,57;;;18,4;0,0;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;0,0;24,7;;;;;;;0;0;0;4;Tacoma Defiance;4;DL;1,0
2692579527;4;6;1;0;5;7pmw399vh2v44cjle4fkklp1w;0;0,0;12,4;2024-05-26T23:04:14.477Z;2024-05-31T08:50:44Z;[{'id': 5058214717, 'qualifierId': 56, 'value': 'Back'}, {'id': 5058214719, 'qualifierId': 73}, {'id': 5058215327, 'qualifierId': 233, 'value': '6'}];2jzuij8p7eoy42aqem688ltuy;F. Awodesu;;;d2hs8whwkxskfp1b7q0km53bo;Corner Awarded;;;;;;;;;;;;;;;;;;;;1,0;6,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;0;5;Tacoma Defiance;5;DL;1,0
2692579585;6;6;1;0;5;5icuo8utnztpsd9l03gdd68dl;1;100,0;87,6;2024-05-26T23:04:14.477Z;2024-05-26T23:04:38Z;[{'id': 5058215049, 'qualifierId': 56, 'value': 'Left'}, {'id': 5058215051, 'qualifierId': 73}, {'id': 5058215317, 'qualifierId': 233, 'value': '4'}];cdyrj15oxu3l5sgzgwof8ohgq;F. Bettache;;;d2hs8whwkxskfp1b7q0km53bo;Corner Awarded;;;;;;;;;;;;;;;;;;;;1,0;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;;;;;;;;;0;0;0;5;Houston Dynamo II;5;MC;1,0
2692579651;7;1;1;0;30;5icuo8utnztpsd9l03gdd68dl;1;99,5;99,5;2024-05-26T23:04:39.510Z;2024-05-26T23:04:43Z;[{'id': 5058215379, 'qualifierId': 6}, {'id': 5058215383, 'qualifierId': 140, 'value': '74.0'}, {'id': 5058215385, 'qualifierId': 141, 'value': '90.0'}, {'id': 5058215389, 'qualifierId': 213, 'value': '3.38'}, {'id': 5058215387, 'qualifierId': 212, 'value': '27.5'}, {'id': 5058215381, 'qualifierId': 56, 'value': 'Left'}];3007iihmvmlzgpgtxri3v3hg4;B. Bowen;;;d2hs8whwkxskfp1b7q0km53bo;Pass;;;;;;;;;;90,0;3,38;;;27,5;74,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;74,0;90,0;;;;;;;0;0;0;30;Houston Dynamo II;30;DR;1,0
