id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_JerseyNumber;value_Resume;value_TeamFormation;value_PlayerPosition;value_TeamPlayerFormation;value_Captain;value_Involved;value_DirectionOfPlay;value_KickOff;value_Angle;value_PassEndX;value_PassEndY;value_Zone;value_Length;value_LongBall;value_Launch;value_TakeOnSpace;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_TouchTypeControl;value_DeletedEventType;value_FlickOn;value_HeadPass;value_Assist;value_IntentionalAssist;value_Chipped;value_Volley;value_FirstTouch;value_RegularPlay;value_Assisted;value_GoalmouthZ;value_RelatedEventId;value_Right;value_GoalmouthY;value_GkX;value_LeftFooted;value_GkY;value_BoxLeft;value_NextEventGoalKick;value_Low;value_GoalKick;value_NextEventThrowIn;value_ThrowIn;value_IntendedTackleTarget;value_SwitchOfPlay;value_TouchTypePass;value_BlockedY;value_LowLeft;value_BoxDeepLeft;value_RightFooted;value_BlockedX;value_IndividualPlay;value_ParriedSafe;value_LowGkIntervention;value_Stooping;value_Hands;value_Left;value_CornerTaken;value_Cross;value_OutSwinger;value_Head;value_OutOfPlay;value_InSwinger;value_PlayersCaughtOffside;value_Indirect;value_FreeKickTaken;value_LayOff;value_Foul;value_ShirtPull/Holding;value_Direct;value_TouchTypeClearance;value_PullBack;value_SixYardBlocked;value_BoxCentre;value_Blocked;value_LowCentre;value_DefBlock;value_BlockedPass;value_AttemptedTackle;value_NotVisible;value_BigChance;value_GkXTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_HighCentre;value_OutOfBoxCentre;value_Standing;value_MediumGkIntervention;value_KeeperThrow;value_TakeOnOvertake;value_LowRight;value_Diving;value_ThroughBall;value_BoxRight;value_LastLine;value_LeadingToGoal;value_Deflection;value_NotAssisted;value_RelatedError1Id;value_BlockedCross;value_Dissent;value_YellowCard;value_Defensive1V1;value_KeeperTouched;value_BlockedClearance;value_Shove/Push;value_Feet;value_Sliding;value_Minutes;value_TimeWasting;value_CloseLeft;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_HighLeft;value_OtherBodyPart;value_FantasyAssistType;value_FantasyAssistedBy;value_SmallBoxCentre;value_OwnGoal;value_FantasyAssistTeam;value_FantasyAssistId;value_SwerveRight;value_MisHit;value_HighRight;value_FromCorner;value_VideoCoverageLost;value_ParriedDanger;value_FastBreak;value_High;value_NotPastGoalLine;value_Straight;value_FloatedCross;value_Overrun;value_OverhitCross;value_TempShotOn;value_SoloRun;value_Collected;value_SwerveLeft;value_Injury;value_InjuredPlayerId;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2687720011;698;49;2;84;0;479lsfr4cwlzewpbuda3y2xv4;1;58,5;83,6;2024-05-15T17:49:01.159Z;2024-05-15T17:49:01Z;[];brzi1qy5hkx7zhxhjykg8ox78;Y. Valencia;;;cttgrnfsz8kmly51qadv8euj8;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;;;;;;;;;0;0;84;0;Columbus Crew II;5040;Sub;1,0
2687720023;755;83;2;84;1;5b4ccd62yeeqdl2qk6jzsmjv8;0;60,9;25,3;2024-05-15T17:49:02.065Z;2024-05-15T17:57:24Z;[{'id': 5031660495, 'qualifierId': 399, 'value': 'brzi1qy5hkx7zhxhjykg8ox78'}];cc7auv8d89ohifqg7qwz62mwa;J. Greene;;;cttgrnfsz8kmly51qadv8euj8;Attempted tackle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;;;;;;;;;0;0;84;1;Orlando City B;5041;DML;1,0
2687720043;699;1;2;84;1;479lsfr4cwlzewpbuda3y2xv4;1;54,7;83,9;2024-05-15T17:49:02.144Z;2024-05-15T17:49:04Z;[{'id': 5031638247, 'qualifierId': 213, 'value': '3.93'}, {'id': 5031638241, 'qualifierId': 140, 'value': '46.7'}, {'id': 5031638243, 'qualifierId': 141, 'value': '71.4'}, {'id': 5031638245, 'qualifierId': 212, 'value': '12.0'}, {'id': 5031638239, 'qualifierId': 56, 'value': 'Back'}];brzi1qy5hkx7zhxhjykg8ox78;Y. Valencia;;;cttgrnfsz8kmly51qadv8euj8;Pass;;;;;;;;;;;3,93;46,7;71,4;;12,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;46,7;71,4;;;;;;;0;0;84;1;Columbus Crew II;5041;Sub;1,0
2687720049;700;50;2;84;4;479lsfr4cwlzewpbuda3y2xv4;1;39,8;72,6;2024-05-15T17:49:04.551Z;2024-05-15T17:49:07Z;[{'id': 5031638257, 'qualifierId': 286}, {'id': 5031638415, 'qualifierId': 233, 'value': '756'}, {'id': 5031638255, 'qualifierId': 56, 'value': 'Back'}];i5wj5hcg2r9934e7gauxtgmi;I. Almaguer;;;cttgrnfsz8kmly51qadv8euj8;Dispossessed;;;;;;;;;;;;;;;;;;;756,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;;;;;;;;;0;0;84;4;Columbus Crew II;5044;MC;1,0
2687720065;756;7;2;84;4;5b4ccd62yeeqdl2qk6jzsmjv8;1;60,2;27,4;2024-05-15T17:49:04.552Z;2024-05-21T09:59:28Z;[{'id': 5046892405, 'qualifierId': 384}, {'id': 5031638413, 'qualifierId': 285}, {'id': 5031638409, 'qualifierId': 233, 'value': '700'}, {'id': 5031638367, 'qualifierId': 56, 'value': 'Center'}];dgosg1mymhuajg0rz2ts6alpm;G. Rayo;;;cttgrnfsz8kmly51qadv8euj8;Tackle;;;;;;;;;;;;;;;;;;;700,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;;;;;;;;;0;0;84;4;Orlando City B;5044;Sub;1,0
2687720055;701;43;2;84;5;479lsfr4cwlzewpbuda3y2xv4;1;0,0;0,0;2024-05-15T17:49:05.392Z;2024-05-15T17:51:14Z;[{'id': 5031645215, 'qualifierId': 144, 'value': '61'}, {'id': 5031638299, 'qualifierId': 56, 'value': 'Back'}];i5wj5hcg2r9934e7gauxtgmi;I. Almaguer;;;cttgrnfsz8kmly51qadv8euj8;Deleted event;;;;;;;;;;;;;;;;;;;;;;;61,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;;;;;;;;;0;0;84;5;Columbus Crew II;5045;MC;1,0
2687720073;757;49;2;84;6;5b4ccd62yeeqdl2qk6jzsmjv8;1;44,9;23,4;2024-05-15T17:49:07.043Z;2024-05-15T17:49:07Z;[];cc7auv8d89ohifqg7qwz62mwa;J. Greene;;;cttgrnfsz8kmly51qadv8euj8;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;;;;;;;;;0;0;84;6;Orlando City B;5046;DML;1,0
2687720121;758;1;2;84;8;5b4ccd62yeeqdl2qk6jzsmjv8;1;36,9;23,0;2024-05-15T17:49:08.706Z;2024-05-15T17:49:11Z;[{'id': 5031638645, 'qualifierId': 140, 'value': '14.3'}, {'id': 5031638651, 'qualifierId': 213, 'value': '2.81'}, {'id': 5031638647, 'qualifierId': 141, 'value': '35.2'}, {'id': 5031638649, 'qualifierId': 212, 'value': '25.1'}, {'id': 5031638643, 'qualifierId': 56, 'value': 'Back'}];cc7auv8d89ohifqg7qwz62mwa;J. Greene;;;cttgrnfsz8kmly51qadv8euj8;Pass;;;;;;;;;;;2,81;14,3;35,2;;25,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;14,3;35,2;;;;;;;0;0;84;8;Orlando City B;5048;DML;1,0
2687720133;759;1;2;84;11;5b4ccd62yeeqdl2qk6jzsmjv8;0;12,3;34,9;2024-05-15T17:49:11.426Z;2024-05-15T17:49:13Z;[{'id': 5031638711, 'qualifierId': 1}, {'id': 5031638707, 'qualifierId': 212, 'value': '33.1'}, {'id': 5031638705, 'qualifierId': 141, 'value': '34.3'}, {'id': 5031638709, 'qualifierId': 213, 'value': '6.27'}, {'id': 5031638703, 'qualifierId': 140, 'value': '43.8'}, {'id': 5031638701, 'qualifierId': 56, 'value': 'Back'}];9bn2zid7u305xii6alm8a58us;S. Lapkes;;;cttgrnfsz8kmly51qadv8euj8;Pass;;;;;;;;;;;6,27;43,8;34,3;;33,1;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;43,8;34,3;;;;;;;0;0;84;11;Orlando City B;5051;GK;1,0
2687720141;702;49;2;84;13;479lsfr4cwlzewpbuda3y2xv4;1;60,9;66,6;2024-05-15T17:49:13.472Z;2024-05-15T17:49:13Z;[];p99ze5cksh5tv01knf5oj33e;J. Solís;;;cttgrnfsz8kmly51qadv8euj8;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;;;;;;;;;0;0;84;13;Columbus Crew II;5053;AML;1,0
