id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_Involved;value_JerseyNumber;value_Captain;value_TeamKit;value_PlayerPosition;value_TeamPlayerFormation;value_Resume;value_DirectionOfPlay;value_Length;value_Zone;value_PassEndY;value_KickOff;value_PassEndX;value_Angle;value_LongBall;value_Launch;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_HeadPass;value_DeletedEventType;value_IntendedTackleTarget;value_OutSwinger;value_Chipped;value_LeftFooted;value_Cross;value_TakeOnSpace;value_TouchTypeClearance;value_NextEventThrowIn;value_ThrowIn;value_Shove/Push;value_Foul;value_Direct;value_FreeKickTaken;value_TouchTypePass;value_GoalmouthZ;value_GkY;value_RightFooted;value_CloseLeft;value_GoalmouthY;value_RelatedEventId;value_OutOfBoxCentre;value_IndividualPlay;value_GkX;value_Assisted;value_RegularPlay;value_NextEventGoalKick;value_GoalKick;value_High;value_TakeOnOvertake;value_TouchTypeControl;value_SwitchOfPlay;value_LayOff;value_AttemptedTackle;value_LeadingToAttempt;value_NotAssisted;value_LowCentre;value_BlockedY;value_RelatedError1Id;value_BlockedX;value_Stooping;value_ParriedSafe;value_LowGkIntervention;value_Hands;value_NotVisible;value_Defensive1V1;value_Assist;value_Left;value_BoxDeepRight;value_Low;value_Blocked;value_DefBlock;value_Right;value_CornerTaken;value_InSwinger;value_HighGkIntervention;value_OutOfPlay;value_Head;value_BoxCentre;value_TempMissed;value_PlayersCaughtOffside;value_Indirect;value_LowLeft;value_Collected;value_Diving;value_Standing;value_KeeperThrow;value_BlockedPass;value_ShirtPull/Holding;value_TacticalFoul;value_YellowCard;value_Overrun;value_IntentionalAssist;value_BigChance;value_FirstTouch;value_CloseHigh;value_SmallBoxLeft;value_FromCorner;value_FastBreak;value_ThroughBall;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_GoalShotGameClock;value_KeeperTouched;value_DrivenCross;value_Straight;value_FlickOn;value_CloseRight;value_MisHit;value_PullBack;value_VideoCoverageLost;value_GkKickFromHands;value_BoxLeft;value_Minutes;value_EndType;value_RecklessOffence;value_HighLeft;value_SwerveRight;value_FantasyAssistedBy;value_FreeKick;value_FantasyAssistTeam;value_FantasyAssistId;value_FantasyAssistType;value_Volley;value_BoxRight;value_MediumGkIntervention;value_HighClaim;value_OverArm;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_LowRight;value_ParriedDanger;value_IncorrectOutOfPlayDecision;value_SwerveLeft;value_FollowsADribble;value_FloatedCross;value_SecondYellow;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2673239229;1;34;16;0;0;8ijkk62897so5r3bq0wgwx4bu;1;0,0;0,0;2024-04-15T01:40:01.130Z;2024-04-18T11:46:29Z;[{'id': 4953130137, 'qualifierId': 130, 'value': '8'}, {'id': 4953130131, 'qualifierId': 30, 'value': 'ab8jzmb5h0lh7mt66h3zgm5ex, 2vq2t4ttpcwey95jzofd60qy2, cap9cd2acljdjbbdmt7zb3uvo, c44bkncqmptribnxki1dyppbe, e7q60ne93c6289xwnt9zj65wq, e23yyl43xtcve09dx234uuj8, 70e7dozhms3xdkr0n6kas00es, 1o0ew8fp44fuo3o7c8ef8pd2i, 1kl9112b8rcbr3k1s5hs353x0, 4o8ulvahxfb06x5xhvflvwhzo, 5zawuirp825t4brhaj90k9duy, 9py9nrbgshlukfxu6pjukfxbe, al111zqt4j4b3yg8064d9cep6, ct1a7ex39pnemouuv4klyj85w, 2io6rajwkftjli8i14hf606ei, byzzgz3ix7vuh6c3hqf7580lw, evup6vvfz5q201s8hg6bhxck, 58akq0ojntf5n123msb1tzeok, 4283da2hccprbybkv4nvmos2c, 7suq9shgwa8fyip80f1zy1mhg'}, {'id': 4953130135, 'qualifierId': 59, 'value': '31, 47, 55, 52, 12, 51, 75, 21, 29, 84, 61, 24, 48, 68, 71, 74, 81, 87, 95, 97'}, {'id': 4959291721, 'qualifierId': 194, 'value': 'e7q60ne93c6289xwnt9zj65wq'}, {'id': 4953177563, 'qualifierId': 197, 'value': '23342'}, {'id': 4953130133, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4953130139, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4953130141, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;c8z3yr2rqui379ijraoxuqcyc;Team set up;8,0;;;;23342,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;0;0;0;0;Los Angeles II;0;;
2673240583;1;34;16;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-04-15T01:42:27.838Z;2024-04-15T02:06:03Z;[{'id': 4953135933, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4953177669, 'qualifierId': 197, 'value': '18751'}, {'id': 4953135947, 'qualifierId': 194, 'value': 'do2o6ka25talswmmillufejqi'}, {'id': 4953135939, 'qualifierId': 130, 'value': '4'}, {'id': 4953135949, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4953135931, 'qualifierId': 30, 'value': '8m19c2e0raanzp3dzf7aaf6jt, 24rxb4eeoakxkmritog6a7x90, m8clu51iu7443ig9q6vn6fbo, 8f5h44hnjdt4rdflu8qqhx5d6, do2o6ka25talswmmillufejqi, 8b81chchn3min9a8uk8wkipcl, er0xm9k5zv8kcvcy7bnwp086i, 6mm2h3x9hmyea3bu2wt80uo7o, 5xdvsfx9nuars278c5g9grnys, 36e17qrefearxp7lxb1eibwbu, 17ni4ntnt7b6b0bwst3e4djze, d4xd9fxqjwfe7x46byn60dx49, b04uukw5ec0mngnwqjih7oqac, 1pv6xhgaeshfrhzenz7y14glw, d1w4zs63sx3cc7wnc8wshbfv8, 1efr6u06hvhm9drygb9qsi92i, 1flsu0b92eflc2wkg9m1wwufo, 5reylt0uyetl6qavkvd8inai, e2912gyiutvn3aky0z9ijz384, 3fbekr02uy605ppv5pzw9321g'}, {'id': 4953135935, 'qualifierId': 59, 'value': '23, 32, 42, 36, 43, 4, 18, 70, 21, 27, 91, 31, 39, 44, 46, 48, 52, 55, 65, 81'}, {'id': 4953135943, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;c8z3yr2rqui379ijraoxuqcyc;Team set up;4,0;;;;18751,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;;;;;;;;;0;0;0;0;Ventura County;0;;
2673250035;2;32;1;0;0;8ijkk62897so5r3bq0wgwx4bu;1;0,0;0,0;2024-04-15T02:04:37.952Z;2024-04-15T04:12:44Z;[{'id': 4953178243, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;c8z3yr2rqui379ijraoxuqcyc;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;0;0;0;0;Los Angeles II;0;;
2673250031;2;32;1;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-04-15T02:04:37.952Z;2024-04-18T11:35:34Z;[{'id': 4953178229, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;c8z3yr2rqui379ijraoxuqcyc;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;;;;;;;;;0;0;0;0;Ventura County;0;;
2673250049;3;1;1;0;0;6gaq85erpkvbyxvivd96wuw44;1;49,9;50,1;2024-04-15T02:04:37.953Z;2024-04-15T02:06:20Z;[{'id': 4953178307, 'qualifierId': 212, 'value': '14.9'}, {'id': 4953178301, 'qualifierId': 56, 'value': 'Back'}, {'id': 4953178305, 'qualifierId': 141, 'value': '50.1'}, {'id': 4953178311, 'qualifierId': 279, 'value': 'S'}, {'id': 4953178303, 'qualifierId': 140, 'value': '35.7'}, {'id': 4953178309, 'qualifierId': 213, 'value': '3.14'}];5xdvsfx9nuars278c5g9grnys;T. Ángel;;;c8z3yr2rqui379ijraoxuqcyc;Pass;;;;;;;;;;14,9;;50,1;;35,7;3,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;35,7;50,1;;;;;;;0;0;0;0;Ventura County;0;FW;1,0
2673250079;4;1;1;0;3;6gaq85erpkvbyxvivd96wuw44;0;35,8;50,1;2024-04-15T02:04:41.186Z;2024-04-15T02:07:19Z;[{'id': 4953178467, 'qualifierId': 56, 'value': 'Center'}, {'id': 4953178481, 'qualifierId': 1}, {'id': 4953178465, 'qualifierId': 157}, {'id': 4953178477, 'qualifierId': 212, 'value': '47.4'}, {'id': 4953178479, 'qualifierId': 213, 'value': '5.87'}, {'id': 4953178473, 'qualifierId': 141, 'value': '21.8'}, {'id': 4953178469, 'qualifierId': 140, 'value': '77.1'}];8f5h44hnjdt4rdflu8qqhx5d6;T. Musto;;;c8z3yr2rqui379ijraoxuqcyc;Pass;;;;;;;;;;47,4;;21,8;;77,1;5,87;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;77,1;21,8;;;;;;;0;0;0;3;Ventura County;3;MC;1,0
2673250075;3;44;1;0;5;8ijkk62897so5r3bq0wgwx4bu;1;27,1;76,2;2024-04-15T02:04:43.829Z;2024-04-15T02:04:46Z;[{'id': 4953178447, 'qualifierId': 285}, {'id': 4953178549, 'qualifierId': 233, 'value': '5'}, {'id': 4953178445, 'qualifierId': 56, 'value': 'Back'}];cap9cd2acljdjbbdmt7zb3uvo;C. Diaz;;;c8z3yr2rqui379ijraoxuqcyc;Aerial;;;;;;;;;;;;;;;;;;1,0;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;0;0;0;5;Los Angeles II;5;DC;1,0
2673250083;5;44;1;0;5;6gaq85erpkvbyxvivd96wuw44;0;72,9;23,8;2024-04-15T02:04:43.830Z;2024-04-15T02:04:46Z;[{'id': 4953178557, 'qualifierId': 233, 'value': '3'}, {'id': 4953178489, 'qualifierId': 56, 'value': 'Center'}, {'id': 4953178491, 'qualifierId': 286}];36e17qrefearxp7lxb1eibwbu;N. Ordaz;;;c8z3yr2rqui379ijraoxuqcyc;Aerial;;;;;;;;;;;;;;;;;;;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;;;;;;;;;0;0;0;5;Ventura County;5;FWR;1,0
2673250091;4;1;1;0;5;8ijkk62897so5r3bq0wgwx4bu;1;29,4;72,3;2024-04-15T02:04:43.936Z;2024-04-18T11:36:29Z;[{'id': 4953178511, 'qualifierId': 3}, {'id': 4953178523, 'qualifierId': 212, 'value': '17.8'}, {'id': 4953178515, 'qualifierId': 56, 'value': 'Back'}, {'id': 4953178521, 'qualifierId': 141, 'value': '49.9'}, {'id': 4953178519, 'qualifierId': 140, 'value': '20.7'}, {'id': 4953178525, 'qualifierId': 213, 'value': '4.17'}];cap9cd2acljdjbbdmt7zb3uvo;C. Diaz;;;c8z3yr2rqui379ijraoxuqcyc;Pass;;;;;;;;;;17,8;;49,9;;20,7;4,17;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;20,7;49,9;;;;;;;0;0;0;5;Los Angeles II;5;DC;1,0
2673250095;5;61;1;0;6;8ijkk62897so5r3bq0wgwx4bu;1;20,7;49,9;2024-04-15T02:04:44.792Z;2024-04-15T03:07:11Z;[{'id': 4953178545, 'qualifierId': 56, 'value': 'Back'}];e7q60ne93c6289xwnt9zj65wq;M. Ferkranus;;;c8z3yr2rqui379ijraoxuqcyc;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;0;0;0;6;Los Angeles II;6;DL;1,0
