id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_Captain;value_PlayerPosition;value_JerseyNumber;value_TeamPlayerFormation;value_Involved;value_TeamFormation;value_TeamKit;value_DirectionOfPlay;value_Zone;value_KickOff;value_Angle;value_PassEndY;value_Length;value_PassEndX;value_LongBall;value_Launch;value_HeadPass;value_IntendedTackleTarget;value_TouchTypeClearance;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_LayOff;value_BlockedPass;value_Offensive;value_Defensive;value_TakeOnSpace;value_OutOfPlay;value_TouchTypeControl;value_DeletedEventType;value_Chipped;value_TakeOnOvertake;value_Left;value_RightFooted;value_Cross;value_InSwinger;value_CornerTaken;value_Head;value_SmallBoxLeft;value_GoalmouthZ;value_GoalmouthY;value_FirstTouch;value_GkX;value_NotAssisted;value_GkY;value_FromCorner;value_NextEventGoalKick;value_GoalKick;value_High;value_FlickOn;value_MediumGkIntervention;value_KeeperThrow;value_Direct;value_Foul;value_ShirtPull/Holding;value_FreeKickTaken;value_OutSwinger;value_HighGkIntervention;value_HighClaim;value_FairPlay;value_NotVisible;value_YellowCard;value_Dissent;value_LeftFooted;value_Straight;value_FloatedCross;value_Assist;value_Blocked;value_SixYardBlocked;value_BoxCentre;value_BlockedY;value_Volley;value_BlockedX;value_SavedOffLine;value_LowRight;value_LastLine;value_DefBlock;value_TouchTypePass;value_AttemptedTackle;value_SwitchOfPlay;value_Overrun;value_AerialFoul;value_BlockedCross;value_Defensive1V1;value_Low;value_Assisted;value_LowLeft;value_RelatedEventId;value_RegularPlay;value_Hands;value_LowGkIntervention;value_Stooping;value_ParriedSafe;value_Shove/Push;value_Right;value_IntentionalAssist;value_BigChance;value_Diving;value_LowCentre;value_OverArm;value_ParriedDanger;value_GkYTimeOfGoal;value_FantasyAssistType;value_GoalShotTimestamp;value_FantasyAssistTeam;value_GkXTimeOfGoal;value_FantasyAssistedBy;value_HighCentre;value_GoalShotGameClock;value_FantasyAssistId;value_RefereeDelay;value_DrinksBreak;value_NotRetreating;value_IndividualPlay;value_OutOfBoxCentre;value_Minutes;value_HitWoodwork;value_HitBar;value_CloseLeft;value_EndType;value_LeadingToGoal;value_RelatedError1Id;value_SmallBoxCentre;value_TacticalFoul;value_SecondYellow;value_OverhitCross;value_ThroughBall;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_Injury;value_InjuredPlayerId;value_GkHoof;value_HighRight;value_FreeKick;value_ByWall;value_Collected;value_OwnPlayer;value_BoxLeft;value_Standing;value_GkKickFromHands;value_CaptainChange;value_PlayersCaughtOffside;value_Indirect;value_BoxDeepRight;value_Feet;value_IncorrectOutOfPlayDecision;value_FastBreak;value_Caught;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2700179945;1;34;16;0;0;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-07-10T14:09:21.351Z;2024-07-10T15:29:39Z;[{'id': 5100037177, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5100038839, 'qualifierId': 194, 'value': '40qi53orb0eur2jevowkvrcb8'}, {'id': 5100037169, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5100037171, 'qualifierId': 59, 'value': '73, 30, 42, 31, 66, 43, 14, 13, 17, 7, 32, 9, 11, 16, 27, 33, 41, 34, 45, 88'}, {'id': 5100037175, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5100037167, 'qualifierId': 30, 'value': 'opnutov04c33y3gq2fjpkaac, dbyiafdyf93b8rtpceqitgopg, c1z6mxuhvuegd4c5b3hau93ze, et772m1f5cqceeffckpnty1p0, 7djbfbsqwu0g7wd1xo1ufp2zu, 357vd87hv0jvljqtt2qf4vmz8, 9u37akzkhdyszhevgrjghq99m, 5adul4r3hifu5x4tv8efr05ey, 40qi53orb0eur2jevowkvrcb8, 5e00w1rqym73habcl01wm7jtg, bzv3yqbc7ttf7fftbm2nelxck, d043ppr554ym2j2xf3fcmbqsq, 6han4f5xq1d0ii0ol2drgi4bu, anysxg2z6niqapc5m3f4tzims, 6j4ibkpbos6w5ikle58u2vo, 97kzr8rgekycws02q55a63z3e, dc8u2bssrhxycx8vtn0kutp4a, 3o7f3ozutbsry5xl2l7ktct0, bnspew1iw2jxr1s3a5oubp4ic, 9a5pacvk3wisje1491zslwkr8'}, {'id': 5100037173, 'qualifierId': 130, 'value': '8'}, {'id': 5100038841, 'qualifierId': 197, 'value': '18745'}];;;;;dys904w2vdy4mzvqgnq1l7spg;Team set up;;;;;;;8,0;18745,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;0;0;0;0;Huntsville City;0;;
2700179969;1;34;16;0;0;4gymgvqmve0m2vh89v84tt3x0;1;0,0;0,0;2024-07-10T14:14:33.362Z;2024-07-10T15:08:36Z;[{'id': 5100037343, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5100038849, 'qualifierId': 197, 'value': '18771'}, {'id': 5100037349, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5100037351, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5100037347, 'qualifierId': 130, 'value': '8'}, {'id': 5100037345, 'qualifierId': 59, 'value': '39, 56, 13, 32, 20, 25, 17, 40, 28, 47, 30, 1, 2, 3, 5, 10, 38, 77'}, {'id': 5100037341, 'qualifierId': 30, 'value': '4r4a2d3piuh8wusw8ftrsh016, 2ijhxcgr8wqnb8ovss9064jmy, 374euncv00zs2oy6ux1u519be, 5mkyx29nr54rr3quwdgfpz3oq, 2v5j1i5ae9fnciilwy3op8and, bmax1bmduvrpp0lfh4do0yj9w, dz7v9xfcwdvjioeyv4z54neqy, 42zmyz1t6mqap5pyfqxiaadqs, c08hvq1hplcct8kxrxucfpqp6, 1kr4ax5uy3f9gbjzr34u0svf8, bvmdxx61yedgrgfw586y8dgr8, 2mmciwk6gllcf11plcch710yc, d9cioqeofh2tfg3171r5nlb10, 9ncybediodv8share9pox2kno, 6jzijlp0e2w4qjan9eto35wd0, 6qe888q8yqq73bxr27jbyu2hg, amcmxrycu0kldox7qdohow2ui, 6prn3rxp49rsfl8mxq2tqzf9w'}, {'id': 5100039725, 'qualifierId': 194, 'value': 'dz7v9xfcwdvjioeyv4z54neqy'}];;;;;dys904w2vdy4mzvqgnq1l7spg;Team set up;;;;;;;8,0;18771,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;;;;;;;;;0;0;0;0;New England II;0;;
2700180111;2;32;1;0;0;csntc7hucmo21gknxc5y0kc4q;1;0,0;0,0;2024-07-10T15:05:26.973Z;2024-07-11T04:48:08Z;[{'id': 5100038855, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;dys904w2vdy4mzvqgnq1l7spg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;0;0;0;0;Huntsville City;0;;
2700180109;2;32;1;0;0;4gymgvqmve0m2vh89v84tt3x0;1;0,0;0,0;2024-07-10T15:05:26.973Z;2024-07-10T15:05:27Z;[{'id': 5100038853, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;dys904w2vdy4mzvqgnq1l7spg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;;;;;;;;;0;0;0;0;New England II;0;;
2700180113;3;1;1;0;0;4gymgvqmve0m2vh89v84tt3x0;1;49,8;50,1;2024-07-10T15:05:26.974Z;2024-07-10T15:05:30Z;[{'id': 5100038857, 'qualifierId': 56, 'value': 'Back'}, {'id': 5100038867, 'qualifierId': 279, 'value': 'S'}, {'id': 5100038865, 'qualifierId': 213, 'value': '3.10'}, {'id': 5100038861, 'qualifierId': 141, 'value': '51.0'}, {'id': 5100038863, 'qualifierId': 212, 'value': '14.6'}, {'id': 5100038859, 'qualifierId': 140, 'value': '35.9'}];1kr4ax5uy3f9gbjzr34u0svf8;I. Jones;;;dys904w2vdy4mzvqgnq1l7spg;Pass;;;;;;;;;;;;3,1;51,0;14,6;35,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;35,9;51,0;;;;;;;0;0;0;0;New England II;0;AMC;1,0
2700180115;4;1;1;0;3;4gymgvqmve0m2vh89v84tt3x0;0;37,2;50,4;2024-07-10T15:05:30.287Z;2024-07-10T15:05:32Z;[{'id': 5100038883, 'qualifierId': 1}, {'id': 5100038875, 'qualifierId': 140, 'value': '76.0'}, {'id': 5100038871, 'qualifierId': 157}, {'id': 5100038877, 'qualifierId': 141, 'value': '89.4'}, {'id': 5100038879, 'qualifierId': 212, 'value': '48.6'}, {'id': 5100038873, 'qualifierId': 56, 'value': 'Left'}, {'id': 5100038881, 'qualifierId': 213, 'value': '0.58'}];42zmyz1t6mqap5pyfqxiaadqs;F. Opande;;;dys904w2vdy4mzvqgnq1l7spg;Pass;;;;;;;;;;;;0,58;89,4;48,6;76,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;76,0;89,4;;;;;;;0;0;0;3;New England II;3;MC;1,0
2700180117;3;1;1;0;6;csntc7hucmo21gknxc5y0kc4q;0;29,8;8,3;2024-07-10T15:05:33.663Z;2024-07-10T15:05:35Z;[{'id': 5100038893, 'qualifierId': 212, 'value': '31.0'}, {'id': 5100038889, 'qualifierId': 140, 'value': '57.5'}, {'id': 5100038891, 'qualifierId': 141, 'value': '23.9'}, {'id': 5100038895, 'qualifierId': 213, 'value': '0.35'}, {'id': 5100038887, 'qualifierId': 56, 'value': 'Center'}, {'id': 5100038897, 'qualifierId': 1}, {'id': 5100038885, 'qualifierId': 157}];dbyiafdyf93b8rtpceqitgopg;D. McIntosh;;;dys904w2vdy4mzvqgnq1l7spg;Pass;;;;;;;;;;;;0,35;23,9;31,0;57,5;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;57,5;23,9;;;;;;;0;0;0;6;Huntsville City;6;DR;1,0
2700180119;5;1;1;0;9;4gymgvqmve0m2vh89v84tt3x0;0;48,4;82,0;2024-07-10T15:05:36.167Z;2024-07-10T15:05:36Z;[{'id': 5100038907, 'qualifierId': 212, 'value': '16.5'}, {'id': 5100038899, 'qualifierId': 3}, {'id': 5100038903, 'qualifierId': 140, 'value': '61.1'}, {'id': 5100038909, 'qualifierId': 213, 'value': '5.65'}, {'id': 5100038905, 'qualifierId': 141, 'value': '67.6'}, {'id': 5100038901, 'qualifierId': 56, 'value': 'Center'}];374euncv00zs2oy6ux1u519be;J. Skinner;;;dys904w2vdy4mzvqgnq1l7spg;Pass;;;;;;;;;;;;5,65;67,6;16,5;61,1;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;61,1;67,6;;;;;;;0;0;0;9;New England II;9;DC;1,0
2700180121;4;49;1;0;11;csntc7hucmo21gknxc5y0kc4q;1;37,8;41,3;2024-07-10T15:05:38.894Z;2024-07-10T15:57:46Z;[];5adul4r3hifu5x4tv8efr05ey;Maciel;;;dys904w2vdy4mzvqgnq1l7spg;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;;;;;;;;;0;0;0;11;Huntsville City;11;MC;1,0
2700180123;5;1;1;0;12;csntc7hucmo21gknxc5y0kc4q;1;37,8;41,3;2024-07-10T15:05:39.038Z;2024-07-10T15:57:51Z;[{'id': 5100038915, 'qualifierId': 141, 'value': '66.1'}, {'id': 5100038911, 'qualifierId': 56, 'value': 'Back'}, {'id': 5100038917, 'qualifierId': 212, 'value': '19.1'}, {'id': 5100038919, 'qualifierId': 213, 'value': '2.06'}, {'id': 5100038913, 'qualifierId': 140, 'value': '29.3'}];5adul4r3hifu5x4tv8efr05ey;Maciel;;;dys904w2vdy4mzvqgnq1l7spg;Pass;;;;;;;;;;;;2,06;66,1;19,1;29,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;home;29,3;66,1;;;;;;;0;0;0;12;Huntsville City;12;MC;1,0
