id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_TeamFormation;value_PlayerPosition;value_Involved;value_TeamKit;value_Resume;value_TeamPlayerFormation;value_Captain;value_JerseyNumber;value_DirectionOfPlay;value_Zone;value_PassEndX;value_Length;value_IntentionalAssist;value_PassEndY;value_Angle;value_Assist;value_RegularPlay;value_GoalShotGameClock;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_RelatedEventId;value_LowCentre;value_GkX;value_RightFooted;value_Assisted;value_BoxCentre;value_GoalmouthZ;value_GkY;value_GkYTimeOfGoal;value_GoalmouthY;value_LongBall;value_Launch;value_NotVisible;value_DeletedEventType;value_KickOff;value_TouchTypePass;value_OppositeRelatedEventId;value_AttemptedTackle;value_Direct;value_Foul;value_Defensive;value_Offensive;value_FreeKickTaken;value_LeftFooted;value_Cross;value_Chipped;value_OutSwinger;value_Head;value_NextEventGoalKick;value_GoalKick;value_Low;value_CloseRight;value_BoxRight;value_TouchTypeControl;value_TouchTypeClearance;value_BlockedY;value_NotAssisted;value_BlockedX;value_FirstTouch;value_Blocked;value_OutOfBoxCentre;value_DefBlock;value_IntendedTackleTarget;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_HeadPass;value_LayOff;value_IndividualPlay;value_HighRight;value_BoxLeft;value_TakeOnSpace;value_LowLeft;value_Stooping;value_ParriedDanger;value_LowGkIntervention;value_Feet;value_BlockedPass;value_BlockedCross;value_KeeperThrow;value_PlayersCaughtOffside;value_ShirtPull/Holding;value_Standing;value_Collected;value_MediumGkIntervention;value_Hands;value_Left;value_Right;value_InSwinger;value_CornerTaken;value_TakeOnOvertake;value_Overrun;value_Shove/Push;value_DrivenCross;value_Straight;value_1On1;value_BigChance;value_LowRight;value_DrinksBreak;value_RefereeDelay;value_Tap;value_TempBlocked;value_CloseHigh;value_FlickOn;value_YellowCard;value_RecklessOffence;value_SwitchOfPlay;value_Minutes;value_OverArm;value_EndType;value_FastBreak;value_High;value_Volley;value_KeeperTouched;value_TimeWasting;value_HighGkIntervention;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_GkKickFromHands;value_TacticalFoul;value_LeadingToGoal;value_HighCentre;value_FromCorner;value_Fingertip;value_Diving;value_Indirect;value_HitWoodwork;value_FloatedCross;value_HitBar;value_ParriedSafe;value_SixYardBlocked;value_SmallBoxRight;value_IncorrectOutOfPlayDecision;value_SmallBoxCentre;value_InjuredPlayerId;value_Injury;value_OverhitCross;value_BlockedClearance;value_CaptainChange;value_FollowsADribble;value_GameEnd;value_CloseLeft;value_35Centre;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2714619031;1;34;16;0;0;479lsfr4cwlzewpbuda3y2xv4;1;0,0;0,0;2024-08-28T20:12:04.962Z;2024-08-28T21:06:01Z;[{'id': 5179783079, 'qualifierId': 130, 'value': '8'}, {'id': 5179783075, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5179783073, 'qualifierId': 30, 'value': '8h2vywep73yn25kus2nda8ga2, 6g7i7z6m8vts105dny1g6z3hm, bdgjmawy0anbgy1tz87ocvd9l, i5wj5hcg2r9934e7gauxtgmi, ex99a6zbacpkkhgvynu80qpzo, 4jkf81djj5h43v8rlnib1tizu, 7tpb4dk9meee0utyu4cosnxn8, 9bv0zjyrsopyv3hw8m47sgr9w, aa4v8xfn3ra4digk5h7gdrbze, p99ze5cksh5tv01knf5oj33e, abemsr9zh7bklu5jboks5ivpw, 7r0zyjb523r5phis7b1boqfpw, 595bi39ikp8s9sfw6q5981mvo, 3g6rx9q2duzspubkzzm0852xg, 4ulfw4ik3i6ks2t7utgek5l3o, c2b6h5zwjvzdvdcybyuqd6exg, 25rizu4n91uyax4z6l5jv6dqs, 2wsgrwgiotfis2l96i0sxlvys, bebv65gzex5nuihc5mutjrwus, bvb7i5n0j5ltqkv991p40r8yc'}, {'id': 5179897063, 'qualifierId': 197, 'value': '3378'}, {'id': 5179783085, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5179783081, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5179783083, 'qualifierId': 194, 'value': 'i5wj5hcg2r9934e7gauxtgmi'}, {'id': 5179783077, 'qualifierId': 59, 'value': '99, 30, 20, 53, 54, 68, 23, 56, 32, 49, 34, 70, 62, 65, 64, 59, 95, 29, 60, 61'}];;;;;dovq58lh0wixpngarrcqxw45w;Team set up;8,0;;;3378,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;;;;;;;;;0;0;0;0;New York City II;0;;
2714621325;2;34;16;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-08-28T20:15:40.173Z;2024-08-28T21:39:17Z;[{'id': 5179796249, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5179796245, 'qualifierId': 130, 'value': '13'}, {'id': 5179796241, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5'}, {'id': 5179796243, 'qualifierId': 59, 'value': '75, 38, 32, 68, 63, 31, 37, 70, 29, 74, 83, 47, 50, 57, 64, 81, 99'}, {'id': 5179796239, 'qualifierId': 30, 'value': '3o4uxnvpnf3cwjs3srwegxp90, 6sf0pdlzomnt3e1hlc4twyv4k, 1cfm4ne1po0mld4bl37deg36c, 7uk47vm92xsvwdofmw1ppawyy, 1ni0mewxcbo26d1xxetkdy3ca, eiyzqnfh8r8aduel0seou7nu2, 4k6c9nnzytq9qhc9uol64wg7o, 2676930j149yvanqev61emh62, cwyml9l4tfvb4ceh8tv3au0wk, 1p4rbf4wumfagv2ntlewdxey, a0do5kh5akr89kst2p1hohixg, eq98gflais2v26wgbkw9wrxg4, 3mq1g1pyo3flkaorg9wqmfhuc, 2s085s5fgmzsmf7oup7aekm0a, 4h2k5kwclhlgjk2koqin5r2fo, 5bjavs7mhqjh1tlrfp4vj7od0, 1d20nyyvmp0doobj6heejkowk'}, {'id': 5179939537, 'qualifierId': 194, 'value': '4k6c9nnzytq9qhc9uol64wg7o'}, {'id': 5179796247, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'id': 5179897055, 'qualifierId': 197, 'value': '23611'}];;;;;dovq58lh0wixpngarrcqxw45w;Team set up;13,0;;;23611,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;0;0;0;0;Orlando City B;0;;
2714635597;2;32;1;0;0;479lsfr4cwlzewpbuda3y2xv4;1;0,0;0,0;2024-08-28T20:37:53.211Z;2024-08-28T20:52:48Z;[{'id': 5179879067, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;dovq58lh0wixpngarrcqxw45w;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;;;;;;;;;0;0;0;0;New York City II;0;;
2714635895;3;32;1;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-08-28T20:37:53.211Z;2024-09-04T15:34:07Z;[{'id': 5179880459, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;dovq58lh0wixpngarrcqxw45w;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;0;0;0;0;Orlando City B;0;;
2714637015;26;1;1;7;35;6ddsx316t3j0z6nolrky9k4r8;1;91,8;39,1;2024-08-28T20:45:29.206Z;2024-08-28T20:57:07Z;[{'id': 5179886603, 'qualifierId': 56, 'value': 'Center'}, {'id': 5179886605, 'qualifierId': 140, 'value': '92.1'}, {'id': 5179886609, 'qualifierId': 212, 'value': '4.9'}, {'id': 5179886689, 'qualifierId': 154}, {'id': 5179886607, 'qualifierId': 141, 'value': '46.3'}, {'id': 5179886611, 'qualifierId': 213, 'value': '1.51'}, {'id': 5179886687, 'qualifierId': 210, 'value': '16'}, {'id': 5179886691, 'qualifierId': 22}];1p4rbf4wumfagv2ntlewdxey;R. Arévalo;1,0;;dovq58lh0wixpngarrcqxw45w;Pass;;;;;;;;;;;92,1;4,9;1,0;46,3;1,51;16,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;92,1;46,3;;;;;;;0;0;7;35;Orlando City B;455;FWR;1,0
2714636617;23;16;1;7;36;6ddsx316t3j0z6nolrky9k4r8;1;88,5;49,7;2024-08-28T20:45:29.876Z;2024-09-04T13:17:08Z;[{'id': 5179884521, 'qualifierId': 375, 'value': '07:35.940'}, {'id': 5195644175, 'qualifierId': 395, 'value': '98.9'}, {'id': 5179884517, 'qualifierId': 374, 'value': '2024-08-28 21:45:29.151'}, {'id': 5179886697, 'qualifierId': 55, 'value': '26'}, {'id': 5179884915, 'qualifierId': 78}, {'id': 5179884923, 'qualifierId': 230, 'value': '99.4'}, {'id': 5179884415, 'qualifierId': 22}, {'id': 5179884513, 'qualifierId': 20}, {'id': 5179886693, 'qualifierId': 29}, {'id': 5179884417, 'qualifierId': 17}, {'id': 5179884919, 'qualifierId': 103, 'value': '19.6'}, {'id': 5179884925, 'qualifierId': 231, 'value': '50.2'}, {'id': 5195644177, 'qualifierId': 396, 'value': '48.7'}, {'id': 5179884419, 'qualifierId': 56, 'value': 'Center'}, {'id': 5179886695, 'qualifierId': 154}, {'id': 5179884917, 'qualifierId': 102, 'value': '50.1'}];a0do5kh5akr89kst2p1hohixg;Camil Azzam Ruiz;;;dovq58lh0wixpngarrcqxw45w;Goal;;;;;;;;;;;;;1,0;;;;1,0;;98,9;;26,0;1,0;99,4;1,0;1,0;1,0;19,6;50,2;48,7;50,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;50,1;19.6;26,0;1p4rbf4wumfagv2ntlewdxey;0;1;7;36;Orlando City B;456;FWL;1,0
2714646391;278;43;1;8;10;479lsfr4cwlzewpbuda3y2xv4;1;0,0;0,0;2024-08-28T20:46:03.211Z;2024-09-04T13:16:54Z;[{'id': 5179940289, 'qualifierId': 1, 'value': '0'}, {'id': 5179940285, 'qualifierId': 212, 'value': '41.0'}, {'id': 5179940281, 'qualifierId': 140, 'value': '72.9'}, {'id': 5179940283, 'qualifierId': 141, 'value': '83.8'}, {'id': 5179940277, 'qualifierId': 157, 'value': '0'}, {'id': 5179940279, 'qualifierId': 56, 'value': 'Left'}, {'id': 5179940287, 'qualifierId': 213, 'value': '0.25'}, {'id': 5179940293, 'qualifierId': 189, 'value': '0'}, {'id': 5195644073, 'qualifierId': 144, 'value': '1'}];i5wj5hcg2r9934e7gauxtgmi;I. Almaguer;;;dovq58lh0wixpngarrcqxw45w;Deleted event;;;;;;;;;;;72,9;41,0;;83,8;0,25;;;;;;;;;;;;;;;;0,0;0,0;0,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;72,9;83,8;;;;;;;0;0;8;10;New York City II;490;MC;1,0
2714646393;240;43;1;8;11;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-08-28T20:46:04.211Z;2024-09-04T13:16:52Z;[{'id': 5179940297, 'qualifierId': 189, 'value': '0'}, {'id': 5179940295, 'qualifierId': 56, 'value': 'Back'}, {'id': 5195644053, 'qualifierId': 144, 'value': '61'}];7uk47vm92xsvwdofmw1ppawyy;C. Tiao;;;dovq58lh0wixpngarrcqxw45w;Deleted event;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;61,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;0;0;8;11;Orlando City B;491;DC;1,0
2714646389;277;1;1;8;47;479lsfr4cwlzewpbuda3y2xv4;1;50,6;50,4;2024-08-28T20:46:40.211Z;2024-09-04T13:16:40Z;[{'id': 5179940257, 'qualifierId': 212, 'value': '19.2'}, {'id': 5179940253, 'qualifierId': 140, 'value': '34.9'}, {'id': 5179940259, 'qualifierId': 213, 'value': '2.61'}, {'id': 5179940255, 'qualifierId': 141, 'value': '64.8'}, {'id': 5179940251, 'qualifierId': 56, 'value': 'Back'}, {'id': 5179940261, 'qualifierId': 279, 'value': 'G'}];aa4v8xfn3ra4digk5h7gdrbze;W. Rivera;;;dovq58lh0wixpngarrcqxw45w;Pass;;;;;;;;;;;34,9;19,2;;64,8;2,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;34,9;64,8;;;;;;;0;0;8;47;New York City II;527;FW;1,0
2717512921;728;1;1;8;50;479lsfr4cwlzewpbuda3y2xv4;1;44,8;54,8;2024-08-28T20:46:43.318Z;2024-09-04T13:17:43Z;[{'id': 5195644421, 'qualifierId': 212, 'value': '11.4'}, {'id': 5195644423, 'qualifierId': 213, 'value': '4.25'}, {'id': 5195644417, 'qualifierId': 140, 'value': '40.0'}, {'id': 5195644415, 'qualifierId': 56, 'value': 'Back'}, {'id': 5195644419, 'qualifierId': 141, 'value': '39.8'}];p99ze5cksh5tv01knf5oj33e;J. Solís;;;dovq58lh0wixpngarrcqxw45w;Pass;;;;;;;;;;;40,0;11,4;;39,8;4,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;40,0;39,8;;;;;;;0;0;8;50;New York City II;530;AMC;1,0
