id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_PlayerPosition;value_JerseyNumber;value_TeamPlayerFormation;value_TeamFormation;value_Resume;value_Involved;value_TeamKit;value_DirectionOfPlay;value_PassEndX;value_Length;value_PassEndY;value_Zone;value_Angle;value_KickOff;value_LongBall;value_Launch;value_OppositeRelatedEventId;value_NextEventGoalKick;value_GoalKick;value_Low;value_Chipped;value_Offensive;value_Defensive;value_HeadPass;value_OutSwinger;value_Cross;value_RightFooted;value_NextEventThrowIn;value_ThrowIn;value_DeletedEventType;value_TouchTypeControl;value_DrivenCross;value_Straight;value_OutOfPlay;value_LayOff;value_BlockedPass;value_BlockedCross;value_Left;value_Right;value_CornerTaken;value_IntentionalAssist;value_Assist;value_FromCorner;value_Assisted;value_GoalmouthY;value_IndividualPlay;value_OutOfBoxCentre;value_GoalmouthZ;value_RelatedEventId;value_HighRight;value_BlockedY;value_BlockedX;value_FirstTouch;value_Hands;value_Standing;value_Collected;value_MediumGkIntervention;value_KeeperThrow;value_IntendedTackleTarget;value_TakeOnSpace;value_TakeOnOvertake;value_Blocked;value_GkY;value_GkX;value_RegularPlay;value_LowCentre;value_DefBlock;value_LeftFooted;value_TouchTypeClearance;value_FlickOn;value_TouchTypePass;value_Direct;value_Shove/Push;value_Foul;value_NotVisible;value_FreeKickTaken;value_BoxRight;value_BlockedClearance;value_OtherObstacle;value_VideoCoverageLost;value_Overrun;value_ShirtPull/Holding;value_AttemptedTackle;value_Head;value_InSwinger;value_BoxCentre;value_High;value_LowGkIntervention;value_OverArm;value_LeadingToAttempt;value_RelatedError1Id;value_BigChance;value_CloseLeft;value_NotAssisted;value_SwitchOfPlay;value_OverhitCross;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_BoxDeepRight;value_NotPastGoalLine;value_BoxLeft;value_HighClaim;value_HighGkIntervention;value_Injury;value_InjuredPlayerId;value_LowLeft;value_Diving;value_ThroughBall;value_Minutes;value_EndType;value_Tap;value_FreeKick;value_CloseHigh;value_FastBreak;value_PlayersCaughtOffside;value_GoalDisallowed;value_EndOfOffside;value_Indirect;value_YellowCard;value_TacticalFoul;value_LowRight;value_ParriedSafe;value_Dissent;value_1On1;value_Feet;value_ParriedDanger;value_Sliding;value_Reaching;value_MisHit;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_GkKickFromHands;value_Review;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2721342845;127;1;1;12;40;7fbej4xwoq4imaf5l39304m37;1;44,1;50,4;2024-09-16T00:17:38.516Z;2024-09-16T00:17:47Z;[{'id': 5216560587, 'qualifierId': 56, 'value': 'Back'}, {'id': 5216560595, 'qualifierId': 213, 'value': '4.91'}, {'id': 5216560589, 'qualifierId': 140, 'value': '46.1'}, {'id': 5216560591, 'qualifierId': 141, 'value': '34.8'}, {'id': 5216560593, 'qualifierId': 212, 'value': '10.8'}];4cfvnypovkt900sfxmdhvxtec;C. Rindov;;;7nv5kgb5v9dol1bu3vhk6hhw;Pass;;;;;;;;;;46,1;10,8;34,8;;4,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;46,1;34,8;;;;;;;0;0;12;40;Colorado Rapids II;760;DC;1,0
2721342859;128;1;1;12;48;7fbej4xwoq4imaf5l39304m37;1;47,1;41,9;2024-09-16T00:17:46.996Z;2024-09-16T00:17:49Z;[{'id': 5216560683, 'qualifierId': 141, 'value': '68.4'}, {'id': 5216560681, 'qualifierId': 140, 'value': '40.9'}, {'id': 5216560679, 'qualifierId': 56, 'value': 'Back'}, {'id': 5216560685, 'qualifierId': 212, 'value': '19.2'}, {'id': 5216560687, 'qualifierId': 213, 'value': '1.92'}];9ts3xs5p912m8f3pph7ni9vkk;S. Donovan;;;7nv5kgb5v9dol1bu3vhk6hhw;Pass;;;;;;;;;;40,9;19,2;68,4;;1,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;40,9;68,4;;;;;;;0;0;12;48;Colorado Rapids II;768;DMC;1,0
2721342899;129;1;1;12;50;7fbej4xwoq4imaf5l39304m37;1;38,8;72,0;2024-09-16T00:17:48.964Z;2024-09-16T00:17:52Z;[{'id': 5216560875, 'qualifierId': 140, 'value': '71.7'}, {'id': 5216560879, 'qualifierId': 212, 'value': '35.2'}, {'id': 5216560883, 'qualifierId': 1}, {'id': 5216560877, 'qualifierId': 141, 'value': '81.8'}, {'id': 5216560881, 'qualifierId': 213, 'value': '0.19'}, {'id': 5216560873, 'qualifierId': 56, 'value': 'Left'}];tvbjgz0zeq5irumgofxrko44;L. Christiano;;;7nv5kgb5v9dol1bu3vhk6hhw;Pass;;;;;;;;;;71,7;35,2;81,8;;0,19;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;71,7;81,8;;;;;;;0;0;12;50;Colorado Rapids II;770;DC;1,0
2721342903;130;61;1;12;54;7fbej4xwoq4imaf5l39304m37;0;66,6;80,8;2024-09-16T00:17:52.724Z;2024-09-16T00:17:53Z;[{'id': 5216560903, 'qualifierId': 56, 'value': 'Left'}];cqmvrx028gh19yh8qh7w01y0a;R. Avila;;;7nv5kgb5v9dol1bu3vhk6hhw;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;;;;;;;;;0;0;12;54;Colorado Rapids II;774;FW;1,0
2721342909;130;49;1;12;55;iiolvosiuokkrl5iuoxcjo4p;1;26,9;31,2;2024-09-16T00:17:53.672Z;2024-09-16T00:17:53Z;[];at9jab3qv8j4azup6qd5ggui2;D. Chacón;;;7nv5kgb5v9dol1bu3vhk6hhw;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;0;0;12;55;Sporting KC II;775;DC;1,0
2721342961;131;1;1;12;57;iiolvosiuokkrl5iuoxcjo4p;1;29,0;33,1;2024-09-16T00:17:55.896Z;2024-09-16T00:17:59Z;[{'id': 5216561255, 'qualifierId': 140, 'value': '24.4'}, {'id': 5216561259, 'qualifierId': 212, 'value': '4.8'}, {'id': 5216561257, 'qualifierId': 141, 'value': '33.3'}, {'id': 5216561261, 'qualifierId': 213, 'value': '3.11'}, {'id': 5216561253, 'qualifierId': 56, 'value': 'Back'}];at9jab3qv8j4azup6qd5ggui2;D. Chacón;;;7nv5kgb5v9dol1bu3vhk6hhw;Pass;;;;;;;;;;24,4;4,8;33,3;;3,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;24,4;33,3;;;;;;;0;0;12;57;Sporting KC II;777;DC;1,0
2721343025;132;1;1;13;0;iiolvosiuokkrl5iuoxcjo4p;1;23,4;41,3;2024-09-16T00:17:59.368Z;2024-09-16T00:18:05Z;[{'id': 5216561625, 'qualifierId': 213, 'value': '2.66'}, {'id': 5216561619, 'qualifierId': 140, 'value': '4.3'}, {'id': 5216561617, 'qualifierId': 56, 'value': 'Back'}, {'id': 5216561621, 'qualifierId': 141, 'value': '56.6'}, {'id': 5216561623, 'qualifierId': 212, 'value': '22.6'}];8p3y7tm4lzwp39tojonnohaay;N. Jones;;;7nv5kgb5v9dol1bu3vhk6hhw;Pass;;;;;;;;;;4,3;22,6;56,6;;2,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;4,3;56,6;;;;;;;0;0;13;0;Sporting KC II;780;DC;1,0
2721343059;133;1;1;13;6;iiolvosiuokkrl5iuoxcjo4p;1;7,8;59,6;2024-09-16T00:18:05.368Z;2024-09-16T00:18:09Z;[{'id': 5216561817, 'qualifierId': 141, 'value': '6.9'}, {'id': 5216561809, 'qualifierId': 155}, {'id': 5216561815, 'qualifierId': 140, 'value': '35.1'}, {'id': 5216561819, 'qualifierId': 212, 'value': '45.9'}, {'id': 5216561813, 'qualifierId': 56, 'value': 'Back'}, {'id': 5216561821, 'qualifierId': 213, 'value': '5.39'}, {'id': 5216561823, 'qualifierId': 1}];1o5qnb5ktq4u6t11lj3fqntg;A. Beaudry;;;7nv5kgb5v9dol1bu3vhk6hhw;Pass;;;;;;;;;;35,1;45,9;6,9;;5,39;;1,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;35,1;6,9;;;;;;;0;0;13;6;Sporting KC II;786;GK;1,0
2721343071;134;1;1;13;11;iiolvosiuokkrl5iuoxcjo4p;1;35,1;6,9;2024-09-16T00:18:09.512Z;2024-09-16T00:18:11Z;[{'id': 5216561881, 'qualifierId': 56, 'value': 'Back'}, {'id': 5216561883, 'qualifierId': 140, 'value': '45.6'}, {'id': 5216561879, 'qualifierId': 155}, {'id': 5216561885, 'qualifierId': 141, 'value': '17.1'}, {'id': 5216561889, 'qualifierId': 213, 'value': '0.56'}, {'id': 5216561887, 'qualifierId': 212, 'value': '13.0'}];7pegcq6kh8s6naujxky714ys4;N. Strellnauer;;;7nv5kgb5v9dol1bu3vhk6hhw;Pass;;;;;;;;;;45,6;13,0;17,1;;0,56;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;45,6;17,1;;;;;;;0;0;13;11;Sporting KC II;791;FWR;1,0
2721343077;135;1;1;13;13;iiolvosiuokkrl5iuoxcjo4p;1;45,6;17,1;2024-09-16T00:18:11.480Z;2024-09-16T00:18:12Z;[{'id': 5216561927, 'qualifierId': 212, 'value': '12.0'}, {'id': 5216561925, 'qualifierId': 141, 'value': '25.0'}, {'id': 5216561929, 'qualifierId': 213, 'value': '0.46'}, {'id': 5216561923, 'qualifierId': 140, 'value': '55.8'}, {'id': 5216561921, 'qualifierId': 56, 'value': 'Center'}];6kfmf44wdx1btf9mwqdmo36z8;W. Frederick;;;7nv5kgb5v9dol1bu3vhk6hhw;Pass;;;;;;;;;;55,8;12,0;25,0;;0,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;55,8;25,0;;;;;;;0;0;13;13;Sporting KC II;793;MC;1,0
