id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_TeamPlayerFormation;value_JerseyNumber;value_TeamFormation;value_Resume;value_TeamKit;value_Involved;value_Captain;value_PlayerPosition;value_DirectionOfPlay;value_PassEndX;value_Zone;value_PassEndY;value_Length;value_KickOff;value_Angle;value_Chipped;value_HeadPass;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Launch;value_LongBall;value_NextEventGoalKick;value_GoalKick;value_Low;value_Offensive;value_BlockedPass;value_Defensive;value_OutOfPlay;value_DeletedEventType;value_TakeOnOvertake;value_ThroughBall;value_Assist;value_RegularPlay;value_IntentionalAssist;value_GoalmouthY;value_Volley;value_RelatedEventId;value_GkYTimeOfGoal;value_Assisted;value_BoxCentre;value_GoalShotGameClock;value_LeftFooted;value_BigChance;value_GoalmouthZ;value_GoalShotTimestamp;value_GkX;value_GkXTimeOfGoal;value_GkY;value_HighLeft;value_FirstTouch;value_NotVisible;value_Foul;value_Shove/Push;value_Direct;value_FreeKickTaken;value_PenaltyTakerId;value_Penalty;value_AttemptedTackle;value_CausingPlayer;value_KeeperTouched;value_FantasyAssistTeam;value_Second(2Nd)OppositeRelatedEventId;value_FantasyAssistedBy;value_FantasyAssistId;value_FantasyAssistType;value_NotAssisted;value_LowRight;value_RightFooted;value_Scored;value_Diving;value_Left;value_Right;value_Cross;value_OutSwinger;value_CornerTaken;value_FromCorner;value_BlockedY;value_BlockedX;value_Head;value_LowCentre;value_Hands;value_Standing;value_HighGkIntervention;value_ParriedDanger;value_TouchTypeClearance;value_IntendedTackleTarget;value_BoxRight;value_CloseRight;value_FlickOn;value_AerialFoul;value_Defensive1V1;value_PlayersCaughtOffside;value_TempBlocked;value_ParriedSafe;value_Indirect;value_LayOff;value_TouchTypeControl;value_TakeOnSpace;value_Blocked;value_LowLeft;value_IndividualPlay;value_DefBlock;value_BoxLeft;value_PullBack;value_Straight;value_DrivenCross;value_LowGkIntervention;value_GkHoof;value_Handball;value_RecklessOffence;value_YellowCard;value_35Centre;value_SetPiece;value_TouchTypePass;value_KeeperThrow;value_SwitchOfPlay;value_SmallBoxCentre;value_Feet;value_InSwinger;value_ShirtPull/Holding;value_TacticalFoul;value_CloseHigh;value_OutOfBoxCentre;value_High;value_FollowsADribble;value_DeniedGoalScoringOpp;value_Minutes;value_MediumGkIntervention;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_HighRight;value_Argument;value_SixYardBlocked;value_OwnPlayer;value_OwnShotBlocked;value_Overrun;value_InjuredPlayerId;value_Injury;value_Stooping;value_OverArm;value_OtherBodyPart;value_OwnGoal;value_FloatedCross;value_NotPastGoalLine;value_CloseLeft;value_FreeKick;value_SwerveRight;value_Fumble;value_HighClaim;value_GkKickFromHands;value_CloseRightAndHigh;value_BlockedClearance;value_Dissent;value_Collected;value_GoesToPenalties;value_Review;value_HighCentre;value_Weak;value_Missed;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2673092229;1;34;16;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-04-14T20:02:10.329Z;2024-04-14T23:06:43Z;[{'id': 4952298661, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4952298657, 'qualifierId': 59, 'value': '57, 46, 42, 44, 23, 50, 90, 48, 33, 16, 65, 24, 34, 35, 37, 79, 82, 91, 97'}, {'id': 4952298659, 'qualifierId': 130, 'value': '2'}, {'id': 4952298663, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4952507617, 'qualifierId': 197, 'value': '23373'}, {'id': 4952298653, 'qualifierId': 30, 'value': '76xo0u2yd2cqf8xdyh8rteqdw, o3gftw0hatp1r62ynjmlaaui, 92np3jwhxchmtfeov82ehe13o, 8u0efvao8rym6mdx0tl0h0qac, e2tuar1frliervcr2mnmvfspg, 4gp2d7oltfq4uwzj78gr6q9sk, ov4fk38lrcculu6tdbnrto2c, a79oz5xhvq7gz2k2j20sa02dw, 7ak1pv4uqkfa5cxsnthsjvfca, 8y7kqet5swj9dmqama0z5ngus, 8q2wozyqz4nveabn71hc614dm, nhhmltlm3ayn7vqmp6etck5w, 59kitnlge8bjsxmhy850bsutw, gz9dek1oxgman9jslfku0zmy, es0bxxdxf6bco25evmg19ic4, e4rpnf90oa672lcm8ego7vllg, afqry84j23xgkhqryrontj190, 5u3ohty1lsm0fn2ltez4g7o5w, 4akvdujqbywk628gok9xbh2j8'}, {'id': 4952819961, 'qualifierId': 194, 'value': 'e2tuar1frliervcr2mnmvfspg'}, {'id': 4952298655, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;;c6ord72m33u09aj050i1f3m6s;Team set up;;;2,0;;23373,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;;0;0;0;Chicago Fire II;0;;
2673094837;1;34;16;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-04-14T20:06:56.090Z;2024-04-14T21:28:45Z;[{'id': 4952311939, 'qualifierId': 130, 'value': '11'}, {'id': 4952311937, 'qualifierId': 59, 'value': '70, 55, 54, 42, 64, 43, 48, 37, 50, 35, 45, 44, 46, 47, 51, 59, 67, 80'}, {'id': 4952506413, 'qualifierId': 197, 'value': '14914'}, {'id': 4952521799, 'qualifierId': 194, 'value': 'b1p6qcv8wjzoxoax3nt13n5gq'}, {'id': 4952311941, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4952311935, 'qualifierId': 44, 'value': '1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4952311933, 'qualifierId': 30, 'value': '12wcwqu2liyd0zv8ramcevh1w, 79knhnp7bvpjomzz14k715wtm, 9vc2mynd9lg2oyt14n4e7a44q, 72xktsosbsh2uwkwby59mr6z8, b3xoqrbmua9uzr0tw8kmnw9as, 5d341k1dxhlbetyh965z3q784, b1p6qcv8wjzoxoax3nt13n5gq, 38p90lsdc5iv1jvjbhiinv6ne, 2atsox1bassuexlgta8h3us4p, 64wbk2nsrs0ru0hjcq0lenwgk, afdz1ibldn2vc8gtezyw8tqay, 6n0x8t513vmsmgfasovvoj7u2, 2buy6q56o0ixo30fatz7ps9w4, 83mk9m591utxa1lboute1kvmc, do6z0g81t9avcjuhjc1szukgk, a8t1jn05xxxccikegk8fdaiok, 1x9uiwhoqu3qumt0urv5trlec, 4uybjezp5gdqpvkwp8qsdxrf8'}, {'id': 4952311943, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;c6ord72m33u09aj050i1f3m6s;Team set up;;;11,0;;14914,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;0;0;New York RB II;0;;
2673129223;2;32;1;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-04-14T21:03:42.430Z;2024-04-17T15:08:47Z;[{'id': 4952508493, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;c6ord72m33u09aj050i1f3m6s;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;;0;0;0;Chicago Fire II;0;;
2673129215;2;32;1;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-04-14T21:03:42.430Z;2024-04-14T21:03:42Z;[{'id': 4952508467, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;c6ord72m33u09aj050i1f3m6s;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;0;0;New York RB II;0;;
2673129253;3;1;1;0;0;8o8m08he36u0j4w08aj2iodn8;1;49,9;49,8;2024-04-14T21:03:42.431Z;2024-04-14T21:03:47Z;[{'id': 4952508673, 'qualifierId': 140, 'value': '36.7'}, {'id': 4952508671, 'qualifierId': 56, 'value': 'Back'}, {'id': 4952508675, 'qualifierId': 141, 'value': '55.2'}, {'id': 4952508677, 'qualifierId': 212, 'value': '14.3'}, {'id': 4952508681, 'qualifierId': 279, 'value': 'S'}, {'id': 4952508679, 'qualifierId': 213, 'value': '2.88'}];b1p6qcv8wjzoxoax3nt13n5gq;D. Poręba;;;c6ord72m33u09aj050i1f3m6s;Pass;;;;;;;;;;36,7;;55,2;14,3;;2,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;36,7;55,2;;;;;;;;0;0;0;New York RB II;0;MR;1,0
2673129271;4;1;1;0;3;8o8m08he36u0j4w08aj2iodn8;1;36,8;58,6;2024-04-14T21:03:45.898Z;2024-04-14T21:03:50Z;[{'id': 4952508747, 'qualifierId': 140, 'value': '40.2'}, {'id': 4952508749, 'qualifierId': 141, 'value': '82.1'}, {'id': 4952508751, 'qualifierId': 212, 'value': '16.4'}, {'id': 4952508745, 'qualifierId': 56, 'value': 'Back'}, {'id': 4952508753, 'qualifierId': 213, 'value': '1.35'}];38p90lsdc5iv1jvjbhiinv6ne;J. Casas;;;c6ord72m33u09aj050i1f3m6s;Pass;;;;;;;;;;40,2;;82,1;16,4;;1,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;40,2;82,1;;;;;;;;0;0;3;New York RB II;3;MC;1,0
2673129283;5;1;1;0;7;8o8m08he36u0j4w08aj2iodn8;1;42,1;81,9;2024-04-14T21:03:49.882Z;2024-04-14T21:54:28Z;[{'id': 4952508837, 'qualifierId': 212, 'value': '11.8'}, {'id': 4952508839, 'qualifierId': 213, 'value': '5.00'}, {'id': 4952508829, 'qualifierId': 56, 'value': 'Back'}, {'id': 4952508833, 'qualifierId': 140, 'value': '45.3'}, {'id': 4952508835, 'qualifierId': 141, 'value': '65.2'}];64wbk2nsrs0ru0hjcq0lenwgk;S. Oregel;;;c6ord72m33u09aj050i1f3m6s;Pass;;;;;;;;;;45,3;;65,2;11,8;;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;45,3;65,2;;;;;;;;0;0;7;New York RB II;7;MC;1,0
2673129313;6;1;1;0;10;8o8m08he36u0j4w08aj2iodn8;1;45,9;65,5;2024-04-14T21:03:52.709Z;2024-04-14T21:03:56Z;[{'id': 4952508963, 'qualifierId': 155}, {'id': 4952508965, 'qualifierId': 56, 'value': 'Back'}, {'id': 4952508967, 'qualifierId': 140, 'value': '40.6'}, {'id': 4952508971, 'qualifierId': 212, 'value': '19.5'}, {'id': 4952508969, 'qualifierId': 141, 'value': '93.0'}, {'id': 4952508973, 'qualifierId': 213, 'value': '1.86'}];38p90lsdc5iv1jvjbhiinv6ne;J. Casas;;;c6ord72m33u09aj050i1f3m6s;Pass;;;;;;;;;;40,6;;93,0;19,5;;1,86;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;40,6;93,0;;;;;;;;0;0;10;New York RB II;10;MC;1,0
2673129319;7;1;1;0;13;8o8m08he36u0j4w08aj2iodn8;0;38,9;98,5;2024-04-14T21:03:55.943Z;2024-04-14T21:55:13Z;[{'id': 4952509035, 'qualifierId': 56, 'value': 'Back'}, {'id': 4952509041, 'qualifierId': 212, 'value': '5.9'}, {'id': 4952509033, 'qualifierId': 3}, {'id': 4952509043, 'qualifierId': 213, 'value': '0.29'}, {'id': 4952509039, 'qualifierId': 141, 'value': '100.0'}, {'id': 4952509037, 'qualifierId': 140, 'value': '44.3'}];9vc2mynd9lg2oyt14n4e7a44q;L. Rochester;;;c6ord72m33u09aj050i1f3m6s;Pass;;;;;;;;;;44,3;;100,0;5,9;;0,29;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;44,3;100,0;;;;;;;;0;0;13;New York RB II;13;DL;1,0
2673129355;3;5;1;0;16;4g68p0t2f5jzhzfr67i2rj1ex;1;56,3;-1,1;2024-04-14T21:03:58.728Z;2024-04-14T21:04:05Z;[{'id': 4952509251, 'qualifierId': 347}, {'id': 4952509267, 'qualifierId': 233, 'value': '8'}, {'id': 4952509249, 'qualifierId': 56, 'value': 'Right'}];8y7kqet5swj9dmqama0z5ngus;J. Hall;;;c6ord72m33u09aj050i1f3m6s;Out;;;;;;;;;;;;;;;;;;1,0;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;;0;0;16;Chicago Fire II;16;FW;1,0
