id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_TeamKit;value_TeamFormation;value_Captain;value_JerseyNumber;value_PlayerPosition;value_Resume;value_TeamPlayerFormation;value_Involved;value_DirectionOfPlay;value_PassEndX;value_PassEndY;value_Angle;value_Zone;value_KickOff;value_Length;value_LongBall;value_Chipped;value_HeadPass;value_Launch;value_BlockedPass;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_NextEventThrowIn;value_ThrowIn;value_InSwinger;value_Cross;value_RightFooted;value_TakeOnSpace;value_OutOfPlay;value_TouchTypeClearance;value_OutSwinger;value_NextEventGoalKick;value_GoalKick;value_Low;value_LayOff;value_IntendedTackleTarget;value_TouchTypePass;value_Assist;value_BlockedX;value_LowLeft;value_GoalmouthZ;value_Blocked;value_RelatedEventId;value_GkY;value_GkX;value_OutOfBoxCentre;value_BlockedY;value_RegularPlay;value_Assisted;value_GoalmouthY;value_IndividualPlay;value_DefBlock;value_Left;value_DeletedEventType;value_CornerTaken;value_Head;value_TakeOnOvertake;value_TouchTypeControl;value_FlickOn;value_OtherObstacle;value_Direct;value_AttemptedTackle;value_Foul;value_FreeKickTaken;value_PlayersCaughtOffside;value_Indirect;value_LeftFooted;value_Shove/Push;value_GkXTimeOfGoal;value_GoalShotGameClock;value_KeeperTouched;value_BoxCentre;value_NotAssisted;value_GkYTimeOfGoal;value_BigChance;value_LowCentre;value_GoalShotTimestamp;value_Handball;value_HighGkIntervention;value_KeeperThrow;value_Straight;value_IntentionalAssist;value_DrivenCross;value_FirstTouch;value_Collected;value_Stooping;value_Hands;value_LowGkIntervention;value_NotVisible;value_SwitchOfPlay;value_TacticalFoul;value_YellowCard;value_OverhitCross;value_SetPiece;value_Volley;value_ShirtPull/Holding;value_HighRight;value_CloseRight;value_High;value_BlockedCross;value_BoxRight;value_Diving;value_OverArm;value_FreeKick;value_SwerveLeft;value_ParriedSafe;value_FromCorner;value_HighClaim;value_GkHoof;value_BoxLeft;value_LowRight;value_RecklessOffence;value_Minutes;value_Defensive1V1;value_AerialFoul;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_NotRetreating;value_Right;value_Overrun;value_BlockedClearance;value_SavedOffLine;value_SmallBoxCentre;value_SixYardBlocked;value_LastLine;value_Deflection;value_SmallBoxRight;value_ThroughBall;value_GkKickFromHands;value_CaptainChange;value_IncorrectOutOfPlayDecision;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2690945273;1;34;16;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-05-22T23:22:17.662Z;2024-05-27T20:28:46Z;[{'id': 5049260087, 'qualifierId': 197, 'value': '15002'}, {'id': 5049194711, 'qualifierId': 130, 'value': '6'}, {'id': 5049264293, 'qualifierId': 194, 'value': '910fd7rfysvvfzp2s1ywna5pm'}, {'id': 5049194707, 'qualifierId': 59, 'value': '55, 71, 99, 49, 40, 72, 64, 42, 80, 56, 75, 33, 41, 50, 59, 77, 88, 94'}, {'id': 5049194705, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5049194717, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5049194713, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5049194703, 'qualifierId': 30, 'value': '37vbc16ejxmfkssydcdxq69zo, 7h6a0x05z2laewfq7spicxwd0, 7zkzjmk1go1u2vi5qkqlmezu, 3dyn7hheqvs3gm3m84jrra9lg, 910fd7rfysvvfzp2s1ywna5pm, bbnk87q7t8pahznohwjjcvu5m, 632mpv8dpnxjm69f8ip1e4l5g, 276kl5oc1k19y1linbxml0xec, f2nvagw4mjjpn1ytj6rdl5ene, 92oqt9q51us5rpmqmvvrdso6i, en6q7ddrr22sz6knipkbqhyw9, 2dqtrnq0k1fphyw71yh41gvtg, 5jigl7kp5d2i5ws1602jm7n1m, 9ulwk81vyj5rbz88h62i2ejv8, 9gswafduy82n4o6f0uk0khhck, 8bwjj53jwbsi0emx370uka5g4, 8hg6c5ehhaa37lwduf5977i3u, 4eh46qse8ocmutobremniuolw'}];;;;cyqa6n2yrvy3gwvoc1xj1q7mc;Team set up;15002,0;6,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;0;0;Houston Dynamo II;0;;
2690945377;1;34;16;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-05-22T23:22:44.890Z;2024-05-28T16:25:38Z;[{'id': 5049195357, 'qualifierId': 130, 'value': '2'}, {'id': 5049195351, 'qualifierId': 30, 'value': 'e81zc97bmfjgwo978gplrx46i, en1t9w6orptzi3v7odnawg8b8, 2wj1w4opn7f0jyz1ps6ebvc6i, 77kab5634937x4txa891wg2s4, 2jzuij8p7eoy42aqem688ltuy, 1snfyu5dmv164k5cl87chjlsk, 9qyg5hre038m06bzzupzgmsk4, aa4ut2fmswha43fxnrxp1obo4, 3c1xz4vpfoum0jbq6bmtdrtux, 4uuq2zuhmlbg7kh85v5l8723u, 7qt4r82kyz05r8kd8cmdh1xqs, 1d43ue54zl1o9rvnwz5zfotm, 9ph8wasuz3ndre586gople49g, azzpjrq2pndxuz0waw25p7r6y, 3my8ymhvy1bysbllwpoj3qctm, 22p6n3oird085u2kbkiqp4pg, bp0a3bvzsxokh4nu3bq96yx3o, n5otejqjssvxk3bzx06642z8, be85jzbz3ihrpyt6jvjs56oes, 1es4nynrpc8sz3enj46i9zeok'}, {'id': 5049195361, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5049195355, 'qualifierId': 59, 'value': '1, 39, 3, 15, 6, 30, 7, 19, 10, 18, 21, 5, 9, 11, 12, 17, 31, 35, 37, 48'}, {'id': 5049195359, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5049195353, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5049260457, 'qualifierId': 197, 'value': '15044'}, {'id': 5049265835, 'qualifierId': 194, 'value': '4uuq2zuhmlbg7kh85v5l8723u'}];;;;cyqa6n2yrvy3gwvoc1xj1q7mc;Team set up;15044,0;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;0;0;St. Louis City II;0;;
2690957515;2;32;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-05-23T00:04:28.970Z;2024-05-28T15:38:14Z;[{'id': 5049260899, 'qualifierId': 127, 'value': 'Right to Left'}];;;;cyqa6n2yrvy3gwvoc1xj1q7mc;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;0;0;0;0;St. Louis City II;0;;
2690957521;2;32;1;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-05-23T00:04:28.970Z;2024-05-23T00:04:30Z;[{'id': 5049260919, 'qualifierId': 127, 'value': 'Left to Right'}];;;;cyqa6n2yrvy3gwvoc1xj1q7mc;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;0;0;Houston Dynamo II;0;;
2690957523;3;1;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;50,0;50,0;2024-05-23T00:04:28.971Z;2024-05-23T00:51:42Z;[{'id': 5049260923, 'qualifierId': 140, 'value': '33.8'}, {'id': 5049260925, 'qualifierId': 141, 'value': '47.8'}, {'id': 5049260929, 'qualifierId': 213, 'value': '3.23'}, {'id': 5049260921, 'qualifierId': 56, 'value': 'Back'}, {'id': 5049260931, 'qualifierId': 279, 'value': 'S'}, {'id': 5049260927, 'qualifierId': 212, 'value': '17.1'}];3c1xz4vpfoum0jbq6bmtdrtux;I. Achara;;cyqa6n2yrvy3gwvoc1xj1q7mc;Pass;;;;;;;;;;33,8;47,8;3,23;;;17,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;33,8;47,8;;;;;;;0;0;0;0;St. Louis City II;0;FW;1,0
2690957541;4;1;1;0;3;7pmw399vh2v44cjle4fkklp1w;1;35,4;47,6;2024-05-23T00:04:32.404Z;2024-05-27T20:47:29Z;[{'id': 5049261015, 'qualifierId': 212, 'value': '46.2'}, {'id': 5049261019, 'qualifierId': 1}, {'id': 5059431923, 'qualifierId': 155}, {'id': 5049261013, 'qualifierId': 141, 'value': '89.4'}, {'id': 5049261017, 'qualifierId': 213, 'value': '0.66'}, {'id': 5049261009, 'qualifierId': 56, 'value': 'Left'}, {'id': 5049261011, 'qualifierId': 140, 'value': '70.1'}];4uuq2zuhmlbg7kh85v5l8723u;D. Gonzalez;;cyqa6n2yrvy3gwvoc1xj1q7mc;Pass;;;;;;;;;;70,1;89,4;0,66;;;46,2;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;70,1;89,4;;;;;;;0;0;0;3;St. Louis City II;3;FW;1,0
2690957543;5;1;1;0;7;7pmw399vh2v44cjle4fkklp1w;0;70,1;89,4;2024-05-23T00:04:36.324Z;2024-05-23T00:51:52Z;[{'id': 5049261033, 'qualifierId': 213, 'value': '4.91'}, {'id': 5049261023, 'qualifierId': 3}, {'id': 5049261031, 'qualifierId': 212, 'value': '18.1'}, {'id': 5049261029, 'qualifierId': 141, 'value': '63.3'}, {'id': 5049261025, 'qualifierId': 56, 'value': 'Center'}, {'id': 5049261027, 'qualifierId': 140, 'value': '73.5'}];2wj1w4opn7f0jyz1ps6ebvc6i;K. Sargeant;;cyqa6n2yrvy3gwvoc1xj1q7mc;Pass;;;;;;;;;;73,5;63,3;4,91;;;18,1;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;73,5;63,3;;;;;;;0;0;0;7;St. Louis City II;7;DC;1,0
2690957549;3;1;1;0;8;dqx48fglv1l96cyrmjdod0xec;0;24,7;42,8;2024-05-23T00:04:37.085Z;2024-05-23T00:04:38Z;[{'id': 5049261063, 'qualifierId': 213, 'value': '5.31'}, {'id': 5049261053, 'qualifierId': 3}, {'id': 5049261055, 'qualifierId': 56, 'value': 'Back'}, {'id': 5049261059, 'qualifierId': 141, 'value': '27.7'}, {'id': 5049261057, 'qualifierId': 140, 'value': '31.3'}, {'id': 5049261061, 'qualifierId': 212, 'value': '12.4'}];bbnk87q7t8pahznohwjjcvu5m;E. Kinzner;;cyqa6n2yrvy3gwvoc1xj1q7mc;Pass;;;;;;;;;;31,3;27,7;5,31;;;12,4;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;31,3;27,7;;;;;;;0;0;0;8;Houston Dynamo II;8;DC;1,0
2690957553;6;1;1;0;9;7pmw399vh2v44cjle4fkklp1w;0;66,7;78,4;2024-05-23T00:04:38.820Z;2024-05-23T00:04:39Z;[{'id': 5049261075, 'qualifierId': 213, 'value': '5.87'}, {'id': 5049261073, 'qualifierId': 212, 'value': '10.2'}, {'id': 5049261071, 'qualifierId': 141, 'value': '72.3'}, {'id': 5049261065, 'qualifierId': 3}, {'id': 5049261069, 'qualifierId': 140, 'value': '75.6'}, {'id': 5049261067, 'qualifierId': 56, 'value': 'Center'}];7qt4r82kyz05r8kd8cmdh1xqs;O. Sylla;;cyqa6n2yrvy3gwvoc1xj1q7mc;Pass;;;;;;;;;;75,6;72,3;5,87;;;10,2;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;75,6;72,3;;;;;;;0;0;0;9;St. Louis City II;9;ML;1,0
2690957557;4;1;1;0;11;dqx48fglv1l96cyrmjdod0xec;0;24,1;31,3;2024-05-23T00:04:40.243Z;2024-05-23T00:04:41Z;[{'id': 5049261101, 'qualifierId': 1}, {'id': 5049261093, 'qualifierId': 140, 'value': '37.1'}, {'id': 5049261095, 'qualifierId': 141, 'value': '34.6'}, {'id': 5049261099, 'qualifierId': 213, 'value': '0.16'}, {'id': 5049261089, 'qualifierId': 157}, {'id': 5049261091, 'qualifierId': 56, 'value': 'Back'}, {'id': 5049261097, 'qualifierId': 212, 'value': '13.8'}];7h6a0x05z2laewfq7spicxwd0;N. McGuire;;cyqa6n2yrvy3gwvoc1xj1q7mc;Pass;;;;;;;;;;37,1;34,6;0,16;;;13,8;1,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;37,1;34,6;;;;;;;0;0;0;11;Houston Dynamo II;11;DR;1,0
