id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_PlayerPosition;value_TeamPlayerFormation;value_Involved;value_JerseyNumber;value_Resume;value_Captain;value_TeamFormation;value_DirectionOfPlay;value_Angle;value_Zone;value_KickOff;value_Length;value_PassEndX;value_PassEndY;value_Chipped;value_IntendedTackleTarget;value_PlayersCaughtOffside;value_Indirect;value_FreeKickTaken;value_LongBall;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Launch;value_DeletedEventType;value_OutSwinger;value_Cross;value_RightFooted;value_MediumGkIntervention;value_KeeperThrow;value_Offensive;value_Defensive;value_OutOfPlay;value_TouchTypeClearance;value_TakeOnSpace;value_LeftFooted;value_HeadPass;value_NotVisible;value_Overrun;value_Assist;value_IntentionalAssist;value_ThroughBall;value_Assisted;value_LowCentre;value_RelatedEventId;value_BlockedX;value_GoalmouthY;value_BoxCentre;value_BlockedY;value_RegularPlay;value_GoalmouthZ;value_Diving;value_Feet;value_ParriedSafe;value_LowGkIntervention;value_Left;value_Right;value_CornerTaken;value_Head;value_NotPastGoalLine;value_FirstTouch;value_GkX;value_FromCorner;value_GkY;value_HighRight;value_NextEventGoalKick;value_Low;value_GoalKick;value_SwitchOfPlay;value_BoxDeepLeft;value_LowRight;value_Hands;value_InSwinger;value_OutOnSideline;value_FlickOn;value_LowLeft;value_IndividualPlay;value_OutOfBoxCentre;value_ParriedDanger;value_Direct;value_Shove/Push;value_Foul;value_TakeOnOvertake;value_CloseRight;value_BoxLeft;value_High;value_BlockedPass;value_NotAssisted;value_Collected;value_GkKickFromHands;value_LayOff;value_AttemptedTackle;value_SavedOffLine;value_Deflection;value_BoxRight;value_Blocked;value_LastLine;value_DefBlock;value_TouchTypePass;value_RecklessOffence;value_YellowCard;value_Defensive1V1;value_PenaltyTakerId;value_Penalty;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_FantasyAssistTeam;value_FantasyAssistId;value_FantasyAssistedBy;value_BigChance;value_FantasyAssistType;value_GoalShotGameClock;value_CausingPlayer;value_GkXTimeOfGoal;value_Second(2Nd)OppositeRelatedEventId;value_Scored;value_ShirtPull/Holding;value_CloseHigh;value_FreeKick;value_TouchTypeControl;value_Injury;value_InjuredPlayerId;value_Minutes;value_OverhitCross;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_SetPiece;value_TacticalFoul;value_HighGkIntervention;value_HighClaim;value_OverArm;value_Review;value_FairPlay;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2692588007;1;34;16;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-05-26T23:24:47.639Z;2024-05-27T02:06:26Z;[{'id': 5058320489, 'qualifierId': 197, 'value': '15045'}, {'id': 5058260195, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5058260201, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5058260193, 'qualifierId': 30, 'value': 'aij1pddtm5ch0o8dstl3mc1jp, 1795jw1oc3pkthyq0kqexh65m, 2pka62t1zg04jwkcx6zbc4wlw, aqqjtiyr2nayy6rjq6wxk6ec4, 9s3boszvqn3fzsx0r1xswqyqy, cz98wcy8nq9hqncb2z33p4hec, a4staqjshva5lhcr0dw744nze, e2olfsduxvaqsx6rdbaasa356, tc5nl1hz1w06jobp5ckktr3e, 45b72f8szmqnv8tz06j7mj1wq, 7g1lvmpww9jrvojy55zengpw4, 4tengy9p53kcukevpi8s54wh6, 69h930ebovyl7rut5dz4r2iok, 8hftsf1ff8839jdbe3e6lmm1g, 1unlspl01ht69hrm9apxt4oic, a1rc6kukly42y5j5smz3w72tw, byelagxi3qg0rb06tjl3fodn8, iu61re9bbusv2w7fu7w6505w'}, {'id': 5058260197, 'qualifierId': 59, 'value': '1, 35, 39, 23, 40, 51, 34, 44, 99, 29, 25, 32, 36, 38, 43, 48, 57, 90'}, {'id': 5058260203, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5058451781, 'qualifierId': 194, 'value': '2pka62t1zg04jwkcx6zbc4wlw'}, {'id': 5058260199, 'qualifierId': 130, 'value': '12'}];;;;;d3nvn82ami7cwtjwviqppmck4;Team set up;15045,0;;;;;;;12,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;;0;0;0;Colorado Rapids II;0;;
2692588029;1;34;16;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-05-26T23:24:49.929Z;2024-05-27T00:03:39Z;[{'id': 5058260283, 'qualifierId': 59, 'value': '31, 53, 99, 45, 34, 56, 39, 21, 77, 80, 7, 40, 41, 42, 44, 46, 47, 48, 49, 54'}, {'id': 5058260285, 'qualifierId': 130, 'value': '2'}, {'id': 5058261027, 'qualifierId': 194, 'value': 'ew8oodr9hiuqve7xlz24xznfu'}, {'id': 5058260293, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5058260279, 'qualifierId': 30, 'value': '1o5qnb5ktq4u6t11lj3fqntg, 4wu5ystem7t4d7veep83j2qne, 1keonaeqvrkqhbw9sjaaxsff8, f1oc42nax0yel4gblge49py7e, dw8iyfupgsqkt8ogxssmtss4q, 8p3y7tm4lzwp39tojonnohaay, ew8oodr9hiuqve7xlz24xznfu, 1e2rcqui6mxvgyrsha9fr1ai2, btqe4tigm004n7dj039au2sfe, 7pegcq6kh8s6naujxky714ys4, 1s1fyh1gza8ll4aeenib2vmcp, 38z2cuwmbeanujqho9cqwozmy, 3gzatxlefe9axcrqyllbtrzmc, etyqw24tl6zko0qarctyv6ane, a9w6952jyw6x83gxp94zs8ro4, 7gh46rkxaa7trgtp8lf1l591w, 28kg6zbpgbb8zrnhidogpxi0a, 1ss7pdaxmlk0sijax5brwpkyy, 6hh057kb54ovy3lqxo5bvxlhw, 63r5yw1u82xzwndp8c6rwvzoq'}, {'id': 5058260287, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5058260281, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5058310409, 'qualifierId': 197, 'value': '23808'}];;;;;d3nvn82ami7cwtjwviqppmck4;Team set up;23808,0;;;;;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;;0;0;0;Minnesota United II;0;;
2692597647;2;32;1;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-05-27T00:03:58.528Z;2024-05-27T00:03:58Z;[{'id': 5058310649, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;d3nvn82ami7cwtjwviqppmck4;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;;0;0;0;Colorado Rapids II;0;;
2692597651;2;32;1;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-05-27T00:03:58.528Z;2024-05-31T12:10:46Z;[{'id': 5058310679, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;d3nvn82ami7cwtjwviqppmck4;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;;0;0;0;Minnesota United II;0;;
2692597653;3;1;1;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;50,0;50,0;2024-05-27T00:03:58.529Z;2024-05-27T01:02:08Z;[{'id': 5058310689, 'qualifierId': 213, 'value': '2.71'}, {'id': 5058310681, 'qualifierId': 56, 'value': 'Back'}, {'id': 5058310691, 'qualifierId': 279, 'value': 'S'}, {'id': 5058310687, 'qualifierId': 212, 'value': '11.8'}, {'id': 5058310683, 'qualifierId': 140, 'value': '39.8'}, {'id': 5058310685, 'qualifierId': 141, 'value': '57.2'}];e2olfsduxvaqsx6rdbaasa356;M. Nyeman;;;d3nvn82ami7cwtjwviqppmck4;Pass;;;;;;;;;;2,71;;;11,8;39,8;57,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;39,8;57,2;;;;;;;;0;0;0;Colorado Rapids II;0;MC;1,0
2692597663;4;1;1;0;2;1pc6sx2h4rp113ldkbp5d2xas;1;38,9;58,2;2024-05-27T00:04:00.598Z;2024-05-27T00:04:04Z;[{'id': 5058310751, 'qualifierId': 140, 'value': '26.0'}, {'id': 5058310749, 'qualifierId': 56, 'value': 'Back'}, {'id': 5058310757, 'qualifierId': 213, 'value': '2.31'}, {'id': 5058310755, 'qualifierId': 212, 'value': '20.2'}, {'id': 5058310753, 'qualifierId': 141, 'value': '80.2'}];7g1lvmpww9jrvojy55zengpw4;A. Bran;;;d3nvn82ami7cwtjwviqppmck4;Pass;;;;;;;;;;2,31;;;20,2;26,0;80,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;26,0;80,2;;;;;;;;0;0;2;Colorado Rapids II;2;AMC;1,0
2692597677;5;1;1;0;5;1pc6sx2h4rp113ldkbp5d2xas;1;25,7;80,3;2024-05-27T00:04:03.942Z;2024-05-27T00:04:08Z;[{'id': 5058310841, 'qualifierId': 212, 'value': '20.0'}, {'id': 5058310837, 'qualifierId': 140, 'value': '43.1'}, {'id': 5058310839, 'qualifierId': 141, 'value': '92.1'}, {'id': 5058310835, 'qualifierId': 56, 'value': 'Back'}, {'id': 5058310843, 'qualifierId': 213, 'value': '0.41'}];aqqjtiyr2nayy6rjq6wxk6ec4;M. Duggan;;;d3nvn82ami7cwtjwviqppmck4;Pass;;;;;;;;;;0,41;;;20,0;43,1;92,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;43,1;92,1;;;;;;;;0;0;5;Colorado Rapids II;5;DC;1,0
2692597679;6;1;1;0;9;1pc6sx2h4rp113ldkbp5d2xas;0;54,4;91,2;2024-05-27T00:04:08.134Z;2024-05-27T01:02:28Z;[{'id': 5058310859, 'qualifierId': 212, 'value': '25.1'}, {'id': 5058310851, 'qualifierId': 155}, {'id': 5058310861, 'qualifierId': 213, 'value': '5.32'}, {'id': 5058310857, 'qualifierId': 141, 'value': '60.8'}, {'id': 5058310855, 'qualifierId': 140, 'value': '68.0'}, {'id': 5058310853, 'qualifierId': 56, 'value': 'Center'}];2pka62t1zg04jwkcx6zbc4wlw;F. McRobb;;;d3nvn82ami7cwtjwviqppmck4;Pass;;;;;;;;;;5,32;;;25,1;68,0;60,8;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;68,0;60,8;;;;;;;;0;0;9;Colorado Rapids II;9;DML;1,0
2692597681;3;49;1;0;11;iiolvosiuokkrl5iuoxcjo4p;1;33,5;54,2;2024-05-27T00:04:10.016Z;2024-05-27T00:05:01Z;[];1keonaeqvrkqhbw9sjaaxsff8;J. Travis;;;d3nvn82ami7cwtjwviqppmck4;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;;0;0;11;Minnesota United II;11;DC;1,0
2692597693;4;1;1;0;12;iiolvosiuokkrl5iuoxcjo4p;1;34,4;61,2;2024-05-27T00:04:10.784Z;2024-05-27T00:05:00Z;[{'id': 5058310911, 'qualifierId': 212, 'value': '6.4'}, {'id': 5058310907, 'qualifierId': 140, 'value': '39.9'}, {'id': 5058310909, 'qualifierId': 141, 'value': '65.3'}, {'id': 5058310905, 'qualifierId': 56, 'value': 'Back'}, {'id': 5058310913, 'qualifierId': 213, 'value': '0.45'}];1keonaeqvrkqhbw9sjaaxsff8;J. Travis;;;d3nvn82ami7cwtjwviqppmck4;Pass;;;;;;;;;;0,45;;;6,4;39,9;65,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;39,9;65,3;;;;;;;;0;0;12;Minnesota United II;12;DC;1,0
