id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_TeamPlayerFormation;value_TeamFormation;value_PlayerPosition;value_Resume;value_Involved;value_JerseyNumber;value_Captain;value_DirectionOfPlay;value_Angle;value_Zone;value_PassEndX;value_KickOff;value_Length;value_PassEndY;value_Chipped;value_LongBall;value_Offensive;value_DeletedEventType;value_AttemptedTackle;value_OppositeRelatedEventId;value_Direct;value_Foul;value_Defensive;value_FreeKickTaken;value_LowGkIntervention;value_KeeperThrow;value_IntendedTackleTarget;value_BlockedPass;value_Assist;value_IntentionalAssist;value_RegularPlay;value_FirstTouch;value_BlockedY;value_RelatedEventId;value_GoalmouthY;value_SmallBoxCentre;value_GoalmouthZ;value_Assisted;value_BigChance;value_LowRight;value_RightFooted;value_BlockedX;value_Sliding;value_Feet;value_ParriedSafe;value_Right;value_Left;value_CornerTaken;value_InSwinger;value_Cross;value_LeftFooted;value_BoxCentre;value_GkY;value_GkX;value_Head;value_CloseRight;value_NotPastGoalLine;value_FromCorner;value_HeadPass;value_TouchTypePass;value_TouchTypeClearance;value_NextEventThrowIn;value_ThrowIn;value_ShirtPull/Holding;value_Launch;value_SwitchOfPlay;value_TakeOnOvertake;value_IndividualPlay;value_BoxRight;value_LowCentre;value_Diving;value_Hands;value_OutSwinger;value_NotVisible;value_ThroughBall;value_MediumGkIntervention;value_TouchTypeControl;value_PullBack;value_OutOfPlay;value_Shove/Push;value_Standing;value_OwnPlayer;value_GkYTimeOfGoal;value_OutOfBoxCentre;value_KeeperTouched;value_LowLeft;value_GoalShotGameClock;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_FlickOn;value_Overrun;value_Handball;value_Collected;value_PenaltyTakerId;value_Penalty;value_Scored;value_NotAssisted;value_FantasyAssistedBy;value_FantasyAssistType;value_FantasyAssistId;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_FantasyAssistTeam;value_OtherBodyPart;value_Blocked;value_DefBlock;value_HighClaim;value_HighGkIntervention;value_TakeOnSpace;value_High;value_NextEventGoalKick;value_GoalKick;value_Low;value_LayOff;value_BoxLeft;value_CloseHigh;value_YellowCard;value_RecklessOffence;value_PlayersCaughtOffside;value_Indirect;value_Minutes;value_GkKickFromHands;value_EndType;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_SixYardBlocked;value_Stooping;value_Dissent;value_FreeKick;value_ParriedDanger;value_BlockedCross;value_OverhitCross;value_InjuredPlayerId;value_Injury;value_DrivenCross;value_Straight;value_LeadingToAttempt;value_TacticalFoul;value_HighLeft;value_FastBreak;value_1On1;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2731823611;1;34;16;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-10-06T16:16:56.452Z;2024-10-11T13:40:21Z;[{'id': 5274109409, 'qualifierId': 197, 'value': '18742'}, {'id': 5273865649, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5273865647, 'qualifierId': 130, 'value': '8'}, {'id': 5273865643, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5273865651, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5273865641, 'qualifierId': 30, 'value': '2v9pdg70kewaarbz4jzsh00a2, 52rcg38mijjjusfwqxa2l7hex, ds4avrkvrp4jxq9lp02ssci22, 6hhsk7b3rv87zi2i3dpzna3th, 9b29l83qhedv79h20lgyu9tqt, dkgv1asv2glgvoddpvxe56t5g, 603sxl8xsij9kep03px6s85m2, avxfzgoe2y0opif75qu3aeb6c, f12wt1v2qf2siv8p6q6x2bxuc, 4dri4lv9b4w3mz8aj3329qjh0, 9ohy24mxhsqao5kymh0lbxxck, 7bxp7ho4cmsoviw19q4bxr02c, 3xd2kq7cxmvdbqsfzgi644c4q, 9qhpi9y9iujvkbocafhgrj04q, 91zaobrhwte235umn6y1mklxw, exk9svcdgcbn05ms00fhorvv8, 3ve0xap9f0gjsslhgjsmakx04, doqbp8fg8hke6hhifdr4jzklw, drt65b9m2f494wnoyep49bn1m, 7ofdnarha4k4b8nggld7gxnqi'}, {'id': 5273865645, 'qualifierId': 59, 'value': '26, 24, 35, 7, 6, 20, 36, 43, 68, 17, 27, 41, 44, 60, 42, 39, 48, 56, 86, 97'}, {'id': 5274219095, 'qualifierId': 194, 'value': 'avxfzgoe2y0opif75qu3aeb6c'}];;;;;kwr1zoais4pulaqepcxi8v84;Team set up;18742,0;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;0;0;Toronto II;0;;
2731827785;1;34;16;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;0,0;0,0;2024-10-06T16:20:40.067Z;2024-10-06T17:39:32Z;[{'id': 5273888263, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5273888267, 'qualifierId': 130, 'value': '12'}, {'id': 5274109347, 'qualifierId': 197, 'value': '3386'}, {'id': 5273888271, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5273888269, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5273888261, 'qualifierId': 30, 'value': '9n4pw401dtt30wlnwrxvads7o, 5qfwg7j8xrfv19ouu4gvrs00k, 7w2rw1jd8ouhu8bbvswvysu8k, d8u6lnk9lmbrgv9obcshpec8a, 2figny7hhxiw29vizhlyta3o4, 8pvvljn4uasfjxdleh56pm38, dqxh3f9qy6lhrwabvnbb6erro, 3wn0nn5q8g2mjzuc8yb4dvu2, c760g3hvhvi7nra7gpdrynn1m, d5del7kcf1zgkd2uvhius8y22, e8i5fg3tp35k8iys32eiv7jmc, bje8wvncnbbx5w0l08uno88ru, 7q8y6gbmg9j75zgm3nhs3bfh0, bxwon00wl9tyjvu51my3gcvf8, cgcpmpetc768pyqb51qthq61g, bwn9d457kxdldt87z9fl1x0k4, 7z57s6veqr3k87quyd6i7fgx6, 6xu5v7x5zge1k83w40mmbxyzu, 48uytxtisot3s0ilflltvxwk4, 5ikpy9h69he6dib5xslwj8g0k'}, {'id': 5274281731, 'qualifierId': 194, 'value': 'c760g3hvhvi7nra7gpdrynn1m'}, {'id': 5273888265, 'qualifierId': 59, 'value': '80, 95, 73, 85, 58, 51, 79, 71, 82, 38, 89, 70, 68, 60, 96, 86, 72, 81, 65, 87'}];;;;;kwr1zoais4pulaqepcxi8v84;Team set up;3386,0;;12,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;;;;;;;;;;0;0;0;Crown Legacy;0;;
2731869145;2;32;1;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;0,0;0,0;2024-10-06T17:05:13.326Z;2024-10-06T17:05:16Z;[{'id': 5274115009, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;kwr1zoais4pulaqepcxi8v84;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;;;;;;;;;;0;0;0;Crown Legacy;0;;
2731869121;2;32;1;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-10-06T17:05:13.326Z;2024-10-11T10:04:59Z;[{'id': 5274114899, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;kwr1zoais4pulaqepcxi8v84;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;0;0;Toronto II;0;;
2731869201;3;1;1;0;0;6ubc4y1v6hr63mca7ica4hp90;1;49,7;49,9;2024-10-06T17:05:13.327Z;2024-10-10T13:02:24Z;[{'id': 5274115373, 'qualifierId': 213, 'value': '2.90'}, {'id': 5274115365, 'qualifierId': 56, 'value': 'Back'}, {'id': 5274115367, 'qualifierId': 140, 'value': '34.3'}, {'id': 5274115375, 'qualifierId': 279, 'value': 'S'}, {'id': 5274115371, 'qualifierId': 212, 'value': '16.7'}, {'id': 5274115369, 'qualifierId': 141, 'value': '55.8'}];4dri4lv9b4w3mz8aj3329qjh0;I. Toklomati;;;kwr1zoais4pulaqepcxi8v84;Pass;;;;;;;;;;2,9;;34,3;;16,7;55,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;34,3;55,8;;;;;;;;0;0;0;Toronto II;0;AMC;1,0
2731869211;4;1;1;0;2;6ubc4y1v6hr63mca7ica4hp90;1;32,5;56,7;2024-10-06T17:05:15.794Z;2024-10-06T17:05:18Z;[{'id': 5274115427, 'qualifierId': 213, 'value': '4.22'}, {'id': 5274115423, 'qualifierId': 141, 'value': '38.7'}, {'id': 5274115421, 'qualifierId': 140, 'value': '26.3'}, {'id': 5274115425, 'qualifierId': 212, 'value': '13.9'}, {'id': 5274115419, 'qualifierId': 56, 'value': 'Back'}];6hhsk7b3rv87zi2i3dpzna3th;J. Paterson;;;kwr1zoais4pulaqepcxi8v84;Pass;;;;;;;;;;4,22;;26,3;;13,9;38,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;26,3;38,7;;;;;;;;0;0;2;Toronto II;2;MC;1,0
2731869255;5;1;1;0;4;6ubc4y1v6hr63mca7ica4hp90;1;25,5;37,0;2024-10-06T17:05:18.044Z;2024-10-06T17:05:20Z;[{'id': 5274115643, 'qualifierId': 140, 'value': '29.2'}, {'id': 5274115647, 'qualifierId': 212, 'value': '12.4'}, {'id': 5274115641, 'qualifierId': 56, 'value': 'Back'}, {'id': 5274115649, 'qualifierId': 213, 'value': '5.03'}, {'id': 5274115645, 'qualifierId': 141, 'value': '19.7'}];9b29l83qhedv79h20lgyu9tqt;B. Tuiloma;;;kwr1zoais4pulaqepcxi8v84;Pass;;;;;;;;;;5,03;;29,2;;12,4;19,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;29,2;19,7;;;;;;;;0;0;4;Toronto II;4;DL;1,0
2731869311;6;1;1;0;7;6ubc4y1v6hr63mca7ica4hp90;1;30,1;19,1;2024-10-06T17:05:20.653Z;2024-10-06T17:05:23Z;[{'id': 5274115887, 'qualifierId': 56, 'value': 'Back'}, {'id': 5274115893, 'qualifierId': 212, 'value': '11.7'}, {'id': 5274115889, 'qualifierId': 140, 'value': '24.5'}, {'id': 5274115895, 'qualifierId': 213, 'value': '2.10'}, {'id': 5274115891, 'qualifierId': 141, 'value': '33.9'}];52rcg38mijjjusfwqxa2l7hex;J. Lindsey;;;kwr1zoais4pulaqepcxi8v84;Pass;;;;;;;;;;2,1;;24,5;;11,7;33,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;24,5;33,9;;;;;;;;0;0;7;Toronto II;7;DR;1,0
2731869413;7;1;1;0;9;6ubc4y1v6hr63mca7ica4hp90;1;25,2;34,5;2024-10-06T17:05:23.200Z;2024-10-06T17:05:28Z;[{'id': 5274116435, 'qualifierId': 141, 'value': '71.4'}, {'id': 5274116441, 'qualifierId': 213, 'value': '1.40'}, {'id': 5274116431, 'qualifierId': 140, 'value': '29.2'}, {'id': 5274116437, 'qualifierId': 212, 'value': '25.4'}, {'id': 5274116429, 'qualifierId': 56, 'value': 'Back'}];9b29l83qhedv79h20lgyu9tqt;B. Tuiloma;;;kwr1zoais4pulaqepcxi8v84;Pass;;;;;;;;;;1,4;;29,2;;25,4;71,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;29,2;71,4;;;;;;;;0;0;9;Toronto II;9;DL;1,0
2731869461;8;1;1;0;14;6ubc4y1v6hr63mca7ica4hp90;1;28,0;72,3;2024-10-06T17:05:27.778Z;2024-10-06T17:05:31Z;[{'id': 5274116683, 'qualifierId': 141, 'value': '43.1'}, {'id': 5274116687, 'qualifierId': 213, 'value': '4.57'}, {'id': 5274116685, 'qualifierId': 212, 'value': '20.1'}, {'id': 5274116681, 'qualifierId': 140, 'value': '25.3'}, {'id': 5274116679, 'qualifierId': 56, 'value': 'Back'}];dkgv1asv2glgvoddpvxe56t5g;João Pedro;;;kwr1zoais4pulaqepcxi8v84;Pass;;;;;;;;;;4,57;;25,3;;20,1;43,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;25,3;43,1;;;;;;;;0;0;14;Toronto II;14;DC;1,0
