id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_Involved;value_Captain;value_TeamKit;value_Resume;value_JerseyNumber;value_TeamFormation;value_TeamPlayerFormation;value_DirectionOfPlay;value_Zone;value_Length;value_Angle;value_PassEndX;value_KickOff;value_PassEndY;value_Chipped;value_LongBall;value_NextEventThrowIn;value_OppositeRelatedEventId;value_NotVisible;value_ThrowIn;value_Launch;value_Head;value_Offensive;value_TakeOnSpace;value_Defensive;value_TouchTypeClearance;value_Right;value_Left;value_CornerTaken;value_RightFooted;value_Cross;value_OutSwinger;value_MediumGkIntervention;value_GkKickFromHands;value_HeadPass;value_DeletedEventType;value_Assist;value_IntentionalAssist;value_FirstTouch;value_Assisted;value_BigChance;value_GkX;value_GkY;value_RelatedEventId;value_SmallBoxCentre;value_BlockedY;value_NotPastGoalLine;value_GoalmouthZ;value_GoalmouthY;value_BlockedX;value_RegularPlay;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_Volley;value_GoalShotGameClock;value_LowLeft;value_Tap;value_BlockedPass;value_TakeOnOvertake;value_IntendedTackleTarget;value_AttemptedTackle;value_Foul;value_Direct;value_FreeKickTaken;value_NotAssisted;value_IndividualPlay;value_LowCentre;value_OutOfBoxCentre;value_Hands;value_LowGkIntervention;value_Stooping;value_Collected;value_KeeperThrow;value_LeftFooted;value_Blocked;value_DefBlock;value_BlockedClearance;value_HighLeft;value_BoxCentre;value_NextEventGoalKick;value_GoalKick;value_Low;value_TouchTypePass;value_Overrun;value_OverArm;value_TouchTypeControl;value_OutOfPlay;value_InSwinger;value_SixYardBlocked;value_FromCorner;value_Defensive1V1;value_Handball;value_1On1;value_ParriedSafe;value_Feet;value_Sliding;value_FlickOn;value_Injury;value_InjuredPlayerId;value_LeadingToGoal;value_LowRight;value_RelatedError1Id;value_FollowsADribble;value_ShirtPull/Holding;value_YellowCard;value_TacticalFoul;value_HighClaim;value_HighGkIntervention;value_SwitchOfPlay;value_SmallBoxRight;value_High;value_SetPiece;value_BoxDeepLeft;value_CloseHigh;value_BoxLeft;value_FastBreak;value_OtherBodyPart;value_PlayersCaughtOffside;value_Indirect;value_TempMissed;value_FantasyAssistType;value_FantasyAssistId;value_FreeKick;value_FantasyAssistedBy;value_FantasyAssistTeam;value_Minutes;value_AerialFoul;value_BlockedCross;value_Deflection;value_EndType;value_Diving;value_ParriedDanger;value_Standing;value_Dissent;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_PullBack;value_BoxRight;value_TimeWasting;value_GkHoof;value_VideoCoverageLost;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2693543187;45;7;1;4;59;8ijkk62897so5r3bq0wgwx4bu;0;62,8;2,6;2024-06-01T02:10:12.591Z;2024-06-07T07:38:49Z;[{'id': 5071164591, 'qualifierId': 385}, {'id': 5063525501, 'qualifierId': 233, 'value': '431'}, {'id': 5063485745, 'qualifierId': 56, 'value': 'Right'}, {'id': 5063485747, 'qualifierId': 285}];5zawuirp825t4brhaj90k9duy;S. Karani;;;d4s4gkd3nmz6m1oiwfrydvfo4;Tackle;;;;;;;;;;;;;;;;;;;431,0;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;0;0;4;59;Tacoma Defiance;299;AMR;1,0
2694937177;929;61;1;5;0;5icuo8utnztpsd9l03gdd68dl;1;25,1;97,4;2024-06-01T02:10:14.170Z;2024-06-07T07:39:08Z;[{'id': 5071164597, 'qualifierId': 56, 'value': 'Back'}];ez0t0pl5qxy0sa3zp1l77sjro;S. Brunell;;;d4s4gkd3nmz6m1oiwfrydvfo4;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;;;;;;;;;0;0;5;0;Ventura County;300;MC;1,0
2693543191;46;5;1;5;1;8ijkk62897so5r3bq0wgwx4bu;1;65,2;-2,0;2024-06-01T02:10:15.007Z;2024-06-01T04:18:05Z;[{'id': 5063485763, 'qualifierId': 347}, {'id': 5063485769, 'qualifierId': 233, 'value': '46'}, {'id': 5063485761, 'qualifierId': 56, 'value': 'Right'}];5zawuirp825t4brhaj90k9duy;S. Karani;;;d4s4gkd3nmz6m1oiwfrydvfo4;Out;;;;;;;;;;;;;;;;;;1,0;46,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;0;0;5;1;Tacoma Defiance;301;AMR;1,0
2693543189;46;5;1;5;1;5icuo8utnztpsd9l03gdd68dl;0;34,8;102,0;2024-06-01T02:10:15.007Z;2024-06-01T02:10:23Z;[{'id': 5063485751, 'qualifierId': 56, 'value': 'Back'}, {'id': 5063485777, 'qualifierId': 233, 'value': '46'}, {'id': 5063485753, 'qualifierId': 347}];e1e506479mqo8j3geie6amuj8;S. Hawkins;;;d4s4gkd3nmz6m1oiwfrydvfo4;Out;;;;;;;;;;;;;;;;;;1,0;46,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;;;;;;;;;0;0;5;1;Ventura County;301;DC;1,0
2693543197;47;1;1;5;9;8ijkk62897so5r3bq0wgwx4bu;1;61,0;0,0;2024-06-01T02:10:22.717Z;2024-06-01T03:08:11Z;[{'id': 5063485793, 'qualifierId': 140, 'value': '39.1'}, {'id': 5063485799, 'qualifierId': 213, 'value': '2.51'}, {'id': 5063485801, 'qualifierId': 1}, {'id': 5063485789, 'qualifierId': 107}, {'id': 5063485791, 'qualifierId': 56, 'value': 'Back'}, {'id': 5063485797, 'qualifierId': 212, 'value': '28.5'}, {'id': 5063485795, 'qualifierId': 141, 'value': '22.8'}, {'id': 5063522305, 'qualifierId': 189}];70e7dozhms3xdkr0n6kas00es;H. Miller;;;d4s4gkd3nmz6m1oiwfrydvfo4;Pass;;;;;;;;;;;28,5;2,51;39,1;;22,8;;1,0;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;39,1;22,8;;;;;;;0;0;5;9;Tacoma Defiance;309;DR;1,0
2693543203;48;1;1;5;10;8ijkk62897so5r3bq0wgwx4bu;1;39,1;22,8;2024-06-01T02:10:24.252Z;2024-06-01T02:10:28Z;[{'id': 5063485831, 'qualifierId': 213, 'value': '1.54'}, {'id': 5063485825, 'qualifierId': 140, 'value': '39.7'}, {'id': 5063485827, 'qualifierId': 141, 'value': '58.7'}, {'id': 5063485829, 'qualifierId': 212, 'value': '24.4'}, {'id': 5063485823, 'qualifierId': 56, 'value': 'Back'}];2vq2t4ttpcwey95jzofd60qy2;C. Klein;;;d4s4gkd3nmz6m1oiwfrydvfo4;Pass;;;;;;;;;;;24,4;1,54;39,7;;58,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;39,7;58,7;;;;;;;0;0;5;10;Tacoma Defiance;310;DL;1,0
2693543207;49;1;1;5;14;8ijkk62897so5r3bq0wgwx4bu;1;45,1;57,6;2024-06-01T02:10:28.141Z;2024-06-01T02:10:29Z;[{'id': 5063485851, 'qualifierId': 140, 'value': '35.3'}, {'id': 5063485853, 'qualifierId': 141, 'value': '38.8'}, {'id': 5063485849, 'qualifierId': 56, 'value': 'Back'}, {'id': 5063485857, 'qualifierId': 213, 'value': '4.03'}, {'id': 5063485855, 'qualifierId': 212, 'value': '16.4'}];e23yyl43xtcve09dx234uuj8;A. Essengue;;;d4s4gkd3nmz6m1oiwfrydvfo4;Pass;;;;;;;;;;;16,4;4,03;35,3;;38,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;35,3;38,8;;;;;;;0;0;5;14;Tacoma Defiance;314;DC;1,0
2693543219;50;1;1;5;16;8ijkk62897so5r3bq0wgwx4bu;1;35,3;38,8;2024-06-01T02:10:29.790Z;2024-06-01T02:10:31Z;[{'id': 5063485901, 'qualifierId': 141, 'value': '65.4'}, {'id': 5063485897, 'qualifierId': 56, 'value': 'Back'}, {'id': 5063485903, 'qualifierId': 212, 'value': '18.7'}, {'id': 5063485899, 'qualifierId': 140, 'value': '30.8'}, {'id': 5063485905, 'qualifierId': 213, 'value': '1.83'}];2vq2t4ttpcwey95jzofd60qy2;C. Klein;;;d4s4gkd3nmz6m1oiwfrydvfo4;Pass;;;;;;;;;;;18,7;1,83;30,8;;65,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;30,8;65,4;;;;;;;0;0;5;16;Tacoma Defiance;316;DL;1,0
2693543227;51;1;1;5;17;8ijkk62897so5r3bq0wgwx4bu;1;30,8;65,4;2024-06-01T02:10:31.445Z;2024-06-01T02:10:36Z;[{'id': 5063485951, 'qualifierId': 56, 'value': 'Back'}, {'id': 5063485955, 'qualifierId': 141, 'value': '92.9'}, {'id': 5063485959, 'qualifierId': 213, 'value': '1.13'}, {'id': 5063485953, 'qualifierId': 140, 'value': '39.3'}, {'id': 5063485957, 'qualifierId': 212, 'value': '20.7'}];e23yyl43xtcve09dx234uuj8;A. Essengue;;;d4s4gkd3nmz6m1oiwfrydvfo4;Pass;;;;;;;;;;;20,7;1,13;39,3;;92,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;39,3;92,9;;;;;;;0;0;5;17;Tacoma Defiance;317;DC;1,0
2693543235;52;1;1;5;21;8ijkk62897so5r3bq0wgwx4bu;1;58,8;93,6;2024-06-01T02:10:34.750Z;2024-06-01T03:08:59Z;[{'id': 5063485997, 'qualifierId': 212, 'value': '7.9'}, {'id': 5063485995, 'qualifierId': 141, 'value': '98.4'}, {'id': 5063485991, 'qualifierId': 56, 'value': 'Left'}, {'id': 5063485999, 'qualifierId': 213, 'value': '0.43'}, {'id': 5063485993, 'qualifierId': 140, 'value': '65.6'}];4blue6g56i3t9iffjcmjs6hhw;R. Dalgado;;;d4s4gkd3nmz6m1oiwfrydvfo4;Pass;;;;;;;;;;;7,9;0,43;65,6;;98,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;65,6;98,4;;;;;;;0;0;5;21;Tacoma Defiance;321;DC;1,0
