id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_TeamKit;value_TeamFormation;value_Resume;value_Involved;value_PlayerPosition;value_TeamPlayerFormation;value_Captain;value_JerseyNumber;value_DirectionOfPlay;value_PassEndY;value_Length;value_Zone;value_KickOff;value_PassEndX;value_Angle;value_HeadPass;value_LongBall;value_Chipped;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Offensive;value_Defensive;value_BlockedPass;value_OutOfPlay;value_IntendedTackleTarget;value_Left;value_IndividualPlay;value_OutOfBoxCentre;value_GkX;value_RegularPlay;value_GkY;value_GoalmouthY;value_RightFooted;value_GoalmouthZ;value_NotAssisted;value_NextEventGoalKick;value_Low;value_GoalKick;value_DeletedEventType;value_SwitchOfPlay;value_Launch;value_AttemptedTackle;value_Foul;value_Direct;value_Assist;value_FreeKickTaken;value_IntentionalAssist;value_Cross;value_RelatedEventId;value_BoxCentre;value_Assisted;value_SetPiece;value_FirstTouch;value_Head;value_NotVisible;value_High;value_FlickOn;value_LayOff;value_CloseRight;value_HighRight;value_BoxDeepLeft;value_LeftFooted;value_BlockedCross;value_Right;value_InSwinger;value_CornerTaken;value_FromCorner;value_HighLeft;value_ThroughBall;value_YellowCard;value_Dissent;value_BlockedClearance;value_Shove/Push;value_FreeKick;value_Blocked;value_BlockedY;value_LowCentre;value_OutOfBoxDeepRight;value_BlockedX;value_DefBlock;value_KeeperThrow;value_Handball;value_BoxRight;value_PullBack;value_BoxLeft;value_IncorrectOutOfPlayDecision;value_DrinksBreak;value_RefereeDelay;value_PlayersCaughtOffside;value_Indirect;value_HighCentre;value_Stooping;value_Hands;value_Collected;value_HighClaim;value_InjuredPlayerId;value_Injury;value_PenaltyTakerId;value_Penalty;value_Scored;value_Diving;value_FantasyAssistType;value_GoalShotTimestamp;value_FantasyAssistTeam;value_BigChance;value_CausingPlayer;value_FantasyAssistId;value_Second(2Nd)OppositeRelatedEventId;value_FantasyAssistedBy;value_GoalShotGameClock;value_FastBreak;value_OutSwinger;value_Minutes;value_Deflection;value_Standing;value_GkKickFromHands;value_CloseHigh;value_DeniedGoalScoringOpp;value_OverhitCross;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_LowLeft;value_ParriedSafe;value_OverArm;value_OwnPlayer;value_OwnShotBlocked;value_CloseLeft;value_TacticalFoul;value_AerialFoul;value_LastLine;value_MisHit;value_Overrun;value_ShirtPull/Holding;value_GoesToPenalties;value_KeeperTouched;value_LowRight;value_Missed;value_Saved;value_HitWoodwork;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2705302013;1;34;16;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-08-02T23:28:07.089Z;2024-08-03T00:24:24Z;[{'id': 5128458257, 'qualifierId': 197, 'value': '12783'}, {'id': 5128427879, 'qualifierId': 130, 'value': '4'}, {'id': 5128427883, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5128427873, 'qualifierId': 30, 'value': '3f52lf1p2xmtzysfi8n18m044, 2vq2t4ttpcwey95jzofd60qy2, 9kahvwswke29dt3uumulbktpm, c7luarkv7hwdspd9xhidhisk4, 4cfvnypovkt900sfxmdhvxtec, tvbjgz0zeq5irumgofxrko44, vhjelesjaxtgjcgfv7yxp2lm, 4oz12ku4mdjsq7y4sgogpwg2y, cqmvrx028gh19yh8qh7w01y0a, 3tkdn8arq1j3il4ako7rcio2y, 9ts3xs5p912m8f3pph7ni9vkk, 78geqjj0pzo2gp7p8xg3q39w, bhhdcubw5vyxzf0lc1fcfftka, 5n0su1a4r7kb7it3ghxbhrf56, a8ngovgs2qfu5udzb97kelg16, 1wa60ccrpw2zqguj4ayeeacyc, 4sw7pq7xhnf7pqii16lhtf7ro, 2gawx03wls5vwtlocjir3u7vu'}, {'id': 5128427875, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5128427881, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5128481915, 'qualifierId': 194, 'value': '3f52lf1p2xmtzysfi8n18m044'}, {'id': 5128427877, 'qualifierId': 59, 'value': '91, 42, 40, 52, 28, 89, 98, 47, 99, 38, 88, 37, 31, 35, 39, 74, 77, 90'}];;;;edzlyy9z5g4tf6yhbzd73t9uc;Team set up;12783,0;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;;0;0;0;Vancouver Whitecaps II;0;;
2705303257;1;34;16;0;0;eo64tqkioegeb09iice2hf8bt;1;0,0;0,0;2024-08-02T23:39:26.462Z;2024-08-03T00:09:55Z;[{'id': 5128437597, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'id': 5128437595, 'qualifierId': 130, 'value': '19'}, {'id': 5128437591, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5'}, {'id': 5128464247, 'qualifierId': 194, 'value': '5et4reh22bzqjp1wcr5sqldnu'}, {'id': 5128437593, 'qualifierId': 59, 'value': '50, 91, 54, 53, 95, 51, 49, 62, 97, 52, 96, 44, 48, 56, 90, 71, 72'}, {'id': 5128458113, 'qualifierId': 197, 'value': '3399'}, {'id': 5128437589, 'qualifierId': 30, 'value': '6cdhdb44atdm9b3n7swgi002y, f3ubwnzi6mfp8kzaazre3sro4, 249t35evpr3aasx0uczjs2j9w, 5et4reh22bzqjp1wcr5sqldnu, 4y4mypo5jyzbp0dtvm6y7ajxm, bsufynk2wfvpz40nrndah1kb8, 4lyhopb6ddaz08hd5tu2pos9g, 9gktbx1ux7xxmjklqxjr84844, 9b02cix263jvavj538nkj3m6s, 84wint64ygxx3pi5fz3mr12j8, 2mdvkj8gcfmn6wve50ewfi7mc, 5n7a8mn92t3qajms7udeolmok, 8hf35b309tq3wuc59xgshmbro, 57yplpr6jgwlqoon231ydqp04, 5f17sgbv50uijg07qvpnejk0k, 1l7dyv7n5ndr2scmxnoraxmhg, snmydxfhvhii9p84nabor1uc'}, {'id': 5128437599, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;edzlyy9z5g4tf6yhbzd73t9uc;Team set up;3399,0;19,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;away;;;;;;;;;;0;0;0;Sporting KC II;0;;
2705308249;2;32;1;0;0;eo64tqkioegeb09iice2hf8bt;1;0,0;0,0;2024-08-03T00:04:52.563Z;2024-08-03T00:04:52Z;[{'id': 5128458391, 'qualifierId': 127, 'value': 'Left to Right'}];;;;edzlyy9z5g4tf6yhbzd73t9uc;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;away;;;;;;;;;;0;0;0;Sporting KC II;0;;
2705308251;2;32;1;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-08-03T00:04:52.563Z;2024-08-03T00:04:55Z;[{'id': 5128458399, 'qualifierId': 127, 'value': 'Right to Left'}];;;;edzlyy9z5g4tf6yhbzd73t9uc;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;;0;0;0;Vancouver Whitecaps II;0;;
2705308259;3;1;1;0;0;7fbej4xwoq4imaf5l39304m37;1;50,0;50,0;2024-08-03T00:04:52.564Z;2024-08-03T00:04:56Z;[{'id': 5128458429, 'qualifierId': 141, 'value': '33.9'}, {'id': 5128458431, 'qualifierId': 212, 'value': '19.3'}, {'id': 5128458425, 'qualifierId': 56, 'value': 'Back'}, {'id': 5128458435, 'qualifierId': 279, 'value': 'S'}, {'id': 5128458427, 'qualifierId': 140, 'value': '34.9'}, {'id': 5128458433, 'qualifierId': 213, 'value': '3.75'}];cqmvrx028gh19yh8qh7w01y0a;R. Avila;;edzlyy9z5g4tf6yhbzd73t9uc;Pass;;;;;;;;;;33,9;19,3;;;34,9;3,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;34,9;33,9;;;;;;;;0;0;0;Vancouver Whitecaps II;0;FW;1,0
2705308263;4;1;1;0;4;7fbej4xwoq4imaf5l39304m37;1;34,5;33,1;2024-08-03T00:04:56.611Z;2024-08-03T00:04:58Z;[{'id': 5128458459, 'qualifierId': 213, 'value': '4.46'}, {'id': 5128458453, 'qualifierId': 140, 'value': '29.7'}, {'id': 5128458451, 'qualifierId': 56, 'value': 'Back'}, {'id': 5128458455, 'qualifierId': 141, 'value': '4.7'}, {'id': 5128458457, 'qualifierId': 212, 'value': '20.0'}];vhjelesjaxtgjcgfv7yxp2lm;S. Cruz;;edzlyy9z5g4tf6yhbzd73t9uc;Pass;;;;;;;;;;4,7;20,0;;;29,7;4,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;29,7;4,7;;;;;;;;0;0;4;Vancouver Whitecaps II;4;MC;1,0
2705308271;5;1;1;0;5;7fbej4xwoq4imaf5l39304m37;1;29,7;4,7;2024-08-03T00:04:58.036Z;2024-08-03T00:05:00Z;[{'id': 5128458505, 'qualifierId': 140, 'value': '38.3'}, {'id': 5128458509, 'qualifierId': 212, 'value': '14.6'}, {'id': 5128458507, 'qualifierId': 141, 'value': '21.6'}, {'id': 5128458503, 'qualifierId': 56, 'value': 'Back'}, {'id': 5128458511, 'qualifierId': 213, 'value': '0.90'}];2vq2t4ttpcwey95jzofd60qy2;C. Klein;;edzlyy9z5g4tf6yhbzd73t9uc;Pass;;;;;;;;;;21,6;14,6;;;38,3;0,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;38,3;21,6;;;;;;;;0;0;5;Vancouver Whitecaps II;5;DR;1,0
2705308273;6;61;1;0;7;7fbej4xwoq4imaf5l39304m37;0;41,8;12,6;2024-08-03T00:05:00.212Z;2024-08-03T00:05:00Z;[{'id': 5128458515, 'qualifierId': 56, 'value': 'Back'}];vhjelesjaxtgjcgfv7yxp2lm;S. Cruz;;edzlyy9z5g4tf6yhbzd73t9uc;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;;0;0;7;Vancouver Whitecaps II;7;MC;1,0
2705308281;3;61;1;0;10;eo64tqkioegeb09iice2hf8bt;0;59,9;76,1;2024-08-03T00:05:02.801Z;2024-08-03T00:57:05Z;[{'id': 5128458571, 'qualifierId': 56, 'value': 'Center'}];9gktbx1ux7xxmjklqxjr84844;L. Chen;;edzlyy9z5g4tf6yhbzd73t9uc;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;away;;;;;;;;;;0;0;10;Sporting KC II;10;;1,0
2705308289;7;1;1;0;11;7fbej4xwoq4imaf5l39304m37;0;48,4;3,2;2024-08-03T00:05:04.404Z;2024-08-03T00:05:05Z;[{'id': 5128458617, 'qualifierId': 140, 'value': '60.4'}, {'id': 5128458623, 'qualifierId': 213, 'value': '0.06'}, {'id': 5128458615, 'qualifierId': 56, 'value': 'Right'}, {'id': 5128458621, 'qualifierId': 212, 'value': '12.6'}, {'id': 5128458619, 'qualifierId': 141, 'value': '4.4'}];vhjelesjaxtgjcgfv7yxp2lm;S. Cruz;;edzlyy9z5g4tf6yhbzd73t9uc;Pass;;;;;;;;;;4,4;12,6;;;60,4;0,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;60,4;4,4;;;;;;;;0;0;11;Vancouver Whitecaps II;11;MC;1,0
