id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_JerseyNumber;value_Resume;value_TeamPlayerFormation;value_Captain;value_TeamFormation;value_TeamKit;value_PlayerPosition;value_Involved;value_DirectionOfPlay;value_PassEndY;value_PassEndX;value_KickOff;value_Angle;value_Length;value_Zone;value_LongBall;value_Launch;value_TouchTypeClearance;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Offensive;value_DeletedEventType;value_OutOfPlay;value_Direct;value_Foul;value_Shove/Push;value_Defensive;value_FreeKickTaken;value_SwitchOfPlay;value_Chipped;value_BlockedPass;value_TakeOnSpace;value_TouchTypeControl;value_IntentionalAssist;value_Assist;value_RegularPlay;value_BoxCentre;value_GoalmouthY;value_GoalShotGameClock;value_GkY;value_FirstTouch;value_LowCentre;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_GkX;value_GoalmouthZ;value_RelatedEventId;value_Assisted;value_RightFooted;value_BigChance;value_KeeperTouched;value_TakeOnOvertake;value_IntendedTackleTarget;value_ShirtPull/Holding;value_Injury;value_InjuredPlayerId;value_Head;value_LayOff;value_OutSwinger;value_Cross;value_BlockedCross;value_NextEventGoalKick;value_NotVisible;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_GoalKick;value_Low;value_HeadPass;value_PlayersCaughtOffside;value_Indirect;value_PenaltyTakerId;value_AttemptedTackle;value_Penalty;value_LeftFooted;value_FantasyAssistType;value_NotAssisted;value_FantasyAssistTeam;value_FantasyAssistedBy;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_LowLeft;value_FantasyAssistId;value_Left;value_Diving;value_Scored;value_SavedOffLine;value_Blocked;value_BlockedY;value_BlockedX;value_SixYardBlocked;value_DefBlock;value_LastLine;value_BoxLeft;value_Right;value_OverhitCross;value_CornerTaken;value_NotPastGoalLine;value_ThroughBall;value_DrivenCross;value_Straight;value_InSwinger;value_TempShotOn;value_Standing;value_Hands;value_Collected;value_Overrun;value_BoxRight;value_LowGkIntervention;value_KeeperThrow;value_FlickOn;value_TouchTypePass;value_HighRight;value_HitBar;value_OutOfBoxCentre;value_HitWoodwork;value_IndividualPlay;value_Fingertip;value_HighGkIntervention;value_FromCorner;value_Volley;value_Weak;value_HighCentre;value_MediumGkIntervention;value_OverArm;value_YellowCard;value_RecklessOffence;value_Minutes;value_High;value_EndType;value_Tactical;value_RefereeDelay;value_OtherReason;value_RefereeStop;value_GkKickFromHands;value_DangerousPlay;value_HighClaim;value_CloseRight;value_HighLeft;value_SetPiece;value_Stooping;value_ParriedDanger;value_Feet;value_FollowsShotRebound;value_Deflection;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2717131785;1;34;16;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-09-02T22:07:28.539Z;2024-09-02T23:34:10Z;[{'id': 5193508371, 'qualifierId': 59, 'value': '1, 2, 3, 6, 14, 5, 18, 30, 32, 77, 19, 11, 9, 25, 8, 20, 17, 7, 4'}, {'id': 5193508377, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5193508375, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5193511513, 'qualifierId': 194, 'value': '2yxzh220ndd4s4wqditruo0h6'}, {'id': 5193508373, 'qualifierId': 130, 'value': '4'}, {'id': 5193583841, 'qualifierId': 197, 'value': '23347'}, {'id': 5193508369, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5193508367, 'qualifierId': 30, 'value': '81a5mbcfvbxke0w3cbq65ld2i, 8ly83pm2mbtz4u7jwsv0o96qy, 9nlw8tihbzfnvkt5uproa79jo, 2yxzh220ndd4s4wqditruo0h6, 7u1lf62rqlgzban2dwy6c1rmc, d0riqrsz7ojwb9m94rbvx7r6y, ov91zkisppven9tp72gfbjf8, 7m5wyvhq876dyap45egqs2tjo, elvrjpt1jlko4henaqvfid7o4, 4o2lk5bkmyxe8ji3lqjo69qtw, 3cbmr8hg3kszw5wl04p3ol27e, 4wgjayv8s85dueh5l88im6lwq, 4521gkm1oemvrfsgksz7b6zxm, 9yldym4386a2icfk6qb6i90r8, 7nxqbiq6fics5w3qnwhz249as, dcypf9mqtlcn5wetj1z7g3mui, 35ds2xu43z6jccyhlr8jsomzu, 53ufl7f1lbwnr7klx9ofxufbo, ec3xdenc4ncg4sc8ni4kkyln8'}];;;;;f3d45kvur76bbj9ergh1luplg;Team set up;;;;;4,0;23347,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;;0;0;0;St. Louis City II;0;;
2717132341;1;34;16;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-09-02T22:10:22.395Z;2024-09-02T23:19:15Z;[{'id': 5193511891, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5193583877, 'qualifierId': 197, 'value': '15030'}, {'id': 5193511881, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5193511889, 'qualifierId': 194, 'value': '5jigl7kp5d2i5ws1602jm7n1m'}, {'id': 5193511887, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5193511885, 'qualifierId': 130, 'value': '8'}, {'id': 5193511883, 'qualifierId': 59, 'value': '31, 64, 33, 85, 3, 72, 41, 98, 80, 46, 59, 55, 53, 94, 56, 49, 61, 78, 97, 65'}, {'id': 5193511879, 'qualifierId': 30, 'value': 'brbc088u7sq9wh9d9gkonn5gq, 632mpv8dpnxjm69f8ip1e4l5g, 2dqtrnq0k1fphyw71yh41gvtg, e9jko5f45qmjw3va7cp05l5w4, emzxhx2ki2r67c5l33hfv8844, bbnk87q7t8pahznohwjjcvu5m, 5jigl7kp5d2i5ws1602jm7n1m, 1extjwx4b7nlpu8fm6526dsrt, f2nvagw4mjjpn1ytj6rdl5ene, 9k050zmkegfu3gdw2b4g4uwwk, 9gswafduy82n4o6f0uk0khhck, 37vbc16ejxmfkssydcdxq69zo, 5xz7ooniokkcu9a1p8diq74t0, 4eh46qse8ocmutobremniuolw, 92oqt9q51us5rpmqmvvrdso6i, 3dyn7hheqvs3gm3m84jrra9lg, c51ttt2cn2mguvgay18wfgzdg, a7g8qfuyirsvuux6f2ffmyyok, 1b1vsi0l9xd0xy42q4p1bdk44, 4ke1e5h3gt66su5fs4bk74178'}];;;;;f3d45kvur76bbj9ergh1luplg;Team set up;;;;;8,0;15030,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;;0;0;0;Austin II;0;;
2717145495;2;32;1;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-09-02T23:03:39.727Z;2024-09-02T23:03:41Z;[{'id': 5193584179, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;f3d45kvur76bbj9ergh1luplg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;;0;0;0;St. Louis City II;0;;
2717145501;2;32;1;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-09-02T23:03:39.727Z;2024-09-06T16:18:55Z;[{'id': 5193584207, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;f3d45kvur76bbj9ergh1luplg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;;0;0;0;Austin II;0;;
2717145517;3;1;1;0;0;dqx48fglv1l96cyrmjdod0xec;1;50,5;50,1;2024-09-02T23:03:39.728Z;2024-09-02T23:03:43Z;[{'id': 5193584285, 'qualifierId': 141, 'value': '47.6'}, {'id': 5193584283, 'qualifierId': 140, 'value': '30.6'}, {'id': 5193584291, 'qualifierId': 279, 'value': 'S'}, {'id': 5193584289, 'qualifierId': 213, 'value': '3.22'}, {'id': 5193584287, 'qualifierId': 212, 'value': '21.0'}, {'id': 5193584281, 'qualifierId': 56, 'value': 'Back'}];5jigl7kp5d2i5ws1602jm7n1m;J. Klein;;;f3d45kvur76bbj9ergh1luplg;Pass;;;;;;;;;;47,6;30,6;;3,22;21,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;30,6;47,6;;;;;;;;0;0;0;Austin II;0;AMR;1,0
2717145543;4;1;1;0;3;dqx48fglv1l96cyrmjdod0xec;0;30,9;47,8;2024-09-02T23:03:43.311Z;2024-09-02T23:03:48Z;[{'id': 5193584415, 'qualifierId': 56, 'value': 'Left'}, {'id': 5193584425, 'qualifierId': 1}, {'id': 5193584419, 'qualifierId': 141, 'value': '91.1'}, {'id': 5193584417, 'qualifierId': 140, 'value': '71.1'}, {'id': 5193584421, 'qualifierId': 212, 'value': '51.5'}, {'id': 5193584423, 'qualifierId': 213, 'value': '0.61'}, {'id': 5193584413, 'qualifierId': 157}];emzxhx2ki2r67c5l33hfv8844;J. Girdwood-Reich;;;f3d45kvur76bbj9ergh1luplg;Pass;;;;;;;;;;91,1;71,1;;0,61;51,5;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;71,1;91,1;;;;;;;;0;0;3;Austin II;3;DL;1,0
2717145555;3;8;1;0;7;d0c07im4a6oj8qa7f1zlt3pqs;1;25,8;5,4;2024-09-02T23:03:46.941Z;2024-09-06T16:51:20Z;[{'id': 5197551977, 'qualifierId': 385}, {'id': 5193584473, 'qualifierId': 56, 'value': 'Back'}];8ly83pm2mbtz4u7jwsv0o96qy;C. Touré;;;f3d45kvur76bbj9ergh1luplg;Interception;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;;0;0;7;St. Louis City II;7;DR;1,0
2717145563;4;5;1;0;8;d0c07im4a6oj8qa7f1zlt3pqs;0;33,2;-1,1;2024-09-02T23:03:47.727Z;2024-09-03T00:37:15Z;[{'id': 5193584509, 'qualifierId': 347}, {'id': 5193584507, 'qualifierId': 56, 'value': 'Back'}, {'id': 5193707059, 'qualifierId': 233, 'value': '353'}];8ly83pm2mbtz4u7jwsv0o96qy;C. Touré;;;f3d45kvur76bbj9ergh1luplg;Out;;;;;;;;;;;;;;;;;;;1,0;353,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;;0;0;8;St. Louis City II;8;DR;1,0
2717167743;353;5;1;0;8;dqx48fglv1l96cyrmjdod0xec;1;66,8;101,1;2024-09-02T23:03:47.727Z;2024-09-03T00:37:15Z;[{'id': 5193707033, 'qualifierId': 56, 'value': 'Left'}, {'id': 5193707035, 'qualifierId': 347}, {'id': 5193707051, 'qualifierId': 233, 'value': '4'}];brbc088u7sq9wh9d9gkonn5gq;C. Olivares;;;f3d45kvur76bbj9ergh1luplg;Out;;;;;;;;;;;;;;;;;;;1,0;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;;0;0;8;Austin II;8;GK;1,0
2717145601;5;1;1;0;12;dqx48fglv1l96cyrmjdod0xec;1;70,7;100,0;2024-09-02T23:03:51.872Z;2024-09-02T23:59:44Z;[{'id': 5193584693, 'qualifierId': 56, 'value': 'Left'}, {'id': 5193584701, 'qualifierId': 213, 'value': '5.99'}, {'id': 5193707045, 'qualifierId': 107}, {'id': 5193584697, 'qualifierId': 141, 'value': '96.3'}, {'id': 5193584699, 'qualifierId': 212, 'value': '13.0'}, {'id': 5193584695, 'qualifierId': 140, 'value': '82.6'}];2dqtrnq0k1fphyw71yh41gvtg;T. Pearce;;;f3d45kvur76bbj9ergh1luplg;Pass;;;;;;;;;;96,3;82,6;;5,99;13,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;82,6;96,3;;;;;;;;0;0;12;Austin II;12;DC;1,0
