id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_Resume;value_Involved;value_TeamPlayerFormation;value_JerseyNumber;value_TeamFormation;value_TeamKit;value_Captain;value_PlayerPosition;value_DirectionOfPlay;value_Angle;value_KickOff;value_Length;value_PassEndY;value_PassEndX;value_Zone;value_Launch;value_LongBall;value_HeadPass;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_BlockedPass;value_IntendedTackleTarget;value_NextEventGoalKick;value_GoalKick;value_Low;value_Chipped;value_LayOff;value_NextEventThrowIn;value_ThrowIn;value_DeletedEventType;value_Direct;value_ShirtPull/Holding;value_Foul;value_FreeKickTaken;value_AttemptedTackle;value_LeadingToGoal;value_RegularPlay;value_IntentionalAssist;value_PullBack;value_Assist;value_LowCentre;value_Assisted;value_GoalShotTimestamp;value_GkX;value_RelatedError1Id;value_BigChance;value_SmallBoxCentre;value_GoalShotGameClock;value_LeftFooted;value_GoalmouthY;value_RelatedEventId;value_GoalmouthZ;value_GkY;value_BlockedY;value_Blocked;value_LowLeft;value_RightFooted;value_BoxCentre;value_BlockedX;value_IndividualPlay;value_DefBlock;value_ThroughBall;value_Left;value_BoxLeft;value_NotVisible;value_OutOfBoxCentre;value_Diving;value_Hands;value_ParriedDanger;value_Cross;value_Head;value_OutOfPlay;value_YellowCard;value_TacticalFoul;value_FlickOn;value_SwitchOfPlay;value_Stooping;value_Collected;value_KeeperThrow;value_BoxRight;value_Feet;value_ParriedSafe;value_NotAssisted;value_InSwinger;value_CornerTaken;value_LeadingToAttempt;value_Weak;value_HighCentre;value_Standing;value_OverArm;value_HighLeft;value_Fingertip;value_Reaching;value_BlockedClearance;value_FirstTouch;value_FromCorner;value_Volley;value_Right;value_OutSwinger;value_CloseRight;value_PlayersCaughtOffside;value_Indirect;value_Minutes;value_EndType;value_HighClaim;value_FantasyAssistType;value_FantasyAssistTeam;value_FantasyAssistedBy;value_FantasyAssistId;value_LowRight;value_FollowsADribble;value_SixYardBlocked;value_Shove/Push;value_AerialFoul;value_RecklessOffence;value_Injury;value_InjuredPlayerId;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_HitBar;value_HitWoodwork;value_Overrun;value_Penalty;value_PenaltyTakerId;value_Scored;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_OverhitCross;value_BoxDeepRight;value_GkKickFromHands;value_CloseLeft;value_High;value_BlockedCross;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2705334737;476;1;1;1;33;5b4ccd62yeeqdl2qk6jzsmjv8;1;55,9;95,9;2024-08-03T01:04:07.292Z;2024-08-03T01:59:58Z;[{'id': 5128607781, 'qualifierId': 141, 'value': '87.8'}, {'id': 5128607777, 'qualifierId': 56, 'value': 'Back'}, {'id': 5128607785, 'qualifierId': 213, 'value': '3.54'}, {'id': 5128607783, 'qualifierId': 212, 'value': '14.1'}, {'id': 5128607779, 'qualifierId': 140, 'value': '43.5'}];9jy9vyn7y1bomsbjhjujynb4k;N. Rincon;;;eeeqvkopx0182sckud7djm7f8;Pass;;;;;;;;;;3,54;;14,1;87,8;43,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;43,5;87,8;;;;;;;;0;1;33;New York City II;93;MC;1,0
2705319931;21;1;1;1;35;5b4ccd62yeeqdl2qk6jzsmjv8;1;32,8;83,9;2024-08-03T01:04:09.867Z;2024-08-03T02:00:35Z;[{'id': 5128525587, 'qualifierId': 140, 'value': '55.9'}, {'id': 5128525589, 'qualifierId': 141, 'value': '97.1'}, {'id': 5128525585, 'qualifierId': 56, 'value': 'Left'}, {'id': 5128525593, 'qualifierId': 213, 'value': '0.35'}, {'id': 5128525591, 'qualifierId': 212, 'value': '25.9'}];ba9m1xd2b3b2zvuuogn4uxkwk;C. Rogers;;;eeeqvkopx0182sckud7djm7f8;Pass;;;;;;;;;;0,35;;25,9;97,1;55,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;55,9;97,1;;;;;;;;0;1;35;New York City II;95;DC;1,0
2705319933;22;49;1;1;37;5b4ccd62yeeqdl2qk6jzsmjv8;1;55,9;97,1;2024-08-03T01:04:11.995Z;2024-08-03T01:04:12Z;[];4nvz6yrxluelbpsjavcjtgnx0;T. Brown;;;eeeqvkopx0182sckud7djm7f8;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;;;;;;;;;;0;1;37;New York City II;97;DML;1,0
2705319939;23;1;1;1;38;5b4ccd62yeeqdl2qk6jzsmjv8;1;55,9;97,1;2024-08-03T01:04:12.555Z;2024-08-03T01:04:14Z;[{'id': 5128525623, 'qualifierId': 141, 'value': '87.1'}, {'id': 5128525625, 'qualifierId': 212, 'value': '10.6'}, {'id': 5128525619, 'qualifierId': 56, 'value': 'Back'}, {'id': 5128525621, 'qualifierId': 140, 'value': '48.2'}, {'id': 5128525627, 'qualifierId': 213, 'value': '3.84'}];4nvz6yrxluelbpsjavcjtgnx0;T. Brown;;;eeeqvkopx0182sckud7djm7f8;Pass;;;;;;;;;;3,84;;10,6;87,1;48,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;48,2;87,1;;;;;;;;0;1;38;New York City II;98;DML;1,0
2705319941;24;1;1;1;39;5b4ccd62yeeqdl2qk6jzsmjv8;1;48,2;87,1;2024-08-03T01:04:13.915Z;2024-08-03T02:00:43Z;[{'id': 5128525639, 'qualifierId': 212, 'value': '15.2'}, {'id': 5128525637, 'qualifierId': 141, 'value': '93.5'}, {'id': 5128525641, 'qualifierId': 213, 'value': '2.85'}, {'id': 5128525635, 'qualifierId': 140, 'value': '34.3'}, {'id': 5128525633, 'qualifierId': 56, 'value': 'Back'}];37zynr7fwzqg4c9w5ydefywyy;A. González;;;eeeqvkopx0182sckud7djm7f8;Pass;;;;;;;;;;2,85;;15,2;93,5;34,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;34,3;93,5;;;;;;;;0;1;39;New York City II;99;MC;1,0
2705319947;25;1;1;1;41;5b4ccd62yeeqdl2qk6jzsmjv8;1;34,2;93,5;2024-08-03T01:04:15.499Z;2024-08-03T01:04:18Z;[{'id': 5128525667, 'qualifierId': 140, 'value': '27.7'}, {'id': 5128525669, 'qualifierId': 141, 'value': '57.0'}, {'id': 5128525665, 'qualifierId': 56, 'value': 'Back'}, {'id': 5128525673, 'qualifierId': 213, 'value': '4.44'}, {'id': 5128525671, 'qualifierId': 212, 'value': '25.7'}];a12t1zv0y8gzzf6p3jrotkoic;O. Presthus;;;eeeqvkopx0182sckud7djm7f8;Pass;;;;;;;;;;4,44;;25,7;57,0;27,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;27,7;57,0;;;;;;;;0;1;41;New York City II;101;DC;1,0
2705319961;26;1;1;1;43;5b4ccd62yeeqdl2qk6jzsmjv8;1;27,7;57,0;2024-08-03T01:04:18.042Z;2024-08-03T01:04:25Z;[{'id': 5128525779, 'qualifierId': 140, 'value': '29.2'}, {'id': 5128525781, 'qualifierId': 141, 'value': '28.6'}, {'id': 5128525783, 'qualifierId': 212, 'value': '19.4'}, {'id': 5128525785, 'qualifierId': 213, 'value': '4.79'}, {'id': 5128525777, 'qualifierId': 56, 'value': 'Back'}];ba9m1xd2b3b2zvuuogn4uxkwk;C. Rogers;;;eeeqvkopx0182sckud7djm7f8;Pass;;;;;;;;;;4,79;;19,4;28,6;29,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;29,2;28,6;;;;;;;;0;1;43;New York City II;103;DC;1,0
2705319963;27;1;1;1;50;5b4ccd62yeeqdl2qk6jzsmjv8;1;29,2;28,6;2024-08-03T01:04:24.955Z;2024-08-03T01:04:26Z;[{'id': 5128525809, 'qualifierId': 213, 'value': '1.56'}, {'id': 5128525807, 'qualifierId': 212, 'value': '18.7'}, {'id': 5128525803, 'qualifierId': 140, 'value': '29.4'}, {'id': 5128525805, 'qualifierId': 141, 'value': '56.1'}, {'id': 5128525801, 'qualifierId': 56, 'value': 'Back'}];cc7auv8d89ohifqg7qwz62mwa;J. Greene;;;eeeqvkopx0182sckud7djm7f8;Pass;;;;;;;;;;1,56;;18,7;56,1;29,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;29,4;56,1;;;;;;;;0;1;50;New York City II;110;DC;1,0
2705319969;28;1;1;1;52;5b4ccd62yeeqdl2qk6jzsmjv8;1;29,4;56,1;2024-08-03T01:04:26.843Z;2024-08-03T01:04:29Z;[{'id': 5128525839, 'qualifierId': 56, 'value': 'Back'}, {'id': 5128525843, 'qualifierId': 141, 'value': '79.4'}, {'id': 5128525845, 'qualifierId': 212, 'value': '17.9'}, {'id': 5128525841, 'qualifierId': 140, 'value': '37.3'}, {'id': 5128525847, 'qualifierId': 213, 'value': '1.09'}];ba9m1xd2b3b2zvuuogn4uxkwk;C. Rogers;;;eeeqvkopx0182sckud7djm7f8;Pass;;;;;;;;;;1,09;;17,9;79,4;37,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;37,3;79,4;;;;;;;;0;1;52;New York City II;112;DC;1,0
2705319973;29;1;1;1;55;5b4ccd62yeeqdl2qk6jzsmjv8;1;37,1;79,6;2024-08-03T01:04:29.642Z;2024-08-03T01:04:31Z;[{'id': 5128525863, 'qualifierId': 56, 'value': 'Back'}, {'id': 5128525865, 'qualifierId': 140, 'value': '30.4'}, {'id': 5128525871, 'qualifierId': 213, 'value': '4.13'}, {'id': 5128525867, 'qualifierId': 141, 'value': '64.0'}, {'id': 5128525869, 'qualifierId': 212, 'value': '12.7'}];a12t1zv0y8gzzf6p3jrotkoic;O. Presthus;;;eeeqvkopx0182sckud7djm7f8;Pass;;;;;;;;;;4,13;;12,7;64,0;30,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;away;30,4;64,0;;;;;;;;0;1;55;New York City II;115;DC;1,0
