id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_TeamPlayerFormation;value_Captain;value_TeamFormation;value_Resume;value_JerseyNumber;value_PlayerPosition;value_Involved;value_DirectionOfPlay;value_PassEndX;value_Zone;value_KickOff;value_Length;value_PassEndY;value_Angle;value_TouchTypePass;value_OppositeRelatedEventId;value_Offensive;value_DeletedEventType;value_BlockedPass;value_Defensive;value_NextEventThrowIn;value_ThrowIn;value_LongBall;value_Launch;value_Chipped;value_TouchTypeClearance;value_Shove/Push;value_Foul;value_Direct;value_FreeKickTaken;value_IntendedTackleTarget;value_HeadPass;value_Handball;value_AttemptedTackle;value_OutSwinger;value_LeftFooted;value_Cross;value_RightFooted;value_BlockedCross;value_Left;value_Right;value_CornerTaken;value_OverhitCross;value_InSwinger;value_NextEventGoalKick;value_Low;value_GoalKick;value_LayOff;value_Assist;value_IntentionalAssist;value_Head;value_GoalmouthY;value_GoalmouthZ;value_BoxCentre;value_GkY;value_Assisted;value_FirstTouch;value_RelatedEventId;value_GkX;value_SetPiece;value_CloseRight;value_NotVisible;value_HighGkIntervention;value_HighClaim;value_KeeperThrow;value_IndividualPlay;value_OutOfBoxCentre;value_High;value_RegularPlay;value_TouchTypeControl;value_TakeOnSpace;value_OwnPlayer;value_BlockedX;value_LowCentre;value_Blocked;value_BlockedY;value_BoxRight;value_LowRight;value_Volley;value_Diving;value_Collected;value_LowGkIntervention;value_Hands;value_TakeOnOvertake;value_SwerveLeft;value_SwitchOfPlay;value_DefBlock;value_LowLeft;value_SmallBoxLeft;value_MisHit;value_BigChance;value_CloseLeft;value_FlickOn;value_BoxLeft;value_MediumGkIntervention;value_OutOfPlay;value_InjuredPlayerId;value_Injury;value_Overrun;value_ShirtPull/Holding;value_RecklessOffence;value_YellowCard;value_SecondYellow;value_CoachId;value_Dissent;value_Straight;value_DrivenCross;value_PlayersCaughtOffside;value_Indirect;value_OverArm;value_LeadingToAttempt;value_SixYardBlocked;value_SavedOffLine;value_1On1;value_LastLine;value_Minutes;value_NotPastGoalLine;value_FromCorner;value_Stooping;value_VideoCoverageLost;value_EndType;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_GkHoof;value_GkKickFromHands;value_SwerveMoving;value_ParriedDanger;value_FollowsShotRebound;value_SmallBoxCentre;value_NotAssisted;value_TacticalFoul;value_HitRightPost;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_GoalShotGameClock;value_GkYTimeOfGoal;value_HitWoodwork;value_SwerveRight;value_HighRight;value_FreeKick;value_ByWall;value_FastBreak;value_SoloRun;value_IncorrectOutOfPlayDecision;value_ThroughBall;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2724773349;1;34;16;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-09-22T21:19:33.541Z;2024-09-22T22:11:46Z;[{'id': 5235484655, 'qualifierId': 197, 'value': '15002'}, {'id': 5235314373, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5235510561, 'qualifierId': 194, 'value': '9ulwk81vyj5rbz88h62i2ejv8'}, {'id': 5235314371, 'qualifierId': 130, 'value': '8'}, {'id': 5235314375, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5235314369, 'qualifierId': 59, 'value': '31, 33, 70, 98, 50, 72, 41, 49, 61, 85, 59, 55, 64, 43, 80, 56, 42, 65'}, {'id': 5235314367, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5235314365, 'qualifierId': 30, 'value': 'brbc088u7sq9wh9d9gkonn5gq, 2dqtrnq0k1fphyw71yh41gvtg, cnskozf15ladiqa70l9uo920a, 1extjwx4b7nlpu8fm6526dsrt, 9ulwk81vyj5rbz88h62i2ejv8, bbnk87q7t8pahznohwjjcvu5m, 5jigl7kp5d2i5ws1602jm7n1m, 3dyn7hheqvs3gm3m84jrra9lg, c51ttt2cn2mguvgay18wfgzdg, e9jko5f45qmjw3va7cp05l5w4, 9gswafduy82n4o6f0uk0khhck, 37vbc16ejxmfkssydcdxq69zo, 632mpv8dpnxjm69f8ip1e4l5g, dpedfgxin5nc4qmziaokpmiy2, f2nvagw4mjjpn1ytj6rdl5ene, 92oqt9q51us5rpmqmvvrdso6i, 276kl5oc1k19y1linbxml0xec, 4ke1e5h3gt66su5fs4bk74178'}];;;;;b3741ns3c8mwwsubdqsbe3v8;Team set up;15002,0;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;0;0;The Town;0;;
2724774475;1;34;16;0;0;ew2zirzye0sw1txr2m33nr25y;1;0,0;0,0;2024-09-22T21:21:05.337Z;2024-09-27T18:20:27Z;[{'id': 5235320005, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5235484487, 'qualifierId': 197, 'value': '23745'}, {'id': 5235319997, 'qualifierId': 59, 'value': '41, 45, 72, 99, 66, 77, 64, 38, 60, 71, 52, 54, 58, 53, 2, 63, 78, 51, 93, 96'}, {'id': 5235320009, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5235319991, 'qualifierId': 30, 'value': '71y61qa3ywym9sa89dpkzfcyy, 4h8dml0qrwpqza4kqazp5dnqi, 3q8dpwqkikbugz3ikwcmkbg4q, 5n1wehugx0qtun8oopg2jbndg, dqa88ma3jbk33lsyzo45uy2cq, 79z5vt08ga8prn33vi2a260kq, dhrxi7hj8xh15ky7q6u5wqi5m, 1on6mxrbdqnh12s4h1y0vb3mc, 1bmbt6h6bsiimpzxt07cqwfvu, 7jtxek694d60c5udhyv0zsjro, cac9hjmdwt1gsz0qt3f6d4b2s, bpfl7nj8llr3dfadhtju52rro, 4nzrv75trp05nqos781kk62hg, 3514h23j8mh5m37hsg90245ck, 658wqca9ctixqav113prm06ei, 35jkg2v338kipzlf0iwvvypuy, f2nxaemhqi8kbtbejnqekgd4a, 23j7p7rylg9rwke4vbgquzjai, 1f1x4s6m83dyn9tv9faubwob8, 7b0z3s1wde3iu6vjvfbio6m8k'}, {'id': 5235320001, 'qualifierId': 130, 'value': '4'}, {'id': 5235545093, 'qualifierId': 194, 'value': '5n1wehugx0qtun8oopg2jbndg'}, {'id': 5235319993, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;;b3741ns3c8mwwsubdqsbe3v8;Team set up;23745,0;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;;;;;;;;;0;0;0;0;St. Louis City II;0;;
2724806081;2;32;1;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-09-22T22:04:30.132Z;2024-09-22T22:04:30Z;[{'id': 5235486379, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;b3741ns3c8mwwsubdqsbe3v8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;0;0;The Town;0;;
2724806093;2;32;1;0;0;ew2zirzye0sw1txr2m33nr25y;1;0,0;0,0;2024-09-22T22:04:30.132Z;2024-09-27T12:08:00Z;[{'id': 5235486425, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;b3741ns3c8mwwsubdqsbe3v8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;home;;;;;;;;;0;0;0;0;St. Louis City II;0;;
2724806121;3;1;1;0;0;dqx48fglv1l96cyrmjdod0xec;1;50,0;50,0;2024-09-22T22:04:30.133Z;2024-09-22T22:04:33Z;[{'id': 5235486563, 'qualifierId': 140, 'value': '56.9'}, {'id': 5235486561, 'qualifierId': 56, 'value': 'Center'}, {'id': 5235486571, 'qualifierId': 279, 'value': 'S'}, {'id': 5235486567, 'qualifierId': 212, 'value': '14.2'}, {'id': 5235486565, 'qualifierId': 141, 'value': '67.9'}, {'id': 5235486569, 'qualifierId': 213, 'value': '1.03'}];5jigl7kp5d2i5ws1602jm7n1m;J. Klein;;;b3741ns3c8mwwsubdqsbe3v8;Pass;;;;;;;;;;56,9;;;14,2;67,9;1,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;56,9;67,9;;;;;;;0;0;0;0;The Town;0;AMR;1,0
2724806125;4;1;1;0;1;dqx48fglv1l96cyrmjdod0xec;1;56,9;67,9;2024-09-22T22:04:32.032Z;2024-09-22T22:04:34Z;[{'id': 5235486593, 'qualifierId': 140, 'value': '55.2'}, {'id': 5235486597, 'qualifierId': 212, 'value': '11.3'}, {'id': 5235486595, 'qualifierId': 141, 'value': '51.5'}, {'id': 5235486599, 'qualifierId': 213, 'value': '4.55'}, {'id': 5235486591, 'qualifierId': 56, 'value': 'Center'}];c51ttt2cn2mguvgay18wfgzdg;R. Dugan;;;b3741ns3c8mwwsubdqsbe3v8;Pass;;;;;;;;;;55,2;;;11,3;51,5;4,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;55,2;51,5;;;;;;;0;0;0;1;The Town;1;FW;1,0
2724806131;5;1;1;0;2;dqx48fglv1l96cyrmjdod0xec;1;55,2;51,5;2024-09-22T22:04:33.072Z;2024-09-22T22:04:34Z;[{'id': 5235486611, 'qualifierId': 56, 'value': 'Center'}, {'id': 5235486619, 'qualifierId': 213, 'value': '1.81'}, {'id': 5235486617, 'qualifierId': 212, 'value': '12.0'}, {'id': 5235486615, 'qualifierId': 141, 'value': '68.7'}, {'id': 5235486613, 'qualifierId': 140, 'value': '52.5'}];5jigl7kp5d2i5ws1602jm7n1m;J. Klein;;;b3741ns3c8mwwsubdqsbe3v8;Pass;;;;;;;;;;52,5;;;12,0;68,7;1,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;52,5;68,7;;;;;;;0;0;0;2;The Town;2;AMR;1,0
2724806161;6;1;1;0;4;dqx48fglv1l96cyrmjdod0xec;1;52,5;68,7;2024-09-22T22:04:34.832Z;2024-09-22T22:04:37Z;[{'id': 5235486741, 'qualifierId': 140, 'value': '42.4'}, {'id': 5235486743, 'qualifierId': 141, 'value': '89.6'}, {'id': 5235486747, 'qualifierId': 213, 'value': '2.21'}, {'id': 5235486739, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235486745, 'qualifierId': 212, 'value': '17.7'}];e9jko5f45qmjw3va7cp05l5w4;Hosei Kijima;;;b3741ns3c8mwwsubdqsbe3v8;Pass;;;;;;;;;;42,4;;;17,7;89,6;2,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;42,4;89,6;;;;;;;0;0;0;4;The Town;4;AMC;1,0
2724806185;7;1;1;0;7;dqx48fglv1l96cyrmjdod0xec;1;41,4;89,0;2024-09-22T22:04:37.600Z;2024-09-22T22:04:39Z;[{'id': 5235486881, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235486889, 'qualifierId': 213, 'value': '5.07'}, {'id': 5235486885, 'qualifierId': 141, 'value': '70.0'}, {'id': 5235486883, 'qualifierId': 140, 'value': '46.0'}, {'id': 5235486887, 'qualifierId': 212, 'value': '13.8'}];cnskozf15ladiqa70l9uo920a;S. Pidro;;;b3741ns3c8mwwsubdqsbe3v8;Pass;;;;;;;;;;46,0;;;13,8;70,0;5,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;46,0;70,0;;;;;;;0;0;0;7;The Town;7;DC;1,0
2724806201;8;1;1;0;9;dqx48fglv1l96cyrmjdod0xec;1;45,7;70,0;2024-09-22T22:04:39.680Z;2024-09-22T22:04:43Z;[{'id': 5235487009, 'qualifierId': 141, 'value': '67.9'}, {'id': 5235487007, 'qualifierId': 140, 'value': '32.3'}, {'id': 5235487005, 'qualifierId': 56, 'value': 'Back'}, {'id': 5235487013, 'qualifierId': 212, 'value': '14.1'}, {'id': 5235487015, 'qualifierId': 213, 'value': '3.24'}];1extjwx4b7nlpu8fm6526dsrt;M. Kidd;;;b3741ns3c8mwwsubdqsbe3v8;Pass;;;;;;;;;;32,3;;;14,1;67,9;3,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;32,3;67,9;;;;;;;0;0;0;9;The Town;9;MC;1,0
