id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_Captain;value_TeamPlayerFormation;value_TeamKit;value_JerseyNumber;value_TeamFormation;value_Involved;value_PlayerPosition;value_Resume;value_DirectionOfPlay;value_LongBall;value_PassEndY;value_Length;value_KickOff;value_Zone;value_Angle;value_PassEndX;value_Launch;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_HeadPass;value_FlickOn;value_TouchTypePass;value_IntendedTackleTarget;value_AttemptedTackle;value_Direct;value_Foul;value_FreeKickTaken;value_Chipped;value_SwitchOfPlay;value_InSwinger;value_Cross;value_RightFooted;value_HighGkIntervention;value_HighClaim;value_TakeOnOvertake;value_TouchTypeControl;value_DeletedEventType;value_NextEventThrowIn;value_ThrowIn;value_TouchTypeClearance;value_Left;value_CornerTaken;value_Assist;value_IntentionalAssist;value_GoalmouthZ;value_LeftFooted;value_GoalmouthY;value_IndividualPlay;value_GkY;value_Assisted;value_High;value_OutOfBoxCentre;value_RelatedEventId;value_FromCorner;value_Volley;value_FirstTouch;value_GkX;value_NextEventGoalKick;value_Low;value_GoalKick;value_NotVisible;value_TakeOnSpace;value_Shove/Push;value_BlockedPass;value_OutSwinger;value_OutOfPlay;value_BlockedCross;value_MediumGkIntervention;value_LayOff;value_ThroughBall;value_Head;value_HighRight;value_RegularPlay;value_RefereeDelay;value_DrinksBreak;value_OutOfBoxDeepLeft;value_FreeKick;value_BlockedY;value_BlockedX;value_LowLeft;value_NotAssisted;value_Collected;value_Hands;value_LowGkIntervention;value_Stooping;value_KeeperThrow;value_LowCentre;value_Standing;value_Overrun;value_BlockedClearance;value_GkHoof;value_Minutes;value_EndType;value_BoxCentre;value_ShirtPull/Holding;value_BoxRight;value_CloseRight;value_ParriedDanger;value_Fumble;value_SixYardBlocked;value_Blocked;value_DefBlock;value_Right;value_HighCentre;value_ParriedSafe;value_Reaching;value_PlayersCaughtOffside;value_Indirect;value_OverhitCross;value_Defensive1V1;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_ThrowInSetPiece;value_LowRight;value_Diving;value_AerialFoul;value_HighLeft;value_RecklessOffence;value_YellowCard;value_InjuredPlayerId;value_Injury;value_OutOfBoxDeepRight;value_GoesToPenalties;value_Second(2Nd)OppositeRelatedEventId;value_GkXTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_BigChance;value_Penalty;value_Scored;value_Missed;value_CloseLeft;value_SwerveRight;value_HitWoodwork;value_Saved;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2696065291;6;8;1;0;9;d0c07im4a6oj8qa7f1zlt3pqs;1;60,4;33,6;2024-06-15T01:05:15.337Z;2024-06-19T12:08:14Z;[{'id': 5077369873, 'qualifierId': 56, 'value': 'Center'}, {'id': 5081821101, 'qualifierId': 384}];8ly83pm2mbtz4u7jwsv0o96qy;C. Touré;;dgiyycgp34t9ugam7o90yjf9w;Interception;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;;0;0;9;Portland Timbers II;9;DL;1,0
2696065299;7;1;1;0;10;d0c07im4a6oj8qa7f1zlt3pqs;1;61,8;32,4;2024-06-15T01:05:16.705Z;2024-06-19T12:08:16Z;[{'id': 5077369919, 'qualifierId': 141, 'value': '36.1'}, {'id': 5077369921, 'qualifierId': 212, 'value': '3.6'}, {'id': 5077369917, 'qualifierId': 140, 'value': '59.3'}, {'id': 5077369923, 'qualifierId': 213, 'value': '2.38'}, {'id': 5077369915, 'qualifierId': 56, 'value': 'Center'}];7nxqbiq6fics5w3qnwhz249as;S. Louis-Jean;;dgiyycgp34t9ugam7o90yjf9w;Pass;;;;;;;;;;;36,1;3,6;;;2,38;59,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;59,3;36,1;;;;;;;;0;0;10;Portland Timbers II;10;MC;1,0
2696065305;8;1;1;0;12;d0c07im4a6oj8qa7f1zlt3pqs;1;59,0;34,9;2024-06-15T01:05:17.906Z;2024-06-19T12:08:20Z;[{'id': 5077369947, 'qualifierId': 141, 'value': '27.6'}, {'id': 5077369949, 'qualifierId': 212, 'value': '10.6'}, {'id': 5077369945, 'qualifierId': 140, 'value': '50.1'}, {'id': 5077369943, 'qualifierId': 56, 'value': 'Center'}, {'id': 5077369951, 'qualifierId': 213, 'value': '3.63'}];7m5wyvhq876dyap45egqs2tjo;E. Torres;;dgiyycgp34t9ugam7o90yjf9w;Pass;;;;;;;;;;;27,6;10,6;;;3,63;50,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;50,1;27,6;;;;;;;;0;0;12;Portland Timbers II;12;MC;1,0
2696065311;9;1;1;0;14;d0c07im4a6oj8qa7f1zlt3pqs;1;50,1;27,6;2024-06-15T01:05:20.400Z;2024-06-15T01:05:22Z;[{'id': 5077369997, 'qualifierId': 212, 'value': '21.9'}, {'id': 5077369983, 'qualifierId': 56, 'value': 'Back'}, {'id': 5077369989, 'qualifierId': 140, 'value': '37.0'}, {'id': 5077369999, 'qualifierId': 213, 'value': '2.25'}, {'id': 5077369993, 'qualifierId': 141, 'value': '52.7'}];9yldym4386a2icfk6qb6i90r8;A. De Anda;;dgiyycgp34t9ugam7o90yjf9w;Pass;;;;;;;;;;;52,7;21,9;;;2,25;37,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;37,0;52,7;;;;;;;;0;0;14;Portland Timbers II;14;DR;1,0
2696065323;10;1;1;0;15;d0c07im4a6oj8qa7f1zlt3pqs;1;31,8;49,0;2024-06-15T01:05:20.959Z;2024-06-19T12:09:29Z;[{'id': 5077370069, 'qualifierId': 140, 'value': '31.6'}, {'id': 5077370071, 'qualifierId': 141, 'value': '42.8'}, {'id': 5077370067, 'qualifierId': 56, 'value': 'Back'}, {'id': 5077370075, 'qualifierId': 213, 'value': '4.66'}, {'id': 5077370073, 'qualifierId': 212, 'value': '4.2'}];d0riqrsz7ojwb9m94rbvx7r6y;S. Mazzaferro;;dgiyycgp34t9ugam7o90yjf9w;Pass;;;;;;;;;;;42,8;4,2;;;4,66;31,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;31,6;42,8;;;;;;;;0;0;15;Portland Timbers II;15;DC;1,0
2696065329;11;1;1;0;17;d0c07im4a6oj8qa7f1zlt3pqs;1;29,2;42,5;2024-06-15T01:05:23.399Z;2024-06-19T12:09:31Z;[{'id': 5077370111, 'qualifierId': 212, 'value': '27.6'}, {'id': 5077370109, 'qualifierId': 141, 'value': '73.5'}, {'id': 5077370113, 'qualifierId': 213, 'value': '2.27'}, {'id': 5077370107, 'qualifierId': 140, 'value': '12.2'}, {'id': 5077370105, 'qualifierId': 56, 'value': 'Back'}];8ly83pm2mbtz4u7jwsv0o96qy;C. Touré;;dgiyycgp34t9ugam7o90yjf9w;Pass;;;;;;;;;;;73,5;27,6;;;2,27;12,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;12,2;73,5;;;;;;;;0;0;17;Portland Timbers II;17;DL;1,0
2696065339;12;1;1;0;21;d0c07im4a6oj8qa7f1zlt3pqs;1;13,1;72,4;2024-06-15T01:05:26.929Z;2024-06-15T01:05:30Z;[{'id': 5077370167, 'qualifierId': 213, 'value': '0.99'}, {'id': 5077370163, 'qualifierId': 141, 'value': '96.9'}, {'id': 5077370165, 'qualifierId': 212, 'value': '19.9'}, {'id': 5077370161, 'qualifierId': 140, 'value': '23.5'}, {'id': 5077370159, 'qualifierId': 56, 'value': 'Back'}];81a5mbcfvbxke0w3cbq65ld2i;M. Alstrup;;dgiyycgp34t9ugam7o90yjf9w;Pass;;;;;;;;;;;96,9;19,9;;;0,99;23,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;23,5;96,9;;;;;;;;0;0;21;Portland Timbers II;21;GK;1,0
2696065363;13;1;1;0;23;d0c07im4a6oj8qa7f1zlt3pqs;1;23,4;96,7;2024-06-15T01:05:29Z;2024-06-19T12:09:43Z;[{'id': 5077370261, 'qualifierId': 56, 'value': 'Back'}, {'id': 5077370267, 'qualifierId': 212, 'value': '10.6'}, {'id': 5077370269, 'qualifierId': 213, 'value': '0.00'}, {'id': 5077370265, 'qualifierId': 141, 'value': '96.7'}, {'id': 5077370263, 'qualifierId': 140, 'value': '33.5'}];9nlw8tihbzfnvkt5uproa79jo;Rubén Bonachera;;dgiyycgp34t9ugam7o90yjf9w;Pass;;;;;;;;;;;96,7;10,6;;;0,0;33,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;33,5;96,7;;;;;;;;0;0;23;Portland Timbers II;23;DC;1,0
2696881585;732;83;1;0;25;5ou8b446l1sl8frblkz3xi17g;1;65,1;6,1;2024-06-15T01:05:31.519Z;2024-06-19T12:11:16Z;[{'id': 5081821399, 'qualifierId': 399, 'value': '641bsr9un81t6sds51fhvijh0'}];5nykil6w1bxfevpp2c5rr32fo;J. Jones-Riley;;dgiyycgp34t9ugam7o90yjf9w;Attempted tackle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;;0;0;25;Austin II;25;DR;1,0
2696881599;733;83;1;0;28;5ou8b446l1sl8frblkz3xi17g;1;63,9;5,5;2024-06-15T01:05:34.320Z;2024-06-19T12:11:16Z;[{'id': 5081821433, 'qualifierId': 399, 'value': '641bsr9un81t6sds51fhvijh0'}];5lwarg9t4o7hxcq5exe8gwydw;M. Bunbury;;dgiyycgp34t9ugam7o90yjf9w;Attempted tackle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;;0;0;28;Austin II;28;FWR;1,0
