id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_TeamPlayerFormation;value_TeamKit;value_TeamFormation;value_Captain;value_Resume;value_Involved;value_PlayerPosition;value_DirectionOfPlay;value_Zone;value_PassEndY;value_KickOff;value_Length;value_Angle;value_PassEndX;value_LongBall;value_Chipped;value_DeletedEventType;value_HeadPass;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_Launch;value_Shove/Push;value_Foul;value_Direct;value_TimeWasting;value_YellowCard;value_FreeKickTaken;value_IntendedTackleTarget;value_TakeOnOvertake;value_TouchTypePass;value_NextEventThrowIn;value_ThrowIn;value_Cross;value_OutSwinger;value_RightFooted;value_Head;value_Straight;value_LeftFooted;value_FloatedCross;value_HighClaim;value_HighGkIntervention;value_KeeperThrow;value_Assist;value_RelatedEventId;value_BlockedX;value_RegularPlay;value_GkX;value_BoxCentre;value_Blocked;value_LowLeft;value_GoalmouthY;value_GoalmouthZ;value_GkY;value_BlockedY;value_IndividualPlay;value_Assisted;value_DefBlock;value_FlickOn;value_BlockedPass;value_TouchTypeControl;value_TouchTypeClearance;value_MediumGkIntervention;value_LayOff;value_LowCentre;value_OutOfBoxCentre;value_Hands;value_ParriedSafe;value_Standing;value_LowGkIntervention;value_InSwinger;value_NextEventGoalKick;value_GoalKick;value_Low;value_IntentionalAssist;value_OverArm;value_FirstTouch;value_LowRight;value_Stooping;value_NotVisible;value_GkKickFromHands;value_DrivenCross;value_NotAssisted;value_HighCentre;value_Reaching;value_Left;value_CornerTaken;value_TakeOnSpace;value_BoxLeft;value_CloseLeftAndHigh;value_FastBreak;value_Right;value_BigChance;value_GkYTimeOfGoal;value_GoalShotGameClock;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_SwitchOfPlay;value_AttemptedTackle;value_High;value_ShirtPull/Holding;value_OutOfPlay;value_RecklessOffence;value_Volley;value_PlayersCaughtOffside;value_Indirect;value_OwnPlayer;value_OwnShotBlocked;value_HighRight;value_BoxRight;value_Minutes;value_EndType;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_BlockedCross;value_Overrun;value_Penalty;value_PenaltyTakerId;value_FantasyAssistTeam;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_FantasyAssistId;value_KeeperTouched;value_FantasyAssistedBy;value_FantasyAssistType;value_Diving;value_Scored;value_NotPastGoalLine;value_FromCorner;value_CloseLeft;value_OutOfBoxDeepLeft;value_TacticalFoul;value_SetPiece;value_HighLeft;value_Collected;value_SmallBoxCentre;value_GkHoof;value_LeadingToGoal;value_Tap;value_TempBlocked;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2715163535;1;34;16;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-08-31T01:45:40.912Z;2024-08-31T02:57:22Z;[{'id': 5182820359, 'qualifierId': 59, 'value': '31, 73, 42, 70, 44, 43, 40, 46, 39, 77, 91, 55, 66, 49, 81, 60, 88, 51, 35, 79'}, {'id': 5182820363, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5182898157, 'qualifierId': 197, 'value': '18751'}, {'id': 5182820361, 'qualifierId': 130, 'value': '4'}, {'id': 5182900169, 'qualifierId': 194, 'value': 'do2o6ka25talswmmillufejqi'}, {'id': 5182820365, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5182820355, 'qualifierId': 30, 'value': 'd4xd9fxqjwfe7x46byn60dx49, 4x8eu2y112ini9hx6b72bh46i, m8clu51iu7443ig9q6vn6fbo, 6mm2h3x9hmyea3bu2wt80uo7o, 7s32iecltoopsjddclg0ixzx0, do2o6ka25talswmmillufejqi, ajxa2yfzwct5nd0ded1sa9vmy, d1w4zs63sx3cc7wnc8wshbfv8, 3v3b0z3d5czty8zcxrhy5uyac, 18b4rpeia26xq688ieqaw2z2s, 17ni4ntnt7b6b0bwst3e4djze, 5reylt0uyetl6qavkvd8inai, a55do2tx3wz5tsboyf355aiok, cuxpxs76g96vwhrnhw9rw2ihg, 3fbekr02uy605ppv5pzw9321g, eu6pktmlz3r7qlbwoodmlgdn8, 230zkhv4hig5j6azhgem5553o, 7ruu7rxicp3r2ftyg50cf3dhw, 19w7fxv11he4r65942cmeaplg, 2t5xlnzc4uiaae7x0yof4djx0'}, {'id': 5182820357, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;;eyvmn96lmx8o7tzcfe6h6pm38;Team set up;;;18751,0;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;;;;;;;;;;0;0;0;Tacoma Defiance;0;;
2715163995;1;34;16;0;0;5icuo8utnztpsd9l03gdd68dl;1;0,0;0,0;2024-08-31T01:47:55.112Z;2024-08-31T02:57:42Z;[{'id': 5182822777, 'qualifierId': 130, 'value': '8'}, {'id': 5182898167, 'qualifierId': 197, 'value': '3515'}, {'id': 5182822775, 'qualifierId': 59, 'value': '29, 85, 31, 77, 35, 39, 80, 37, 81, 96, 36, 44, 32, 27, 30, 97, 42, 95, 72'}, {'id': 5182900479, 'qualifierId': 194, 'value': 'dil2b9u1omrsdbxba5swbe9gq'}, {'id': 5182822773, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5182822771, 'qualifierId': 30, 'value': 'bdrs643l8uzj01plxa25wncdm, 2iusvkm9t8r1widsfvbesnjf8, 7zr3gif60ntltgt3s5yi6qjca, 8khtu1w0lp1f5d5t4zmfxiei, dil2b9u1omrsdbxba5swbe9gq, e1e506479mqo8j3geie6amuj8, 5jal3zhkwodffivsq89wfd15g, ez0t0pl5qxy0sa3zp1l77sjro, b0xuwec3m6rvxwx7gygv34o6i, 3007iihmvmlzgpgtxri3v3hg4, 9fbj8njpn0q6j87le4rnafjf8, lrkkhk8u32krmb0n4wtg1las, 4s56s6f9nw96wergw7ix5zp0q, chiwsyjdyk4sn4vxqu9mdr0x6, 5rcj1mef6u2jbosy1urou0d7t, do5nsl65m35sog9vcp0j3kbh0, c73tr75o7gj1p09r8k94g6fx0, 3y5rrahty1k0l1hnww3bcozmy, 8ofmink2axfrxg3ti4tbt2cr8'}, {'id': 5182822781, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5182822779, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;eyvmn96lmx8o7tzcfe6h6pm38;Team set up;;;3515,0;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;;;;;;;;;;0;0;0;Los Angeles II;0;;
2715173349;2;32;1;0;0;5icuo8utnztpsd9l03gdd68dl;1;0,0;0,0;2024-08-31T02:33:55.422Z;2024-08-31T02:33:58Z;[{'id': 5182872951, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;eyvmn96lmx8o7tzcfe6h6pm38;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;;;;;;;;;;0;0;0;Los Angeles II;0;;
2715173341;2;32;1;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-08-31T02:33:55.422Z;2024-09-03T05:25:02Z;[{'id': 5182872925, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;eyvmn96lmx8o7tzcfe6h6pm38;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;;;;;;;;;;0;0;0;Tacoma Defiance;0;;
2715173365;3;1;1;0;0;6gaq85erpkvbyxvivd96wuw44;1;50,1;49,7;2024-08-31T02:33:55.423Z;2024-08-31T02:34:00Z;[{'id': 5182873025, 'qualifierId': 56, 'value': 'Back'}, {'id': 5182873029, 'qualifierId': 141, 'value': '48.4'}, {'id': 5182873035, 'qualifierId': 279, 'value': 'S'}, {'id': 5182873031, 'qualifierId': 212, 'value': '16.0'}, {'id': 5182873033, 'qualifierId': 213, 'value': '3.20'}, {'id': 5182873027, 'qualifierId': 140, 'value': '34.9'}];3v3b0z3d5czty8zcxrhy5uyac;N. Sullivan;;;eyvmn96lmx8o7tzcfe6h6pm38;Pass;;;;;;;;;;;48,4;;16,0;3,2;34,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;34,9;48,4;;;;;;;;0;0;0;Tacoma Defiance;0;FW;1,0
2715173377;4;1;1;0;3;6gaq85erpkvbyxvivd96wuw44;0;35,7;48,4;2024-08-31T02:33:58.546Z;2024-09-03T05:43:20Z;[{'id': 5182873107, 'qualifierId': 1}, {'id': 5182873105, 'qualifierId': 213, 'value': '5.71'}, {'id': 5182873099, 'qualifierId': 140, 'value': '73.9'}, {'id': 5182873103, 'qualifierId': 212, 'value': '47.7'}, {'id': 5182873101, 'qualifierId': 141, 'value': '10.4'}, {'id': 5182873097, 'qualifierId': 56, 'value': 'Right'}, {'id': 5182873095, 'qualifierId': 155}];d1w4zs63sx3cc7wnc8wshbfv8;D. Guerra;;;eyvmn96lmx8o7tzcfe6h6pm38;Pass;;;;;;;;;;;10,4;;47,7;5,71;73,9;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;73,9;10,4;;;;;;;;0;0;3;Tacoma Defiance;3;MC;1,0
2715173371;3;43;1;0;5;5icuo8utnztpsd9l03gdd68dl;1;0,0;0,0;2024-08-31T02:34:01.324Z;2024-09-03T05:45:36Z;[{'id': 5182873061, 'qualifierId': 141, 'value': '93.6'}, {'id': 5182873063, 'qualifierId': 212, 'value': '0.6'}, {'id': 5193993871, 'qualifierId': 144, 'value': '1'}, {'id': 5182873059, 'qualifierId': 140, 'value': '27.4'}, {'id': 5182873057, 'qualifierId': 56, 'value': 'Back'}, {'id': 5182873055, 'qualifierId': 3, 'value': '0'}, {'id': 5182873065, 'qualifierId': 213, 'value': '1.74'}];7zr3gif60ntltgt3s5yi6qjca;T. Sousa;;;eyvmn96lmx8o7tzcfe6h6pm38;Deleted event;;;;;;;;;;;93,6;;0,6;1,74;27,4;;;1,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;27,4;93,6;;;;;;;;0;0;5;Los Angeles II;5;DC;1,0
2715173373;4;44;1;0;6;5icuo8utnztpsd9l03gdd68dl;1;26,6;90,6;2024-08-31T02:34:02.081Z;2024-08-31T03:20:23Z;[{'id': 5182873151, 'qualifierId': 233, 'value': '5'}, {'id': 5182873073, 'qualifierId': 56, 'value': 'Back'}, {'id': 5182873075, 'qualifierId': 285}];7zr3gif60ntltgt3s5yi6qjca;T. Sousa;;;eyvmn96lmx8o7tzcfe6h6pm38;Aerial;;;;;;;;;;;;;;;;;;;;5,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;;;;;;;;;;0;0;6;Los Angeles II;6;DC;1,0
2715173379;5;44;1;0;6;6gaq85erpkvbyxvivd96wuw44;0;73,4;9,4;2024-08-31T02:34:02.082Z;2024-08-31T03:20:23Z;[{'id': 5182873167, 'qualifierId': 233, 'value': '4'}, {'id': 5182873121, 'qualifierId': 286}, {'id': 5182873117, 'qualifierId': 56, 'value': 'Right'}];18b4rpeia26xq688ieqaw2z2s;A. Wibowo;;;eyvmn96lmx8o7tzcfe6h6pm38;Aerial;;;;;;;;;;;;;;;;;;;;4,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;;;;;;;;;;0;0;6;Tacoma Defiance;6;FWR;1,0
2715173383;5;1;1;0;7;5icuo8utnztpsd9l03gdd68dl;0;27,4;93,6;2024-08-31T02:34:02.556Z;2024-08-31T02:34:04Z;[{'id': 5182873135, 'qualifierId': 212, 'value': '1.8'}, {'id': 5182873129, 'qualifierId': 56, 'value': 'Back'}, {'id': 5182873133, 'qualifierId': 141, 'value': '92.6'}, {'id': 5182873131, 'qualifierId': 140, 'value': '29.0'}, {'id': 5182873137, 'qualifierId': 213, 'value': '5.90'}, {'id': 5182873127, 'qualifierId': 3}];7zr3gif60ntltgt3s5yi6qjca;T. Sousa;;;eyvmn96lmx8o7tzcfe6h6pm38;Pass;;;;;;;;;;;92,6;;1,8;5,9;29,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;29,0;92,6;;;;;;;;0;0;7;Los Angeles II;7;DC;1,0
