id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_JerseyNumber;value_Resume;value_TeamKit;value_Involved;value_TeamFormation;value_TeamPlayerFormation;value_Captain;value_DirectionOfPlay;value_PassEndX;value_Length;value_PassEndY;value_KickOff;value_Zone;value_Angle;value_Chipped;value_SwitchOfPlay;value_LongBall;value_Cross;value_OutSwinger;value_LeftFooted;value_Head;value_LowLeft;value_BlockedX;value_NotAssisted;value_OppositeRelatedEventId;value_RegularPlay;value_GoalmouthZ;value_IndividualPlay;value_BlockedY;value_GoalmouthY;value_RightFooted;value_OutOfBoxCentre;value_Collected;value_Stooping;value_Hands;value_LowGkIntervention;value_KeeperThrow;value_NextEventThrowIn;value_ThrowIn;value_Offensive;value_Defensive;value_DeletedEventType;value_HeadPass;value_TakeOnSpace;value_TouchTypeControl;value_Direct;value_Shove/Push;value_Foul;value_FreeKickTaken;value_Launch;value_VideoCoverageLost;value_OutOfPlay;value_TakeOnOvertake;value_Overrun;value_AttemptedTackle;value_RelatedEventId;value_YellowCard;value_RecklessOffence;value_HighGkIntervention;value_HighClaim;value_LayOff;value_NotVisible;value_NextEventGoalKick;value_Low;value_GoalKick;value_Assist;value_GkX;value_Assisted;value_LowCentre;value_GkY;value_SixYardBlocked;value_BoxRight;value_Blocked;value_DefBlock;value_GkStart;value_BlockedPass;value_MediumGkIntervention;value_Standing;value_ParriedDanger;value_LeadingToGoal;value_RelatedError1Id;value_FirstTouch;value_GoalShotGameClock;value_FantasyAssistTeam;value_GoalShotTimestamp;value_FantasyAssistType;value_BigChance;value_FantasyAssistedBy;value_FantasyAssistId;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_BoxCentre;value_OverArm;value_TouchTypePass;value_IntendedTackleTarget;value_CloseRight;value_ParriedSafe;value_DrivenCross;value_Straight;value_LowRight;value_Sliding;value_IntentionalAssist;value_CloseLeftAndHigh;value_SmallBoxCentre;value_FastBreak;value_High;value_TouchTypeClearance;value_PullBack;value_Left;value_Right;value_CornerTaken;value_KeeperTouched;value_Diving;value_ShirtPull/Holding;value_SetPiece;value_ThroughBall;value_PlayersCaughtOffside;value_RefereeDelay;value_DrinksBreak;value_Indirect;value_FlickOn;value_HighRight;value_Minutes;value_SoloRun;value_SwerveLeft;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_BoxLeft;value_Handball;value_BlockedCross;value_Deflection;value_InSwinger;value_NotPastGoalLine;value_Volley;value_BoxDeepRight;value_Injury;value_InjuredPlayerId;value_OtherReason;value_Dissent;value_HighCentre;value_Reaching;value_OverhitCross;value_Feet;value_2NdAssist;value_2NdAssisted;value_2NdRelatedEventId;value_FromCorner;value_HighLeft;value_CaptainChange;value_Defensive1V1;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2716605025;1;34;16;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-09-01T18:36:25.454Z;2024-09-01T20:20:49Z;[{'id': 5190596095, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5190596097, 'qualifierId': 59, 'value': '31, 35, 44, 43, 39, 6, 25, 48, 17, 23, 27, 41, 60, 64, 56, 71, 51, 86, 68, 95'}, {'id': 5190596107, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5190764823, 'qualifierId': 197, 'value': '18742'}, {'id': 5190596093, 'qualifierId': 30, 'value': 'aiifscgp07zvj7thb3p3huelm, ds4avrkvrp4jxq9lp02ssci22, 3xd2kq7cxmvdbqsfzgi644c4q, avxfzgoe2y0opif75qu3aeb6c, exk9svcdgcbn05ms00fhorvv8, 9b29l83qhedv79h20lgyu9tqt, 4ywn289r9mrs444sgkgduyivo, 3ve0xap9f0gjsslhgjsmakx04, 4dri4lv9b4w3mz8aj3329qjh0, 66bdf9l614g2dx43x8003m162, 9ohy24mxhsqao5kymh0lbxxck, 7bxp7ho4cmsoviw19q4bxr02c, 9qhpi9y9iujvkbocafhgrj04q, 7nvpvg46tgsnyp31t3se72e0a, doqbp8fg8hke6hhifdr4jzklw, 35i699wz5v6nush729peu776c, 4npcsyrhri5kmeks8gfon146i, drt65b9m2f494wnoyep49bn1m, f12wt1v2qf2siv8p6q6x2bxuc, 2dzabfothgpxefwrm4uqs0w0k'}, {'id': 5190596099, 'qualifierId': 130, 'value': '2'}, {'id': 5190596103, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5191184971, 'qualifierId': 194, 'value': 'exk9svcdgcbn05ms00fhorvv8'}];;;;;f0r4fj69c7pmpqz14p5gzkzys;Team set up;;;;18742,0;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;0;0;0;0;Inter Miami II;0;;
2716613667;1;34;16;0;0;c7c4wwva2u1vb3rr7rwava044;1;0,0;0,0;2024-09-01T18:45:05.720Z;2024-09-01T19:43:40Z;[{'id': 5190646019, 'qualifierId': 59, 'value': '1, 2, 13, 8, 4, 3, 22, 23, 90, 10, 9, 71, 17, 12, 21, 85, 18, 61'}, {'id': 5190765337, 'qualifierId': 194, 'value': '4kng7wg83mastngy9hw7j6v6y'}, {'id': 5190646023, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5190765341, 'qualifierId': 197, 'value': '23485'}, {'id': 5190646021, 'qualifierId': 130, 'value': '8'}, {'id': 5190646017, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5190646015, 'qualifierId': 30, 'value': '19igj31auu88fhwdpfz8c1coa, 4kng7wg83mastngy9hw7j6v6y, 9hxomhr5g6zy05ei4z4lhrklw, cjjvy22j5q0piz5omn2tf18us, c1fvknrf94i05q738d5r7vmdw, 6lsvk9o6d581sd33g38mr6904, 9z7fz0c95ib7oniguzwbihs0k, 7ve3vmg19c3g91j7zs32oecd0, 8l4bqb8gtyzqpx3pti200phqs, bn5ic0uuxaupf6hs2tgqqq0b8, cliiemf1ih37qhh1wi1olk9ka, a12cqkgsa6ljy4jzctqmoror8, infc7r3a8oktbajwp4pff7dg, 3x8f4j8q49d8hft60a6k8l5as, 7uj52qs9yf21gxixhrowyvswk, 9owtf360wi6ky1cr4qwnnfk0k, 78837xw5xvx9xeystdzy6cc2c, 90zucuswxsiopxol6irt9tzis'}, {'id': 5190646025, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;f0r4fj69c7pmpqz14p5gzkzys;Team set up;;;;23485,0;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;0;0;0;0;Crown Legacy;0;;
2716635093;2;32;1;0;0;c7c4wwva2u1vb3rr7rwava044;1;0,0;0,0;2024-09-01T19:04:24.180Z;2024-09-01T19:04:24Z;[{'id': 5190767287, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;f0r4fj69c7pmpqz14p5gzkzys;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;0;0;0;0;Crown Legacy;0;;
2716635117;2;32;1;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-09-01T19:04:24.180Z;2024-09-04T17:06:57Z;[{'id': 5190767377, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;f0r4fj69c7pmpqz14p5gzkzys;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;0;0;0;0;Inter Miami II;0;;
2716635151;3;1;1;0;0;6ubc4y1v6hr63mca7ica4hp90;1;49,9;50,0;2024-09-01T19:04:24.181Z;2024-09-01T19:25:19Z;[{'id': 5190767549, 'qualifierId': 140, 'value': '24.6'}, {'id': 5190767553, 'qualifierId': 212, 'value': '30.1'}, {'id': 5190767551, 'qualifierId': 141, 'value': '70.9'}, {'id': 5190767557, 'qualifierId': 279, 'value': 'S'}, {'id': 5190767547, 'qualifierId': 56, 'value': 'Back'}, {'id': 5190767555, 'qualifierId': 213, 'value': '2.65'}];66bdf9l614g2dx43x8003m162;N. Petković;;;f0r4fj69c7pmpqz14p5gzkzys;Pass;;;;;;;;;;24,6;30,1;70,9;;;2,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;24,6;70,9;;;;;;;0;0;0;0;Inter Miami II;0;FW;1,0
2716635313;4;1;1;0;3;6ubc4y1v6hr63mca7ica4hp90;1;25,0;70,6;2024-09-01T19:04:27.453Z;2024-09-01T19:04:33Z;[{'id': 5190768471, 'qualifierId': 213, 'value': '4.76'}, {'id': 5190768463, 'qualifierId': 56, 'value': 'Back'}, {'id': 5190768467, 'qualifierId': 141, 'value': '38.3'}, {'id': 5190768469, 'qualifierId': 212, 'value': '22.0'}, {'id': 5190768465, 'qualifierId': 140, 'value': '25.9'}];9b29l83qhedv79h20lgyu9tqt;B. Tuiloma;;;f0r4fj69c7pmpqz14p5gzkzys;Pass;;;;;;;;;;25,9;22,0;38,3;;;4,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;25,9;38,3;;;;;;;0;0;0;3;Inter Miami II;3;DC;1,0
2716635423;5;1;1;0;8;6ubc4y1v6hr63mca7ica4hp90;1;27,9;35,1;2024-09-01T19:04:33.150Z;2024-09-01T19:04:38Z;[{'id': 5190769137, 'qualifierId': 141, 'value': '95.4'}, {'id': 5190769135, 'qualifierId': 140, 'value': '57.4'}, {'id': 5190769129, 'qualifierId': 155}, {'id': 5190769131, 'qualifierId': 196}, {'id': 5190769141, 'qualifierId': 213, 'value': '0.92'}, {'id': 5190769139, 'qualifierId': 212, 'value': '51.4'}, {'id': 5190769133, 'qualifierId': 56, 'value': 'Left'}, {'id': 5190769143, 'qualifierId': 1}];exk9svcdgcbn05ms00fhorvv8;J. Neeley;;;f0r4fj69c7pmpqz14p5gzkzys;Pass;;;;;;;;;;57,4;51,4;95,4;;;0,92;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;57,4;95,4;;;;;;;0;0;0;8;Inter Miami II;8;DL;1,0
2716635489;6;1;1;0;14;6ubc4y1v6hr63mca7ica4hp90;0;65,8;90,8;2024-09-01T19:04:38.398Z;2024-09-04T17:22:44Z;[{'id': 5190769477, 'qualifierId': 212, 'value': '38.6'}, {'id': 5190769475, 'qualifierId': 141, 'value': '47.2'}, {'id': 5190769467, 'qualifierId': 2}, {'id': 5190769471, 'qualifierId': 56, 'value': 'Center'}, {'id': 5195753865, 'qualifierId': 224}, {'id': 5195753867, 'qualifierId': 72}, {'id': 5190769473, 'qualifierId': 140, 'value': '89.3'}, {'id': 5190769479, 'qualifierId': 213, 'value': '5.41'}, {'id': 5190769469, 'qualifierId': 155}, {'id': 5190769481, 'qualifierId': 1}];3xd2kq7cxmvdbqsfzgi644c4q;J. Bravo;;;f0r4fj69c7pmpqz14p5gzkzys;Pass;;;;;;;;;;89,3;38,6;47,2;;;5,41;1,0;;1,0;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;89,3;47,2;;;;;;;0;0;0;14;Inter Miami II;14;DC;1,0
2716635513;3;12;1;0;17;c7c4wwva2u1vb3rr7rwava044;1;10,8;47,5;2024-09-01T19:04:41.315Z;2024-09-01T19:04:42Z;[{'id': 5190769557, 'qualifierId': 56, 'value': 'Back'}, {'id': 5190769609, 'qualifierId': 15}, {'id': 5190769563, 'qualifierId': 212, 'value': '8.1'}, {'id': 5190769559, 'qualifierId': 140, 'value': '18.1'}, {'id': 5190769561, 'qualifierId': 141, 'value': '43.6'}, {'id': 5190769565, 'qualifierId': 213, 'value': '5.95'}];6lsvk9o6d581sd33g38mr6904;G. Ferraina;;;f0r4fj69c7pmpqz14p5gzkzys;Clearance;;;;;;;;;;18,1;8,1;43,6;;;5,95;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;18,1;43,6;;;;;;;0;0;0;17;Crown Legacy;17;DC;1,0
2716635607;7;15;1;0;21;6ubc4y1v6hr63mca7ica4hp90;1;80,9;44,4;2024-09-01T19:04:45.486Z;2024-09-04T17:23:21Z;[{'id': 5195754331, 'qualifierId': 76}, {'id': 5190771157, 'qualifierId': 146, 'value': '99.1'}, {'id': 5190771155, 'qualifierId': 458}, {'id': 5190771191, 'qualifierId': 233, 'value': '4'}, {'id': 5190770155, 'qualifierId': 22}, {'id': 5190771151, 'qualifierId': 103, 'value': '3.2'}, {'id': 5190771153, 'qualifierId': 215}, {'id': 5190771159, 'qualifierId': 147, 'value': '50.7'}, {'id': 5190771149, 'qualifierId': 102, 'value': '52.2'}, {'id': 5190770473, 'qualifierId': 20}, {'id': 5190770161, 'qualifierId': 56, 'value': 'Center'}, {'id': 5190770159, 'qualifierId': 18}];66bdf9l614g2dx43x8003m162;N. Petković;;;f0r4fj69c7pmpqz14p5gzkzys;Attempt Saved;;;;;;;;;;;;;;;;;;;;;;;1,0;99,1;1,0;4,0;1,0;3,2;1,0;50,7;52,2;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;99,1;50,7;52,2;3.2;;;0;0;0;21;Inter Miami II;21;FW;1,0
