id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_TeamFormation;value_Resume;value_Involved;value_TeamKit;value_JerseyNumber;value_TeamPlayerFormation;value_Captain;value_DirectionOfPlay;value_PassEndY;value_Zone;value_Angle;value_KickOff;value_Length;value_PassEndX;value_LongBall;value_Launch;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_HeadPass;value_Chipped;value_Direct;value_Foul;value_Shove/Push;value_GoalmouthY;value_NotAssisted;value_GoalmouthZ;value_RightFooted;value_GkX;value_FreeKick;value_GkY;value_CloseHigh;value_OutOfBoxCentre;value_NextEventGoalKick;value_GoalKick;value_NotVisible;value_Low;value_IntendedTackleTarget;value_DeletedEventType;value_NextEventThrowIn;value_ThrowIn;value_FlickOn;value_TakeOnSpace;value_TouchTypePass;value_LeadingToAttempt;value_Assist;value_RegularPlay;value_Assisted;value_Right;value_RelatedEventId;value_RelatedError1Id;value_BoxCentre;value_IndividualPlay;value_ShirtPull/Holding;value_FreeKickTaken;value_Straight;value_DrivenCross;value_Cross;value_OutSwinger;value_FirstTouch;value_LeftFooted;value_Left;value_HighClaim;value_HighGkIntervention;value_KeeperThrow;value_LayOff;value_BlockedY;value_LowRight;value_BlockedX;value_Standing;value_Collected;value_Hands;value_MediumGkIntervention;value_IntentionalAssist;value_FloatedCross;value_Head;value_High;value_OverhitCross;value_GkYTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_LowLeft;value_BigChance;value_TouchTypeControl;value_BlockedPass;value_OutOfPlay;value_TouchTypeClearance;value_SwitchOfPlay;value_TakeOnOvertake;value_Blocked;value_DefBlock;value_CloseRight;value_AttemptedTackle;value_Injury;value_InjuredPlayerId;value_TacticalFoul;value_YellowCard;value_Overrun;value_Deflection;value_LowGkIntervention;value_Diving;value_ParriedSafe;value_BoxLeft;value_Stooping;value_PullBack;value_InSwinger;value_CornerTaken;value_NotPastGoalLine;value_SmallBoxCentre;value_FromCorner;value_BlockedCross;value_PlayersCaughtOffside;value_Indirect;value_BoxRight;value_LowCentre;value_MisHit;value_FastBreak;value_OverArm;value_SoloRun;value_HighRight;value_1On1;value_HighLeft;value_Handball;value_SwerveLeft;value_CloseLeft;value_Minutes;value_EndType;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_CaptainChange;value_Volley;value_ByWall;value_TempMissNotPassedGoalLine;value_SetPiece;value_PenaltyTakerId;value_Penalty;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_Saved;value_ParriedDanger;value_GkKickFromHands;value_Defensive1V1;value_BoxDeepRight;value_LeadingToGoal;value_KeeperTouched;value_HighCentre;value_Caught;value_BoxDeepLeft;value_Feet;value_SixYardBlocked;value_SavedOffLine;value_LastLine;value_AerialFoul;value_ThrowInSetPiece;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2705776917;295;3;1;37;9;csntc7hucmo21gknxc5y0kc4q;0;70,2;56,0;2024-08-04T01:11:26.969Z;2024-08-07T09:07:56Z;[{'id': 5130980887, 'qualifierId': 56, 'value': 'Center'}, {'id': 5130980889, 'qualifierId': 286}, {'id': 5135602877, 'qualifierId': 464}, {'id': 5131076793, 'qualifierId': 233, 'value': '342'}];9u37akzkhdyszhevgrjghq99m;A. Monis;;;ehe5x2izkvnpot5rl9hx3spas;Take On;;;;;;;;;;;;;;;;;;;342,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;;;;;;;;0;37;9;Atlanta United II;2229;AMR;1,0
2705776943;342;7;1;37;9;erwnez7ksfkns4dqmyr1fhbe;0;29,8;44,0;2024-08-04T01:11:26.970Z;2024-08-07T09:07:59Z;[{'id': 5135602883, 'qualifierId': 384}, {'id': 5131076777, 'qualifierId': 233, 'value': '295'}, {'id': 5130981047, 'qualifierId': 56, 'value': 'Back'}, {'id': 5130981049, 'qualifierId': 285}];d5kcfgycj51y6aw82r38sl7o4;Javier Armas;;;ehe5x2izkvnpot5rl9hx3spas;Tackle;;;;;;;;;;;;;;;;;;1,0;295,0;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;;0;37;9;New England II;2229;MC;1,0
2705793145;447;3;1;37;10;erwnez7ksfkns4dqmyr1fhbe;0;33,8;44,3;2024-08-04T01:11:27.970Z;2024-08-07T09:08:07Z;[{'id': 5131077003, 'qualifierId': 286}, {'id': 5131077169, 'qualifierId': 233, 'value': '296'}, {'id': 5131073951, 'qualifierId': 56, 'value': 'Back'}, {'id': 5135602897, 'qualifierId': 464}];8dcbkmm7ktscumo0c6qcpy1p0;C. Sanchez;;;ehe5x2izkvnpot5rl9hx3spas;Take On;;;;;;;;;;;;;;;;;;;296,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;;0;37;10;New England II;2230;AMC;1,0
2705776965;296;7;1;37;10;csntc7hucmo21gknxc5y0kc4q;0;66,2;55,7;2024-08-04T01:11:27.971Z;2024-08-07T09:08:11Z;[{'id': 5131077143, 'qualifierId': 285}, {'id': 5131076097, 'qualifierId': 233, 'value': '447'}, {'id': 5135602907, 'qualifierId': 384}, {'id': 5130981207, 'qualifierId': 56, 'value': 'Center'}];et772m1f5cqceeffckpnty1p0;E. Klein;;;ehe5x2izkvnpot5rl9hx3spas;Tackle;;;;;;;;;;;;;;;;;;1,0;447,0;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;;;;;;;;0;37;10;Atlanta United II;2230;MC;1,0
2705797759;490;61;1;37;11;erwnez7ksfkns4dqmyr1fhbe;1;35,9;49,7;2024-08-04T01:11:29.162Z;2024-08-07T09:08:22Z;[{'id': 5131097885, 'qualifierId': 56, 'value': 'Back'}];8dcbkmm7ktscumo0c6qcpy1p0;C. Sanchez;;;ehe5x2izkvnpot5rl9hx3spas;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;;0;37;11;New England II;2231;AMC;1,0
2705776977;297;1;1;37;12;csntc7hucmo21gknxc5y0kc4q;1;75,9;46,3;2024-08-04T01:11:29.923Z;2024-08-07T09:08:25Z;[{'id': 5130981313, 'qualifierId': 56, 'value': 'Right'}, {'id': 5130981321, 'qualifierId': 213, 'value': '5.23'}, {'id': 5130981317, 'qualifierId': 141, 'value': '16.9'}, {'id': 5130981315, 'qualifierId': 140, 'value': '86.7'}, {'id': 5130981319, 'qualifierId': 212, 'value': '23.0'}];69ypla76c710iv0yegix1maz8;Marcos Dias;;;ehe5x2izkvnpot5rl9hx3spas;Pass;;;;;;;;;;16,9;;5,23;;23,0;86,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;86,7;16,9;;;;;;;;0;37;12;Atlanta United II;2232;AMC;1,0
2705776989;298;1;1;37;15;csntc7hucmo21gknxc5y0kc4q;1;86,7;16,9;2024-08-04T01:11:33.267Z;2024-08-04T01:11:34Z;[{'id': 5130981383, 'qualifierId': 56, 'value': 'Right'}, {'id': 5130981391, 'qualifierId': 213, 'value': '5.84'}, {'id': 5130981387, 'qualifierId': 141, 'value': '11.2'}, {'id': 5130981385, 'qualifierId': 140, 'value': '94.5'}, {'id': 5130981389, 'qualifierId': 212, 'value': '9.1'}];dc8u2bssrhxycx8vtn0kutp4a;C. Quiñónes;;;ehe5x2izkvnpot5rl9hx3spas;Pass;;;;;;;;;;11,2;;5,84;;9,1;94,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;94,5;11,2;;;;;;;;0;37;15;Atlanta United II;2235;DR;1,0
2705777003;299;1;1;37;16;csntc7hucmo21gknxc5y0kc4q;0;94,5;11,2;2024-08-04T01:11:34.643Z;2024-08-07T09:08:43Z;[{'id': 5130981477, 'qualifierId': 212, 'value': '4.8'}, {'id': 5135602987, 'qualifierId': 224}, {'id': 5130982219, 'qualifierId': 286}, {'id': 5130981473, 'qualifierId': 140, 'value': '94.9'}, {'id': 5130982215, 'qualifierId': 233, 'value': '343'}, {'id': 5130981479, 'qualifierId': 213, 'value': '1.48'}, {'id': 5135602989, 'qualifierId': 20}, {'id': 5130981471, 'qualifierId': 56, 'value': 'Right'}, {'id': 5130981475, 'qualifierId': 141, 'value': '18.3'}, {'id': 5130982213, 'qualifierId': 236}, {'id': 5130981467, 'qualifierId': 2}, {'id': 5130981469, 'qualifierId': 155}];40qi53orb0eur2jevowkvrcb8;P. Leal;;;ehe5x2izkvnpot5rl9hx3spas;Pass;;;;;;;;;;18,3;;1,48;;4,8;94,9;;;;343,0;1,0;;1,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;94,9;18,3;;;;;;;;0;37;16;Atlanta United II;2236;MC;1,0
2705777061;343;12;1;37;17;erwnez7ksfkns4dqmyr1fhbe;1;5,4;82,7;2024-08-04T01:11:34.743Z;2024-08-04T01:11:48Z;[{'id': 5130981837, 'qualifierId': 185}, {'id': 5130981839, 'qualifierId': 56, 'value': 'Back'}, {'id': 5130982229, 'qualifierId': 233, 'value': '299'}];astn4ytzoaav30ifi17s4dn8;A. Carleton;;;ehe5x2izkvnpot5rl9hx3spas;Clearance;;;;;;;;;;;;;;;;;;;299,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;;0;37;17;New England II;2237;AML;1,0
2705777015;300;6;1;37;18;csntc7hucmo21gknxc5y0kc4q;1;97,8;23,7;2024-08-04T01:11:36.580Z;2024-08-04T01:11:42Z;[{'id': 5130981693, 'qualifierId': 56, 'value': 'Center'}, {'id': 5130981695, 'qualifierId': 75}, {'id': 5130981989, 'qualifierId': 233, 'value': '344'}];40qi53orb0eur2jevowkvrcb8;P. Leal;;;ehe5x2izkvnpot5rl9hx3spas;Corner Awarded;;;;;;;;;;;;;;;;;;;344,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;csntc7hucmo21gknxc5y0kc4q;New England II;away;;;;;;;;;;0;37;18;Atlanta United II;2238;MC;1,0
