id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_TeamPlayerFormation;value_TeamKit;value_JerseyNumber;value_Resume;value_Captain;value_PlayerPosition;value_TeamFormation;value_DirectionOfPlay;value_PassEndX;value_Length;value_PassEndY;value_KickOff;value_Angle;value_Zone;value_LongBall;value_Launch;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_HeadPass;value_NextEventThrowIn;value_ThrowIn;value_DeletedEventType;value_Assist;value_BlockedY;value_Assisted;value_BlockedX;value_LowLeft;value_IndividualPlay;value_RegularPlay;value_RightFooted;value_GoalmouthY;value_GoalmouthZ;value_BoxRight;value_RelatedEventId;value_Hands;value_ParriedDanger;value_Diving;value_OutOfPlay;value_NotVisible;value_Chipped;value_AttemptedTackle;value_Direct;value_Foul;value_FreeKickTaken;value_PlayersCaughtOffside;value_Indirect;value_KeeperThrow;value_Cross;value_IntentionalAssist;value_GkY;value_GkX;value_FirstTouch;value_Left;value_Volley;value_NextEventGoalKick;value_Low;value_GoalKick;value_BlockedPass;value_ProfessionalFoulLastMan;value_RedCard;value_Tactical;value_FormationSlot;value_OutOfBoxCentre;value_LeftFooted;value_NotAssisted;value_LowCentre;value_FreeKick;value_Blocked;value_ByWall;value_DefBlock;value_Shove/Push;value_IntendedTackleTarget;value_SwitchOfPlay;value_FlickOn;value_Head;value_High;value_PenaltyTakerId;value_Penalty;value_YellowCard;value_RecklessOffence;value_Scored;value_Right;value_BoxCentre;value_GoalShotGameClock;value_KeeperTouched;value_GoalShotTimestamp;value_BigChance;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_ShirtPull/Holding;value_HighClaim;value_LayOff;value_CornerTaken;value_BlockedCross;value_LowRight;value_Stooping;value_ParriedSafe;value_TacticalFoul;value_PullBack;value_SixYardBlocked;value_InSwinger;value_FromCorner;value_HighRight;value_Minutes;value_CloseLeft;value_EndType;value_OutSwinger;value_BoxLeft;value_Standing;value_PositionSideId;value_DetailedPositionId;value_DangerousPlay;value_GkKickFromHands;value_OverhitCross;value_FastBreak;value_Collected;value_SmallBoxCentre;value_Overrun;value_Injury;value_InjuredPlayerId;value_Handball;value_GoesToPenalties;value_Saved;value_HighLeft;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2708370697;7;1;1;0;14;4g68p0t2f5jzhzfr67i2rj1ex;0;66,5;8,2;2024-08-11T23:04:04.989Z;2024-08-12T01:16:15Z;[{'id': 5145265337, 'qualifierId': 212, 'value': '23.1'}, {'id': 5145265331, 'qualifierId': 140, 'value': '88.5'}, {'id': 5145265339, 'qualifierId': 213, 'value': '0.05'}, {'id': 5145265327, 'qualifierId': 56, 'value': 'Right'}, {'id': 5145265335, 'qualifierId': 141, 'value': '9.8'}];6rgdv71lxh4cpz487ygvy5nv8;C. Berkley;;;emawamqcwzfaxrahkue0bojys;Pass;;;;;;;;;;88,5;23,1;9,8;;0,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;88,5;9,8;;;;;;;;0;0;14;New York City II;14;DR;1,0
2708370703;5;49;1;0;17;6ddsx316t3j0z6nolrky9k4r8;1;14,0;95,3;2024-08-11T23:04:07.806Z;2024-08-11T23:04:07Z;[];7uk47vm92xsvwdofmw1ppawyy;C. Tiao;;;emawamqcwzfaxrahkue0bojys;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;;0;0;17;New York RB II;17;DC;1,0
2708370721;6;1;1;0;19;6ddsx316t3j0z6nolrky9k4r8;0;9,8;97,2;2024-08-11T23:04:09.374Z;2024-08-11T23:04:10Z;[{'id': 5145265459, 'qualifierId': 140, 'value': '16.0'}, {'id': 5145265461, 'qualifierId': 141, 'value': '100.0'}, {'id': 5145265467, 'qualifierId': 1}, {'id': 5145265457, 'qualifierId': 56, 'value': 'Back'}, {'id': 5145265455, 'qualifierId': 157}, {'id': 5145265463, 'qualifierId': 212, 'value': '7.0'}, {'id': 5145265465, 'qualifierId': 213, 'value': '0.39'}];7uk47vm92xsvwdofmw1ppawyy;C. Tiao;;;emawamqcwzfaxrahkue0bojys;Pass;;;;;;;;;;16,0;7,0;100,0;;0,39;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;16,0;100,0;;;;;;;;0;0;19;New York RB II;19;DC;1,0
2708370725;7;5;1;0;19;6ddsx316t3j0z6nolrky9k4r8;0;15,7;101,3;2024-08-11T23:04:09.663Z;2024-08-11T23:17:13Z;[{'id': 5145265475, 'qualifierId': 56, 'value': 'Back'}, {'id': 5145265729, 'qualifierId': 233, 'value': '8'}, {'id': 5145265477, 'qualifierId': 347}];7uk47vm92xsvwdofmw1ppawyy;C. Tiao;;;emawamqcwzfaxrahkue0bojys;Out;;;;;;;;;;;;;;;;;;8,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;;0;0;19;New York RB II;19;DC;1,0
2708370785;8;5;1;0;19;4g68p0t2f5jzhzfr67i2rj1ex;1;84,3;-1,3;2024-08-11T23:04:09.663Z;2024-08-11T23:17:13Z;[{'id': 5145265721, 'qualifierId': 233, 'value': '7'}, {'id': 5145265713, 'qualifierId': 56, 'value': 'Right'}, {'id': 5145265715, 'qualifierId': 347}];65g50zt5gbo1lnrbc7uvwsbo4;T. Rosborough;;;emawamqcwzfaxrahkue0bojys;Out;;;;;;;;;;;;;;;;;;7,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;;0;0;19;New York City II;19;FW;1,0
2708370805;9;1;1;0;30;4g68p0t2f5jzhzfr67i2rj1ex;1;85,5;0,0;2024-08-11T23:04:20.510Z;2024-08-11T23:04:23Z;[{'id': 5145265795, 'qualifierId': 141, 'value': '12.0'}, {'id': 5145265789, 'qualifierId': 107}, {'id': 5145265791, 'qualifierId': 56, 'value': 'Right'}, {'id': 5145265799, 'qualifierId': 213, 'value': '0.77'}, {'id': 5145265793, 'qualifierId': 140, 'value': '94.2'}, {'id': 5145265797, 'qualifierId': 212, 'value': '12.8'}];6rgdv71lxh4cpz487ygvy5nv8;C. Berkley;;;emawamqcwzfaxrahkue0bojys;Pass;;;;;;;;;;94,2;12,8;12,0;;0,77;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;94,2;12,0;;;;;;;;0;0;30;New York City II;30;DR;1,0
2708370827;10;1;1;0;33;4g68p0t2f5jzhzfr67i2rj1ex;1;97,4;6,2;2024-08-11T23:04:23.854Z;2024-08-12T01:16:32Z;[{'id': 5145265935, 'qualifierId': 213, 'value': '1.82'}, {'id': 5145265929, 'qualifierId': 140, 'value': '95.1'}, {'id': 5145265933, 'qualifierId': 212, 'value': '10.0'}, {'id': 5145265927, 'qualifierId': 56, 'value': 'Right'}, {'id': 5145265931, 'qualifierId': 141, 'value': '20.4'}];ov4fk38lrcculu6tdbnrto2c;M. Dembele;;;emawamqcwzfaxrahkue0bojys;Pass;;;;;;;;;;95,1;10,0;20,4;;1,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;95,1;20,4;;;;;;;;0;0;33;New York City II;33;MR;1,0
2708370829;11;61;1;0;36;4g68p0t2f5jzhzfr67i2rj1ex;0;96,0;15,8;2024-08-11T23:04:26.589Z;2024-08-12T01:16:50Z;[{'id': 5145265947, 'qualifierId': 56, 'value': 'Right'}];65g50zt5gbo1lnrbc7uvwsbo4;T. Rosborough;;;emawamqcwzfaxrahkue0bojys;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;;0;0;36;New York City II;36;FW;1,0
2708370833;8;43;1;0;36;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-08-11T23:04:26.590Z;2024-08-12T01:17:03Z;[{'id': 5145493661, 'qualifierId': 144, 'value': '7'}, {'id': 5145265963, 'qualifierId': 285, 'value': '0'}, {'id': 5145265973, 'qualifierId': 233, 'value': '11'}, {'id': 5145265961, 'qualifierId': 56, 'value': 'Back'}];bug5x187ehj0apzl11lrl3ip6;R. Hope-Gund;;;emawamqcwzfaxrahkue0bojys;Deleted event;;;;;;;;;;;;;;;;;;11,0;0,0;;;;;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;;0;0;36;New York RB II;36;DC;1,0
2708370837;9;49;1;0;37;6ddsx316t3j0z6nolrky9k4r8;1;3,8;74,2;2024-08-11T23:04:27.854Z;2024-08-11T23:04:28Z;[];bug5x187ehj0apzl11lrl3ip6;R. Hope-Gund;;;emawamqcwzfaxrahkue0bojys;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;;0;0;37;New York RB II;37;DC;1,0
