id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_Captain;value_Resume;value_PlayerPosition;value_TeamKit;value_TeamPlayerFormation;value_Involved;value_TeamFormation;value_DirectionOfPlay;value_PassEndY;value_KickOff;value_PassEndX;value_Angle;value_Length;value_Zone;value_LongBall;value_Launch;value_HeadPass;value_Chipped;value_Offensive;value_TakeOnSpace;value_OppositeRelatedEventId;value_OutOfPlay;value_TouchTypeClearance;value_Defensive;value_IncorrectOutOfPlayDecision;value_NextEventThrowIn;value_ThrowIn;value_TouchTypePass;value_TouchTypeControl;value_Direct;value_ShirtPull/Holding;value_Foul;value_FreeKickTaken;value_BlockedPass;value_LayOff;value_AttemptedTackle;value_Assist;value_ThroughBall;value_IntentionalAssist;value_GoalmouthZ;value_HitLeftPost;value_HitWoodwork;value_LowCentre;value_BoxRight;value_BlockedY;value_RegularPlay;value_Assisted;value_BlockedX;value_GoalmouthY;value_RelatedEventId;value_RightFooted;value_Diving;value_Hands;value_LowGkIntervention;value_HitRightPost;value_ParriedSafe;value_NotVisible;value_SwitchOfPlay;value_IntendedTackleTarget;value_DeletedEventType;value_NextEventGoalKick;value_Low;value_GoalKick;value_PullBack;value_GkY;value_CloseHigh;value_SwerveRight;value_FirstTouch;value_BoxLeft;value_LeftFooted;value_GkX;value_Weak;value_Overrun;value_KeeperThrow;value_YellowCard;value_TacticalFoul;value_Cross;value_OutSwinger;value_LowLeft;value_SmallBoxLeft;value_BigChance;value_ParriedDanger;value_Stooping;value_GkXTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_Volley;value_NotAssisted;value_GkYTimeOfGoal;value_HighCentre;value_VideoCoverageLost;value_Head;value_OutOfBoxCentre;value_IndividualPlay;value_Blocked;value_DefBlock;value_Left;value_CornerTaken;value_InSwinger;value_GkKickFromHands;value_FlickOn;value_OverhitCross;value_TakeOnOvertake;value_HighRight;value_35Centre;value_FastBreak;value_Right;value_RecklessOffence;value_Injury;value_InjuredPlayerId;value_BoxCentre;value_HighGkIntervention;value_FromCorner;value_MisHit;value_NotPastGoalLine;value_EndOfOffside;value_PlayersCaughtOffside;value_Indirect;value_SwerveLeft;value_Shove/Push;value_BoxDeepLeft;value_CloseLeft;value_1On1;value_FantasyAssistType;value_FantasyAssistTeam;value_FantasyAssistId;value_FantasyAssistedBy;value_Minutes;value_CloseRight;value_SixYardBlocked;value_SmallBoxCentre;value_Collected;value_EndType;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_LowRight;value_MediumGkIntervention;value_BlockedCross;value_GoalDisallowed;value_Straight;value_FloatedCross;value_HighClaim;value_SetPiece;value_KeeperTouched;value_Obstruction;value_Defensive1V1;value_2NdAssist;value_2NdRelatedEventId;value_2NdAssisted;value_HighLeft;value_TempShotOn;value_Standing;value_High;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2714208089;817;44;2;75;47;479lsfr4cwlzewpbuda3y2xv4;1;8,2;42,7;2024-08-24T01:12:13.312Z;2024-08-27T13:32:10Z;[{'id': 5177449069, 'qualifierId': 285}, {'id': 5177512691, 'qualifierId': 233, 'value': '869'}, {'id': 5177449065, 'qualifierId': 56, 'value': 'Back'}];6g7i7z6m8vts105dny1g6z3hm;A. Freeman;;;eth1wamg20j31o3abp404awb8;Aerial;;;;;;;;;;;;;;;;;;;;;;869,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;;;;;;;;;0;0;75;47;Atlanta United II;4547;DR;1,0
2714208091;869;44;2;75;47;erwnez7ksfkns4dqmyr1fhbe;0;91,8;57,3;2024-08-24T01:12:13.313Z;2024-08-27T12:02:18Z;[{'id': 5177449081, 'qualifierId': 233, 'value': '817'}, {'id': 5177449079, 'qualifierId': 286}, {'id': 5177449075, 'qualifierId': 56, 'value': 'Center'}];1b9b97pxox77ia41cilqqm4iy;Nick Firmino;;;eth1wamg20j31o3abp404awb8;Aerial;;;;;;;;;;;;;;;;;;;;1,0;;817,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;0;0;75;47;Orlando City B;4547;AMC;1,0
2712136351;628;12;2;75;47;479lsfr4cwlzewpbuda3y2xv4;1;6,9;38,9;2024-08-24T01:12:13.692Z;2024-08-24T01:12:15Z;[{'id': 5166219919, 'qualifierId': 56, 'value': 'Back'}, {'id': 5166219921, 'qualifierId': 140, 'value': '15.2'}, {'id': 5166219923, 'qualifierId': 141, 'value': '40.8'}, {'id': 5166219927, 'qualifierId': 213, 'value': '0.15'}, {'id': 5166219933, 'qualifierId': 15}, {'id': 5166219925, 'qualifierId': 212, 'value': '8.8'}];6g7i7z6m8vts105dny1g6z3hm;A. Freeman;;;eth1wamg20j31o3abp404awb8;Clearance;;;;;;;;;;40,8;;15,2;0,15;8,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;15,2;40,8;;;;;;;0;0;75;47;Atlanta United II;4547;DR;1,0
2712136359;629;49;2;75;50;479lsfr4cwlzewpbuda3y2xv4;1;18,5;40,0;2024-08-24T01:12:16.269Z;2024-08-24T01:12:16Z;[];p99ze5cksh5tv01knf5oj33e;J. Solís;;;eth1wamg20j31o3abp404awb8;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;;;;;;;;;0;0;75;50;Atlanta United II;4550;AMC;1,0
2712136439;630;1;2;75;57;479lsfr4cwlzewpbuda3y2xv4;1;46,3;34,7;2024-08-24T01:12:23.853Z;2024-08-24T01:12:30Z;[{'id': 5166220407, 'qualifierId': 213, 'value': '0.90'}, {'id': 5166220401, 'qualifierId': 140, 'value': '77.2'}, {'id': 5166220397, 'qualifierId': 196}, {'id': 5166220399, 'qualifierId': 56, 'value': 'Left'}, {'id': 5166220405, 'qualifierId': 212, 'value': '52.1'}, {'id': 5166220403, 'qualifierId': 141, 'value': '94.7'}, {'id': 5166220395, 'qualifierId': 155}, {'id': 5166220409, 'qualifierId': 1}];p99ze5cksh5tv01knf5oj33e;J. Solís;;;eth1wamg20j31o3abp404awb8;Pass;;;;;;;;;;94,7;;77,2;0,9;52,1;;1,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;77,2;94,7;;;;;;;0;0;75;57;Atlanta United II;4557;AMC;1,0
2712136471;631;1;2;76;3;479lsfr4cwlzewpbuda3y2xv4;1;77,5;90,5;2024-08-24T01:12:30.045Z;2024-08-24T01:12:33Z;[{'id': 5166220565, 'qualifierId': 141, 'value': '60.8'}, {'id': 5166220569, 'qualifierId': 213, 'value': '4.13'}, {'id': 5166220563, 'qualifierId': 140, 'value': '64.8'}, {'id': 5166220567, 'qualifierId': 212, 'value': '24.2'}, {'id': 5166220561, 'qualifierId': 56, 'value': 'Center'}];7tpb4dk9meee0utyu4cosnxn8;S. Mohammed;;;eth1wamg20j31o3abp404awb8;Pass;;;;;;;;;;60,8;;64,8;4,13;24,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;64,8;60,8;;;;;;;0;0;76;3;Atlanta United II;4563;AMR;1,0
2712136485;632;1;2;76;7;479lsfr4cwlzewpbuda3y2xv4;1;64,8;60,8;2024-08-24T01:12:33.677Z;2024-08-24T01:12:35Z;[{'id': 5166220631, 'qualifierId': 213, 'value': '2.85'}, {'id': 5166220625, 'qualifierId': 140, 'value': '56.7'}, {'id': 5166220627, 'qualifierId': 141, 'value': '64.6'}, {'id': 5166220623, 'qualifierId': 56, 'value': 'Center'}, {'id': 5166220629, 'qualifierId': 212, 'value': '8.9'}];25rizu4n91uyax4z6l5jv6dqs;F. Loyola;;;eth1wamg20j31o3abp404awb8;Pass;;;;;;;;;;64,6;;56,7;2,85;8,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;56,7;64,6;;;;;;;0;0;76;7;Atlanta United II;4567;Sub;1,0
2712136503;633;1;2;76;8;479lsfr4cwlzewpbuda3y2xv4;1;57,5;64,3;2024-08-24T01:12:35.036Z;2024-08-24T01:12:38Z;[{'id': 5166220775, 'qualifierId': 213, 'value': '5.33'}, {'id': 5166220769, 'qualifierId': 140, 'value': '62.0'}, {'id': 5166220773, 'qualifierId': 212, 'value': '8.1'}, {'id': 5166220771, 'qualifierId': 141, 'value': '54.6'}, {'id': 5166220767, 'qualifierId': 56, 'value': 'Center'}];9bv0zjyrsopyv3hw8m47sgr9w;C. Guske;;;eth1wamg20j31o3abp404awb8;Pass;;;;;;;;;;54,6;;62,0;5,33;8,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;62,0;54,6;;;;;;;0;0;76;8;Atlanta United II;4568;MC;1,0
2712136511;634;1;2;76;12;479lsfr4cwlzewpbuda3y2xv4;1;62,0;54,4;2024-08-24T01:12:38.861Z;2024-08-24T01:12:40Z;[{'id': 5166220823, 'qualifierId': 213, 'value': '2.90'}, {'id': 5166220819, 'qualifierId': 141, 'value': '59.2'}, {'id': 5166220815, 'qualifierId': 56, 'value': 'Back'}, {'id': 5166220821, 'qualifierId': 212, 'value': '13.8'}, {'id': 5166220817, 'qualifierId': 140, 'value': '49.2'}];p99ze5cksh5tv01knf5oj33e;J. Solís;;;eth1wamg20j31o3abp404awb8;Pass;;;;;;;;;;59,2;;49,2;2,9;13,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;49,2;59,2;;;;;;;0;0;76;12;Atlanta United II;4572;AMC;1,0
2712136537;635;1;2;76;13;479lsfr4cwlzewpbuda3y2xv4;1;49,1;59,2;2024-08-24T01:12:40.061Z;2024-08-24T01:12:42Z;[{'id': 5166220945, 'qualifierId': 213, 'value': '4.63'}, {'id': 5166220939, 'qualifierId': 140, 'value': '48.1'}, {'id': 5166220941, 'qualifierId': 141, 'value': '40.9'}, {'id': 5166220943, 'qualifierId': 212, 'value': '12.5'}, {'id': 5166220937, 'qualifierId': 56, 'value': 'Back'}];4jkf81djj5h43v8rlnib1tizu;T. Williams;;;eth1wamg20j31o3abp404awb8;Pass;;;;;;;;;;40,9;;48,1;4,63;12,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479lsfr4cwlzewpbuda3y2xv4;Orlando City B;away;48,1;40,9;;;;;;;0;0;76;13;Atlanta United II;4573;DC;1,0
