id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_Involved;value_TeamPlayerFormation;value_TeamFormation;value_PlayerPosition;value_JerseyNumber;value_TeamKit;value_Captain;value_Resume;value_DirectionOfPlay;value_Length;value_Angle;value_KickOff;value_PassEndY;value_Zone;value_PassEndX;value_LongBall;value_Launch;value_HeadPass;value_FlickOn;value_Head;value_OutOfPlay;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_IntendedTackleTarget;value_AttemptedTackle;value_Offensive;value_Direct;value_Foul;value_Defensive;value_RightFooted;value_OutSwinger;value_FreeKickTaken;value_Cross;value_Chipped;value_MediumGkIntervention;value_KeeperThrow;value_TouchTypeControl;value_Assist;value_DrivenCross;value_Straight;value_RegularPlay;value_IntentionalAssist;value_GkX;value_LeftFooted;value_RelatedEventId;value_GkY;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_IndividualPlay;value_Assisted;value_LowLeft;value_BoxCentre;value_GoalmouthY;value_GoalmouthZ;value_GoalShotGameClock;value_GkXTimeOfGoal;value_DeletedEventType;value_TouchTypeClearance;value_TouchTypePass;value_Handball;value_NotVisible;value_LayOff;value_TakeOnOvertake;value_InjuredPlayerId;value_Injury;value_LowGkIntervention;value_TakeOnSpace;value_LastLine;value_SwitchOfPlay;value_NextEventGoalKick;value_GoalKick;value_Low;value_BlockedPass;value_FloatedCross;value_Overrun;value_Defensive1V1;value_PenaltyTakerId;value_Penalty;value_BlockedX;value_HitWoodwork;value_HitRightPost;value_BlockedY;value_LowRight;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_BigChance;value_NotAssisted;value_Left;value_Diving;value_Saved;value_Hands;value_ParriedSafe;value_HitLeftPost;value_Right;value_CornerTaken;value_PlayersCaughtOffside;value_Indirect;value_CloseRight;value_OutOfBoxCentre;value_FirstTouch;value_SmallBoxCentre;value_LowCentre;value_BoxRight;value_Caught;value_YellowCard;value_Argument;value_InSwinger;value_FromCorner;value_SixYardBlocked;value_Blocked;value_Volley;value_Weak;value_BoxDeepLeft;value_DefBlock;value_TacticalFoul;value_RecklessOffence;value_PullBack;value_High;value_Minutes;value_ShirtPull/Holding;value_FreeKick;value_OtherReason;value_TempBlocked;value_Strong;value_SwerveLeft;value_ByWall;value_EndType;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_DangerousPlay;value_BoxLeft;value_Collected;value_HighGkIntervention;value_RefereeInjury;value_RefereeDelay;value_RefereeStop;value_LeadingToAttempt;value_RelatedError1Id;value_CloseLeft;value_35Centre;value_OtherBodyPart;value_Standing;value_GkKickFromHands;value_Shove/Push;value_NotPastGoalLine;value_SoloRun;value_HighClaim;value_GkHoof;value_NotRetreating;value_BlockedCross;value_SecondYellow;value_TimeWasting;value_HighRight;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2697358847;496;1;2;70;24;2nnef9tr9g7m2s6n873qif95g;1;95,4;23,1;2024-06-23T00:42:40.426Z;2024-06-23T00:42:43Z;[{'id': 5084491715, 'qualifierId': 141, 'value': '7.1'}, {'id': 5084491713, 'qualifierId': 140, 'value': '85.1'}, {'id': 5084491711, 'qualifierId': 56, 'value': 'Right'}, {'id': 5084491719, 'qualifierId': 213, 'value': '3.93'}, {'id': 5084491717, 'qualifierId': 212, 'value': '15.3'}];ew25ktcp76pmryz5psl1ctlka;Y. Subah;;;dj776pxg04eae7ii441qvkg7o;Pass;;;;;;;;;;15,3;3,93;;7,1;;85,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;85,1;7,1;;;;;;;;0;70;24;Chattanooga;4224;Sub;1,0
2697358877;497;1;2;70;26;2nnef9tr9g7m2s6n873qif95g;0;85,5;5,8;2024-06-23T00:42:43.241Z;2024-06-23T01:18:51Z;[{'id': 5084491875, 'qualifierId': 212, 'value': '14.2'}, {'id': 5084491873, 'qualifierId': 141, 'value': '20.3'}, {'id': 5084491871, 'qualifierId': 140, 'value': '75.8'}, {'id': 5084491869, 'qualifierId': 56, 'value': 'Right'}, {'id': 5084491877, 'qualifierId': 213, 'value': '2.37'}];4t078b0rnzmi8u83wzmdwze38;C. Díaz;;;dj776pxg04eae7ii441qvkg7o;Pass;;;;;;;;;;14,2;2,37;;20,3;;75,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;75,8;20,3;;;;;;;;0;70;26;Chattanooga;4226;DMR;1,0
2697358875;594;8;2;70;28;cwnjxlibb02fuh0vwgvac6h45;1;27,1;82,3;2024-06-23T00:42:44.433Z;2024-06-25T09:37:33Z;[{'id': 5086958049, 'qualifierId': 384}, {'id': 5084491859, 'qualifierId': 56, 'value': 'Back'}];5m8hxfvza21t4wfe6v0a18etw;L. García;;;dj776pxg04eae7ii441qvkg7o;Interception;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;;0;70;28;Carolina Core;4228;Sub;1,0
2697358897;595;49;2;70;29;cwnjxlibb02fuh0vwgvac6h45;1;24,5;79,7;2024-06-23T00:42:45.497Z;2024-06-25T09:37:30Z;[];1h5rgsol19v1pcl5ksstrv9t6;M. Garvanian;;;dj776pxg04eae7ii441qvkg7o;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;;0;70;29;Carolina Core;4229;Sub;1,0
2697358959;596;1;2;70;29;cwnjxlibb02fuh0vwgvac6h45;1;24,5;79,7;2024-06-23T00:42:45.673Z;2024-06-25T09:37:31Z;[{'id': 5084492307, 'qualifierId': 212, 'value': '12.2'}, {'id': 5084492301, 'qualifierId': 56, 'value': 'Back'}, {'id': 5084492309, 'qualifierId': 213, 'value': '0.00'}, {'id': 5084492305, 'qualifierId': 141, 'value': '79.7'}, {'id': 5084492303, 'qualifierId': 140, 'value': '36.1'}];1h5rgsol19v1pcl5ksstrv9t6;M. Garvanian;;;dj776pxg04eae7ii441qvkg7o;Pass;;;;;;;;;;12,2;0,0;;79,7;;36,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;36,1;79,7;;;;;;;;0;70;29;Carolina Core;4229;Sub;1,0
2697808833;724;83;2;70;30;2nnef9tr9g7m2s6n873qif95g;1;72,7;12,1;2024-06-23T00:42:47.048Z;2024-06-25T09:37:28Z;[{'id': 5086958363, 'qualifierId': 399, 'value': '4hdai9za2ls03tjpcw0ahu5wq'}];ew25ktcp76pmryz5psl1ctlka;Y. Subah;;;dj776pxg04eae7ii441qvkg7o;Attempted tackle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;;0;70;30;Chattanooga;4230;Sub;1,0
2697808861;791;3;2;70;31;cwnjxlibb02fuh0vwgvac6h45;0;27,3;87,9;2024-06-23T00:42:47.448Z;2024-06-25T09:37:47Z;[{'id': 5086958511, 'qualifierId': 465}, {'id': 5086958509, 'qualifierId': 285}, {'id': 5086958513, 'qualifierId': 467, 'value': '3jx1f1s8r150i6qo2juzooro4'}, {'id': 5086958507, 'qualifierId': 56, 'value': 'Back'}];4hdai9za2ls03tjpcw0ahu5wq;T. Gray;;;dj776pxg04eae7ii441qvkg7o;Take On;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;;0;70;31;Carolina Core;4231;FWR;1,0
2697358955;498;43;2;70;37;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-06-23T00:42:54.049Z;2024-06-23T00:43:22Z;[{'id': 5084492297, 'qualifierId': 286, 'value': '0'}, {'id': 5084493459, 'qualifierId': 144, 'value': '45'}, {'id': 5084492295, 'qualifierId': 56, 'value': 'Right'}];3jx1f1s8r150i6qo2juzooro4;F. Canete;;;dj776pxg04eae7ii441qvkg7o;Deleted event;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;;;;0;70;37;Chattanooga;4237;FWR;1,0
2697358961;597;4;2;70;38;cwnjxlibb02fuh0vwgvac6h45;1;37,0;83,6;2024-06-23T00:42:55.016Z;2024-06-23T00:42:57Z;[{'id': 5084492363, 'qualifierId': 286}, {'id': 5084492359, 'qualifierId': 152}, {'id': 5084492407, 'qualifierId': 233, 'value': '499'}, {'id': 5084492357, 'qualifierId': 56, 'value': 'Back'}, {'id': 5084492361, 'qualifierId': 265}, {'id': 5084492355, 'qualifierId': 13}];4hdai9za2ls03tjpcw0ahu5wq;T. Gray;;;dj776pxg04eae7ii441qvkg7o;Foul;;;;;;;;;;;;;;;;;;;;;;499,0;;;;1,0;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;home;;;;;;;;;;0;70;38;Carolina Core;4238;FWR;1,0
2697358963;499;4;2;70;38;2nnef9tr9g7m2s6n873qif95g;0;63,0;16,4;2024-06-23T00:42:55.017Z;2024-06-23T00:43:07Z;[{'id': 5084492403, 'qualifierId': 265}, {'id': 5084492405, 'qualifierId': 285}, {'id': 5084492435, 'qualifierId': 233, 'value': '597'}, {'id': 5084492401, 'qualifierId': 152}, {'id': 5084492397, 'qualifierId': 13}, {'id': 5084492399, 'qualifierId': 56, 'value': 'Right'}, {'id': 5084492859, 'qualifierId': 55, 'value': '501'}];3jx1f1s8r150i6qo2juzooro4;F. Canete;;;dj776pxg04eae7ii441qvkg7o;Foul;;;;;;;;;;;;;;;;;;;;;;597,0;;;;1,0;;1,0;1,0;1,0;;;;;;;;;;;;;;;;501,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;away;;;;;;;501,0;3jx1f1s8r150i6qo2juzooro4;;0;70;38;Chattanooga;4238;FWR;1,0
