id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_TeamPlayerFormation;value_Captain;value_JerseyNumber;value_Involved;value_PlayerPosition;value_TeamFormation;value_Resume;value_DirectionOfPlay;value_Length;value_PassEndY;value_Zone;value_Angle;value_KickOff;value_PassEndX;value_Launch;value_LongBall;value_BlockedPass;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_NextEventThrowIn;value_ThrowIn;value_Head;value_HeadPass;value_FlickOn;value_Foul;value_Direct;value_AttemptedTackle;value_DeletedEventType;value_FreeKickTaken;value_Chipped;value_OutOfPlay;value_LayOff;value_NotVisible;value_VideoCoverageLost;value_SwitchOfPlay;value_Cross;value_BlockedCross;value_Left;value_OutSwinger;value_CornerTaken;value_FirstTouch;value_GoalmouthY;value_GoalmouthZ;value_OutOfBoxCentre;value_HighCentre;value_BlockedX;value_Assisted;value_RightFooted;value_Volley;value_BlockedY;value_FromCorner;value_RelatedEventId;value_IndividualPlay;value_Diving;value_Hands;value_ParriedSafe;value_InSwinger;value_LowCentre;value_GkX;value_NotAssisted;value_GkY;value_LeftFooted;value_Blocked;value_DefBlock;value_GkKickFromHands;value_Shove/Push;value_FreeKick;value_Standing;value_Collected;value_KeeperThrow;value_IntendedTackleTarget;value_ShirtPull/Holding;value_IntentionalAssist;value_Assist;value_RegularPlay;value_BoxCentre;value_Stooping;value_35Centre;value_1On1;value_BigChance;value_Feet;value_Sliding;value_Right;value_LowLeft;value_ParriedDanger;value_High;value_NextEventGoalKick;value_GoalKick;value_YellowCard;value_Dissent;value_BoxRight;value_BoxDeepRight;value_MisHit;value_HighRight;value_Low;value_TempBlocked;value_Minutes;value_EndType;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_InjuredPlayerId;value_Injury;value_Handball;value_BoxLeft;value_CloseLeft;value_Overrun;value_LowRight;value_SmallBoxRight;value_NotPastGoalLine;value_SetPiece;value_SixYardBlocked;value_SmallBoxCentre;value_LeadingToGoal;value_GoalShotTimestamp;value_GoalShotGameClock;value_HighLeft;value_OverArm;value_OtherObstacle;value_OtherReason;value_RefereeDelay;value_BallHitsReferee;value_AerialFoul;value_PlayersCaughtOffside;value_Indirect;value_TacticalFoul;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2736931959;5;1;1;0;13;bd0378yx50xpdcgwkt9p9bmz8;1;33,3;37,3;2024-10-20T23:04:47.686Z;2024-10-21T00:31:46Z;[{'id': 5301778649, 'qualifierId': 140, 'value': '21.9'}, {'id': 5301778655, 'qualifierId': 213, 'value': '3.45'}, {'id': 5301778647, 'qualifierId': 56, 'value': 'Back'}, {'id': 5301778653, 'qualifierId': 212, 'value': '12.6'}, {'id': 5301778651, 'qualifierId': 141, 'value': '31.6'}];b94wogguhbhpo2mal3pfpo26s;K. Mboma Dem;;;5zbl8kzmkn3lbs2amkku9rlec;Pass;;;;;;;;;;12,6;31,6;;3,45;;21,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;21,9;31,6;;;;;;;0;0;0;13;Crown Legacy;13;AMC;1,0
2736931981;6;1;1;0;16;bd0378yx50xpdcgwkt9p9bmz8;1;20,3;27,6;2024-10-20T23:04:51.468Z;2024-10-20T23:04:53Z;[{'id': 5301778779, 'qualifierId': 213, 'value': '5.35'}, {'id': 5301778775, 'qualifierId': 141, 'value': '4.4'}, {'id': 5301778771, 'qualifierId': 56, 'value': 'Back'}, {'id': 5301778773, 'qualifierId': 140, 'value': '31.4'}, {'id': 5301778777, 'qualifierId': 212, 'value': '19.6'}];2l6v8ab245wzmb1litvkir1ii;G. Gibert;;;5zbl8kzmkn3lbs2amkku9rlec;Pass;;;;;;;;;;19,6;4,4;;5,35;;31,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;31,4;4,4;;;;;;;0;0;0;16;Crown Legacy;16;DC;1,0
2736932017;7;1;1;0;18;bd0378yx50xpdcgwkt9p9bmz8;1;31,4;4,7;2024-10-20T23:04:53.274Z;2024-10-20T23:04:55Z;[{'id': 5301778957, 'qualifierId': 140, 'value': '15.2'}, {'id': 5301778963, 'qualifierId': 213, 'value': '2.82'}, {'id': 5301778961, 'qualifierId': 212, 'value': '17.9'}, {'id': 5301778959, 'qualifierId': 141, 'value': '12.9'}, {'id': 5301778955, 'qualifierId': 56, 'value': 'Back'}];8bjjne12yudwbzfzjdlygqx62;A. Daley;;;5zbl8kzmkn3lbs2amkku9rlec;Pass;;;;;;;;;;17,9;12,9;;2,82;;15,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;15,2;12,9;;;;;;;0;0;0;18;Crown Legacy;18;DMR;1,0
2736932021;8;1;1;0;21;bd0378yx50xpdcgwkt9p9bmz8;0;15,2;12,3;2024-10-20T23:04:55.697Z;2024-10-20T23:04:56Z;[{'id': 5301778987, 'qualifierId': 141, 'value': '11.0'}, {'id': 5301778985, 'qualifierId': 140, 'value': '38.6'}, {'id': 5301778989, 'qualifierId': 212, 'value': '24.6'}, {'id': 5301778991, 'qualifierId': 213, 'value': '6.25'}, {'id': 5301778983, 'qualifierId': 56, 'value': 'Back'}, {'id': 5301778981, 'qualifierId': 157}, {'id': 5301778993, 'qualifierId': 1}];2l6v8ab245wzmb1litvkir1ii;G. Gibert;;;5zbl8kzmkn3lbs2amkku9rlec;Pass;;;;;;;;;;24,6;11,0;;6,25;;38,6;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;38,6;11,0;;;;;;;0;0;0;21;Crown Legacy;21;DC;1,0
2736932071;7;1;1;0;23;6ubc4y1v6hr63mca7ica4hp90;0;62,7;93,5;2024-10-20T23:04:57.895Z;2024-10-20T23:05:06Z;[{'id': 5301779247, 'qualifierId': 213, 'value': '0.25'}, {'id': 5301779245, 'qualifierId': 212, 'value': '19.5'}, {'id': 5301779249, 'qualifierId': 1}, {'id': 5301779243, 'qualifierId': 141, 'value': '100.0'}, {'id': 5301779237, 'qualifierId': 157}, {'id': 5301779241, 'qualifierId': 140, 'value': '80.7'}, {'id': 5301779239, 'qualifierId': 56, 'value': 'Left'}];3ve0xap9f0gjsslhgjsmakx04;A. John;;;5zbl8kzmkn3lbs2amkku9rlec;Pass;;;;;;;;;;19,5;100,0;;0,25;;80,7;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;80,7;100,0;;;;;;;0;0;0;23;Cincinnati II;23;MC;1,0
2736932077;8;5;1;0;24;6ubc4y1v6hr63mca7ica4hp90;0;80,6;100,5;2024-10-20T23:04:58.692Z;2024-10-21T01:03:05Z;[{'id': 5301779471, 'qualifierId': 233, 'value': '9'}, {'id': 5301779281, 'qualifierId': 347}, {'id': 5301779279, 'qualifierId': 56, 'value': 'Left'}];3ve0xap9f0gjsslhgjsmakx04;A. John;;;5zbl8kzmkn3lbs2amkku9rlec;Out;;;;;;;;;;;;;;;;;;;;9,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;0;0;0;24;Cincinnati II;24;MC;1,0
2736932087;9;5;1;0;24;bd0378yx50xpdcgwkt9p9bmz8;1;19,4;-0,5;2024-10-20T23:04:58.692Z;2024-10-20T23:05:07Z;[{'id': 5301779331, 'qualifierId': 56, 'value': 'Back'}, {'id': 5301779333, 'qualifierId': 347}, {'id': 5301779377, 'qualifierId': 233, 'value': '8'}];2l6v8ab245wzmb1litvkir1ii;G. Gibert;;;5zbl8kzmkn3lbs2amkku9rlec;Out;;;;;;;;;;;;;;;;;;;;8,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;0;0;0;24;Crown Legacy;24;DC;1,0
2736932117;10;1;1;0;31;bd0378yx50xpdcgwkt9p9bmz8;0;21,9;0,0;2024-10-20T23:05:06.203Z;2024-10-20T23:05:08Z;[{'id': 5301779509, 'qualifierId': 107}, {'id': 5301779511, 'qualifierId': 56, 'value': 'Back'}, {'id': 5301779513, 'qualifierId': 140, 'value': '40.1'}, {'id': 5301779519, 'qualifierId': 213, 'value': '0.37'}, {'id': 5301779515, 'qualifierId': 141, 'value': '9.4'}, {'id': 5301779517, 'qualifierId': 212, 'value': '20.5'}];8bjjne12yudwbzfzjdlygqx62;A. Daley;;;5zbl8kzmkn3lbs2amkku9rlec;Pass;;;;;;;;;;20,5;9,4;;0,37;;40,1;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;40,1;9,4;;;;;;;0;0;0;31;Crown Legacy;31;DMR;1,0
2736932149;9;8;1;0;37;6ubc4y1v6hr63mca7ica4hp90;1;57,2;85,3;2024-10-20T23:05:12.040Z;2024-10-20T23:05:12Z;[{'id': 5301779639, 'qualifierId': 56, 'value': 'Left'}, {'id': 5301779643, 'qualifierId': 15}];doqbp8fg8hke6hhifdr4jzklw;E. Peña;;;5zbl8kzmkn3lbs2amkku9rlec;Interception;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;0;0;0;37;Cincinnati II;37;MC;1,0
2736932169;10;49;1;0;39;6ubc4y1v6hr63mca7ica4hp90;1;43,0;91,1;2024-10-20T23:05:13.943Z;2024-10-20T23:05:14Z;[];3xd2kq7cxmvdbqsfzgi644c4q;J. Bravo;;;5zbl8kzmkn3lbs2amkku9rlec;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;0;0;0;39;Cincinnati II;39;DC;1,0
