id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_Resume;value_Involved;value_TeamFormation;value_TeamPlayerFormation;value_Captain;value_TeamKit;value_PlayerPosition;value_JerseyNumber;value_DirectionOfPlay;value_Zone;value_Angle;value_KickOff;value_PassEndY;value_PassEndX;value_Length;value_LongBall;value_Chipped;value_DeletedEventType;value_OppositeRelatedEventId;value_NextEventGoalKick;value_GoalKick;value_Low;value_Launch;value_Offensive;value_Defensive;value_HeadPass;value_IntendedTackleTarget;value_TouchTypeControl;value_TouchTypePass;value_TouchTypeClearance;value_NextEventThrowIn;value_ThrowIn;value_TakeOnOvertake;value_PlayersCaughtOffside;value_FreeKickTaken;value_Indirect;value_Head;value_TakeOnSpace;value_SwitchOfPlay;value_Overrun;value_BlockedPass;value_Foul;value_Direct;value_AttemptedTackle;value_MediumGkIntervention;value_KeeperThrow;value_LayOff;value_OutOfPlay;value_Handball;value_DangerousPlay;value_Shove/Push;value_NotVisible;value_ShirtPull/Holding;value_FlickOn;value_IndividualPlay;value_RightFooted;value_GkY;value_OutOfBoxCentre;value_GkX;value_RegularPlay;value_GoalmouthZ;value_GoalmouthY;value_NotAssisted;value_Right;value_InSwinger;value_Cross;value_HighGkIntervention;value_HighClaim;value_LowGkIntervention;value_DrivenCross;value_LeftFooted;value_Straight;value_Left;value_CornerTaken;value_Assist;value_BlockedX;value_SwerveLeft;value_Assisted;value_BoxLeft;value_Blocked;value_LowRight;value_BlockedY;value_RelatedEventId;value_DefBlock;value_LastLine;value_IntentionalAssist;value_High;value_BoxCentre;value_Dissent;value_YellowCard;value_TacticalFoul;value_FloatedCross;value_SetPiece;value_FirstTouch;value_HighRight;value_SmallBoxLeft;value_GoalDisallowed;value_LeadingToAttempt;value_1On1;value_CloseHigh;value_RelatedError1Id;value_Weak;value_BigChance;value_OutSwinger;value_PullBack;value_Minutes;value_EndType;value_RecklessOffence;value_LowLeft;value_LowCentre;value_Unchallenged;value_OverArm;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_BoxRight;value_Hands;value_Standing;value_Collected;value_Stooping;value_ParriedDanger;value_Fumble;value_PersistentInfringement;value_SecondYellow;value_CaptainChange;value_ParriedSafe;value_Volley;value_BlockedClearance;value_GkYTimeOfGoal;value_GoalShotGameClock;value_GkXTimeOfGoal;value_KeeperTouched;value_GoalShotTimestamp;value_InjuredPlayerId;value_Injury;value_GkKickFromHands;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2703497525;4;56;1;0;18;iiolvosiuokkrl5iuoxcjo4p;1;3,9;16,6;2024-07-27T00:04:22.888Z;2024-07-27T00:04:23Z;[{'id': 5118421283, 'qualifierId': 56, 'value': 'Back'}];a9w6952jyw6x83gxp94zs8ro4;J. Belluz;;e8p914erm3l8t24lf3s2cu4gk;Shield ball opp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;0;0;0;18;Minnesota United II;18;DL;1,0
2703497533;5;5;1;0;19;iiolvosiuokkrl5iuoxcjo4p;1;-1,4;17,4;2024-07-27T00:04:24.271Z;2024-07-27T01:05:56Z;[{'id': 5118421331, 'qualifierId': 233, 'value': '8'}, {'id': 5118421313, 'qualifierId': 56, 'value': 'Back'}, {'id': 5118421315, 'qualifierId': 346}];a9w6952jyw6x83gxp94zs8ro4;J. Belluz;;e8p914erm3l8t24lf3s2cu4gk;Out;;;;;;;;;;;;;;;;;;;8,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;0;0;0;19;Minnesota United II;19;DL;1,0
2703497531;8;5;1;0;19;1pc6sx2h4rp113ldkbp5d2xas;0;101,4;82,6;2024-07-27T00:04:24.271Z;2024-07-27T00:59:19Z;[{'id': 5118421309, 'qualifierId': 56, 'value': 'Left'}, {'id': 5118421337, 'qualifierId': 233, 'value': '5'}, {'id': 5118421311, 'qualifierId': 346}];2pka62t1zg04jwkcx6zbc4wlw;F. McRobb;;e8p914erm3l8t24lf3s2cu4gk;Out;;;;;;;;;;;;;;;;;;;5,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;0;0;0;19;Colorado Rapids II;19;DC;1,0
2703497603;6;1;1;0;34;iiolvosiuokkrl5iuoxcjo4p;1;4,6;50,3;2024-07-27T00:04:38.584Z;2024-07-27T00:04:44Z;[{'id': 5118421685, 'qualifierId': 212, 'value': '10.9'}, {'id': 5118421677, 'qualifierId': 124}, {'id': 5118421695, 'qualifierId': 237}, {'id': 5118421689, 'qualifierId': 213, 'value': '4.93'}, {'id': 5118421679, 'qualifierId': 56, 'value': 'Back'}, {'id': 5118421681, 'qualifierId': 140, 'value': '6.9'}, {'id': 5118421683, 'qualifierId': 141, 'value': '34.6'}];7vhhtm49u9nzdpc9d60empxxw;Z. Campagnolo;;e8p914erm3l8t24lf3s2cu4gk;Pass;;;;;;;;;;;4,93;;34,6;6,9;10,9;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;6,9;34,6;;;;;;;0;0;0;34;Minnesota United II;34;GK;1,0
2703497609;7;1;1;0;39;iiolvosiuokkrl5iuoxcjo4p;0;8,9;30,1;2024-07-27T00:04:44.057Z;2024-07-27T00:04:48Z;[{'id': 5118421719, 'qualifierId': 140, 'value': '43.8'}, {'id': 5118421725, 'qualifierId': 213, 'value': '5.99'}, {'id': 5118421727, 'qualifierId': 1}, {'id': 5118421715, 'qualifierId': 157}, {'id': 5118421717, 'qualifierId': 56, 'value': 'Back'}, {'id': 5118421721, 'qualifierId': 141, 'value': '14.0'}, {'id': 5118421723, 'qualifierId': 212, 'value': '38.2'}];a9w6952jyw6x83gxp94zs8ro4;J. Belluz;;e8p914erm3l8t24lf3s2cu4gk;Pass;;;;;;;;;;;5,99;;14,0;43,8;38,2;1,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;43,8;14,0;;;;;;;0;0;0;39;Minnesota United II;39;DL;1,0
2703517729;377;44;1;0;40;1pc6sx2h4rp113ldkbp5d2xas;1;55,3;83,2;2024-07-27T00:04:44.391Z;2024-07-27T00:59:19Z;[{'id': 5118535809, 'qualifierId': 56, 'value': 'Left'}, {'id': 5118535811, 'qualifierId': 286}, {'id': 5118535817, 'qualifierId': 233, 'value': '8'}];2pka62t1zg04jwkcx6zbc4wlw;F. McRobb;;e8p914erm3l8t24lf3s2cu4gk;Aerial;;;;;;;;;;;;;;;;;;;8,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;0;0;0;40;Colorado Rapids II;40;DC;1,0
2703497611;8;44;1;0;40;iiolvosiuokkrl5iuoxcjo4p;0;44,7;16,8;2024-07-27T00:04:44.392Z;2024-07-27T00:59:19Z;[{'id': 5118421731, 'qualifierId': 56, 'value': 'Back'}, {'id': 5118535827, 'qualifierId': 233, 'value': '377'}, {'id': 5118421733, 'qualifierId': 285}];7pegcq6kh8s6naujxky714ys4;N. Strellnauer;;e8p914erm3l8t24lf3s2cu4gk;Aerial;;;;;;;;;;;;;;;;;;;377,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;0;0;0;40;Minnesota United II;40;AMR;1,0
2703497615;9;1;1;0;40;1pc6sx2h4rp113ldkbp5d2xas;1;54,2;78,8;2024-07-27T00:04:45.264Z;2024-07-30T12:39:24Z;[{'id': 5118421749, 'qualifierId': 213, 'value': '0.31'}, {'id': 5118421747, 'qualifierId': 212, 'value': '23.7'}, {'id': 5118421745, 'qualifierId': 141, 'value': '89.4'}, {'id': 5118421739, 'qualifierId': 3}, {'id': 5118421741, 'qualifierId': 56, 'value': 'Left'}, {'id': 5118421743, 'qualifierId': 140, 'value': '75.7'}];2pka62t1zg04jwkcx6zbc4wlw;F. McRobb;;e8p914erm3l8t24lf3s2cu4gk;Pass;;;;;;;;;;;0,31;;89,4;75,7;23,7;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;75,7;89,4;;;;;;;0;0;0;40;Colorado Rapids II;40;DC;1,0
2703497619;10;1;1;0;45;1pc6sx2h4rp113ldkbp5d2xas;1;74,1;91,2;2024-07-27T00:04:50.384Z;2024-07-27T00:04:51Z;[{'id': 5118421779, 'qualifierId': 212, 'value': '7.1'}, {'id': 5118421781, 'qualifierId': 213, 'value': '5.33'}, {'id': 5118421773, 'qualifierId': 56, 'value': 'Left'}, {'id': 5118421777, 'qualifierId': 141, 'value': '82.7'}, {'id': 5118421775, 'qualifierId': 140, 'value': '78.0'}];clqg0gusupd6cehokpggbslck;E. Nieves;;e8p914erm3l8t24lf3s2cu4gk;Pass;;;;;;;;;;;5,33;;82,7;78,0;7,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;78,0;82,7;;;;;;;0;0;0;45;Colorado Rapids II;45;FW;1,0
2704852497;896;49;1;0;46;1pc6sx2h4rp113ldkbp5d2xas;1;76,5;93,4;2024-07-27T00:04:50.570Z;2024-07-31T08:09:23Z;[];8hftsf1ff8839jdbe3e6lmm1g;K. Romanshyn;;e8p914erm3l8t24lf3s2cu4gk;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;0;0;0;46;Colorado Rapids II;46;MC;1,0
