id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_TeamKit;value_JerseyNumber;value_Captain;value_Resume;value_PlayerPosition;value_TeamPlayerFormation;value_Involved;value_DirectionOfPlay;value_Zone;value_LongBall;value_PassEndY;value_Angle;value_KickOff;value_Length;value_PassEndX;value_Launch;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_HeadPass;value_IntendedTackleTarget;value_DeletedEventType;value_TakeOnSpace;value_TouchTypeControl;value_Direct;value_Foul;value_ShirtPull/Holding;value_FreeKickTaken;value_TouchTypePass;value_TouchTypeClearance;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_BlockedPass;value_Chipped;value_Overrun;value_LayOff;value_NextEventGoalKick;value_Low;value_GoalKick;value_IntentionalAssist;value_Assist;value_GoalmouthY;value_Blocked;value_GkX;value_GoalmouthZ;value_GkY;value_BoxLeft;value_RegularPlay;value_FirstTouch;value_RelatedEventId;value_RightFooted;value_LowLeft;value_BlockedX;value_BlockedY;value_Assisted;value_DefBlock;value_LowGkIntervention;value_KeeperThrow;value_Left;value_Right;value_OutSwinger;value_CornerTaken;value_Cross;value_LeftFooted;value_OutOfBoxCentre;value_IndividualPlay;value_FromCorner;value_LowCentre;value_BoxCentre;value_Collected;value_Stooping;value_Hands;value_NotVisible;value_Head;value_PlayersCaughtOffside;value_Indirect;value_OverArm;value_InSwinger;value_AttemptedTackle;value_Defensive1V1;value_GoalShotGameClock;value_GkYTimeOfGoal;value_BigChance;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_FlickOn;value_SwitchOfPlay;value_SmallBoxRight;value_ParriedDanger;value_SmallBoxCentre;value_NotAssisted;value_MediumGkIntervention;value_PullBack;value_OverhitCross;value_GkKickFromHands;value_BoxDeepLeft;value_SixYardBlocked;value_TakeOnOvertake;value_YellowCard;value_AdvantagePlayed;value_RecklessOffence;value_SetPiece;value_High;value_BoxRight;value_OutOfBoxDeepLeft;value_FreeKick;value_Minutes;value_CloseHigh;value_EndType;value_HighGkIntervention;value_Injury;value_InjuredPlayerId;value_Shove/Push;value_TacticalFoul;value_LowRight;value_HighRight;value_Feet;value_ParriedSafe;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_BlockedCross;value_SwerveLeft;value_NotRetreating;value_ThroughBall;value_Volley;value_Obstruction;value_Argument;value_HighLeft;value_OtherObstacle;value_NotPastGoalLine;value_FantasyAssistedBy;value_OwnGoal;value_FantasyAssistId;value_FantasyAssistType;value_FantasyAssistTeam;value_Diving;value_GoesToPenalties;value_Second(2Nd)OppositeRelatedEventId;value_Penalty;value_Scored;value_TempShotOn;value_Saved;value_Missed;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2717944839;536;49;2;53;40;6ddsx316t3j0z6nolrky9k4r8;1;13,5;30,8;2024-09-06T22:22:45.740Z;2024-09-06T22:22:46Z;[];2676930j149yvanqev61emh62;J. Rozhansky;;;f3qnsnvpm43xj0644j2qikyl0;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;;0;53;40;Atlanta United II;3220;MC;1,0
2717944845;537;1;2;53;40;6ddsx316t3j0z6nolrky9k4r8;1;13,5;30,4;2024-09-06T22:22:46.253Z;2024-09-06T22:22:48Z;[{'id': 5198066293, 'qualifierId': 56, 'value': 'Back'}, {'id': 5198066297, 'qualifierId': 141, 'value': '5.3'}, {'id': 5198066301, 'qualifierId': 213, 'value': '5.25'}, {'id': 5198066299, 'qualifierId': 212, 'value': '19.9'}, {'id': 5198066295, 'qualifierId': 140, 'value': '23.3'}];2676930j149yvanqev61emh62;J. Rozhansky;;;f3qnsnvpm43xj0644j2qikyl0;Pass;;;;;;;;;;;;5,3;5,25;;19,9;23,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;23,3;5,3;;;;;;;;0;53;40;Atlanta United II;3220;MC;1,0
2717944855;538;1;2;53;42;6ddsx316t3j0z6nolrky9k4r8;0;22,9;6,8;2024-09-06T22:22:48.029Z;2024-09-06T22:22:50Z;[{'id': 5198066373, 'qualifierId': 140, 'value': '37.6'}, {'id': 5198066377, 'qualifierId': 212, 'value': '15.4'}, {'id': 5198066375, 'qualifierId': 141, 'value': '7.0'}, {'id': 5198066379, 'qualifierId': 213, 'value': '0.01'}, {'id': 5198066371, 'qualifierId': 56, 'value': 'Back'}];1p4rbf4wumfagv2ntlewdxey;R. Arévalo;;;f3qnsnvpm43xj0644j2qikyl0;Pass;;;;;;;;;;;;7,0;0,01;;15,4;37,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;37,6;7,0;;;;;;;;0;53;42;Atlanta United II;3222;AMR;1,0
2717944861;417;3;2;53;45;erwnez7ksfkns4dqmyr1fhbe;0;59,3;90,0;2024-09-06T22:22:51.127Z;2024-09-10T05:53:54Z;[{'id': 5198066489, 'qualifierId': 233, 'value': '539'}, {'id': 5202972131, 'qualifierId': 464}, {'id': 5198066409, 'qualifierId': 56, 'value': 'Left'}, {'id': 5198066411, 'qualifierId': 286}];8pzkxfe5txe71u08n67d8k1uy;E. Morales;;;f3qnsnvpm43xj0644j2qikyl0;Take On;;;;;;;;;;;;;;;;;;539,0;;1,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;53;45;New York City II;3225;DC;1,0
2717944875;539;7;2;53;45;6ddsx316t3j0z6nolrky9k4r8;1;40,7;10,0;2024-09-06T22:22:51.128Z;2024-09-10T05:53:57Z;[{'id': 5202972145, 'qualifierId': 383}, {'id': 5198066469, 'qualifierId': 56, 'value': 'Back'}, {'id': 5198066479, 'qualifierId': 233, 'value': '417'}, {'id': 5198066471, 'qualifierId': 285}];1d20nyyvmp0doobj6heejkowk;T. Calheira;;;f3qnsnvpm43xj0644j2qikyl0;Tackle;;;;;;;;;;;;;;;;;;417,0;1,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;;0;53;45;Atlanta United II;3225;AMC;1,0
2717944887;540;1;2;53;47;6ddsx316t3j0z6nolrky9k4r8;0;41,6;8,5;2024-09-06T22:22:52.861Z;2024-09-06T22:22:54Z;[{'id': 5198066527, 'qualifierId': 1}, {'id': 5198066523, 'qualifierId': 212, 'value': '33.0'}, {'id': 5198066519, 'qualifierId': 140, 'value': '72.3'}, {'id': 5198066521, 'qualifierId': 141, 'value': '19.1'}, {'id': 5198066517, 'qualifierId': 56, 'value': 'Right'}, {'id': 5198066525, 'qualifierId': 213, 'value': '0.22'}];1d20nyyvmp0doobj6heejkowk;T. Calheira;;;f3qnsnvpm43xj0644j2qikyl0;Pass;;;;;;;;;;;1,0;19,1;0,22;;33,0;72,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;72,3;19,1;;;;;;;;0;53;47;Atlanta United II;3227;AMC;1,0
2717944891;418;49;2;53;49;erwnez7ksfkns4dqmyr1fhbe;1;32,1;86,0;2024-09-06T22:22:54.503Z;2024-09-06T22:22:54Z;[];d3gmzmf34c6o8vzngnf7ishlg;N. Cobb;;;f3qnsnvpm43xj0644j2qikyl0;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;53;49;New York City II;3229;DL;1,0
2717944905;419;1;2;53;49;erwnez7ksfkns4dqmyr1fhbe;1;32,1;86,0;2024-09-06T22:22:54.968Z;2024-09-06T22:22:58Z;[{'id': 5198066607, 'qualifierId': 1}, {'id': 5198066605, 'qualifierId': 213, 'value': '3.99'}, {'id': 5198066593, 'qualifierId': 56, 'value': 'Back'}, {'id': 5198066601, 'qualifierId': 141, 'value': '50.4'}, {'id': 5198066603, 'qualifierId': 212, 'value': '32.3'}, {'id': 5198066597, 'qualifierId': 140, 'value': '11.7'}];d3gmzmf34c6o8vzngnf7ishlg;N. Cobb;;;f3qnsnvpm43xj0644j2qikyl0;Pass;;;;;;;;;;;1,0;50,4;3,99;;32,3;11,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;11,7;50,4;;;;;;;;0;53;49;New York City II;3229;DL;1,0
2717944915;420;1;2;53;53;erwnez7ksfkns4dqmyr1fhbe;1;13,3;47,8;2024-09-06T22:22:58.552Z;2024-09-06T22:23:01Z;[{'id': 5198066641, 'qualifierId': 212, 'value': '25.5'}, {'id': 5198066637, 'qualifierId': 140, 'value': '25.1'}, {'id': 5198066643, 'qualifierId': 213, 'value': '5.22'}, {'id': 5198066635, 'qualifierId': 56, 'value': 'Back'}, {'id': 5198066639, 'qualifierId': 141, 'value': '15.1'}];f1e7n1pmjklbr35g7uuqdr78q;J. Hibbert;;;f3qnsnvpm43xj0644j2qikyl0;Pass;;;;;;;;;;;;15,1;5,22;;25,5;25,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;25,1;15,1;;;;;;;;0;53;53;New York City II;3233;GK;1,0
2717944925;421;1;2;53;55;erwnez7ksfkns4dqmyr1fhbe;1;23,2;9,4;2024-09-06T22:23:01.319Z;2024-09-06T22:23:04Z;[{'id': 5198066693, 'qualifierId': 141, 'value': '2.5'}, {'id': 5198066697, 'qualifierId': 213, 'value': '5.93'}, {'id': 5198066689, 'qualifierId': 56, 'value': 'Back'}, {'id': 5198066691, 'qualifierId': 140, 'value': '35.2'}, {'id': 5198066695, 'qualifierId': 212, 'value': '13.4'}];5c7gqtyra887hjyg502tvzn1m;M. Edwards;;;f3qnsnvpm43xj0644j2qikyl0;Pass;;;;;;;;;;;;2,5;5,93;;13,4;35,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;35,2;2,5;;;;;;;;0;53;55;New York City II;3235;DR;1,0
