id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_PlayerPosition;value_Involved;value_TeamPlayerFormation;value_TeamFormation;value_TeamKit;value_Resume;value_JerseyNumber;value_Captain;value_DirectionOfPlay;value_Zone;value_Length;value_PassEndX;value_KickOff;value_Angle;value_PassEndY;value_LongBall;value_Launch;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_HeadPass;value_DeletedEventType;value_Chipped;value_FlickOn;value_TouchTypeControl;value_AttemptedTackle;value_Foul;value_Direct;value_FreeKickTaken;value_LayOff;value_NextEventThrowIn;value_ThrowIn;value_TouchTypePass;value_IntendedTackleTarget;value_NextEventGoalKick;value_Low;value_GoalKick;value_BlockedPass;value_OutOfPlay;value_Defensive1V1;value_TakeOnSpace;value_ShirtPull/Holding;value_TakeOnOvertake;value_TouchTypeClearance;value_RelatedEventId;value_YellowCard;value_TacticalFoul;value_SwerveLeft;value_OutOfBoxCentre;value_NotAssisted;value_FreeKick;value_BlockedY;value_GoalmouthZ;value_BlockedX;value_RightFooted;value_LowCentre;value_GoalmouthY;value_Diving;value_Hands;value_ParriedSafe;value_LowGkIntervention;value_Right;value_Left;value_CornerNotTaken;value_Cross;value_OutSwinger;value_CornerTaken;value_HighGkIntervention;value_LeftFooted;value_HighClaim;value_KeeperThrow;value_OverArm;value_LeadingToGoal;value_RegularPlay;value_Assist;value_IntentionalAssist;value_Assisted;value_BigChance;value_GoalShotTimestamp;value_GoalShotGameClock;value_GkX;value_RelatedError1Id;value_Volley;value_GkY;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_BoxCentre;value_FirstTouch;value_InSwinger;value_Head;value_Unchallenged;value_Straight;value_DrivenCross;value_NotVisible;value_Shove/Push;value_BlockedCross;value_Handball;value_OtherObstacle;value_BallHitsReferee;value_Blocked;value_DefBlock;value_PlayersCaughtOffside;value_Indirect;value_ThroughBall;value_IndividualPlay;value_Deflection;value_LowRight;value_Collected;value_ThrowInSetPiece;value_SixYardBlocked;value_InjuredPlayerId;value_Injury;value_Overrun;value_RecklessOffence;value_SwitchOfPlay;value_OverhitCross;value_PullBack;value_LowLeft;value_BoxLeft;value_Minutes;value_High;value_EndType;value_CloseLeft;value_SavedOffLine;value_LastLine;value_SmallBoxRight;value_Feet;value_Stooping;value_PenaltyTakerId;value_Penalty;value_FantasyAssistType;value_FantasyAssistedBy;value_HighLeft;value_FantasyAssistId;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_FantasyAssistTeam;value_Scored;value_FastBreak;value_FromCorner;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_SmallBoxCentre;value_MediumGkIntervention;value_OtherBodyPart;value_ParriedDanger;value_HighRight;value_HitWoodwork;value_HitRightPost;value_TempShotOn;value_AerialFoul;value_TimeWasting;value_MisHit;value_SetPiece;value_GkHoof;value_HighCentre;value_GoesToPenalties;value_Saved;value_KeeperTouched;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2663257645;1;34;16;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-03-24T20:05:21.597Z;2024-03-27T13:49:33Z;[{'id': 4899262495, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4899262493, 'qualifierId': 30, 'value': '76xo0u2yd2cqf8xdyh8rteqdw, 5gd78gkv3k39vofarmapgeuj8, 92np3jwhxchmtfeov82ehe13o, 8q2wozyqz4nveabn71hc614dm, 59kitnlge8bjsxmhy850bsutw, e2tuar1frliervcr2mnmvfspg, es0bxxdxf6bco25evmg19ic4, a79oz5xhvq7gz2k2j20sa02dw, 7ak1pv4uqkfa5cxsnthsjvfca, 8y7kqet5swj9dmqama0z5ngus, afqry84j23xgkhqryrontj190, e23u0x31okggroh6dkoqx5fdg, gz9dek1oxgman9jslfku0zmy, 8u0efvao8rym6mdx0tl0h0qac, 6rgdv71lxh4cpz487ygvy5nv8, o3gftw0hatp1r62ynjmlaaui, 80p7shawtxjiydizsg5fo5a1g, ov4fk38lrcculu6tdbnrto2c, 5u3ohty1lsm0fn2ltez4g7o5w, 4akvdujqbywk628gok9xbh2j8'}, {'id': 4899262501, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4899262499, 'qualifierId': 130, 'value': '2'}, {'id': 4899358681, 'qualifierId': 197, 'value': '23373'}, {'id': 4899262503, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4899262497, 'qualifierId': 59, 'value': '57, 20, 42, 65, 34, 23, 37, 48, 33, 16, 82, 27, 35, 44, 45, 46, 77, 90, 91, 97'}, {'id': 4899398079, 'qualifierId': 194, 'value': 'afqry84j23xgkhqryrontj190'}];;;;;btn4yv7vq02d43eueyko1nwno;Team set up;;;;2,0;23373,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;;0;0;0;Inter Miami II;0;;
2663260791;1;34;16;0;0;c7c4wwva2u1vb3rr7rwava044;1;0,0;0,0;2024-03-24T20:14:45.978Z;2024-03-24T21:25:21Z;[{'id': 4899403839, 'qualifierId': 197, 'value': '23485'}, {'id': 4899279677, 'qualifierId': 59, 'value': '99, 2, 13, 6, 4, 12, 8, 10, 70, 24, 7, 1, 16, 17, 21, 22, 37, 39, 40, 42'}, {'id': 4899279683, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 4899279673, 'qualifierId': 30, 'value': 'as5066ocmlp4tub6d3tnabi1g, 4kng7wg83mastngy9hw7j6v6y, 9hxomhr5g6zy05ei4z4lhrklw, bmuuex6k6mwfnqmvvq4ai0f10, c1fvknrf94i05q738d5r7vmdw, 3x8f4j8q49d8hft60a6k8l5as, cjjvy22j5q0piz5omn2tf18us, bn5ic0uuxaupf6hs2tgqqq0b8, 1874nj27f507jqja4e8zla1as, cr0qx5v3zpktzejoh6f6kyzv8, 977s1fxwxwxqbged7jln0nka2, 19igj31auu88fhwdpfz8c1coa, 5jok5ffdlqbjjzysdj4d0lp1w, infc7r3a8oktbajwp4pff7dg, 7uj52qs9yf21gxixhrowyvswk, 9z7fz0c95ib7oniguzwbihs0k, 65sa9ybeyaj1lqxkdjczwc9as, 97q9pw2flp2acjx03za1yr7ro, bd6zlzf3vkop84kscfco7yeqc, 4vwq8vqcqwx56irzaa7zi2xw4'}, {'id': 4899279679, 'qualifierId': 130, 'value': '4'}, {'id': 4899398155, 'qualifierId': 194, 'value': 'bn5ic0uuxaupf6hs2tgqqq0b8'}, {'id': 4899279675, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 4899279681, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;btn4yv7vq02d43eueyko1nwno;Team set up;;;;4,0;23485,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;;0;0;0;New York RB II;0;;
2663275789;2;32;1;0;0;c7c4wwva2u1vb3rr7rwava044;1;0,0;0,0;2024-03-24T21:04:13.095Z;2024-03-24T21:04:13Z;[{'id': 4899363631, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;btn4yv7vq02d43eueyko1nwno;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;;0;0;0;New York RB II;0;;
2663275799;2;32;1;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-03-24T21:04:13.095Z;2024-03-29T12:17:13Z;[{'id': 4899363671, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;btn4yv7vq02d43eueyko1nwno;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;;0;0;0;Inter Miami II;0;;
2663275809;3;1;1;0;0;c7c4wwva2u1vb3rr7rwava044;1;50,0;50,0;2024-03-24T21:04:13.096Z;2024-03-27T13:53:14Z;[{'id': 4899363729, 'qualifierId': 56, 'value': 'Back'}, {'id': 4899363735, 'qualifierId': 212, 'value': '20.0'}, {'id': 4899363731, 'qualifierId': 140, 'value': '31.9'}, {'id': 4899363739, 'qualifierId': 279, 'value': 'S'}, {'id': 4899363737, 'qualifierId': 213, 'value': '3.46'}, {'id': 4899363733, 'qualifierId': 141, 'value': '40.9'}];bn5ic0uuxaupf6hs2tgqqq0b8;S. Morales;;;btn4yv7vq02d43eueyko1nwno;Pass;;;;;;;;;;;20,0;31,9;;3,46;40,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;31,9;40,9;;;;;;;;0;0;0;New York RB II;0;MC;1,0
2663275817;4;1;1;0;3;c7c4wwva2u1vb3rr7rwava044;0;31,9;40,9;2024-03-24T21:04:16.972Z;2024-03-27T13:53:19Z;[{'id': 4899363777, 'qualifierId': 141, 'value': '87.4'}, {'id': 4899363783, 'qualifierId': 1}, {'id': 4899363773, 'qualifierId': 56, 'value': 'Left'}, {'id': 4899363779, 'qualifierId': 212, 'value': '50.7'}, {'id': 4901968467, 'qualifierId': 157}, {'id': 4899363775, 'qualifierId': 140, 'value': '69.7'}, {'id': 4899363781, 'qualifierId': 213, 'value': '0.67'}];c1fvknrf94i05q738d5r7vmdw;T. Hall;;;btn4yv7vq02d43eueyko1nwno;Pass;;;;;;;;;;;50,7;69,7;;0,67;87,4;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;69,7;87,4;;;;;;;;0;0;3;New York RB II;3;DL;1,0
2663275825;3;44;1;0;5;4g68p0t2f5jzhzfr67i2rj1ex;1;31,4;12,8;2024-03-24T21:04:19.048Z;2024-03-24T21:04:21Z;[{'id': 4899363829, 'qualifierId': 285}, {'id': 4899363827, 'qualifierId': 56, 'value': 'Back'}, {'id': 4899363849, 'qualifierId': 233, 'value': '5'}];5gd78gkv3k39vofarmapgeuj8;J. Mina;;;btn4yv7vq02d43eueyko1nwno;Aerial;;;;;;;;;;;;;;;;;;1,0;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;;0;0;5;Inter Miami II;5;DR;1,0
2663275827;5;44;1;0;5;c7c4wwva2u1vb3rr7rwava044;0;68,6;87,2;2024-03-24T21:04:19.049Z;2024-03-27T13:53:43Z;[{'id': 4899363833, 'qualifierId': 286}, {'id': 4899363831, 'qualifierId': 56, 'value': 'Left'}, {'id': 4899363865, 'qualifierId': 233, 'value': '3'}];1874nj27f507jqja4e8zla1as;B. Destin;;;btn4yv7vq02d43eueyko1nwno;Aerial;;;;;;;;;;;;;;;;;;;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;;0;0;5;New York RB II;5;FW;1,0
2663275855;4;1;1;0;6;4g68p0t2f5jzhzfr67i2rj1ex;1;30,4;11,0;2024-03-24T21:04:19.216Z;2024-03-27T15:22:57Z;[{'id': 4899363985, 'qualifierId': 3}, {'id': 4899363993, 'qualifierId': 212, 'value': '6.7'}, {'id': 4899363995, 'qualifierId': 213, 'value': '5.81'}, {'id': 4899363987, 'qualifierId': 56, 'value': 'Back'}, {'id': 4899363989, 'qualifierId': 140, 'value': '36.1'}, {'id': 4899363991, 'qualifierId': 141, 'value': '6.5'}];5gd78gkv3k39vofarmapgeuj8;J. Mina;;;btn4yv7vq02d43eueyko1nwno;Pass;;;;;;;;;;;6,7;36,1;;5,81;6,5;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;36,1;6,5;;;;;;;;0;0;6;Inter Miami II;6;DR;1,0
2663277363;48;49;1;0;8;4g68p0t2f5jzhzfr67i2rj1ex;1;46,1;11,0;2024-03-24T21:04:21.249Z;2024-03-24T21:09:38Z;[];es0bxxdxf6bco25evmg19ic4;M. Sofo;;;btn4yv7vq02d43eueyko1nwno;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;;0;0;8;Inter Miami II;8;MR;1,0
