id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_Involved;value_PlayerPosition;value_TeamFormation;value_TeamPlayerFormation;value_TeamKit;value_Resume;value_Captain;value_DirectionOfPlay;value_PassEndY;value_Length;value_Angle;value_PassEndX;value_KickOff;value_Zone;value_ShirtPull/Holding;value_Offensive;value_OppositeRelatedEventId;value_Foul;value_Direct;value_Defensive;value_FreeKickTaken;value_IntendedTackleTarget;value_DeletedEventType;value_LongBall;value_BlockedPass;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_Cross;value_Chipped;value_AttemptedTackle;value_Head;value_Assist;value_GoalmouthY;value_RelatedEventId;value_BlockedX;value_RegularPlay;value_IndividualPlay;value_Assisted;value_OutOfBoxCentre;value_LeftFooted;value_BlockedY;value_LowCentre;value_GoalmouthZ;value_Standing;value_Collected;value_Hands;value_KeeperThrow;value_NextEventGoalKick;value_High;value_GoalKick;value_Launch;value_HeadPass;value_Shove/Push;value_Handball;value_SwitchOfPlay;value_OverArm;value_LayOff;value_TacticalFoul;value_YellowCard;value_RecklessOffence;value_NotVisible;value_Left;value_Right;value_CornerTaken;value_Straight;value_RightFooted;value_HighCentre;value_Reaching;value_InSwinger;value_IntentionalAssist;value_BoxCentre;value_GkY;value_FirstTouch;value_CloseLeft;value_GkX;value_OverhitCross;value_Dissent;value_Overrun;value_BlockedCross;value_HighClaim;value_GkKickFromHands;value_BoxRight;value_LowRight;value_Minutes;value_EndType;value_BoxLeft;value_HighLeft;value_FlickOn;value_LowLeft;value_Blocked;value_DefBlock;value_OutSwinger;value_BoxDeepLeft;value_Low;value_35Centre;value_BigChance;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_ThroughBall;value_InjuredPlayerId;value_Injury;value_CloseRight;value_FromCorner;value_Feet;value_Stooping;value_ParriedSafe;value_SmallBoxCentre;value_NotAssisted;value_Sliding;value_HitLeftPost;value_GoalShotGameClock;value_GoalShotTimestamp;value_HitWoodwork;value_GkHoof;value_AerialFoul;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2731810017;1;34;16;0;0;c7c4wwva2u1vb3rr7rwava044;1;0,0;0,0;2024-10-06T16:05:46.986Z;2024-10-06T18:10:04Z;[{'id': 5273790431, 'qualifierId': 59, 'value': '1, 2, 13, 21, 12, 3, 23, 10, 9, 22, 17, 4, 11, 71, 36, 39, 40, 85, 90, 18'}, {'id': 5273790425, 'qualifierId': 30, 'value': '19igj31auu88fhwdpfz8c1coa, 4kng7wg83mastngy9hw7j6v6y, 9hxomhr5g6zy05ei4z4lhrklw, 7uj52qs9yf21gxixhrowyvswk, 3x8f4j8q49d8hft60a6k8l5as, 6lsvk9o6d581sd33g38mr6904, 7ve3vmg19c3g91j7zs32oecd0, bn5ic0uuxaupf6hs2tgqqq0b8, cliiemf1ih37qhh1wi1olk9ka, 9z7fz0c95ib7oniguzwbihs0k, infc7r3a8oktbajwp4pff7dg, c1fvknrf94i05q738d5r7vmdw, 55y26r9mz105vrqmnq739l62, a12cqkgsa6ljy4jzctqmoror8, 3vssz1vq3p0tv1ks0hqrpxjis, 97q9pw2flp2acjx03za1yr7ro, bd6zlzf3vkop84kscfco7yeqc, 9owtf360wi6ky1cr4qwnnfk0k, 8l4bqb8gtyzqpx3pti200phqs, 78837xw5xvx9xeystdzy6cc2c'}, {'id': 5273790429, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5273790433, 'qualifierId': 130, 'value': '4'}, {'id': 5273790435, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5274120377, 'qualifierId': 197, 'value': '23485'}, {'id': 5273790437, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5274594279, 'qualifierId': 194, 'value': '4kng7wg83mastngy9hw7j6v6y'}];;;;;jsfono2kxucpdz0mkzlx3cb8;Team set up;;;;4,0;;23485,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;0;0;0;0;Carolina Core;0;;
2731813357;1;34;16;0;0;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-10-06T16:08:36.174Z;2024-10-06T18:11:31Z;[{'id': 5273808941, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5274119735, 'qualifierId': 197, 'value': '24529'}, {'id': 5273808943, 'qualifierId': 59, 'value': '98, 17, 22, 6, 20, 4, 12, 29, 15, 24, 10, 1, 14, 99, 21, 11, 13, 26, 2, 68'}, {'id': 5273808945, 'qualifierId': 130, 'value': '17'}, {'id': 5274605087, 'qualifierId': 194, 'value': '6oia90bi52zwmgdlvcvfnj1pm'}, {'id': 5273808949, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5273808939, 'qualifierId': 30, 'value': '9i2pmc50q29y560ojvik3sdg4, 4t078b0rnzmi8u83wzmdwze38, 5zhvp39a530j8j03lsrtk8bv8, 1y1nw8t5bj1r6dqie0v1i189g, f0jwa1a61lxs31g47csjv7itw, 2d9cw6dcm2wsgrr8mj5rt6zje, f3uzkdl46t1mujsddhr5tg07o, clvcgt5ofonse0q96sppu7hg4, 8p0k65b4c26ssfk0zh43lme7e, 3jx1f1s8r150i6qo2juzooro4, 6oia90bi52zwmgdlvcvfnj1pm, 8qgdg40qe62yreujy7rueil0p, 3acyax22zfwdjw0cpgg4x7dre, 6qu8uu28fk2dbbeymuu6yii38, 1j1ybmazykfh5nqs7egkcdxck, ami9xddgghvnly4mwtdj2tlyi, 1nbbgew67td8zayaffvr1zcb8, 2m4ey78f4i74njf3xsycaufx0, 74x5zysb9qkyyxuha65102z56, 1d3o1u737jwck27g5ql2pp3vt'}, {'id': 5273808951, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;jsfono2kxucpdz0mkzlx3cb8;Team set up;;;;17,0;;24529,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;0;0;0;0;Inter Miami II;0;;
2731870817;2;32;1;0;0;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-10-06T17:06:41.912Z;2024-10-06T17:06:42Z;[{'id': 5274124355, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;jsfono2kxucpdz0mkzlx3cb8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;0;0;0;0;Inter Miami II;0;;
2731870835;2;32;1;0;0;c7c4wwva2u1vb3rr7rwava044;1;0,0;0,0;2024-10-06T17:06:41.912Z;2024-10-06T17:06:45Z;[{'id': 5274124449, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;jsfono2kxucpdz0mkzlx3cb8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;0;0;0;0;Carolina Core;0;;
2731870945;3;1;1;0;0;2nnef9tr9g7m2s6n873qif95g;1;50,0;50,0;2024-10-06T17:06:41.913Z;2024-10-06T17:06:47Z;[{'id': 5274125085, 'qualifierId': 141, 'value': '65.4'}, {'id': 5274125087, 'qualifierId': 212, 'value': '13.4'}, {'id': 5274125089, 'qualifierId': 213, 'value': '2.24'}, {'id': 5274125083, 'qualifierId': 140, 'value': '42.1'}, {'id': 5274125091, 'qualifierId': 279, 'value': 'S'}, {'id': 5274125081, 'qualifierId': 56, 'value': 'Back'}];8p0k65b4c26ssfk0zh43lme7e;D. Polanco;;;jsfono2kxucpdz0mkzlx3cb8;Pass;;;;;;;;;;65,4;13,4;2,24;42,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;42,1;65,4;;;;;;;0;0;0;0;Inter Miami II;0;AMC;1,0
2731870965;4;1;1;0;5;2nnef9tr9g7m2s6n873qif95g;1;42,0;65,2;2024-10-06T17:06:47.178Z;2024-10-06T17:06:48Z;[{'id': 5274125251, 'qualifierId': 141, 'value': '58.7'}, {'id': 5274125255, 'qualifierId': 213, 'value': '3.67'}, {'id': 5274125253, 'qualifierId': 212, 'value': '8.8'}, {'id': 5274125247, 'qualifierId': 56, 'value': 'Back'}, {'id': 5274125249, 'qualifierId': 140, 'value': '34.8'}];6oia90bi52zwmgdlvcvfnj1pm;J. Evans;;;jsfono2kxucpdz0mkzlx3cb8;Pass;;;;;;;;;;58,7;8,8;3,67;34,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;34,8;58,7;;;;;;;0;0;0;5;Inter Miami II;5;FW;1,0
2731870997;5;1;1;0;6;2nnef9tr9g7m2s6n873qif95g;1;34,1;58,7;2024-10-06T17:06:48.181Z;2024-10-06T17:06:49Z;[{'id': 5274125425, 'qualifierId': 56, 'value': 'Back'}, {'id': 5274125431, 'qualifierId': 212, 'value': '14.7'}, {'id': 5274125429, 'qualifierId': 141, 'value': '77.3'}, {'id': 5274125427, 'qualifierId': 140, 'value': '26.9'}, {'id': 5274125433, 'qualifierId': 213, 'value': '2.11'}];clvcgt5ofonse0q96sppu7hg4;S. Cambindo;;;jsfono2kxucpdz0mkzlx3cb8;Pass;;;;;;;;;;77,3;14,7;2,11;26,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;26,9;77,3;;;;;;;0;0;0;6;Inter Miami II;6;DMC;1,0
2731871049;6;1;1;0;7;2nnef9tr9g7m2s6n873qif95g;1;26,9;77,3;2024-10-06T17:06:49.643Z;2024-10-06T17:06:51Z;[{'id': 5274125675, 'qualifierId': 212, 'value': '24.1'}, {'id': 5274125677, 'qualifierId': 213, 'value': '0.56'}, {'id': 5274125671, 'qualifierId': 140, 'value': '46.3'}, {'id': 5274125673, 'qualifierId': 141, 'value': '96.2'}, {'id': 5274125669, 'qualifierId': 56, 'value': 'Back'}];1y1nw8t5bj1r6dqie0v1i189g;Juan Pablo Rodríguez;;;jsfono2kxucpdz0mkzlx3cb8;Pass;;;;;;;;;;96,2;24,1;0,56;46,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;46,3;96,2;;;;;;;0;0;0;7;Inter Miami II;7;DC;1,0
2731871175;7;1;1;0;9;2nnef9tr9g7m2s6n873qif95g;1;46,3;96,2;2024-10-06T17:06:51.411Z;2024-10-06T17:06:58Z;[{'id': 5274126401, 'qualifierId': 56, 'value': 'Back'}, {'id': 5274126407, 'qualifierId': 141, 'value': '75.9'}, {'id': 5274126403, 'qualifierId': 140, 'value': '39.9'}, {'id': 5274126417, 'qualifierId': 213, 'value': '4.26'}, {'id': 5274126411, 'qualifierId': 212, 'value': '15.4'}];5zhvp39a530j8j03lsrtk8bv8;C. Gregoire;;;jsfono2kxucpdz0mkzlx3cb8;Pass;;;;;;;;;;75,9;15,4;4,26;39,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;39,9;75,9;;;;;;;0;0;0;9;Inter Miami II;9;DML;1,0
2731871219;8;1;1;0;16;2nnef9tr9g7m2s6n873qif95g;1;40,1;76,9;2024-10-06T17:06:58.651Z;2024-10-06T17:07:00Z;[{'id': 5274126657, 'qualifierId': 141, 'value': '92.4'}, {'id': 5274126661, 'qualifierId': 213, 'value': '0.40'}, {'id': 5274126659, 'qualifierId': 212, 'value': '27.2'}, {'id': 5274126655, 'qualifierId': 140, 'value': '64.0'}, {'id': 5274126653, 'qualifierId': 56, 'value': 'Left'}];clvcgt5ofonse0q96sppu7hg4;S. Cambindo;;;jsfono2kxucpdz0mkzlx3cb8;Pass;;;;;;;;;;92,4;27,2;0,4;64,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;64,0;92,4;;;;;;;0;0;0;16;Inter Miami II;16;DMC;1,0
