id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_Captain;value_TeamFormation;value_Involved;value_TeamKit;value_JerseyNumber;value_TeamPlayerFormation;value_Resume;value_PlayerPosition;value_DirectionOfPlay;value_PassEndX;value_PassEndY;value_Angle;value_KickOff;value_Length;value_Zone;value_Chipped;value_LongBall;value_HighGkIntervention;value_KeeperThrow;value_OverArm;value_OppositeRelatedEventId;value_Offensive;value_TakeOnOvertake;value_Defensive;value_Foul;value_Direct;value_ShirtPull/Holding;value_FreeKickTaken;value_DeletedEventType;value_TouchTypeControl;value_RightFooted;value_Cross;value_InSwinger;value_IntendedTackleTarget;value_NextEventThrowIn;value_ThrowIn;value_TouchTypePass;value_LayOff;value_BlockedPass;value_OutOfPlay;value_Head;value_HeadPass;value_LeftFooted;value_OutSwinger;value_Left;value_CornerTaken;value_AttemptedTackle;value_TakeOnSpace;value_TouchTypeClearance;value_SwitchOfPlay;value_NextEventGoalKick;value_Low;value_NotVisible;value_GoalKick;value_Straight;value_IntentionalAssist;value_DrivenCross;value_Assist;value_RegularPlay;value_GoalmouthZ;value_GkX;value_BoxCentre;value_GkY;value_Assisted;value_GoalShotGameClock;value_GkYTimeOfGoal;value_HighCentre;value_RelatedEventId;value_GoalShotTimestamp;value_FirstTouch;value_GoalmouthY;value_GkXTimeOfGoal;value_Strong;value_LowLeft;value_NotAssisted;value_BlockedY;value_BlockedX;value_OutOfBoxCentre;value_Blocked;value_IndividualPlay;value_DefBlock;value_LowRight;value_Standing;value_Fumble;value_Hands;value_MediumGkIntervention;value_ParriedDanger;value_LowGkIntervention;value_HighRight;value_Volley;value_High;value_SetPiece;value_LeadingToGoal;value_SmallBoxCentre;value_RelatedError1Id;value_BigChance;value_LowCentre;value_PlayersCaughtOffside;value_Indirect;value_BoxRight;value_Defensive1V1;value_Collected;value_BlockedCross;value_Right;value_HighClaim;value_Overrun;value_FromCorner;value_YellowCard;value_TacticalFoul;value_Launch;value_Shove/Push;value_NotRetreating;value_CloseRight;value_Diving;value_ThrowInSetPiece;value_Feet;value_ParriedSafe;value_Deflection;value_Minutes;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_FlickOn;value_OverhitCross;value_FantasyAssistedBy;value_FantasyAssistTeam;value_FantasyAssistId;value_FantasyAssistType;value_IncorrectOutOfPlayDecision;value_CloseLeft;value_NotPastGoalLine;value_RecklessOffence;value_FastBreak;value_Stooping;value_Dissent;value_OutOfBoxDeepLeft;value_SmallBoxRight;value_SixYardBlocked;value_PullBack;value_GkKickFromHands;value_DangerousPlay;value_HighLeft;value_SmallBoxLeft;value_Penalty;value_PenaltyTakerId;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_Scored;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2721101415;1;34;16;0;0;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-09-15T18:06:57.287Z;2024-09-15T19:32:56Z;[{'id': 5215643587, 'qualifierId': 194, 'value': 'd5kcfgycj51y6aw82r38sl7o4'}, {'id': 5215220993, 'qualifierId': 130, 'value': '4'}, {'id': 5215220987, 'qualifierId': 30, 'value': 'f1e7n1pmjklbr35g7uuqdr78q, 3uzxhd8g0jnft5xcd59yztm95, f69xf0cdfn1qe63t5tr5in10, 1b9b97pxox77ia41cilqqm4iy, 8pzkxfe5txe71u08n67d8k1uy, 3lafo3mzfkp2kmf2fj8d6lnv8, d5kcfgycj51y6aw82r38sl7o4, 6ahu72g0u39bxbjiz7ggefai1, 5zeta56pml2qki1q095myhvys, 7y5v3oex0pnupaahm8arguluc, astn4ytzoaav30ifi17s4dn8, eg5gobm8zylt21enud00dfnmy, a63su8pudaernrvj1fi9006qc, ax2y5fvc4dzwn4qkxrfutapsk, ctiorjdoewl12d0mtj1nqmas4, bjk2ns3xadow18v3tkvqqrkh6, dtb9aa7wp7e73bm367myma1n9, 2iz7apzo49byqz0ws65h9d7v8, b56zx0iumlw5cpjctu307c74k, 2xkp7vkeqahj9hg171ramritw'}, {'id': 5215491041, 'qualifierId': 197, 'value': '4451'}, {'id': 5215220991, 'qualifierId': 59, 'value': '42, 36, 50, 30, 21, 38, 86, 45, 43, 55, 41, 99, 25, 62, 49, 75, 88, 95, 57, 94'}, {'id': 5215220995, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5215220997, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5215220989, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;;5eiwin6m1ptykc4p4mdkzt3o;Team set up;;4,0;;4451,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;;0;0;0;Huntsville City;0;;
2721111217;1;34;16;0;0;4gymgvqmve0m2vh89v84tt3x0;1;0,0;0,0;2024-09-15T18:18:45.945Z;2024-09-15T19:05:42Z;[{'id': 5215277495, 'qualifierId': 30, 'value': '4r4a2d3piuh8wusw8ftrsh016, 2ijhxcgr8wqnb8ovss9064jmy, 374euncv00zs2oy6ux1u519be, 5mkyx29nr54rr3quwdgfpz3oq, d9cioqeofh2tfg3171r5nlb10, 3s1a50dskuehneuuy9b1nxg4, dz7v9xfcwdvjioeyv4z54neqy, 6qe888q8yqq73bxr27jbyu2hg, c08hvq1hplcct8kxrxucfpqp6, 5m3bxdstyhzoplpzam8c94t90, 4wy7kbv694s6xrm3tfsyl4hyh, 5iy3sz4b3mokizd2qlcskl5d6, 8bnjioj1guv0abf5zdd21c2ui, amcmxrycu0kldox7qdohow2ui, 2mmciwk6gllcf11plcch710yc, 9ncybediodv8share9pox2kno, 6jzijlp0e2w4qjan9eto35wd0, 63td0sigm6tp2tg8yovf5npm2, 42zmyz1t6mqap5pyfqxiaadqs, c18ruk8qqfggqv7s0mzyq6yhg'}, {'id': 5215277497, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5215495665, 'qualifierId': 197, 'value': '19319'}, {'id': 5215277505, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5215277503, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5215495663, 'qualifierId': 194, 'value': 'dz7v9xfcwdvjioeyv4z54neqy'}, {'id': 5215277501, 'qualifierId': 130, 'value': '3'}, {'id': 5215277499, 'qualifierId': 59, 'value': '39, 56, 13, 32, 2, 15, 17, 10, 28, 9, 54, 16, 29, 38, 1, 3, 5, 12, 40, 27'}];;;;;5eiwin6m1ptykc4p4mdkzt3o;Team set up;;3,0;;19319,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;;;;;;;;;;0;0;0;Atlanta United II;0;;
2721150063;2;32;1;0;0;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-09-15T19:06:25.897Z;2024-09-19T07:09:41Z;[{'id': 5215499383, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;5eiwin6m1ptykc4p4mdkzt3o;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;;0;0;0;Huntsville City;0;;
2721150053;2;32;1;0;0;4gymgvqmve0m2vh89v84tt3x0;1;0,0;0,0;2024-09-15T19:06:25.897Z;2024-09-15T19:06:26Z;[{'id': 5215499327, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;5eiwin6m1ptykc4p4mdkzt3o;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;;;;;;;;;;0;0;0;Atlanta United II;0;;
2721150069;3;1;1;0;0;4gymgvqmve0m2vh89v84tt3x0;1;50,0;50,1;2024-09-15T19:06:25.898Z;2024-09-15T19:06:28Z;[{'id': 5215499415, 'qualifierId': 140, 'value': '39.6'}, {'id': 5215499417, 'qualifierId': 141, 'value': '54.0'}, {'id': 5215499421, 'qualifierId': 213, 'value': '2.90'}, {'id': 5215499423, 'qualifierId': 279, 'value': 'S'}, {'id': 5215499419, 'qualifierId': 212, 'value': '11.2'}, {'id': 5215499413, 'qualifierId': 56, 'value': 'Back'}];5m3bxdstyhzoplpzam8c94t90;F. Ajago;;;5eiwin6m1ptykc4p4mdkzt3o;Pass;;;;;;;;;;39,6;54,0;2,9;;11,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;39,6;54,0;;;;;;;;0;0;0;Atlanta United II;0;FW;1,0
2721150085;4;1;1;0;2;4gymgvqmve0m2vh89v84tt3x0;1;39,6;54,0;2024-09-15T19:06:27.910Z;2024-09-15T19:06:28Z;[{'id': 5215499499, 'qualifierId': 140, 'value': '47.1'}, {'id': 5215499503, 'qualifierId': 212, 'value': '7.9'}, {'id': 5215499501, 'qualifierId': 141, 'value': '54.5'}, {'id': 5215499505, 'qualifierId': 213, 'value': '0.04'}, {'id': 5215499497, 'qualifierId': 56, 'value': 'Back'}];5mkyx29nr54rr3quwdgfpz3oq;E. O'Brien;;;5eiwin6m1ptykc4p4mdkzt3o;Pass;;;;;;;;;;47,1;54,5;0,04;;7,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;47,1;54,5;;;;;;;;0;0;2;Atlanta United II;2;DMC;1,0
2721150103;5;1;1;0;2;4gymgvqmve0m2vh89v84tt3x0;1;47,1;54,5;2024-09-15T19:06:28.758Z;2024-09-15T19:06:29Z;[{'id': 5215499631, 'qualifierId': 212, 'value': '8.4'}, {'id': 5215499633, 'qualifierId': 213, 'value': '1.61'}, {'id': 5215499625, 'qualifierId': 56, 'value': 'Back'}, {'id': 5215499627, 'qualifierId': 140, 'value': '46.8'}, {'id': 5215499629, 'qualifierId': 141, 'value': '66.9'}];5m3bxdstyhzoplpzam8c94t90;F. Ajago;;;5eiwin6m1ptykc4p4mdkzt3o;Pass;;;;;;;;;;46,8;66,9;1,61;;8,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;46,8;66,9;;;;;;;;0;0;2;Atlanta United II;2;FW;1,0
2721150167;6;1;1;0;3;4gymgvqmve0m2vh89v84tt3x0;0;46,8;66,9;2024-09-15T19:06:29.861Z;2024-09-15T19:06:34Z;[{'id': 5215499989, 'qualifierId': 155}, {'id': 5215500001, 'qualifierId': 1}, {'id': 5215499995, 'qualifierId': 141, 'value': '40.5'}, {'id': 5215499997, 'qualifierId': 212, 'value': '46.6'}, {'id': 5215499991, 'qualifierId': 56, 'value': 'Center'}, {'id': 5215499993, 'qualifierId': 140, 'value': '87.8'}, {'id': 5215499999, 'qualifierId': 213, 'value': '5.89'}];6qe888q8yqq73bxr27jbyu2hg;O. Wright;;;5eiwin6m1ptykc4p4mdkzt3o;Pass;;;;;;;;;;87,8;40,5;5,89;;46,6;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;87,8;40,5;;;;;;;;0;0;3;Atlanta United II;3;AMC;1,0
2721150183;3;52;1;0;9;erwnez7ksfkns4dqmyr1fhbe;1;9,9;57,5;2024-09-15T19:06:35.791Z;2024-09-19T07:11:28Z;[{'id': 5222854145, 'qualifierId': 378}];f1e7n1pmjklbr35g7uuqdr78q;J. Hibbert;;;5eiwin6m1ptykc4p4mdkzt3o;Keeper pick-up;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;;0;0;9;Huntsville City;9;GK;1,0
2721150373;4;1;1;0;11;erwnez7ksfkns4dqmyr1fhbe;1;11,5;62,9;2024-09-15T19:06:36.922Z;2024-09-15T19:06:47Z;[{'id': 5215501059, 'qualifierId': 213, 'value': '0.90'}, {'id': 5215501049, 'qualifierId': 123}, {'id': 5215501053, 'qualifierId': 140, 'value': '24.2'}, {'id': 5215501051, 'qualifierId': 56, 'value': 'Back'}, {'id': 5215501055, 'qualifierId': 141, 'value': '87.8'}, {'id': 5215501057, 'qualifierId': 212, 'value': '21.6'}, {'id': 5215501063, 'qualifierId': 287}];f1e7n1pmjklbr35g7uuqdr78q;J. Hibbert;;;5eiwin6m1ptykc4p4mdkzt3o;Pass;;;;;;;;;;24,2;87,8;0,9;;21,6;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;24,2;87,8;;;;;;;;0;0;11;Huntsville City;11;GK;1,0
