id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_Captain;value_TeamFormation;value_JerseyNumber;value_PlayerPosition;value_Involved;value_TeamPlayerFormation;value_Resume;value_DirectionOfPlay;value_KickOff;value_Angle;value_Length;value_PassEndY;value_Zone;value_PassEndX;value_Launch;value_LongBall;value_HeadPass;value_OppositeRelatedEventId;value_Foul;value_Direct;value_Shove/Push;value_Offensive;value_Defensive;value_FreeKickTaken;value_Assist;value_LowCentre;value_BlockedX;value_RelatedEventId;value_GoalmouthZ;value_RightFooted;value_BlockedY;value_OutOfBoxCentre;value_RegularPlay;value_GoalmouthY;value_Assisted;value_IndividualPlay;value_Collected;value_Stooping;value_Hands;value_OverArm;value_KeeperThrow;value_NextEventThrowIn;value_ThrowIn;value_AttemptedTackle;value_YellowCard;value_TacticalFoul;value_IntentionalAssist;value_Chipped;value_Cross;value_BoxCentre;value_Head;value_FirstTouch;value_HighCentre;value_SetPiece;value_Standing;value_BlockedPass;value_BlockedCross;value_IntendedTackleTarget;value_DeletedEventType;value_SwitchOfPlay;value_BigChance;value_GoalShotTimestamp;value_SmallBoxCentre;value_LowLeft;value_GoalShotGameClock;value_GkY;value_GkX;value_OutOfPlay;value_BoxRight;value_ParriedDanger;value_Diving;value_NotVisible;value_FairPlay;value_Left;value_Right;value_CornerTaken;value_FromCorner;value_Blocked;value_HitBar;value_OutOfBoxDeepRight;value_HitWoodwork;value_LeftFooted;value_DefBlock;value_TempBlocked;value_SmallBoxLeft;value_InSwinger;value_Handball;value_NextEventGoalKick;value_GoalKick;value_Low;value_LayOff;value_High;value_FreeKick;value_SwerveLeft;value_NotAssisted;value_PlayersCaughtOffside;value_Indirect;value_Deflection;value_Injury;value_InjuredPlayerId;value_LowRight;value_ParriedSafe;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_Minutes;value_ThroughBall;value_FastBreak;value_EndType;value_Tactical;value_RecklessOffence;value_ShirtPull/Holding;value_HighLeft;value_OverhitCross;value_Overrun;value_BoxLeft;value_NotPastGoalLine;value_TempShotOn;value_PullBack;value_Volley;value_CloseLeft;value_BoxDeepRight;value_TempMissed;value_Feet;value_Sliding;value_HighClaim;value_GkKickFromHands;value_OutSwinger;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2707693679;1;34;16;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-08-10T23:35:42.351Z;2024-08-11T00:18:52Z;[{'id': 5141737293, 'qualifierId': 197, 'value': '23486'}, {'id': 5141615735, 'qualifierId': 194, 'value': '1j010cibh247p8kjchww6ny3u'}, {'id': 5141615731, 'qualifierId': 130, 'value': '13'}, {'id': 5141615727, 'qualifierId': 59, 'value': '30, 27, 7, 4, 24, 5, 34, 50, 36, 51, 10, 14, 23, 99, 42, 21, 8, 6, 2, 22'}, {'id': 5141615723, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5141615721, 'qualifierId': 30, 'value': '6agfr3usj1pblrbq2i9mdpmcq, rtca480n5ehey5ffvt8nudck, 3risld5mac5ns2rrv6namc2l0, e7vsajjh4e7t51ciycjg0skd0, 9nl0k91lrjonu0z2irbs01oiy, 1j010cibh247p8kjchww6ny3u, 6girdg17h5o2qr8stoywy3vv8, 32c9e26wcnr5kmab8ep4zph5g, fgue58g7u6f2c53ggb0r2oa2, 8vnnownnzz2ksuuitbw3ax5yi, 6ggqe5gi2w2jjclmbjev6dd78, 741wavjzdmc04j4i8a3chq9zo, bijyc7qlb2849vos6kn7kd0yc, 3h8rx5wumr7hktll4hnvx7or8, 32zkl0xfnbj3sgjmq8esn4wt0, 8g1piun8acm9udttt1795qnhm, f3bqitwkt3mitemcjd61hi044, 7al9w77ailhli8g487tkl32tw, auomns9j08ffqknhs9007ju38, da3mzb093sxf8i2xznedau8t0'}, {'id': 5141615733, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5141615737, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;eljv81fqo5qn12un1aa4at7o4;Team set up;23486,0;;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;0;0;0;0;Sporting KC II;0;;
2707697585;1;34;16;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-08-10T23:42:06.359Z;2024-08-11T02:27:52Z;[{'id': 5141636889, 'qualifierId': 130, 'value': '2'}, {'id': 5141636893, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5141636883, 'qualifierId': 59, 'value': '91, 42, 40, 52, 28, 89, 88, 31, 47, 99, 38, 37, 39, 55, 74, 76, 77, 90'}, {'id': 5141737541, 'qualifierId': 197, 'value': '12783'}, {'id': 5141636873, 'qualifierId': 30, 'value': '3f52lf1p2xmtzysfi8n18m044, 2vq2t4ttpcwey95jzofd60qy2, 9kahvwswke29dt3uumulbktpm, c7luarkv7hwdspd9xhidhisk4, 4cfvnypovkt900sfxmdhvxtec, tvbjgz0zeq5irumgofxrko44, 9ts3xs5p912m8f3pph7ni9vkk, bhhdcubw5vyxzf0lc1fcfftka, 4oz12ku4mdjsq7y4sgogpwg2y, cqmvrx028gh19yh8qh7w01y0a, 3tkdn8arq1j3il4ako7rcio2y, 78geqjj0pzo2gp7p8xg3q39w, a8ngovgs2qfu5udzb97kelg16, 94h0z8rrze3vprycoxkvfgtuc, 1wa60ccrpw2zqguj4ayeeacyc, avijawqszxv4ewdxydxeugbv8, 4sw7pq7xhnf7pqii16lhtf7ro, 2gawx03wls5vwtlocjir3u7vu'}, {'id': 5141636877, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5142058473, 'qualifierId': 194, 'value': '4oz12ku4mdjsq7y4sgogpwg2y'}, {'id': 5141636895, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;eljv81fqo5qn12un1aa4at7o4;Team set up;12783,0;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;;;;;;;;;0;0;0;0;North Texas;0;;
2707716221;2;32;1;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-08-11T00:19:16.417Z;2024-08-11T00:19:16Z;[{'id': 5141738223, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;eljv81fqo5qn12un1aa4at7o4;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;;;;;;;;;0;0;0;0;North Texas;0;;
2707716239;2;32;1;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-08-11T00:19:16.417Z;2024-08-11T00:19:19Z;[{'id': 5141738325, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;eljv81fqo5qn12un1aa4at7o4;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;0;0;0;0;Sporting KC II;0;;
2707716253;3;1;1;0;0;7fbej4xwoq4imaf5l39304m37;1;49,5;49,7;2024-08-11T00:19:16.418Z;2024-08-11T01:10:23Z;[{'id': 5141738397, 'qualifierId': 279, 'value': 'S'}, {'id': 5141738393, 'qualifierId': 213, 'value': '2.73'}, {'id': 5141738387, 'qualifierId': 212, 'value': '14.7'}, {'id': 5141738383, 'qualifierId': 141, 'value': '58.4'}, {'id': 5141738377, 'qualifierId': 56, 'value': 'Back'}, {'id': 5141738379, 'qualifierId': 140, 'value': '36.7'}];cqmvrx028gh19yh8qh7w01y0a;R. Avila;;;eljv81fqo5qn12un1aa4at7o4;Pass;;;;;;;;;;;2,73;14,7;58,4;;36,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;36,7;58,4;;;;;;;0;0;0;0;North Texas;0;FW;1,0
2707716271;4;1;1;0;2;7fbej4xwoq4imaf5l39304m37;1;37,0;64,6;2024-08-11T00:19:18.453Z;2024-08-11T01:10:37Z;[{'id': 5141738501, 'qualifierId': 213, 'value': '4.58'}, {'id': 5141738495, 'qualifierId': 140, 'value': '35.6'}, {'id': 5141738497, 'qualifierId': 141, 'value': '48.5'}, {'id': 5141738493, 'qualifierId': 56, 'value': 'Back'}, {'id': 5141738499, 'qualifierId': 212, 'value': '11.0'}];c7luarkv7hwdspd9xhidhisk4;C. Tschantret;;;eljv81fqo5qn12un1aa4at7o4;Pass;;;;;;;;;;;4,58;11,0;48,5;;35,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;35,6;48,5;;;;;;;0;0;0;2;North Texas;2;MC;1,0
2707742259;377;1;1;0;4;7fbej4xwoq4imaf5l39304m37;1;35,4;36,0;2024-08-11T00:19:20.417Z;2024-08-11T01:10:46Z;[{'id': 5141889717, 'qualifierId': 213, 'value': '4.13'}, {'id': 5141889709, 'qualifierId': 56, 'value': 'Back'}, {'id': 5141889713, 'qualifierId': 141, 'value': '10.9'}, {'id': 5141889711, 'qualifierId': 140, 'value': '24.8'}, {'id': 5141889715, 'qualifierId': 212, 'value': '20.4'}];bhhdcubw5vyxzf0lc1fcfftka;D. Flores;;;eljv81fqo5qn12un1aa4at7o4;Pass;;;;;;;;;;;4,13;20,4;10,9;;24,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;24,8;10,9;;;;;;;0;0;0;4;North Texas;4;MC;1,0
2707716299;5;1;1;0;5;7fbej4xwoq4imaf5l39304m37;1;30,2;12,0;2024-08-11T00:19:22.110Z;2024-08-11T00:19:26Z;[{'id': 5141738657, 'qualifierId': 141, 'value': '40.9'}, {'id': 5141738653, 'qualifierId': 56, 'value': 'Back'}, {'id': 5141738659, 'qualifierId': 212, 'value': '20.6'}, {'id': 5141738661, 'qualifierId': 213, 'value': '1.88'}, {'id': 5141738655, 'qualifierId': 140, 'value': '24.3'}];2vq2t4ttpcwey95jzofd60qy2;C. Klein;;;eljv81fqo5qn12un1aa4at7o4;Pass;;;;;;;;;;;1,88;20,6;40,9;;24,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;24,3;40,9;;;;;;;0;0;0;5;North Texas;5;DR;1,0
2707716331;6;1;1;0;9;7fbej4xwoq4imaf5l39304m37;1;20,5;40,4;2024-08-11T00:19:26.102Z;2024-08-11T00:19:29Z;[{'id': 5141738857, 'qualifierId': 56, 'value': 'Back'}, {'id': 5141738863, 'qualifierId': 212, 'value': '20.3'}, {'id': 5141738861, 'qualifierId': 141, 'value': '67.8'}, {'id': 5141738865, 'qualifierId': 213, 'value': '1.98'}, {'id': 5141738859, 'qualifierId': 140, 'value': '12.8'}];4cfvnypovkt900sfxmdhvxtec;C. Rindov;;;eljv81fqo5qn12un1aa4at7o4;Pass;;;;;;;;;;;1,98;20,3;67,8;;12,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;12,8;67,8;;;;;;;0;0;0;9;North Texas;9;DL;1,0
2707716353;7;1;1;0;13;7fbej4xwoq4imaf5l39304m37;0;14,6;67,9;2024-08-11T00:19:29.477Z;2024-08-11T00:19:31Z;[{'id': 5141738987, 'qualifierId': 56, 'value': 'Center'}, {'id': 5141738995, 'qualifierId': 213, 'value': '6.00'}, {'id': 5141738989, 'qualifierId': 140, 'value': '54.5'}, {'id': 5141738991, 'qualifierId': 141, 'value': '50.0'}, {'id': 5141738985, 'qualifierId': 157}, {'id': 5141738997, 'qualifierId': 1}, {'id': 5141738993, 'qualifierId': 212, 'value': '43.6'}];tvbjgz0zeq5irumgofxrko44;L. Christiano;;;eljv81fqo5qn12un1aa4at7o4;Pass;;;;;;;;;;;6,0;43,6;50,0;;54,5;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;54,5;50,0;;;;;;;0;0;0;13;North Texas;13;DC;1,0
