id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_JerseyNumber;value_Involved;value_TeamPlayerFormation;value_PlayerPosition;value_Captain;value_TeamKit;value_Resume;value_DirectionOfPlay;value_Zone;value_PassEndX;value_PassEndY;value_KickOff;value_Angle;value_Length;value_LongBall;value_Launch;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_HeadPass;value_BlockedPass;value_NextEventGoalKick;value_GoalKick;value_Chipped;value_High;value_NextEventThrowIn;value_ThrowIn;value_LeftFooted;value_Cross;value_OutSwinger;value_OutOfPlay;value_DeletedEventType;value_TakeOnOvertake;value_IntentionalAssist;value_Assist;value_RightFooted;value_GkY;value_Assisted;value_GoalmouthY;value_GkX;value_BoxCentre;value_RegularPlay;value_FirstTouch;value_RelatedEventId;value_HighRight;value_GoalmouthZ;value_NotVisible;value_IntendedTackleTarget;value_NotAssisted;value_IndividualPlay;value_BoxLeft;value_HighLeft;value_DefBlock;value_HighGkIntervention;value_KeeperThrow;value_LayOff;value_TakeOnSpace;value_Foul;value_Direct;value_ShirtPull/Holding;value_FreeKickTaken;value_BlockedCross;value_Right;value_Left;value_CornerTaken;value_Head;value_BlockedY;value_FromCorner;value_BlockedX;value_SwerveLeft;value_OutOfBoxCentre;value_Volley;value_NotPastGoalLine;value_MisHit;value_Handball;value_SwitchOfPlay;value_TouchTypeControl;value_TouchTypeClearance;value_OverhitCross;value_PlayersCaughtOffside;value_Indirect;value_FlickOn;value_BoxRight;value_FastBreak;value_Blocked;value_LowLeft;value_TouchTypePass;value_LowGkIntervention;value_LowRight;value_Diving;value_ParriedSafe;value_Hands;value_AttemptedTackle;value_FloatedCross;value_Straight;value_HighClaim;value_LeadingToAttempt;value_LowCentre;value_RelatedError1Id;value_PullBack;value_MediumGkIntervention;value_OtherObstacle;value_BallHitsReferee;value_Shove/Push;value_YellowCard;value_TacticalFoul;value_SetPiece;value_Overrun;value_BlockedClearance;value_BigChance;value_1On1;value_Stooping;value_ParriedDanger;value_SmallBoxRight;value_Low;value_RecklessOffence;value_Minutes;value_TempBlocked;value_Standing;value_EndType;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_GoalShotGameClock;value_GkYTimeOfGoal;value_Collected;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_35Centre;value_2NdAssist;value_2NdAssisted;value_2NdRelatedEventId;value_ThroughBall;value_BoxDeepLeft;value_Strong;value_FreeKick;value_AerialFoul;value_Dissent;value_CloseLeft;value_LastLine;value_InSwinger;value_OverArm;value_Injury;value_InjuredPlayerId;value_GkKickFromHands;value_LeadingToGoal;value_FollowsADribble;value_Weak;value_SmallBoxLeft;value_GkHoof;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2693780553;1;34;16;0;0;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-06-01T22:44:27.884Z;2024-06-02T01:13:55Z;[{'id': 5064768023, 'qualifierId': 130, 'value': '13'}, {'id': 5064768021, 'qualifierId': 59, 'value': '99, 14, 18, 5, 20, 4, 8, 10, 15, 21, 28, 52, 9, 11, 13, 17, 29, 31, 44, 77'}, {'id': 5064768017, 'qualifierId': 30, 'value': '9i2pmc50q29y560ojvik3sdg4, 3acyax22zfwdjw0cpgg4x7dre, 11ppoeb5n4q657bwbg4cdxck, w92nbx3n5ztvgmf89sdp95re, f0jwa1a61lxs31g47csjv7itw, 2d9cw6dcm2wsgrr8mj5rt6zje, 5jxj5s38o1nx0xbnapwl58bo4, 6oia90bi52zwmgdlvcvfnj1pm, 8p0k65b4c26ssfk0zh43lme7e, 1j1ybmazykfh5nqs7egkcdxck, 1irhjiafn9ushepjvevbkn6ui, 1nnd0b4qwlni7tqot2n2st4yy, eehmjxbl4xwc3mz1geibnszkk, ami9xddgghvnly4mwtdj2tlyi, 1nbbgew67td8zayaffvr1zcb8, 4t078b0rnzmi8u83wzmdwze38, clvcgt5ofonse0q96sppu7hg4, 6le9ztbx7n6ogg6fdxmnrk9w4, 7s32iecltoopsjddclg0ixzx0, 9isbk9daqxgtj196349irnkk'}, {'id': 5064768025, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5064768019, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5065192399, 'qualifierId': 194, 'value': '6oia90bi52zwmgdlvcvfnj1pm'}, {'id': 5064976005, 'qualifierId': 197, 'value': '23613'}, {'id': 5064768027, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;d6arklw161x30f5jksbhj1r10;Team set up;13,0;;;;;;23613,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;0;0;0;0;Huntsville City;0;;
2693783219;1;34;16;0;0;4gymgvqmve0m2vh89v84tt3x0;1;0,0;0,0;2024-06-01T22:52:27.908Z;2024-06-02T00:07:19Z;[{'id': 5064781895, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5064975351, 'qualifierId': 197, 'value': '18771'}, {'id': 5064781887, 'qualifierId': 30, 'value': 'efek04gkkjjwr6vo2mi008dm, 6jzijlp0e2w4qjan9eto35wd0, 9ncybediodv8share9pox2kno, 1kr4ax5uy3f9gbjzr34u0svf8, 42zmyz1t6mqap5pyfqxiaadqs, bmax1bmduvrpp0lfh4do0yj9w, dz7v9xfcwdvjioeyv4z54neqy, 6z58yyouaevipxrmrmorcz0no, 5m3bxdstyhzoplpzam8c94t90, 7udp171hmb1rdixg9awx93h1w, b9f1pwdmp99p5penlqwuwcjkk, 2mmciwk6gllcf11plcch710yc, d9cioqeofh2tfg3171r5nlb10, 6qe888q8yqq73bxr27jbyu2hg, 374euncv00zs2oy6ux1u519be, 3pzd87cugi2uj8hhzgre6od1w, bshus335cwlnpdzl7ct1gpn9w, 5mkyx29nr54rr3quwdgfpz3oq, 6prn3rxp49rsfl8mxq2tqzf9w'}, {'id': 5064781893, 'qualifierId': 130, 'value': '2'}, {'id': 5064781889, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5064781891, 'qualifierId': 59, 'value': '67, 5, 3, 47, 40, 25, 17, 8, 9, 78, 19, 1, 2, 10, 13, 23, 24, 32, 77'}, {'id': 5064975349, 'qualifierId': 194, 'value': 'dz7v9xfcwdvjioeyv4z54neqy'}, {'id': 5064781897, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;d6arklw161x30f5jksbhj1r10;Team set up;2,0;;;;;;18771,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;;;;;;;;;0;0;0;0;Carolina Core;0;;
2693818837;2;32;1;0;0;4gymgvqmve0m2vh89v84tt3x0;1;0,0;0,0;2024-06-02T00:10:21.610Z;2024-06-02T00:10:24Z;[{'id': 5064980797, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;d6arklw161x30f5jksbhj1r10;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;;;;;;;;;0;0;0;0;Carolina Core;0;;
2693818829;2;32;1;0;0;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-06-02T00:10:21.610Z;2024-06-07T11:07:14Z;[{'id': 5064980771, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;d6arklw161x30f5jksbhj1r10;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;0;0;0;0;Huntsville City;0;;
2693818845;3;1;1;0;0;4gymgvqmve0m2vh89v84tt3x0;1;49,8;49,0;2024-06-02T00:10:21.632Z;2024-06-02T00:10:25Z;[{'id': 5064980821, 'qualifierId': 56, 'value': 'Back'}, {'id': 5064980825, 'qualifierId': 140, 'value': '31.9'}, {'id': 5064980827, 'qualifierId': 141, 'value': '56.8'}, {'id': 5064980833, 'qualifierId': 279, 'value': 'S'}, {'id': 5064980831, 'qualifierId': 213, 'value': '2.87'}, {'id': 5064980829, 'qualifierId': 212, 'value': '19.5'}];7udp171hmb1rdixg9awx93h1w;T. Pasnik;;;d6arklw161x30f5jksbhj1r10;Pass;;;;;;;;;;;31,9;56,8;;2,87;19,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;31,9;56,8;;;;;;;0;0;0;0;Carolina Core;0;FW;1,0
2693818897;4;1;1;0;3;4gymgvqmve0m2vh89v84tt3x0;1;32,1;56,8;2024-06-02T00:10:25.124Z;2024-06-02T01:08:32Z;[{'id': 5064981055, 'qualifierId': 212, 'value': '64.2'}, {'id': 5064981051, 'qualifierId': 140, 'value': '86.3'}, {'id': 5064981053, 'qualifierId': 141, 'value': '13.0'}, {'id': 5064981059, 'qualifierId': 1}, {'id': 5064981047, 'qualifierId': 157}, {'id': 5064981057, 'qualifierId': 213, 'value': '5.80'}, {'id': 5064981049, 'qualifierId': 56, 'value': 'Right'}];6z58yyouaevipxrmrmorcz0no;I. Johnston;;;d6arklw161x30f5jksbhj1r10;Pass;;;;;;;;;;;86,3;13,0;;5,8;64,2;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;86,3;13,0;;;;;;;0;0;0;3;Carolina Core;3;MC;1,0
2693818903;5;61;1;0;7;4gymgvqmve0m2vh89v84tt3x0;0;86,3;13,0;2024-06-02T00:10:28.660Z;2024-06-02T00:10:29Z;[{'id': 5064981081, 'qualifierId': 56, 'value': 'Right'}];dz7v9xfcwdvjioeyv4z54neqy;J. Bolanos;;;d6arklw161x30f5jksbhj1r10;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;;;;;;;;;0;0;0;7;Carolina Core;7;MR;1,0
2693818915;3;49;1;0;7;2nnef9tr9g7m2s6n873qif95g;1;13,9;83,8;2024-06-02T00:10:29.360Z;2024-06-02T00:10:29Z;[];11ppoeb5n4q657bwbg4cdxck;J. White;;;d6arklw161x30f5jksbhj1r10;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;0;0;0;7;Huntsville City;7;DML;1,0
2693818929;4;1;1;0;8;2nnef9tr9g7m2s6n873qif95g;1;13,9;83,8;2024-06-02T00:10:29.797Z;2024-06-02T00:10:31Z;[{'id': 5064981211, 'qualifierId': 141, 'value': '72.1'}, {'id': 5064981209, 'qualifierId': 140, 'value': '13.3'}, {'id': 5064981213, 'qualifierId': 212, 'value': '8.0'}, {'id': 5064981215, 'qualifierId': 213, 'value': '4.63'}, {'id': 5064981207, 'qualifierId': 56, 'value': 'Back'}];11ppoeb5n4q657bwbg4cdxck;J. White;;;d6arklw161x30f5jksbhj1r10;Pass;;;;;;;;;;;13,3;72,1;;4,63;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;13,3;72,1;;;;;;;0;0;0;8;Huntsville City;8;DML;1,0
2693818947;5;1;1;0;9;2nnef9tr9g7m2s6n873qif95g;0;13,2;70,9;2024-06-02T00:10:31Z;2024-06-02T00:10:34Z;[{'id': 5064981331, 'qualifierId': 140, 'value': '57.0'}, {'id': 5064981337, 'qualifierId': 213, 'value': '6.03'}, {'id': 5064981333, 'qualifierId': 141, 'value': '53.4'}, {'id': 5064981327, 'qualifierId': 157}, {'id': 5064981339, 'qualifierId': 1}, {'id': 5064981329, 'qualifierId': 56, 'value': 'Center'}, {'id': 5064981335, 'qualifierId': 212, 'value': '47.5'}];w92nbx3n5ztvgmf89sdp95re;A. Aguas;;;d6arklw161x30f5jksbhj1r10;Pass;;;;;;;;;;;57,0;53,4;;6,03;47,5;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;57,0;53,4;;;;;;;0;0;0;9;Huntsville City;9;DC;1,0
