id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_TeamPlayerFormation;value_Captain;value_Resume;value_TeamFormation;value_Involved;value_JerseyNumber;value_TeamKit;value_DirectionOfPlay;value_PassEndY;value_Length;value_Angle;value_Zone;value_KickOff;value_PassEndX;value_Chipped;value_LongBall;value_HeadPass;value_OppositeRelatedEventId;value_BlockedPass;value_Offensive;value_Defensive;value_LeftFooted;value_OutSwinger;value_Cross;value_BlockedCross;value_Left;value_IntentionalAssist;value_InSwinger;value_CornerTaken;value_Assist;value_RightFooted;value_Head;value_FromCorner;value_High;value_GkY;value_RelatedEventId;value_Assisted;value_GoalmouthY;value_FirstTouch;value_GkX;value_BoxDeepLeft;value_GoalmouthZ;value_NextEventGoalKick;value_GoalKick;value_TakeOnOvertake;value_TouchTypePass;value_Launch;value_IntendedTackleTarget;value_LayOff;value_TouchTypeClearance;value_2NdAssist;value_RegularPlay;value_LowCentre;value_GkYTimeOfGoal;value_GoalShotGameClock;value_2NdAssisted;value_2NdRelatedEventId;value_BigChance;value_BoxCentre;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_FloatedCross;value_Straight;value_MediumGkIntervention;value_KeeperThrow;value_TouchTypeControl;value_OutOfPlay;value_HighLeft;value_FlickOn;value_DeletedEventType;value_OverhitCross;value_NextEventThrowIn;value_ThrowIn;value_PlayersCaughtOffside;value_Indirect;value_FreeKickTaken;value_ThroughBall;value_Right;value_HighClaim;value_HighGkIntervention;value_SwitchOfPlay;value_AttemptedTackle;value_Direct;value_Foul;value_TakeOnSpace;value_LowGkIntervention;value_Injury;value_InjuredPlayerId;value_BlockedX;value_BlockedY;value_Sliding;value_OtherBodyPart;value_ParriedSafe;value_YellowCard;value_RecklessOffence;value_OutOfBoxCentre;value_Blocked;value_Volley;value_NotAssisted;value_IndividualPlay;value_DefBlock;value_PullBack;value_LeadingToAttempt;value_RelatedError1Id;value_LowLeft;value_Diving;value_Hands;value_Collected;value_NotVisible;value_GkHoof;value_Defensive1V1;value_Low;value_OverArm;value_RefereeDelay;value_OtherReason;value_Overrun;value_KeeperTouched;value_BlockedClearance;value_SmallBoxCentre;value_Standing;value_Minutes;value_LowRight;value_BoxRight;value_SixYardBlocked;value_HighRight;value_BoxDeepRight;value_Strong;value_ShirtPull/Holding;value_TacticalFoul;value_EndType;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_CaptainChange;value_Shove/Push;value_Handball;value_HighCentre;value_Deflection;value_Reaching;value_Caught;value_FairPlay;value_Stooping;value_Feet;value_GkKickFromHands;value_LeadingToGoal;value_ParriedDanger;value_VideoCoverageLost;value_HitBar;value_HitWoodwork;value_Dissent;value_OwnPlayer;value_EndOfOffside;value_GoalDisallowed;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2695280013;860;74;2;87;37;6ubc4y1v6hr63mca7ica4hp90;1;78,4;9,7;2024-06-09T01:55:53.817Z;2024-06-09T02:06:54Z;[{'id': 5073078971, 'qualifierId': 285}, {'id': 5073078969, 'qualifierId': 56, 'value': 'Right'}, {'id': 5073079029, 'qualifierId': 233, 'value': '712'}];avxfzgoe2y0opif75qu3aeb6c;W. Sangoquiza;;;dbyonzm0reey10b1x155gs0lw;Blocked Pass;;;;;;;;;;;;;;;;;;;712,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;0;0;87;37;Huntsville City;5257;DL;1,0
2695279997;713;61;2;87;38;4gymgvqmve0m2vh89v84tt3x0;1;24,1;82,9;2024-06-09T01:55:55.124Z;2024-06-09T01:55:55Z;[{'id': 5073078887, 'qualifierId': 56, 'value': 'Back'}];5m3bxdstyhzoplpzam8c94t90;F. Ajago;;;dbyonzm0reey10b1x155gs0lw;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;0;0;87;38;Crown Legacy;5258;FW;1,0
2695280029;861;1;2;87;42;6ubc4y1v6hr63mca7ica4hp90;0;80,8;10,7;2024-06-09T01:55:58.687Z;2024-06-14T10:54:37Z;[{'id': 5073079097, 'qualifierId': 155}, {'id': 5073079101, 'qualifierId': 140, 'value': '86.5'}, {'id': 5073079095, 'qualifierId': 2}, {'id': 5073079103, 'qualifierId': 141, 'value': '24.8'}, {'id': 5073079107, 'qualifierId': 213, 'value': '1.01'}, {'id': 5076915121, 'qualifierId': 20}, {'id': 5076915119, 'qualifierId': 224}, {'id': 5073079099, 'qualifierId': 56, 'value': 'Center'}, {'id': 5073079105, 'qualifierId': 212, 'value': '11.3'}];avxfzgoe2y0opif75qu3aeb6c;W. Sangoquiza;;;dbyonzm0reey10b1x155gs0lw;Pass;;;;;;;;;;24,8;11,3;1,01;;;86,5;1,0;;;;;;;;1,0;1,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;86,5;24,8;;;;;;;0;0;87;42;Huntsville City;5262;DL;1,0
2695280025;714;61;2;87;43;4gymgvqmve0m2vh89v84tt3x0;1;12,3;75,6;2024-06-09T01:56:00.176Z;2024-06-09T01:56:00Z;[{'id': 5073079077, 'qualifierId': 56, 'value': 'Back'}];374euncv00zs2oy6ux1u519be;J. Skinner;;;dbyonzm0reey10b1x155gs0lw;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;0;0;87;43;Crown Legacy;5263;Sub;1,0
2695280043;715;6;2;87;44;4gymgvqmve0m2vh89v84tt3x0;0;7,6;78,1;2024-06-09T01:56:01.087Z;2024-06-14T10:54:51Z;[{'id': 5073079223, 'qualifierId': 233, 'value': '862'}, {'id': 5073079211, 'qualifierId': 75}, {'id': 5073079209, 'qualifierId': 56, 'value': 'Back'}];374euncv00zs2oy6ux1u519be;J. Skinner;;;dbyonzm0reey10b1x155gs0lw;Corner Awarded;;;;;;;;;;;;;;;;;;;862,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;0;0;87;44;Crown Legacy;5264;Sub;1,0
2695280037;862;6;2;87;44;6ubc4y1v6hr63mca7ica4hp90;1;92,4;21,9;2024-06-09T01:56:01.087Z;2024-06-09T01:56:03Z;[{'id': 5073079219, 'qualifierId': 233, 'value': '715'}, {'id': 5073079171, 'qualifierId': 56, 'value': 'Center'}, {'id': 5073079173, 'qualifierId': 75}];avxfzgoe2y0opif75qu3aeb6c;W. Sangoquiza;;;dbyonzm0reey10b1x155gs0lw;Corner Awarded;;;;;;;;;;;;;;;;;;;715,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;0;0;87;44;Huntsville City;5264;DL;1,0
2695280233;863;1;2;88;7;6ubc4y1v6hr63mca7ica4hp90;1;99,5;0,5;2024-06-09T01:56:23.952Z;2024-06-14T10:54:46Z;[{'id': 5073080099, 'qualifierId': 212, 'value': '36.3'}, {'id': 5076915133, 'qualifierId': 20}, {'id': 5073080091, 'qualifierId': 224}, {'id': 5073080769, 'qualifierId': 154}, {'id': 5073080089, 'qualifierId': 155}, {'id': 5073080103, 'qualifierId': 1}, {'id': 5073080767, 'qualifierId': 210, 'value': '15'}, {'id': 5073080095, 'qualifierId': 140, 'value': '90.3'}, {'id': 5073080087, 'qualifierId': 6}, {'id': 5073080085, 'qualifierId': 2}, {'id': 5073080097, 'qualifierId': 141, 'value': '51.9'}, {'id': 5073080093, 'qualifierId': 56, 'value': 'Center'}, {'id': 5073080101, 'qualifierId': 213, 'value': '1.84'}];drt65b9m2f494wnoyep49bn1m;F. Mirkovic;1,0;;dbyonzm0reey10b1x155gs0lw;Pass;;;;;;;;;;51,9;36,3;1,84;;;90,3;1,0;1,0;;;;;;;1,0;1,0;;;1,0;;1,0;15,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;90,3;51,9;;;;;;;0;0;88;7;Huntsville City;5287;MC;1,0
2695280235;864;15;2;88;10;6ubc4y1v6hr63mca7ica4hp90;1;89,6;50,1;2024-06-09T01:56:27.328Z;2024-06-14T10:55:15Z;[{'id': 5073080521, 'qualifierId': 25}, {'id': 5073080529, 'qualifierId': 328}, {'id': 5073080525, 'qualifierId': 15}, {'id': 5073080111, 'qualifierId': 17}, {'id': 5073080775, 'qualifierId': 76}, {'id': 5076915191, 'qualifierId': 133}, {'id': 5073080777, 'qualifierId': 29}, {'id': 5073080785, 'qualifierId': 102, 'value': '53.3'}, {'id': 5073080787, 'qualifierId': 103, 'value': '10.8'}, {'id': 5073080113, 'qualifierId': 56, 'value': 'Center'}, {'id': 5073080779, 'qualifierId': 154}, {'id': 5073080781, 'qualifierId': 55, 'value': '863'}, {'id': 5073080789, 'qualifierId': 146, 'value': '97.8'}, {'id': 5073080799, 'qualifierId': 233, 'value': '718'}, {'id': 5073080791, 'qualifierId': 147, 'value': '50'}];avxfzgoe2y0opif75qu3aeb6c;W. Sangoquiza;;;dbyonzm0reey10b1x155gs0lw;Attempt Saved;;;;;;;;;;;;;;;;;;;718,0;;;;;;;;;1,0;;;;;1,0;1,0;;;863,0;1,0;53,3;1,0;;;10,8;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97,8;50,0;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;97,8;50,0;53,3;10.8;863,0;drt65b9m2f494wnoyep49bn1m;0;0;88;10;Huntsville City;5290;DL;1,0
2695280271;718;10;2;88;10;4gymgvqmve0m2vh89v84tt3x0;1;2,0;50,1;2024-06-09T01:56:27.428Z;2024-06-14T10:55:20Z;[{'id': 5076915201, 'qualifierId': 377}, {'id': 5076915197, 'qualifierId': 174}, {'id': 5073080305, 'qualifierId': 56, 'value': 'Back'}, {'id': 5073080303, 'qualifierId': 182}, {'id': 5076915199, 'qualifierId': 179}, {'id': 5073080611, 'qualifierId': 233, 'value': '864'}];2mmciwk6gllcf11plcch710yc;S. Jillson;;;dbyonzm0reey10b1x155gs0lw;Save;;;;;;;;;;;;;;;;;;;864,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;0;0;88;10;Crown Legacy;5290;GK;1,0
2695280251;716;12;2;88;11;4gymgvqmve0m2vh89v84tt3x0;1;4,4;42,1;2024-06-09T01:56:27.800Z;2024-06-14T10:55:25Z;[{'id': 5073080215, 'qualifierId': 141, 'value': '36.1'}, {'id': 5073080217, 'qualifierId': 212, 'value': '7.1'}, {'id': 5073080233, 'qualifierId': 167}, {'id': 5073080213, 'qualifierId': 140, 'value': '0.0'}, {'id': 5073080219, 'qualifierId': 213, 'value': '3.76'}, {'id': 5073080211, 'qualifierId': 56, 'value': 'Back'}];bmax1bmduvrpp0lfh4do0yj9w;F. Cicéron;;;dbyonzm0reey10b1x155gs0lw;Clearance;;;;;;;;;;36,1;7,1;3,76;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;0,0;36,1;;;;;;;0;0;88;11;Crown Legacy;5291;DC;1,0
2695280253;717;6;2;88;12;4gymgvqmve0m2vh89v84tt3x0;0;1,6;39,0;2024-06-09T01:56:29.253Z;2024-06-14T10:55:43Z;[{'id': 5073080603, 'qualifierId': 56, 'value': 'Back'}, {'id': 5073080639, 'qualifierId': 233, 'value': '865'}, {'id': 5073080605, 'qualifierId': 73}];bmax1bmduvrpp0lfh4do0yj9w;F. Cicéron;;;dbyonzm0reey10b1x155gs0lw;Corner Awarded;;;;;;;;;;;;;;;;;;;865,0;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;0;0;88;12;Crown Legacy;5292;DC;1,0
