id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_Resume;value_Captain;value_TeamPlayerFormation;value_TeamFormation;value_PlayerPosition;value_TeamKit;value_JerseyNumber;value_DirectionOfPlay;value_PassEndX;value_Angle;value_Length;value_Zone;value_PassEndY;value_KickOff;value_LongBall;value_Chipped;value_HeadPass;value_FlickOn;value_LayOff;value_TouchTypePass;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Launch;value_NextEventGoalKick;value_Low;value_GoalKick;value_DeletedEventType;value_IntendedTackleTarget;value_Defensive;value_Offensive;value_Foul;value_NotVisible;value_Shove/Push;value_Direct;value_FreeKickTaken;value_TouchTypeControl;value_TakeOnSpace;value_DrivenCross;value_Straight;value_RightFooted;value_Cross;value_OutOfPlay;value_Assist;value_IntentionalAssist;value_Right;value_BoxRight;value_Assisted;value_GkX;value_GkY;value_Head;value_RelatedEventId;value_ThrowInSetPiece;value_FirstTouch;value_GoalmouthZ;value_GoalmouthY;value_ShirtPull/Holding;value_Defensive1V1;value_TakeOnOvertake;value_AttemptedTackle;value_InSwinger;value_BoxCentre;value_SetPiece;value_CloseHigh;value_OutOfBoxCentre;value_IndividualPlay;value_Left;value_LeftFooted;value_RegularPlay;value_SwitchOfPlay;value_MediumGkIntervention;value_KeeperThrow;value_HighRight;value_High;value_NotRetreating;value_YellowCard;value_LowGkIntervention;value_BlockedPass;value_TouchTypeClearance;value_CornerTaken;value_TempMissed;value_SmallBoxCentre;value_OutSwinger;value_FromCorner;value_LowRight;value_Blocked;value_BlockedY;value_BlockedX;value_DefBlock;value_Indirect;value_Obstruction;value_CloseLeftAndHigh;value_BoxLeft;value_Volley;value_IncorrectOutOfPlayDecision;value_LowCentre;value_GkXTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_2NdAssist;value_CloseLeft;value_NotPastGoalLine;value_BigChance;value_2NdRelatedEventId;value_KeeperTouched;value_HitWoodwork;value_2NdAssisted;value_HitRightPost;value_RecklessOffence;value_Overrun;value_TacticalFoul;value_HighCentre;value_Collected;value_Standing;value_Hands;value_OverArm;value_BlockedCross;value_Minutes;value_GkKickFromHands;value_EndType;value_CaptainChange;value_FastBreak;value_SecondYellow;value_OtherObstacle;value_GkHoof;value_NotAssisted;value_InjuredPlayerId;value_Injury;value_LowLeft;value_HighGkIntervention;value_PlayersCaughtOffside;value_OverhitCross;value_Unchallenged;value_Handball;value_BoxDeepRight;value_CloseRight;value_HighClaim;value_MisHit;value_GoesToPenalties;value_Diving;value_Penalty;value_Scored;value_Second(2Nd)OppositeRelatedEventId;value_Weak;value_Saved;value_ParriedSafe;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2706828967;84;1;1;8;54;ew2zirzye0sw1txr2m33nr25y;1;2,8;59,3;2024-08-09T00:13:03.414Z;2024-08-09T00:13:06Z;[{'id': 5136859047, 'qualifierId': 124}, {'id': 5136859061, 'qualifierId': 237}, {'id': 5136859049, 'qualifierId': 56, 'value': 'Back'}, {'id': 5136859053, 'qualifierId': 141, 'value': '50.3'}, {'id': 5136859055, 'qualifierId': 212, 'value': '6.1'}, {'id': 5136859051, 'qualifierId': 140, 'value': '2.9'}, {'id': 5136859057, 'qualifierId': 213, 'value': '4.73'}];79z5vt08ga8prn33vi2a260kq;C. Walls;;;ek1ucu60bgmb557vf6kj0du6s;Pass;;;;;;;;;;2,9;4,73;6,1;;50,3;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;2,9;50,3;;;;;;;;0;8;54;Minnesota United II;534;DC;1,0
2706828973;85;1;1;8;57;ew2zirzye0sw1txr2m33nr25y;1;3,4;49,4;2024-08-09T00:13:06.006Z;2024-08-09T00:13:07Z;[{'id': 5136859083, 'qualifierId': 212, 'value': '8.2'}, {'id': 5136859079, 'qualifierId': 140, 'value': '10.1'}, {'id': 5136859085, 'qualifierId': 213, 'value': '0.55'}, {'id': 5136859081, 'qualifierId': 141, 'value': '55.7'}, {'id': 5136859077, 'qualifierId': 56, 'value': 'Back'}];23j7p7rylg9rwke4vbgquzjai;D. Sweeney;;;ek1ucu60bgmb557vf6kj0du6s;Pass;;;;;;;;;;10,1;0,55;8,2;;55,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;10,1;55,7;;;;;;;;0;8;57;Minnesota United II;537;GK;1,0
2706828979;86;1;1;8;58;ew2zirzye0sw1txr2m33nr25y;1;9,9;56,4;2024-08-09T00:13:07.014Z;2024-08-09T00:13:09Z;[{'id': 5136859107, 'qualifierId': 56, 'value': 'Back'}, {'id': 5136859113, 'qualifierId': 212, 'value': '20.2'}, {'id': 5136859115, 'qualifierId': 213, 'value': '1.79'}, {'id': 5136859111, 'qualifierId': 141, 'value': '85.4'}, {'id': 5136859109, 'qualifierId': 140, 'value': '5.8'}];1on6mxrbdqnh12s4h1y0vb3mc;E. Mendoza;;;ek1ucu60bgmb557vf6kj0du6s;Pass;;;;;;;;;;5,8;1,79;20,2;;85,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;5,8;85,4;;;;;;;;0;8;58;Minnesota United II;538;MC;1,0
2706828981;87;1;1;9;0;ew2zirzye0sw1txr2m33nr25y;0;5,8;85,4;2024-08-09T00:13:09.422Z;2024-08-09T00:13:11Z;[{'id': 5136859119, 'qualifierId': 56, 'value': 'Back'}, {'id': 5136859123, 'qualifierId': 141, 'value': '77.3'}, {'id': 5136859127, 'qualifierId': 213, 'value': '6.04'}, {'id': 5136859125, 'qualifierId': 212, 'value': '22.6'}, {'id': 5136859121, 'qualifierId': 140, 'value': '26.7'}];79z5vt08ga8prn33vi2a260kq;C. Walls;;;ek1ucu60bgmb557vf6kj0du6s;Pass;;;;;;;;;;26,7;6,04;22,6;;77,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;26,7;77,3;;;;;;;;0;9;0;Minnesota United II;540;DC;1,0
2706828983;110;1;1;9;2;1pc6sx2h4rp113ldkbp5d2xas;0;72,8;25,8;2024-08-09T00:13:11.531Z;2024-08-13T06:59:40Z;[{'id': 5136859129, 'qualifierId': 56, 'value': 'Center'}, {'id': 5146709545, 'qualifierId': 155}, {'id': 5136859133, 'qualifierId': 141, 'value': '24.4'}, {'id': 5136859137, 'qualifierId': 213, 'value': '6.13'}, {'id': 5136859135, 'qualifierId': 212, 'value': '6.2'}, {'id': 5136859131, 'qualifierId': 140, 'value': '78.6'}];58839nfw30jxxroffd3a7q0wk;Hugo Bacharach;;;ek1ucu60bgmb557vf6kj0du6s;Pass;;;;;;;;;;78,6;6,13;6,2;;24,4;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;78,6;24,4;;;;;;;;0;9;2;The Town;542;DC;1,0
2706829001;88;1;1;9;4;ew2zirzye0sw1txr2m33nr25y;0;24,0;77,1;2024-08-09T00:13:13.222Z;2024-08-09T00:13:15Z;[{'id': 5136859221, 'qualifierId': 213, 'value': '6.15'}, {'id': 5136859215, 'qualifierId': 140, 'value': '36.7'}, {'id': 5136859217, 'qualifierId': 141, 'value': '74.4'}, {'id': 5136859211, 'qualifierId': 3}, {'id': 5136859213, 'qualifierId': 56, 'value': 'Back'}, {'id': 5136859219, 'qualifierId': 212, 'value': '13.5'}];1on6mxrbdqnh12s4h1y0vb3mc;E. Mendoza;;;ek1ucu60bgmb557vf6kj0du6s;Pass;;;;;;;;;;36,7;6,15;13,5;;74,4;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;36,7;74,4;;;;;;;;0;9;4;Minnesota United II;544;MC;1,0
2706828997;111;49;1;9;6;1pc6sx2h4rp113ldkbp5d2xas;1;58,3;27,5;2024-08-09T00:13:14.951Z;2024-08-09T00:13:15Z;[];6045hqgmu7l31xwe2dp06mwnp;W. Trapp;;;ek1ucu60bgmb557vf6kj0du6s;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;;0;9;6;The Town;546;DMC;1,0
2706829013;112;1;1;9;9;1pc6sx2h4rp113ldkbp5d2xas;1;58,3;27,5;2024-08-09T00:13:18.279Z;2024-08-09T00:13:34Z;[{'id': 5136859285, 'qualifierId': 213, 'value': '6.22'}, {'id': 5136859281, 'qualifierId': 141, 'value': '26.2'}, {'id': 5136859279, 'qualifierId': 140, 'value': '71.4'}, {'id': 5136859283, 'qualifierId': 212, 'value': '13.8'}, {'id': 5136859437, 'qualifierId': 210, 'value': '13'}, {'id': 5136859277, 'qualifierId': 56, 'value': 'Center'}];6045hqgmu7l31xwe2dp06mwnp;W. Trapp;1,0;;ek1ucu60bgmb557vf6kj0du6s;Pass;;;;;;;;;;71,4;6,22;13,8;;26,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;71,4;26,2;;;;;;;;0;9;9;The Town;549;DMC;1,0
2706829017;89;45;1;9;13;ew2zirzye0sw1txr2m33nr25y;0;27,2;61,4;2024-08-09T00:13:22.183Z;2024-08-09T02:05:16Z;[{'id': 5136859293, 'qualifierId': 285}, {'id': 5136859399, 'qualifierId': 233, 'value': '113'}, {'id': 5136859291, 'qualifierId': 56, 'value': 'Back'}];dhrxi7hj8xh15ky7q6u5wqi5m;B. Leroux;;;ek1ucu60bgmb557vf6kj0du6s;Challenge;;;;;;;;;;;;;;;;;;;;;;113,0;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;;0;9;13;Minnesota United II;553;MC;1,0
2706829033;113;3;1;9;13;1pc6sx2h4rp113ldkbp5d2xas;1;72,8;38,6;2024-08-09T00:13:22.183Z;2024-08-13T07:00:08Z;[{'id': 5146709661, 'qualifierId': 464}, {'id': 5136859395, 'qualifierId': 233, 'value': '89'}, {'id': 5136859359, 'qualifierId': 286}, {'id': 5136859355, 'qualifierId': 56, 'value': 'Center'}];iu61re9bbusv2w7fu7w6505w;L. Mesanvi;;;ek1ucu60bgmb557vf6kj0du6s;Take On;;;;;;;;;;;;;;;;;;;;;;89,0;;;;;;;;;;1,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;;0;9;13;The Town;553;FW;1,0
