id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_TeamKit;value_PlayerPosition;value_Involved;value_TeamFormation;value_Captain;value_TeamPlayerFormation;value_JerseyNumber;value_DirectionOfPlay;value_KickOff;value_PassEndX;value_Zone;value_Length;value_Angle;value_PassEndY;value_Launch;value_LongBall;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_HeadPass;value_TakeOnOvertake;value_Overrun;value_DeletedEventType;value_IntendedTackleTarget;value_Defensive1V1;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_Chipped;value_TakeOnSpace;value_GoalmouthZ;value_BlockedY;value_LowCentre;value_GoalmouthY;value_OutOfBoxCentre;value_NotAssisted;value_BlockedX;value_FreeKick;value_RightFooted;value_Collected;value_LowGkIntervention;value_Stooping;value_Hands;value_KeeperThrow;value_NotVisible;value_TouchTypePass;value_NextEventThrowIn;value_ThrowIn;value_FlickOn;value_MediumGkIntervention;value_TouchTypeControl;value_IntentionalAssist;value_Assist;value_Assisted;value_RelatedEventId;value_BoxCentre;value_RegularPlay;value_Diving;value_PlayersCaughtOffside;value_Indirect;value_LayOff;value_ShirtPull/Holding;value_ThroughBall;value_OverArm;value_SwitchOfPlay;value_OutOfPlay;value_TouchTypeClearance;value_Left;value_CornerTaken;value_InSwinger;value_Cross;value_Head;value_FromCorner;value_GkXTimeOfGoal;value_GoalShotGameClock;value_SwerveRight;value_FollowsADribble;value_GkX;value_IndividualPlay;value_GoalShotTimestamp;value_LeftFooted;value_GkYTimeOfGoal;value_HighRight;value_GkY;value_LeadingToAttempt;value_RelatedError1Id;value_FirstTouch;value_HighClaim;value_BigChance;value_Feet;value_ParriedSafe;value_Sliding;value_BlockedPass;value_GoalDisallowed;value_CloseHigh;value_NextEventGoalKick;value_GoalKick;value_High;value_Shove/Push;value_BoxLeft;value_CloseLeft;value_Low;value_TacticalFoul;value_YellowCard;value_OutSwinger;value_AerialFoul;value_InjuredPlayerId;value_Injury;value_BoxDeepRight;value_LowLeft;value_Right;value_BlockedCross;value_GkHoof;value_IncorrectOutOfPlayDecision;value_Minutes;value_PenaltyTakerId;value_Penalty;value_Scored;value_CausingPlayer;value_Weak;value_Second(2Nd)OppositeRelatedEventId;value_EndType;value_LastLine;value_SetPiece;value_NotPastGoalLine;value_HitWoodwork;value_HitRightPost;value_HighGkIntervention;value_GkKickFromHands;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_Handball;value_Volley;value_MisHit;value_Blocked;value_DefBlock;value_CloseRight;value_RecklessOffence;value_LowRight;value_SixYardBlocked;value_BoxDeepLeft;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2694317849;134;49;1;14;48;iiolvosiuokkrl5iuoxcjo4p;1;27,0;28,0;2024-06-03T02:18:51.054Z;2024-06-03T02:18:52Z;[];7pegcq6kh8s6naujxky714ys4;N. Strellnauer;;;d6oauavu7mmhfhn2sa0niikgk;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;;0;14;48;St. Louis City II;888;MC;1,0
2694317851;135;1;1;14;48;iiolvosiuokkrl5iuoxcjo4p;0;28,1;27,0;2024-06-03T02:18:51.470Z;2024-06-03T02:18:54Z;[{'id': 5067769363, 'qualifierId': 56, 'value': 'Back'}, {'id': 5067769371, 'qualifierId': 213, 'value': '6.01'}, {'id': 5067769417, 'qualifierId': 286}, {'id': 5067769365, 'qualifierId': 140, 'value': '28.8'}, {'id': 5067769369, 'qualifierId': 212, 'value': '0.8'}, {'id': 5067769367, 'qualifierId': 141, 'value': '26.7'}, {'id': 5067769411, 'qualifierId': 236}, {'id': 5067769413, 'qualifierId': 233, 'value': '157'}];7pegcq6kh8s6naujxky714ys4;N. Strellnauer;;;d6oauavu7mmhfhn2sa0niikgk;Pass;;;;;;;;;;;28,8;;0,8;6,01;26,7;;;157,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;28,8;26,7;;;;;;;;0;14;48;St. Louis City II;888;MC;1,0
2694317855;157;74;1;14;48;dqx48fglv1l96cyrmjdod0xec;1;68,4;81,8;2024-06-03T02:18:51.471Z;2024-06-03T02:54:52Z;[{'id': 5067769381, 'qualifierId': 56, 'value': 'Left'}, {'id': 5067769383, 'qualifierId': 285}, {'id': 5067769425, 'qualifierId': 233, 'value': '135'}];910fd7rfysvvfzp2s1ywna5pm;M. Wentzel;;;d6oauavu7mmhfhn2sa0niikgk;Blocked Pass;;;;;;;;;;;;;;;;;;135,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;;0;14;48;Colorado Rapids II;888;DL;1,0
2694317863;158;49;1;14;51;dqx48fglv1l96cyrmjdod0xec;1;68,3;81,9;2024-06-03T02:18:54.743Z;2024-06-03T02:18:54Z;[];910fd7rfysvvfzp2s1ywna5pm;M. Wentzel;;;d6oauavu7mmhfhn2sa0niikgk;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;;0;14;51;Colorado Rapids II;891;DL;1,0
2694317865;159;1;1;14;52;dqx48fglv1l96cyrmjdod0xec;1;68,3;81,9;2024-06-03T02:18:54.984Z;2024-06-03T02:18:56Z;[{'id': 5067769457, 'qualifierId': 212, 'value': '6.6'}, {'id': 5067769459, 'qualifierId': 213, 'value': '2.15'}, {'id': 5067769453, 'qualifierId': 140, 'value': '64.9'}, {'id': 5067769451, 'qualifierId': 56, 'value': 'Left'}, {'id': 5067769455, 'qualifierId': 141, 'value': '90.0'}];910fd7rfysvvfzp2s1ywna5pm;M. Wentzel;;;d6oauavu7mmhfhn2sa0niikgk;Pass;;;;;;;;;;;64,9;;6,6;2,15;90,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;64,9;90,0;;;;;;;;0;14;52;Colorado Rapids II;892;DL;1,0
2694317873;160;1;1;14;53;dqx48fglv1l96cyrmjdod0xec;1;64,3;90,8;2024-06-03T02:18:56.824Z;2024-06-03T02:18:59Z;[{'id': 5067769507, 'qualifierId': 56, 'value': 'Center'}, {'id': 5067769513, 'qualifierId': 212, 'value': '10.7'}, {'id': 5067769509, 'qualifierId': 140, 'value': '61.3'}, {'id': 5067769511, 'qualifierId': 141, 'value': '75.7'}, {'id': 5067769515, 'qualifierId': 213, 'value': '4.41'}];7zkzjmk1go1u2vi5qkqlmezu;J. Reid;;;d6oauavu7mmhfhn2sa0niikgk;Pass;;;;;;;;;;;61,3;;10,7;4,41;75,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;61,3;75,7;;;;;;;;0;14;53;Colorado Rapids II;893;DC;1,0
2694317883;161;1;1;14;56;dqx48fglv1l96cyrmjdod0xec;1;60,6;74,6;2024-06-03T02:18:59.036Z;2024-06-03T02:19:05Z;[{'id': 5067769601, 'qualifierId': 213, 'value': '2.69'}, {'id': 5067769595, 'qualifierId': 140, 'value': '53.4'}, {'id': 5067769597, 'qualifierId': 141, 'value': '80.0'}, {'id': 5067769593, 'qualifierId': 56, 'value': 'Left'}, {'id': 5067769599, 'qualifierId': 212, 'value': '8.4'}];3dyn7hheqvs3gm3m84jrra9lg;S. Antwi;;;d6oauavu7mmhfhn2sa0niikgk;Pass;;;;;;;;;;;53,4;;8,4;2,69;80,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;53,4;80,0;;;;;;;;0;14;56;Colorado Rapids II;896;MC;1,0
2694317885;162;1;1;15;2;dqx48fglv1l96cyrmjdod0xec;0;47,4;73,3;2024-06-03T02:19:05.160Z;2024-06-03T02:19:06Z;[{'id': 5067769617, 'qualifierId': 213, 'value': '5.65'}, {'id': 5067769609, 'qualifierId': 56, 'value': 'Center'}, {'id': 5067769613, 'qualifierId': 141, 'value': '63.0'}, {'id': 5067769615, 'qualifierId': 212, 'value': '11.8'}, {'id': 5067769611, 'qualifierId': 140, 'value': '56.5'}];276kl5oc1k19y1linbxml0xec;Ó. Benítez;;;d6oauavu7mmhfhn2sa0niikgk;Pass;;;;;;;;;;;56,5;;11,8;5,65;63,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;56,5;63,0;;;;;;;;0;15;2;Colorado Rapids II;902;DC;1,0
2694317889;136;49;1;15;4;iiolvosiuokkrl5iuoxcjo4p;1;43,9;35,7;2024-06-03T02:19:07.677Z;2024-06-03T02:19:07Z;[];ew8oodr9hiuqve7xlz24xznfu;M. Vargas;;;d6oauavu7mmhfhn2sa0niikgk;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;;0;15;4;St. Louis City II;904;FW;1,0
2694317899;137;1;1;15;6;iiolvosiuokkrl5iuoxcjo4p;1;50,6;27,6;2024-06-03T02:19:08.894Z;2024-06-03T02:19:14Z;[{'id': 5067769719, 'qualifierId': 140, 'value': '69.9'}, {'id': 5067769721, 'qualifierId': 141, 'value': '22.5'}, {'id': 5067769717, 'qualifierId': 56, 'value': 'Center'}, {'id': 5067769725, 'qualifierId': 213, 'value': '6.11'}, {'id': 5067769723, 'qualifierId': 212, 'value': '20.6'}];ew8oodr9hiuqve7xlz24xznfu;M. Vargas;;;d6oauavu7mmhfhn2sa0niikgk;Pass;;;;;;;;;;;69,9;;20,6;6,11;22,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;69,9;22,5;;;;;;;;0;15;6;St. Louis City II;906;FW;1,0
