id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_TeamPlayerFormation;value_PlayerPosition;value_TeamKit;value_Involved;value_TeamFormation;value_Captain;value_JerseyNumber;value_DirectionOfPlay;value_Length;value_KickOff;value_PassEndY;value_Zone;value_PassEndX;value_Angle;value_LongBall;value_Launch;value_OutOfPlay;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Offensive;value_Defensive;value_FlickOn;value_HeadPass;value_Head;value_LayOff;value_DeletedEventType;value_IntendedTackleTarget;value_Chipped;value_HighGkIntervention;value_HighClaim;value_KeeperThrow;value_TouchTypePass;value_NotVisible;value_InSwinger;value_Cross;value_RightFooted;value_TouchTypeClearance;value_Direct;value_AerialFoul;value_Foul;value_FreeKickTaken;value_BlockedPass;value_TakeOnOvertake;value_TakeOnSpace;value_Shove/Push;value_Assist;value_GoalmouthZ;value_GoalmouthY;value_OutOfBoxCentre;value_RelatedEventId;value_Assisted;value_RegularPlay;value_BlockedY;value_LowCentre;value_IndividualPlay;value_LeftFooted;value_BlockedX;value_Collected;value_Diving;value_Hands;value_LowGkIntervention;value_GkHoof;value_DangerousPlay;value_Indirect;value_IntentionalAssist;value_Tap;value_NotPastGoalLine;value_GkX;value_GkY;value_Right;value_FreeKick;value_FirstTouch;value_TouchTypeControl;value_LeadingToAttempt;value_RelatedError1Id;value_LowLeft;value_NotAssisted;value_BigChance;value_ParriedSafe;value_Left;value_CornerTaken;value_BoxCentre;value_FromCorner;value_ThroughBall;value_MediumGkIntervention;value_OtherBodyPart;value_Stooping;value_Blocked;value_DefBlock;value_Defensive1V1;value_ShirtPull/Holding;value_OutSwinger;value_Volley;value_HighLeft;value_LastLine;value_Feet;value_ParriedDanger;value_NextEventGoalKick;value_GoalKick;value_High;value_Low;value_SwitchOfPlay;value_PullBack;value_AttemptedTackle;value_IncorrectOutOfPlayDecision;value_PlayersCaughtOffside;value_YellowCard;value_NotRetreating;value_RecklessOffence;value_OverhitCross;value_DrivenCross;value_Straight;value_SwerveRight;value_OutOnSideline;value_Minutes;value_EndType;value_Overrun;value_Handball;value_HighRight;value_BlockedCross;value_PenaltyTakerId;value_Penalty;value_Saved;value_LowRight;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_SmallBoxCentre;value_SetPiece;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_SwerveLeft;value_Strong;value_TacticalFoul;value_CloseRight;value_Standing;value_InjuredPlayerId;value_Injury;value_SmallBoxRight;value_FastBreak;value_GkYTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_HighCentre;value_Reaching;value_Fingertip;value_MisHit;value_BoxRight;value_SavedOffLine;value_SixYardBlocked;value_FloatedCross;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2692514889;1;34;16;0;0;bd0378yx50xpdcgwkt9p9bmz8;1;0,0;0,0;2024-05-26T20:19:02.582Z;2024-05-29T06:07:31Z;[{'id': 5057864733, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5057864731, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5057864725, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5057981589, 'qualifierId': 197, 'value': '23755'}, {'id': 5057864723, 'qualifierId': 30, 'value': '3fjb8lymm7grc7nqyfpzw1a8k, 8bjjne12yudwbzfzjdlygqx62, 5bgt61vb5lnzyoczqnr202lpm, 39t59x9q2xumbn2hphk7urp7u, 2f5ymqh1j87xhi9ynovnujpm2, 2l6v8ab245wzmb1litvkir1ii, 8sydisziijh84elb8dprtlduy, 4uo9isxivewjrtdg9v7lku9zo, 1ofx4ncf6w5twjbaam5w0mu7e, 9asj8t10cvfumot9hr3dprsic, bfm4xr4ue74v0li53slarf9t6, b82dmhiv5rfrczfcx26cnvo16, 6hq9a0pz5ybc67wdttd54xvbp, bpr7u1cp7bzt1w2t1tsmru73e, 8za8xvdiyduedk2i99bdqv4es, 9enx01mc6yh8oqiat336gfcpg, bh6ncbb98ru6ox5oth7kle51w, 6ihxsnp8rmyvu0xjm4oquxd04, dfkazpw3p03p6umdchplgivx0, 38w9u5vyb9bh5nne7xsyourdg'}, {'id': 5057864729, 'qualifierId': 130, 'value': '17'}, {'id': 5057999781, 'qualifierId': 194, 'value': '8sydisziijh84elb8dprtlduy'}, {'id': 5057864727, 'qualifierId': 59, 'value': '25, 42, 45, 33, 38, 96, 41, 37, 46, 44, 49, 30, 40, 43, 48, 55, 61, 64, 80, 81'}];;;;;d24bodha971i57dt9if9d7kt0;Team set up;;;;23755,0;;17,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;;0;0;0;Inter Miami II;0;;
2692515723;1;34;16;0;0;c7c4wwva2u1vb3rr7rwava044;1;0,0;0,0;2024-05-26T20:20:18.578Z;2024-05-29T06:08:34Z;[{'id': 5057869241, 'qualifierId': 130, 'value': '19'}, {'id': 5057869243, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5058004609, 'qualifierId': 194, 'value': '4kng7wg83mastngy9hw7j6v6y'}, {'id': 5057981797, 'qualifierId': 197, 'value': '15001'}, {'id': 5057869235, 'qualifierId': 30, 'value': '19igj31auu88fhwdpfz8c1coa, 40za2m92ngp5og8pxyrkxl3is, 4kng7wg83mastngy9hw7j6v6y, cngjy2fgv7bd3262mp7onczkk, 3x8f4j8q49d8hft60a6k8l5as, c1fvknrf94i05q738d5r7vmdw, 7uj52qs9yf21gxixhrowyvswk, 7ve3vmg19c3g91j7zs32oecd0, 8l4bqb8gtyzqpx3pti200phqs, 9owtf360wi6ky1cr4qwnnfk0k, cjjvy22j5q0piz5omn2tf18us, bn5ic0uuxaupf6hs2tgqqq0b8, 9hxomhr5g6zy05ei4z4lhrklw, 55y26r9mz105vrqmnq739l62, aymd7oegdw0wsqbvfl7xrl0r8, 1874nj27f507jqja4e8zla1as, 4vloworaa03y2m2cnzbsifk7o, 8qdq9aaienjzfbfn61f77ov10'}, {'id': 5057869245, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5057869237, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5057869239, 'qualifierId': 59, 'value': '1, 62, 2, 14, 12, 4, 21, 23, 90, 85, 8, 10, 13, 11, 66, 70, 87, 93'}];;;;;d24bodha971i57dt9if9d7kt0;Team set up;;;;15001,0;;19,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;;0;0;0;Cincinnati II;0;;
2692536595;2;32;1;0;0;c7c4wwva2u1vb3rr7rwava044;1;0,0;0,0;2024-05-26T21:01:42.177Z;2024-05-26T21:01:42Z;[{'id': 5057982789, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;d24bodha971i57dt9if9d7kt0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;;;;;;;;;;0;0;0;Cincinnati II;0;;
2692536599;2;32;1;0;0;bd0378yx50xpdcgwkt9p9bmz8;1;0,0;0,0;2024-05-26T21:01:42.177Z;2024-05-29T06:48:43Z;[{'id': 5057982801, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;d24bodha971i57dt9if9d7kt0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;home;;;;;;;;;;0;0;0;Inter Miami II;0;;
2692536615;3;1;1;0;0;c7c4wwva2u1vb3rr7rwava044;1;50,0;50,0;2024-05-26T21:01:42.178Z;2024-05-26T21:01:46Z;[{'id': 5057982887, 'qualifierId': 212, 'value': '13.0'}, {'id': 5057982891, 'qualifierId': 279, 'value': 'S'}, {'id': 5057982885, 'qualifierId': 141, 'value': '42.5'}, {'id': 5057982881, 'qualifierId': 56, 'value': 'Back'}, {'id': 5057982883, 'qualifierId': 140, 'value': '38.6'}, {'id': 5057982889, 'qualifierId': 213, 'value': '3.54'}];8l4bqb8gtyzqpx3pti200phqs;Y. Cohen;;;d24bodha971i57dt9if9d7kt0;Pass;;;;;;;;;;13,0;;42,5;;38,6;3,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;38,6;42,5;;;;;;;;0;0;0;Cincinnati II;0;;1,0
2692536627;4;1;1;0;3;c7c4wwva2u1vb3rr7rwava044;1;38,6;42,5;2024-05-26T21:01:46.102Z;2024-05-26T21:03:58Z;[{'id': 5057982943, 'qualifierId': 141, 'value': '52.2'}, {'id': 5057982941, 'qualifierId': 140, 'value': '34.5'}, {'id': 5057982947, 'qualifierId': 213, 'value': '2.15'}, {'id': 5057982945, 'qualifierId': 212, 'value': '7.9'}, {'id': 5057982939, 'qualifierId': 56, 'value': 'Back'}];7uj52qs9yf21gxixhrowyvswk;D. Martinez;;;d24bodha971i57dt9if9d7kt0;Pass;;;;;;;;;;7,9;;52,2;;34,5;2,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;34,5;52,2;;;;;;;;0;0;3;Cincinnati II;3;;1,0
2692536633;5;1;1;0;5;c7c4wwva2u1vb3rr7rwava044;1;34,5;52,2;2024-05-26T21:01:47.191Z;2024-05-26T21:01:48Z;[{'id': 5057982989, 'qualifierId': 212, 'value': '8.6'}, {'id': 5057982983, 'qualifierId': 56, 'value': 'Back'}, {'id': 5057982985, 'qualifierId': 140, 'value': '27.5'}, {'id': 5057982991, 'qualifierId': 213, 'value': '2.60'}, {'id': 5057982987, 'qualifierId': 141, 'value': '58.7'}];7ve3vmg19c3g91j7zs32oecd0;R. Montenegro;;;d24bodha971i57dt9if9d7kt0;Pass;;;;;;;;;;8,6;;58,7;;27,5;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;27,5;58,7;;;;;;;;0;0;5;Cincinnati II;5;;1,0
2692536645;6;1;1;0;6;c7c4wwva2u1vb3rr7rwava044;1;24,8;59,9;2024-05-26T21:01:48.462Z;2024-05-26T21:01:53Z;[{'id': 5057983105, 'qualifierId': 1}, {'id': 5057983097, 'qualifierId': 140, 'value': '34.8'}, {'id': 5057983099, 'qualifierId': 141, 'value': '9.2'}, {'id': 5057983103, 'qualifierId': 213, 'value': '5.01'}, {'id': 5057983101, 'qualifierId': 212, 'value': '36.0'}, {'id': 5057983095, 'qualifierId': 56, 'value': 'Back'}];cngjy2fgv7bd3262mp7onczkk;S. Garcia;;;d24bodha971i57dt9if9d7kt0;Pass;;;;;;;;;;36,0;;9,2;;34,8;5,01;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;34,8;9,2;;;;;;;;0;0;6;Cincinnati II;6;;1,0
2692536665;7;1;1;0;11;c7c4wwva2u1vb3rr7rwava044;1;37,1;7,0;2024-05-26T21:01:53.358Z;2024-05-26T21:57:39Z;[{'id': 5057983197, 'qualifierId': 213, 'value': '2.09'}, {'id': 5057983193, 'qualifierId': 141, 'value': '26.4'}, {'id': 5057983191, 'qualifierId': 140, 'value': '29.9'}, {'id': 5057983189, 'qualifierId': 56, 'value': 'Back'}, {'id': 5057983195, 'qualifierId': 212, 'value': '15.2'}];c1fvknrf94i05q738d5r7vmdw;T. Hall;;;d24bodha971i57dt9if9d7kt0;Pass;;;;;;;;;;15,2;;26,4;;29,9;2,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;29,9;26,4;;;;;;;;0;0;11;Cincinnati II;11;;1,0
2692536679;8;1;1;0;15;c7c4wwva2u1vb3rr7rwava044;0;30,6;21,5;2024-05-26T21:01:57.758Z;2024-05-26T21:57:44Z;[{'id': 5057983283, 'qualifierId': 56, 'value': 'Right'}, {'id': 5057983289, 'qualifierId': 212, 'value': '63.2'}, {'id': 5057983285, 'qualifierId': 140, 'value': '90.2'}, {'id': 5057983281, 'qualifierId': 157}, {'id': 5057983287, 'qualifierId': 141, 'value': '8.9'}, {'id': 5057983293, 'qualifierId': 1}, {'id': 5057983291, 'qualifierId': 213, 'value': '6.15'}];3x8f4j8q49d8hft60a6k8l5as;T. Barton;;;d24bodha971i57dt9if9d7kt0;Pass;;;;;;;;;;63,2;;8,9;;90,2;6,15;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c7c4wwva2u1vb3rr7rwava044;Inter Miami II;away;90,2;8,9;;;;;;;;0;0;15;Cincinnati II;15;;1,0
