id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_Captain;value_TeamFormation;value_PlayerPosition;value_JerseyNumber;value_TeamPlayerFormation;value_TeamKit;value_Involved;value_DirectionOfPlay;value_PassEndX;value_Angle;value_PassEndY;value_KickOff;value_Zone;value_Length;value_Chipped;value_LongBall;value_DeletedEventType;value_Defensive;value_Launch;value_OppositeRelatedEventId;value_Offensive;value_BlockedPass;value_IntendedTackleTarget;value_Cross;value_RightFooted;value_OutSwinger;value_Direct;value_Shove/Push;value_Foul;value_FreeKickTaken;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_Assist;value_HeadPass;value_BlockedX;value_BlockedY;value_IndividualPlay;value_BoxCentre;value_GoalmouthZ;value_BigChance;value_Assisted;value_1On1;value_RelatedEventId;value_FastBreak;value_GoalmouthY;value_LowCentre;value_ParriedDanger;value_Feet;value_Sliding;value_LowGkIntervention;value_GkX;value_GkY;value_NotAssisted;value_LowRight;value_FirstTouch;value_OutOfBoxCentre;value_Blocked;value_DefBlock;value_InjuredPlayerId;value_Injury;value_Head;value_AttemptedTackle;value_TakeOnSpace;value_TouchTypeClearance;value_Left;value_Right;value_CornerTaken;value_LayOff;value_TouchTypePass;value_BlockedCross;value_Overrun;value_TouchTypeControl;value_LeftFooted;value_InSwinger;value_NextEventGoalKick;value_GoalKick;value_Low;value_TakeOnOvertake;value_FlickOn;value_PlayersCaughtOffside;value_YellowCard;value_TacticalFoul;value_High;value_FreeKick;value_SwitchOfPlay;value_KeeperThrow;value_RegularPlay;value_FromCorner;value_IntentionalAssist;value_GoalShotGameClock;value_SmallBoxCentre;value_GoalShotTimestamp;value_LowLeft;value_Diving;value_Hands;value_OverArm;value_HighCentre;value_Collected;value_Standing;value_Handball;value_RecklessOffence;value_Dissent;value_CoachId;value_BoxDeepLeft;value_ParriedSafe;value_Stooping;value_Minutes;value_EndType;value_HighClaim;value_TempShotOn;value_CloseLeftAndHigh;value_ShirtPull/Holding;value_NotVisible;value_Indirect;value_BoxLeft;value_CloseLeft;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_Tactical;value_HighLeft;value_Tap;value_ViolentConduct;value_RedCard;value_TimeWasting;value_CaptainChange;value_GkKickFromHands;value_GameEnd;value_GoesToPenalties;value_ChecksComplete/LiveCollectionChecksComplete;value_CoachTypes;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2713722197;1;34;16;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-08-25T22:16:50.241Z;2024-08-26T01:18:14Z;[{'id': 5174822007, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5175248413, 'qualifierId': 194, 'value': 'e2tuar1frliervcr2mnmvfspg'}, {'id': 5174822003, 'qualifierId': 130, 'value': '2'}, {'id': 5174821999, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5174822001, 'qualifierId': 59, 'value': '21, 45, 42, 46, 27, 23, 66, 65, 97, 16, 82, 24, 57, 44, 90, 76, 35, 50'}, {'id': 5174822005, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5174911539, 'qualifierId': 197, 'value': '23373'}, {'id': 5174821997, 'qualifierId': 30, 'value': 'bvtvko74cyeqe297mp6shrf2s, 6rgdv71lxh4cpz487ygvy5nv8, 92np3jwhxchmtfeov82ehe13o, o3gftw0hatp1r62ynjmlaaui, e23u0x31okggroh6dkoqx5fdg, e2tuar1frliervcr2mnmvfspg, 65g50zt5gbo1lnrbc7uvwsbo4, 8q2wozyqz4nveabn71hc614dm, 4akvdujqbywk628gok9xbh2j8, 8y7kqet5swj9dmqama0z5ngus, afqry84j23xgkhqryrontj190, nhhmltlm3ayn7vqmp6etck5w, 76xo0u2yd2cqf8xdyh8rteqdw, 8u0efvao8rym6mdx0tl0h0qac, ov4fk38lrcculu6tdbnrto2c, 35eyloaqnyzxecdatlfdqfbis, gz9dek1oxgman9jslfku0zmy, 4gp2d7oltfq4uwzj78gr6q9sk'}];;;;;evtbhe5j6fze9zsov2rg22x3o;Team set up;;;2,0;;;;23373,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;0;0;0;0;Crown Legacy;0;;
2713725535;2;34;16;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-08-25T22:26:36.583Z;2024-08-25T23:09:14Z;[{'id': 5174841001, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5174911827, 'qualifierId': 197, 'value': '18743'}, {'id': 5174840999, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5174840995, 'qualifierId': 59, 'value': '26, 35, 47, 60, 39, 44, 43, 48, 17, 25, 27, 41, 64, 71, 51, 86, 97, 68, 79, 95'}, {'id': 5174840991, 'qualifierId': 30, 'value': '2v9pdg70kewaarbz4jzsh00a2, ds4avrkvrp4jxq9lp02ssci22, 8texi81doeqhy7eu6fnhrstbe, 9qhpi9y9iujvkbocafhgrj04q, exk9svcdgcbn05ms00fhorvv8, 3xd2kq7cxmvdbqsfzgi644c4q, avxfzgoe2y0opif75qu3aeb6c, 3ve0xap9f0gjsslhgjsmakx04, 4dri4lv9b4w3mz8aj3329qjh0, 4ywn289r9mrs444sgkgduyivo, 9ohy24mxhsqao5kymh0lbxxck, 7bxp7ho4cmsoviw19q4bxr02c, 7nvpvg46tgsnyp31t3se72e0a, 35i699wz5v6nush729peu776c, 4npcsyrhri5kmeks8gfon146i, drt65b9m2f494wnoyep49bn1m, 7ofdnarha4k4b8nggld7gxnqi, f12wt1v2qf2siv8p6q6x2bxuc, avg8cobjwujoc3os8q8755tlg, 2dzabfothgpxefwrm4uqs0w0k'}, {'id': 5174928341, 'qualifierId': 194, 'value': 'exk9svcdgcbn05ms00fhorvv8'}, {'id': 5174840997, 'qualifierId': 130, 'value': '4'}, {'id': 5174840993, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;;evtbhe5j6fze9zsov2rg22x3o;Team set up;;;4,0;;;;18743,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;0;0;0;0;New York RB II;0;;
2713738291;2;32;1;0;0;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-08-25T23:03:41.489Z;2024-08-29T05:41:23Z;[{'id': 5174912933, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;evtbhe5j6fze9zsov2rg22x3o;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;0;0;0;0;Crown Legacy;0;;
2713738293;3;32;1;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-08-25T23:03:41.489Z;2024-08-25T23:03:46Z;[{'id': 5174912935, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;evtbhe5j6fze9zsov2rg22x3o;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;0;0;0;0;New York RB II;0;;
2713738299;4;1;1;0;0;6ubc4y1v6hr63mca7ica4hp90;1;50,2;50,4;2024-08-25T23:03:41.564Z;2024-08-29T06:05:38Z;[{'id': 5174912951, 'qualifierId': 140, 'value': '28.3'}, {'id': 5174912957, 'qualifierId': 213, 'value': '2.80'}, {'id': 5174912953, 'qualifierId': 141, 'value': '62.3'}, {'id': 5174912959, 'qualifierId': 279, 'value': 'S'}, {'id': 5174912949, 'qualifierId': 56, 'value': 'Back'}, {'id': 5174912955, 'qualifierId': 212, 'value': '24.4'}];4dri4lv9b4w3mz8aj3329qjh0;I. Toklomati;;;evtbhe5j6fze9zsov2rg22x3o;Pass;;;;;;;;;;28,3;2,8;62,3;;;24,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;28,3;62,3;;;;;;;0;0;0;0;New York RB II;0;FW;1,0
2713738323;5;1;1;0;4;6ubc4y1v6hr63mca7ica4hp90;1;30,1;64,6;2024-08-25T23:03:45.811Z;2024-08-25T23:03:49Z;[{'id': 5174913111, 'qualifierId': 140, 'value': '68.0'}, {'id': 5174913107, 'qualifierId': 155}, {'id': 5174913117, 'qualifierId': 213, 'value': '5.58'}, {'id': 5174913113, 'qualifierId': 141, 'value': '14.7'}, {'id': 5174913109, 'qualifierId': 56, 'value': 'Right'}, {'id': 5174913119, 'qualifierId': 1}, {'id': 5174913115, 'qualifierId': 212, 'value': '52.3'}];3xd2kq7cxmvdbqsfzgi644c4q;J. Bravo;;;evtbhe5j6fze9zsov2rg22x3o;Pass;;;;;;;;;;68,0;5,58;14,7;;;52,3;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;68,0;14,7;;;;;;;0;0;0;4;New York RB II;4;DC;1,0
2713738327;6;61;1;0;7;6ubc4y1v6hr63mca7ica4hp90;0;68,0;15,3;2024-08-25T23:03:49.156Z;2024-08-25T23:03:49Z;[{'id': 5174913127, 'qualifierId': 56, 'value': 'Right'}];4ywn289r9mrs444sgkgduyivo;T. Smalls;;;evtbhe5j6fze9zsov2rg22x3o;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;0;0;0;7;New York RB II;7;FWR;1,0
2713738325;3;49;1;0;7;4g68p0t2f5jzhzfr67i2rj1ex;1;15,7;96,8;2024-08-25T23:03:49.348Z;2024-08-25T23:03:49Z;[];92np3jwhxchmtfeov82ehe13o;O. Valencia;;;evtbhe5j6fze9zsov2rg22x3o;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;0;0;0;7;Crown Legacy;7;DC;1,0
2713738387;4;43;1;0;16;4g68p0t2f5jzhzfr67i2rj1ex;1;0,0;0,0;2024-08-25T23:03:57.956Z;2024-08-25T23:04:28Z;[{'id': 5174913453, 'qualifierId': 56, 'value': 'Back'}, {'id': 5174914573, 'qualifierId': 144, 'value': '3'}, {'id': 5174913455, 'qualifierId': 285, 'value': '0'}];92np3jwhxchmtfeov82ehe13o;O. Valencia;;;evtbhe5j6fze9zsov2rg22x3o;Deleted event;;;;;;;;;;;;;;;;;;3,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;0;0;0;16;Crown Legacy;16;DC;1,0
2713738389;5;61;1;0;18;4g68p0t2f5jzhzfr67i2rj1ex;1;5,4;98,1;2024-08-25T23:03:59.724Z;2024-08-26T00:04:00Z;[{'id': 5174913459, 'qualifierId': 56, 'value': 'Back'}];92np3jwhxchmtfeov82ehe13o;O. Valencia;;;evtbhe5j6fze9zsov2rg22x3o;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4g68p0t2f5jzhzfr67i2rj1ex;New York RB II;home;;;;;;;;;0;0;0;18;Crown Legacy;18;DC;1,0
