id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_TeamKit;value_TeamPlayerFormation;value_JerseyNumber;value_Resume;value_Captain;value_TeamFormation;value_PlayerPosition;value_DirectionOfPlay;value_Zone;value_Length;value_PassEndY;value_KickOff;value_PassEndX;value_Angle;value_LongBall;value_Chipped;value_OutOfPlay;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Offensive;value_TouchTypePass;value_Defensive;value_TakeOnOvertake;value_TouchTypeClearance;value_PlayersCaughtOffside;value_DeletedEventType;value_AttemptedTackle;value_Direct;value_Foul;value_FreeKickTaken;value_TouchTypeControl;value_IntendedTackleTarget;value_Launch;value_TakeOnSpace;value_ShirtPull/Holding;value_OutSwinger;value_Cross;value_RightFooted;value_HeadPass;value_BlockedPass;value_HighGkIntervention;value_KeeperThrow;value_NextEventGoalKick;value_Low;value_GoalKick;value_Shove/Push;value_Defensive1V1;value_InSwinger;value_Head;value_SwitchOfPlay;value_BlockedX;value_BlockedY;value_GoalmouthY;value_Blocked;value_LowCentre;value_IndividualPlay;value_OutOfBoxCentre;value_GkY;value_RegularPlay;value_GoalmouthZ;value_GkX;value_LeftFooted;value_NotAssisted;value_DefBlock;value_IntentionalAssist;value_Assist;value_RelatedEventId;value_FirstTouch;value_Assisted;value_Hands;value_Collected;value_LowGkIntervention;value_Stooping;value_NotVisible;value_LayOff;value_Indirect;value_Straight;value_DrivenCross;value_YellowCard;value_RecklessOffence;value_TacticalFoul;value_FastBreak;value_Right;value_BoxRight;value_SwerveRight;value_ThroughBall;value_BigChance;value_BoxCentre;value_Feet;value_ParriedDanger;value_Diving;value_SixYardBlocked;value_GoalShotTimestamp;value_GoalShotGameClock;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_LowLeft;value_SetPiece;value_NotPastGoalLine;value_HitWoodwork;value_Injury;value_InjuredPlayerId;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_HighClaim;value_BoxLeft;value_GkHoof;value_HighRight;value_High;value_GkKickFromHands;value_FlickOn;value_PullBack;value_SmallBoxCentre;value_Minutes;value_Penalty;value_PenaltyTakerId;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_CloseRight;value_Missed;value_Left;value_LowRight;value_Dissent;value_EndType;value_Tactical;value_SmallBoxLeft;value_OverArm;value_Overrun;value_CloseHigh;value_FreeKick;value_MediumGkIntervention;value_HighCentre;value_CornerTaken;value_Volley;value_FromCorner;value_FloatedCross;value_Standing;value_BlockedCross;value_35Centre;value_OutOnSideline;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2683589073;267;4;1;39;31;7fbej4xwoq4imaf5l39304m37;0;12,1;11,8;2024-05-05T23:43:20.144Z;2024-05-05T23:43:31Z;[{'id': 5009157375, 'qualifierId': 285}, {'id': 5009157367, 'qualifierId': 13}, {'id': 5009157565, 'qualifierId': 233, 'value': '379'}, {'id': 5009157371, 'qualifierId': 152}, {'id': 5009157369, 'qualifierId': 56, 'value': 'Back'}, {'id': 5009157373, 'qualifierId': 265}];c7luarkv7hwdspd9xhidhisk4;C. Tschantret;;;cnq73iffo9clmxf08hykkpams;Foul;;;;;;;;;;;;;;;;;;;379,0;;;;;1,0;;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;;0;39;31;North Texas;2371;MC;1,0
2683589391;380;1;1;40;30;99l7fsj6ykgbyqcb9zqqu9dgq;0;86,7;87,8;2024-05-05T23:44:19.641Z;2024-05-11T11:47:22Z;[{'id': 5009158873, 'qualifierId': 155}, {'id': 5009158957, 'qualifierId': 233, 'value': '268'}, {'id': 5009158871, 'qualifierId': 5}, {'id': 5009158881, 'qualifierId': 141, 'value': '43.6'}, {'id': 5009158883, 'qualifierId': 212, 'value': '31.9'}, {'id': 5019174055, 'qualifierId': 223}, {'id': 5009158869, 'qualifierId': 2}, {'id': 5009158877, 'qualifierId': 56, 'value': 'Center'}, {'id': 5009158885, 'qualifierId': 213, 'value': '5.06'}, {'id': 5009158879, 'qualifierId': 140, 'value': '97.0'}, {'id': 5019174057, 'qualifierId': 20}, {'id': 5009158875, 'qualifierId': 152}];3h8rx5wumr7hktll4hnvx7or8;E. Sali;;;cnq73iffo9clmxf08hykkpams;Pass;;;;;;;;;;;31,9;43,6;;97,0;5,06;;1,0;;268,0;;;;;;;;;;;1,0;;1,0;;;;;;;1,0;1,0;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;97,0;43,6;;;;;;;;0;40;30;Sporting KC II;2430;FWL;1,0
2683589397;268;11;1;40;33;7fbej4xwoq4imaf5l39304m37;1;2,8;57,0;2024-05-05T23:44:22.615Z;2024-05-11T11:47:31Z;[{'id': 5009158961, 'qualifierId': 233, 'value': '380'}, {'id': 5009158929, 'qualifierId': 88}, {'id': 5019174599, 'qualifierId': 378}, {'id': 5009158927, 'qualifierId': 56, 'value': 'Back'}];3f52lf1p2xmtzysfi8n18m044;J. Molinaro;;;cnq73iffo9clmxf08hykkpams;Claim;;;;;;;;;;;;;;;;;;;380,0;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;;0;40;33;North Texas;2433;GK;1,0
2683589447;269;1;1;40;37;7fbej4xwoq4imaf5l39304m37;1;14,4;55,2;2024-05-05T23:44:26.615Z;2024-05-05T23:44:31Z;[{'id': 5009159161, 'qualifierId': 141, 'value': '35.4'}, {'id': 5009159155, 'qualifierId': 123}, {'id': 5009159157, 'qualifierId': 56, 'value': 'Back'}, {'id': 5009159163, 'qualifierId': 212, 'value': '13.5'}, {'id': 5009159165, 'qualifierId': 213, 'value': '4.74'}, {'id': 5009159159, 'qualifierId': 140, 'value': '14.7'}];3f52lf1p2xmtzysfi8n18m044;J. Molinaro;;;cnq73iffo9clmxf08hykkpams;Pass;;;;;;;;;;;13,5;35,4;;14,7;4,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;14,7;35,4;;;;;;;;0;40;37;North Texas;2437;GK;1,0
2683589467;270;1;1;40;42;7fbej4xwoq4imaf5l39304m37;1;22,4;35,7;2024-05-05T23:44:31.064Z;2024-05-05T23:44:34Z;[{'id': 5009159253, 'qualifierId': 213, 'value': '1.23'}, {'id': 5009159251, 'qualifierId': 212, 'value': '26.2'}, {'id': 5009159249, 'qualifierId': 141, 'value': '72.0'}, {'id': 5009159245, 'qualifierId': 56, 'value': 'Back'}, {'id': 5009159247, 'qualifierId': 140, 'value': '30.8'}];9jczt268kcld72pk5ho4xpzsa;J. Bartlett;;;cnq73iffo9clmxf08hykkpams;Pass;;;;;;;;;;;26,2;72,0;;30,8;1,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;30,8;72,0;;;;;;;;0;40;42;North Texas;2442;DR;1,0
2683589479;271;1;1;40;45;7fbej4xwoq4imaf5l39304m37;1;30,8;72,0;2024-05-05T23:44:34.440Z;2024-05-05T23:44:36Z;[{'id': 5009159307, 'qualifierId': 140, 'value': '55.9'}, {'id': 5009159311, 'qualifierId': 212, 'value': '26.4'}, {'id': 5009159313, 'qualifierId': 213, 'value': '0.04'}, {'id': 5009159305, 'qualifierId': 56, 'value': 'Center'}, {'id': 5009159309, 'qualifierId': 141, 'value': '73.5'}];1pm343qga3zwdbrjngpeqhtnu;J. Swallen;;;cnq73iffo9clmxf08hykkpams;Pass;;;;;;;;;;;26,4;73,5;;55,9;0,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;55,9;73,5;;;;;;;;0;40;45;North Texas;2445;Sub;1,0
2683589487;272;1;1;40;47;7fbej4xwoq4imaf5l39304m37;1;55,9;73,5;2024-05-05T23:44:36.408Z;2024-05-05T23:44:54Z;[{'id': 5009159347, 'qualifierId': 213, 'value': '3.38'}, {'id': 5009159339, 'qualifierId': 56, 'value': 'Back'}, {'id': 5009159343, 'qualifierId': 141, 'value': '68.5'}, {'id': 5009159341, 'qualifierId': 140, 'value': '42.6'}, {'id': 5009159345, 'qualifierId': 212, 'value': '14.4'}];1yohdc0hkzkom8hlhw3rjfn8q;N. Clarke;;;cnq73iffo9clmxf08hykkpams;Pass;;;;;;;;;;;14,4;68,5;;42,6;3,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;42,6;68,5;;;;;;;;0;40;47;North Texas;2447;DC;1,0
2683589499;273;1;1;40;48;7fbej4xwoq4imaf5l39304m37;1;51,6;69,7;2024-05-05T23:44:37.704Z;2024-05-05T23:44:42Z;[{'id': 5009159403, 'qualifierId': 140, 'value': '81.9'}, {'id': 5009159409, 'qualifierId': 213, 'value': '0.35'}, {'id': 5009159401, 'qualifierId': 56, 'value': 'Left'}, {'id': 5009159411, 'qualifierId': 1}, {'id': 5009159405, 'qualifierId': 141, 'value': '86.8'}, {'id': 5009159407, 'qualifierId': 212, 'value': '33.9'}];4oz12ku4mdjsq7y4sgogpwg2y;K. Habibullah;;;cnq73iffo9clmxf08hykkpams;Pass;;;;;;;;;;;33,9;86,8;;81,9;0,35;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;81,9;86,8;;;;;;;;0;40;48;North Texas;2448;FWL;1,0
2683589507;274;1;1;40;53;7fbej4xwoq4imaf5l39304m37;0;90,0;82,3;2024-05-05T23:44:42.728Z;2024-05-11T11:47:51Z;[{'id': 5009159459, 'qualifierId': 213, 'value': '4.93'}, {'id': 5019175923, 'qualifierId': 386}, {'id': 5019175921, 'qualifierId': 225}, {'id': 5009159455, 'qualifierId': 141, 'value': '49.0'}, {'id': 5009159447, 'qualifierId': 2}, {'id': 5009159451, 'qualifierId': 56, 'value': 'Center'}, {'id': 5009159453, 'qualifierId': 140, 'value': '94.8'}, {'id': 5009159457, 'qualifierId': 212, 'value': '23.2'}, {'id': 5019175925, 'qualifierId': 72}];r0s1fyyxaswujpkrv0yupt78;S. Afrifa;;;cnq73iffo9clmxf08hykkpams;Pass;;;;;;;;;;;23,2;49,0;;94,8;4,93;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;94,8;49,0;;;;;;;;0;40;53;North Texas;2453;MC;1,0
2683589519;381;12;1;40;55;99l7fsj6ykgbyqcb9zqqu9dgq;1;4,5;50,3;2024-05-05T23:44:44.609Z;2024-05-05T23:44:46Z;[{'id': 5009159517, 'qualifierId': 212, 'value': '36.1'}, {'id': 5009159515, 'qualifierId': 141, 'value': '0.0'}, {'id': 5009159513, 'qualifierId': 140, 'value': '11.6'}, {'id': 5009159541, 'qualifierId': 167}, {'id': 5009159519, 'qualifierId': 213, 'value': '4.92'}, {'id': 5009159511, 'qualifierId': 56, 'value': 'Back'}];14sld3djevxpcce9co1aqxn9w;N. Norris;;;cnq73iffo9clmxf08hykkpams;Clearance;;;;;;;;;;;36,1;0,0;;11,6;4,92;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;away;11,6;0,0;;;;;;;;0;40;55;Sporting KC II;2455;DC;1,0
